msgctxt,msgid,msgid_plural,target_lang,status,issues
,Newsphere,,de,new,unchanged_like
,https://afthemes.com/products/newsphere/,,de,new,unchanged_like
,"Newsphere is a perfect news and magazine responsive WordPress theme that lets you write articles and blog posts with ease. Create a great news website the help of live customizer options and custom widgets, you can design your website as you like and preview the changes live. It is compatible with the Gutenberg and RTL along with WooCommerce plugin which helps you to integrate an online business with our newspaper template. As it includes many useful features that require to build an awesome looking newsportal, the theme is perfect for blogging and excellent for a news, newspaper, magazine, publishing or review site. The theme is well optimized that helps to rank your website in the top of search engines and users will get an outstanding support from the team if there will be any difficulties while using the theme. There are number of demos available in this theme so choose the one you like and start to build a website. See our demos: https://afthemes.com/products/newsphere/#aft-view-starter-sites Videos: https://www.youtube.com/@wpafthemes/ and Docs: https://docs.afthemes.com/newsphere/",,de,new,
,AF themes,,de,new,
,https://www.afthemes.com/,,de,new,unchanged_like
,Oops! That page can&rsquo;t be found.,,de,new,
,It looks like nothing was found at this location. Maybe try one of the links below or a search?,,de,new,
,%s,,de,new,unchanged_like
,Starter Sites,,de,new,
,Block Patterns,,de,new,
,Elementor Kits,,de,new,
,Customize,,de,new,
,Settings,,de,new,
,Upgrade,,de,new,unchanged_like
,The Templatespare plugin should be updated to the latest version,,de,new,
,"Import a Starter Site, Personalize, and Live it in 3 Easy Steps!",,de,new,
,Blockspare plugin version should be more than %s.,,de,new,
,"One-click Demo Import, Block Editor Ready, No Code Required! Built with Blockspare.",,de,new,
,Elespare plugin version should be more than %s.,,de,new,
,"One-click Import, Header/Footer Builder, Multilingual Support! Powered by Elespare.",,de,new,
,Are you sure you want to install this plugin?,,de,new,
,Install Now,,de,new,
,Activate,,de,new,
,Activated,,de,new,
,Get Starter Sites,,de,new,
,Get Started,,de,new,
,"The ""Get Started"" action will install/activate the Templatespare and Blockspare plugins for Starter Sites and Templates.",,de,new,
,By,,de,new,
,More Details,,de,new,
,Howdy!,,de,new,
,%s is now installed and ready to use. We've assembled some links to get you started.,,de,new,
,Explore Our Pre-Built Starter Websites!,,de,new,
