msgctxt,msgid,msgid_plural,target_lang,status,issues
,ReviewNews,,de,new,unchanged_like
,https://afthemes.com/products/reviewnews/,,de,new,unchanged_like
,"ReviewNews is a dynamic, ultra-fast, and highly versatile WordPress theme made for News, Magazine, Blog, Business, and eCommerce websites across the world. With its powerful HEADER & FOOTER BUILDER that works seamlessly with the Block Editor, GUTENBERG, ELEMENTOR, BRIZY, DIVI, and other popular page builders, you can design PROFESSIONAL LAYOUTS easily using drag and drop—no coding required. Packed with 100+ STARTER SITES, 30+ CUSTOM WIDGETS, ADVANCED BLOCK PATTERNS, FLEXIBLE LAYOUT OPTIONS, AMP SUPPORT, and FULL WOOCOMMERCE INTEGRATION, it’s perfect for everything from online newspapers, corporate or NGO sites, and educational or cultural portals to personal blogs, portfolios, and lifestyle magazines. ReviewNews is fully optimized for SEO, CORE WEB VITALS, SPEED, and RESPONSIVE DESIGN, ensuring FAST LOADING and excellent performance on all devices. Built with WCAG ACCESSIBILITY, GDPR COMPLIANCE, and LIGHTWEIGHT, CLEAN CODE, it offers long-term stability and high GOOGLE PAGESPEED SCORES. MULTILINGUAL and RTL READY, with demo content in English, Spanish, German, French, Japanese, Chinese, and Arabic, ReviewNews is a truly GLOBAL, FUTURE-PROOF THEME designed for creators, publishers, and businesses who value STYLE, SCALABILITY, and PERFORMANCE across every market. Explore all features at https://afthemes.com/products/reviewnews",,de,new,
,AF themes,,de,new,
,https://www.afthemes.com/,,de,new,unchanged_like
,Oops! That page can&rsquo;t be found.,,de,new,
,It looks like nothing was found at this location. Maybe try one of the links below or a search?,,de,new,
,Dashboard,,de,new,
,Customize,,de,new,
,Header Builder,,de,new,
,Footer Builder,,de,new,
,Starter Sites,,de,new,
,Elementor Kits,,de,new,
,Block Patterns,,de,new,
,Upgrade to Pro,,de,new,
,Upgrade Now,,de,new,
,The Templatespare plugin should be updated to the latest version,,de,new,
,"Import a Starter Site, Personalize, and Live it in 3 Easy Steps!",,de,new,
,Blockspare plugin version should be more than %s.,,de,new,
,"One-click Demo Import, Block Editor Ready, No Code Required! Built with Blockspare.",,de,new,
,Elespare plugin version should be more than %s.,,de,new,
,"One-click Import, Header/Footer Builder, Multilingual Support! Powered by Elespare.",,de,new,
,Are you sure you want to install this plugin?,,de,new,
,Install Now,,de,new,
,Activate,,de,new,
,Activated,,de,new,
,Get Starter Sites,,de,new,
,Get Started,,de,new,
,"The ""Get Started"" action will install/activate the Templatespare and Blockspare plugins for Starter Sites and Templates.",,de,new,
,By,,de,new,
,More Details,,de,new,
,"👋 Welcome, and Thank You!",,de,new,
,"%s is now active. We're here to help you turn your ideas into a beautiful, professional website — quickly and confidently.",,de,new,
,🚀 Start With One Click,,de,new,
,"Choose from 100+ starter sites designed for blogs, magazines, businesses & more.
      Setup is simple — no coding required.",,de,new,
,View Demos,,de,new,
,Theme dashboard,,de,new,
,🤝 We're Here for You,,de,new,
,Whether you're just starting or customizing your site.,,de,new,
,Documentation,,de,new,
,Video Tutorials,,de,new,
,Support,,de,new,
,⭐ Rate This Theme,,de,new,
,"Sorry, you are not allowed to install plugins on this site.",,de,new,
,"Error - unable to verify nonce, please try again.",,de,new,
,"Sorry, you are not allowed to activate plugins on this site.",,de,new,
,One thought on &ldquo;%1$s&rdquo;,,de,new,
comments title,%1$s thought on &ldquo;%2$s&rdquo;,%1$s thoughts on &ldquo;%2$s&rdquo;,de,new,
comments title,%1$s thought on &ldquo;%2$s&rdquo;,%1$s thoughts on &ldquo;%2$s&rdquo;,de,new,
,Comments are closed.,,de,new,
,%1$s by %2$s.,,de,new,
,Primary Menu,,de,new,
,Social Menu,,de,new,
,Footer Menu,,de,new,
,Skip to content,,de,new,
,Open search form,,de,new,
,"Click the setting <span class=""dashicons dashicons-admin-generic""></span> on each element to customize its settings.",,de,new,
,Hide builder panel,,de,new,
,Hide Builder,,de,new,
,Device view controls,,de,new,
,Choose an Element,,de,new,
,Close choose element modal,,de,new,
,Footer Layout,,de,new,
,Create dynamic header effortlessly with drag-and-drop builder.,,de,new,
,Header,,de,new,
,Create dynamic footer effortlessly with drag-and-drop builder.,,de,new,
,Footer,,de,new,
,Enable %s Builder,,de,new,
,Add Element,,de,new,
,Remove Element,,de,new,
,Configure Element,,de,new,
,Desktop,,de,new,unchanged_like
,Element Settings,,de,new,
,close Off-Canvas Navigation,,de,new,
,Site & Logo,,de,new,
,Site Identity,,de,new,
,You can change Site Identity from %s.,,de,new,
,Promotion,,de,new,
,Off Canvas,,de,new,
,Off Canvas Widget Area,,de,new,
,This widget area is used in the mobile off-canvas panel. %s,,de,new,
,Manage widgets,,de,new,
,Primary menu,,de,new,
,Select Menu,,de,new,
,You can change Menu from menu panel. %s,,de,new,
,Manage menu,,de,new,
,Date,,de,new,
,Choose date format,,de,new,
,You can change date from general settings (Settings > General > Date Format). %s,,de,new,
,Manage Date,,de,new,
,Top Navigation,,de,new,
,pro,,de,new,
,Site Mode,,de,new,
,Custom HTML,,de,new,
,HTML Content,,de,new,
,Search,,de,new,
,Searc Form,,de,new,
,Custom Link,,de,new,
,Custom link,,de,new,
,live,,de,new,unchanged_like
,Widget 1,,de,new,unchanged_like
,Select Widget,,de,new,
,Widget 2,,de,new,unchanged_like
,Widget 3,,de,new,unchanged_like
,Navigation,,de,new,unchanged_like
,Pro,,de,new,
,Copyright,,de,new,unchanged_like
,Add widget to display . %s,,de,new,
,Beta,,de,new,unchanged_like
,No menu assigned,,de,new,
,-- Select --,,de,new,
,Subscribe,,de,new,
,Popular Tags,,de,new,
,Breaking News,,de,new,
,Posts List Section,,de,new,
,General,,de,new,
,Update,,de,new,
,More,,de,new,
,Main News,,de,new,
,Trending Now,,de,new,
,Editor's Picks,,de,new,
,Featured Posts,,de,new,
,Featured Categories,,de,new,
,Featured Pages,,de,new,
,Custom Options,,de,new,
,Post list Section Title %d,,de,new,
,View More,,de,new,
,Read More,,de,new,
,Related Stories,,de,new,
,You May Have Missed,,de,new,
,Copyright &copy; {year} All rights reserved.,,de,new,
,Body Background Color,,de,new,
,Site Title Size,,de,new,
,Uppercase Site Title and Tagline,,de,new,
,Site Title/Tagline Color,,de,new,
,Header Image Mode,,de,new,
,Image visibility may vary as per the mode,,de,new,
,Above Site Title,,de,new,
,Set as Background,,de,new,
,Show Full Image (Background),,de,new,
,Disable Image Tint/Overlay,,de,new,
,ReviewNews Pro,,de,new,unchanged_like
,Site Color Mode,,de,new,
,Light,,de,new,
,Dark,,de,new,
,Primary Color Section ,,de,new,
,Body Background Color (Dark Mode) will be applied for this mode.,,de,new,
,Body Background Color (Dark Mode),,de,new,
,Secondary Color Section ,,de,new,
,Secondary Color,,de,new,
,Fonts & Typography,,de,new,
,Font Family Section,,de,new,
,Fonts Source,,de,new,
,Theme Fonts,,de,new,
,System Fonts,,de,new,
,Font Family,,de,new,
,Main Banner Options,,de,new,
,Enable Flash News,,de,new,
,Section Title ,,de,new,
,Flash Posts Category,,de,new,
,Select category to be shown on trending posts ,,de,new,
,Main Banner,,de,new,
,Enable Main Banner Section,,de,new,
,Main Banner Background Image,,de,new,
,Recommended Size %1$s px X %2$s px,,de,new,
,Select Main Banner Order,,de,new,
,Order 1,,de,new,
,Order 2,,de,new,
,Order 3,,de,new,
,Main News Section ,,de,new,
,Filter Posts By,,de,new,
,Category,,de,new,
,Tag,,de,new,
,Select Category,,de,new,
,Select category to be shown on main slider section,,de,new,
,Select Tag,,de,new,
,Select tag to be shown on main slider section,,de,new,
,Editor's Picks Section,,de,new,
,Select,,de,new,
,Trending Section,,de,new,
,Comment Count,,de,new,
,View Count,,de,new,
,Front-page Options,,de,new,
,Enable Featured Post Section,,de,new,
,Select ,,de,new,
,Select category to be shown on featured section ,,de,new,
,Posts List,,de,new,
,Enable Post List Section,,de,new,
,Section %d,,de,new,
,Section Title,,de,new,
,Front-page Layout Settings,,de,new,
,Front-page Content Display,,de,new,
