msgctxt,msgid,msgid_plural,target_lang,status,issues
,ReviewNews,,ne,new,
,https://afthemes.com/products/reviewnews/,,ne,new,unchanged_like
,"ReviewNews is a dynamic, ultra-fast, and highly versatile WordPress theme made for News, Magazine, Blog, Business, and eCommerce websites across the world. With its powerful HEADER & FOOTER BUILDER that works seamlessly with the Block Editor, GUTENBERG, ELEMENTOR, BRIZY, DIVI, and other popular page builders, you can design PROFESSIONAL LAYOUTS easily using drag and drop—no coding required. Packed with 100+ STARTER SITES, 30+ CUSTOM WIDGETS, ADVANCED BLOCK PATTERNS, FLEXIBLE LAYOUT OPTIONS, AMP SUPPORT, and FULL WOOCOMMERCE INTEGRATION, it’s perfect for everything from online newspapers, corporate or NGO sites, and educational or cultural portals to personal blogs, portfolios, and lifestyle magazines. ReviewNews is fully optimized for SEO, CORE WEB VITALS, SPEED, and RESPONSIVE DESIGN, ensuring FAST LOADING and excellent performance on all devices. Built with WCAG ACCESSIBILITY, GDPR COMPLIANCE, and LIGHTWEIGHT, CLEAN CODE, it offers long-term stability and high GOOGLE PAGESPEED SCORES. MULTILINGUAL and RTL READY, with demo content in English, Spanish, German, French, Japanese, Chinese, and Arabic, ReviewNews is a truly GLOBAL, FUTURE-PROOF THEME designed for creators, publishers, and businesses who value STYLE, SCALABILITY, and PERFORMANCE across every market. Explore all features at https://afthemes.com/products/reviewnews",,ne,new,
,AF themes,,ne,new,
,https://www.afthemes.com/,,ne,new,unchanged_like
,Oops! That page can&rsquo;t be found.,,ne,new,
,It looks like nothing was found at this location. Maybe try one of the links below or a search?,,ne,new,
,Dashboard,,ne,new,
,Customize,,ne,new,
,Header Builder,,ne,new,
,Footer Builder,,ne,new,
,Starter Sites,,ne,new,
,Elementor Kits,,ne,new,
,Block Patterns,,ne,new,
,Upgrade to Pro,,ne,new,
,Upgrade Now,,ne,new,
,The Templatespare plugin should be updated to the latest version,,ne,new,
,"Import a Starter Site, Personalize, and Live it in 3 Easy Steps!",,ne,new,
,Blockspare plugin version should be more than %s.,,ne,new,
,"One-click Demo Import, Block Editor Ready, No Code Required! Built with Blockspare.",,ne,new,
,Elespare plugin version should be more than %s.,,ne,new,
,"One-click Import, Header/Footer Builder, Multilingual Support! Powered by Elespare.",,ne,new,
,Are you sure you want to install this plugin?,,ne,new,
,Install Now,,ne,new,
,Activate,,ne,new,
,Activated,,ne,new,
,Get Starter Sites,,ne,new,
,Get Started,,ne,new,
,"The ""Get Started"" action will install/activate the Templatespare and Blockspare plugins for Starter Sites and Templates.",,ne,new,
,By,,ne,new,
,More Details,,ne,new,
,"👋 Welcome, and Thank You!",,ne,new,
,"%s is now active. We're here to help you turn your ideas into a beautiful, professional website — quickly and confidently.",,ne,new,
,🚀 Start With One Click,,ne,new,
,"Choose from 100+ starter sites designed for blogs, magazines, businesses & more.
      Setup is simple — no coding required.",,ne,new,
,View Demos,,ne,new,
,Theme dashboard,,ne,new,
,🤝 We're Here for You,,ne,new,
,Whether you're just starting or customizing your site.,,ne,new,
,Documentation,,ne,new,
,Video Tutorials,,ne,new,
,Support,,ne,new,
,⭐ Rate This Theme,,ne,new,
,"Sorry, you are not allowed to install plugins on this site.",,ne,new,
,"Error - unable to verify nonce, please try again.",,ne,new,
,"Sorry, you are not allowed to activate plugins on this site.",,ne,new,
,One thought on &ldquo;%1$s&rdquo;,,ne,new,
comments title,%1$s thought on &ldquo;%2$s&rdquo;,%1$s thoughts on &ldquo;%2$s&rdquo;,ne,new,
comments title,%1$s thought on &ldquo;%2$s&rdquo;,%1$s thoughts on &ldquo;%2$s&rdquo;,ne,new,
,Comments are closed.,,ne,new,
,%1$s by %2$s.,,ne,new,
,Primary Menu,,ne,new,
,Social Menu,,ne,new,
,Footer Menu,,ne,new,
,Skip to content,,ne,new,
,Open search form,,ne,new,
,"Click the setting <span class=""dashicons dashicons-admin-generic""></span> on each element to customize its settings.",,ne,new,
,Hide builder panel,,ne,new,
,Hide Builder,,ne,new,
,Device view controls,,ne,new,
,Choose an Element,,ne,new,
,Close choose element modal,,ne,new,
,Footer Layout,,ne,new,
,Create dynamic header effortlessly with drag-and-drop builder.,,ne,new,
,Header,,ne,new,
,Create dynamic footer effortlessly with drag-and-drop builder.,,ne,new,
,Footer,,ne,new,
,Enable %s Builder,,ne,new,
,Add Element,,ne,new,
,Remove Element,,ne,new,
,Configure Element,,ne,new,
,Desktop,,ne,new,
,Element Settings,,ne,new,
,close Off-Canvas Navigation,,ne,new,
,Site & Logo,,ne,new,
,Site Identity,,ne,new,
,You can change Site Identity from %s.,,ne,new,
,Promotion,,ne,new,
,Off Canvas,,ne,new,
,Off Canvas Widget Area,,ne,new,
,This widget area is used in the mobile off-canvas panel. %s,,ne,new,
,Manage widgets,,ne,new,
,Primary menu,,ne,new,
,Select Menu,,ne,new,
,You can change Menu from menu panel. %s,,ne,new,
,Manage menu,,ne,new,
,Date,,ne,new,
,Choose date format,,ne,new,
,You can change date from general settings (Settings > General > Date Format). %s,,ne,new,
,Manage Date,,ne,new,
,Top Navigation,,ne,new,
,pro,,ne,new,
,Site Mode,,ne,new,
,Custom HTML,,ne,new,
,HTML Content,,ne,new,
,Search,,ne,new,
,Searc Form,,ne,new,
,Custom Link,,ne,new,
,Custom link,,ne,new,
,live,,ne,new,
,Widget 1,,ne,new,
,Select Widget,,ne,new,
,Widget 2,,ne,new,
,Widget 3,,ne,new,
,Navigation,,ne,new,
,Pro,,ne,new,
,Copyright,,ne,new,
,Add widget to display . %s,,ne,new,
,Beta,,ne,new,
,No menu assigned,,ne,new,
,-- Select --,,ne,new,
,Subscribe,,ne,new,
,Popular Tags,,ne,new,
,Breaking News,,ne,new,
,Posts List Section,,ne,new,
,General,,ne,new,
,Update,,ne,new,
,More,,ne,new,
,Main News,,ne,new,
,Trending Now,,ne,new,
,Editor's Picks,,ne,new,
,Featured Posts,,ne,new,
,Featured Categories,,ne,new,
,Featured Pages,,ne,new,
,Custom Options,,ne,new,
,Post list Section Title %d,,ne,new,
,View More,,ne,new,
,Read More,,ne,new,
,Related Stories,,ne,new,
,You May Have Missed,,ne,new,
,Copyright &copy; {year} All rights reserved.,,ne,new,
,Body Background Color,,ne,new,
,Site Title Size,,ne,new,
,Uppercase Site Title and Tagline,,ne,new,
,Site Title/Tagline Color,,ne,new,
,Header Image Mode,,ne,new,
,Image visibility may vary as per the mode,,ne,new,
,Above Site Title,,ne,new,
,Set as Background,,ne,new,
,Show Full Image (Background),,ne,new,
,Disable Image Tint/Overlay,,ne,new,
,ReviewNews Pro,,ne,new,
,Site Color Mode,,ne,new,
,Light,,ne,new,
,Dark,,ne,new,
,Primary Color Section ,,ne,new,
,Body Background Color (Dark Mode) will be applied for this mode.,,ne,new,
,Body Background Color (Dark Mode),,ne,new,
,Secondary Color Section ,,ne,new,
,Secondary Color,,ne,new,
,Fonts & Typography,,ne,new,
,Font Family Section,,ne,new,
,Fonts Source,,ne,new,
,Theme Fonts,,ne,new,
,System Fonts,,ne,new,
,Font Family,,ne,new,
,Main Banner Options,,ne,new,
,Enable Flash News,,ne,new,
,Section Title ,,ne,new,
,Flash Posts Category,,ne,new,
,Select category to be shown on trending posts ,,ne,new,
,Main Banner,,ne,new,
,Enable Main Banner Section,,ne,new,
,Main Banner Background Image,,ne,new,
,Recommended Size %1$s px X %2$s px,,ne,new,
,Select Main Banner Order,,ne,new,
,Order 1,,ne,new,
,Order 2,,ne,new,
,Order 3,,ne,new,
,Main News Section ,,ne,new,
,Filter Posts By,,ne,new,
,Category,,ne,new,
,Tag,,ne,new,
,Select Category,,ne,new,
,Select category to be shown on main slider section,,ne,new,
,Select Tag,,ne,new,
,Select tag to be shown on main slider section,,ne,new,
,Editor's Picks Section,,ne,new,
,Select,,ne,new,
,Trending Section,,ne,new,
,Comment Count,,ne,new,
,View Count,,ne,new,
,Front-page Options,,ne,new,
,Enable Featured Post Section,,ne,new,
,Select ,,ne,new,
,Select category to be shown on featured section ,,ne,new,
,Posts List,,ne,new,
,Enable Post List Section,,ne,new,
,Section %d,,ne,new,
,Section Title,,ne,new,
,Front-page Layout Settings,,ne,new,
,Front-page Content Display,,ne,new,
,Select frontpage content display,,ne,new,
,Front-page Widgets,,ne,new,
,Page Contents & Front-page Widgets,,ne,new,
,Front-page Content Alignment,,ne,new,
,Select frontpage content alignment,,ne,new,
,Home Content - Home Sidebar,,ne,new,
,Home Sidebar - Home Content,,ne,new,
,Only Home Content,,ne,new,
,Header Options,,ne,new,
,Header Settings,,ne,new,
,Site Mode Switch,,ne,new,
,Enable,,ne,new,
,Disable,,ne,new,
,Disable Sticky Header,,ne,new,
,Sticky header works only with builder at bottom.,,ne,new,
,Top Header Section,,ne,new,
,Show Top Header,,ne,new,
,Header Advertisement,,ne,new,
,Header Section Advertisement,,ne,new,
,URL Link,,ne,new,
,Theme Options,,ne,new,
,Breadcrumb Options,,ne,new,
,Show breadcrumbs,,ne,new,
,Select Breadcrumbs,,ne,new,
,Please ensure that you have enabled the plugin's breadcrumbs before choosing other than Default,,ne,new,
,Default,,ne,new,
,Yoast SEO,,ne,new,unchanged_like
,Rank Math,,ne,new,
,NavXT,,ne,new,unchanged_like
,Global Settings,,ne,new,
,Enable Preloader,,ne,new,
,Disable Emoji Script,,ne,new,
,GDPR friendly & better performance,,ne,new,
,Global Content Alignment,,ne,new,
,Content - Primary sidebar,,ne,new,
,Primary sidebar - Content,,ne,new,
,Full width content,,ne,new,
,Also Show Content Image in Archive,,ne,new,
,If there is no Post Featured image set,,ne,new,
,Enable ,,ne,new,
,Image Lazy Loading,,ne,new,
,Set for better performance,,ne,new,
,Image Async Decoding,,ne,new,
,Set to enhance rendering speed,,ne,new,
,Scroll to Top Position,,ne,new,
,Right,,ne,new,
,Left,,ne,new,
,Categories Settings,,ne,new,
,Post Categories,,ne,new,
,Show,,ne,new,
,Hide,,ne,new,
,Categories to be displayed,,ne,new,
,Show All,,ne,new,
,Top One Category,,ne,new,
,Number of Categories,,ne,new,
,Author and Date Settings,,ne,new,
,Author Icon,,ne,new,
,Show Gravatar,,ne,new,
,Show Icon,,ne,new,
,None,,ne,new,
,Date Format,,ne,new,
,WordPress Default Date Format,,ne,new,
,Ago Date Format,,ne,new,
,Minutes Read Count,,ne,new,
,Excerpt Settings,,ne,new,
,Global Excerpt Read More,,ne,new,
,Primary Menu Section,,ne,new,
,Show Primary Menu Description,,ne,new,
,Enable Custom Menu Section,,ne,new,
,Title,,ne,new,
,Link,,ne,new,
,Single Post,,ne,new,
,Show Featured Image,,ne,new,
