msgctxt,msgid,msgid_plural,target_lang,status,issues
,ReviewNews,,pl,new,
,https://afthemes.com/products/reviewnews/,,pl,new,unchanged_like
,"ReviewNews is a dynamic, ultra-fast, and highly versatile WordPress theme made for News, Magazine, Blog, Business, and eCommerce websites across the world. With its powerful HEADER & FOOTER BUILDER that works seamlessly with the Block Editor, GUTENBERG, ELEMENTOR, BRIZY, DIVI, and other popular page builders, you can design PROFESSIONAL LAYOUTS easily using drag and drop—no coding required. Packed with 100+ STARTER SITES, 30+ CUSTOM WIDGETS, ADVANCED BLOCK PATTERNS, FLEXIBLE LAYOUT OPTIONS, AMP SUPPORT, and FULL WOOCOMMERCE INTEGRATION, it’s perfect for everything from online newspapers, corporate or NGO sites, and educational or cultural portals to personal blogs, portfolios, and lifestyle magazines. ReviewNews is fully optimized for SEO, CORE WEB VITALS, SPEED, and RESPONSIVE DESIGN, ensuring FAST LOADING and excellent performance on all devices. Built with WCAG ACCESSIBILITY, GDPR COMPLIANCE, and LIGHTWEIGHT, CLEAN CODE, it offers long-term stability and high GOOGLE PAGESPEED SCORES. MULTILINGUAL and RTL READY, with demo content in English, Spanish, German, French, Japanese, Chinese, and Arabic, ReviewNews is a truly GLOBAL, FUTURE-PROOF THEME designed for creators, publishers, and businesses who value STYLE, SCALABILITY, and PERFORMANCE across every market. Explore all features at https://afthemes.com/products/reviewnews",,pl,new,
,AF themes,,pl,new,
,https://www.afthemes.com/,,pl,new,unchanged_like
,Oops! That page can&rsquo;t be found.,,pl,new,
,It looks like nothing was found at this location. Maybe try one of the links below or a search?,,pl,new,
,Dashboard,,pl,new,
,Customize,,pl,new,
,Header Builder,,pl,new,
,Footer Builder,,pl,new,
,Starter Sites,,pl,new,
,Elementor Kits,,pl,new,
,Block Patterns,,pl,new,
,Upgrade to Pro,,pl,new,
,Upgrade Now,,pl,new,
,The Templatespare plugin should be updated to the latest version,,pl,new,
,"Import a Starter Site, Personalize, and Live it in 3 Easy Steps!",,pl,new,
,Blockspare plugin version should be more than %s.,,pl,new,
,"One-click Demo Import, Block Editor Ready, No Code Required! Built with Blockspare.",,pl,new,
,Elespare plugin version should be more than %s.,,pl,new,
,"One-click Import, Header/Footer Builder, Multilingual Support! Powered by Elespare.",,pl,new,
,Are you sure you want to install this plugin?,,pl,new,
,Install Now,,pl,new,
,Activate,,pl,new,
,Activated,,pl,new,
,Get Starter Sites,,pl,new,
,Get Started,,pl,new,
,"The ""Get Started"" action will install/activate the Templatespare and Blockspare plugins for Starter Sites and Templates.",,pl,new,
,By,,pl,new,
,More Details,,pl,new,
,"👋 Welcome, and Thank You!",,pl,new,
,"%s is now active. We're here to help you turn your ideas into a beautiful, professional website — quickly and confidently.",,pl,new,
,🚀 Start With One Click,,pl,new,
,"Choose from 100+ starter sites designed for blogs, magazines, businesses & more.
      Setup is simple — no coding required.",,pl,new,
,View Demos,,pl,new,
,Theme dashboard,,pl,new,
,🤝 We're Here for You,,pl,new,
,Whether you're just starting or customizing your site.,,pl,new,
,Documentation,,pl,new,
,Video Tutorials,,pl,new,
,Support,,pl,new,
,⭐ Rate This Theme,,pl,new,
,"Sorry, you are not allowed to install plugins on this site.",,pl,new,
,"Error - unable to verify nonce, please try again.",,pl,new,
,"Sorry, you are not allowed to activate plugins on this site.",,pl,new,
,One thought on &ldquo;%1$s&rdquo;,,pl,new,
comments title,%1$s thought on &ldquo;%2$s&rdquo;,%1$s thoughts on &ldquo;%2$s&rdquo;,pl,new,
comments title,%1$s thought on &ldquo;%2$s&rdquo;,%1$s thoughts on &ldquo;%2$s&rdquo;,pl,new,
comments title,%1$s thought on &ldquo;%2$s&rdquo;,%1$s thoughts on &ldquo;%2$s&rdquo;,pl,new,
,Comments are closed.,,pl,new,
,%1$s by %2$s.,,pl,new,
,Primary Menu,,pl,new,
,Social Menu,,pl,new,
,Footer Menu,,pl,new,
,Skip to content,,pl,new,
,Open search form,,pl,new,
,"Click the setting <span class=""dashicons dashicons-admin-generic""></span> on each element to customize its settings.",,pl,new,
,Hide builder panel,,pl,new,
,Hide Builder,,pl,new,
,Device view controls,,pl,new,
,Choose an Element,,pl,new,
,Close choose element modal,,pl,new,
,Footer Layout,,pl,new,
,Create dynamic header effortlessly with drag-and-drop builder.,,pl,new,
,Header,,pl,new,
,Create dynamic footer effortlessly with drag-and-drop builder.,,pl,new,
,Footer,,pl,new,
,Enable %s Builder,,pl,new,
,Add Element,,pl,new,
,Remove Element,,pl,new,
,Configure Element,,pl,new,
,Desktop,,pl,new,
,Element Settings,,pl,new,
,close Off-Canvas Navigation,,pl,new,
,Site & Logo,,pl,new,
,Site Identity,,pl,new,
,You can change Site Identity from %s.,,pl,new,
,Promotion,,pl,new,
,Off Canvas,,pl,new,
,Off Canvas Widget Area,,pl,new,
,This widget area is used in the mobile off-canvas panel. %s,,pl,new,
,Manage widgets,,pl,new,
,Primary menu,,pl,new,
,Select Menu,,pl,new,
,You can change Menu from menu panel. %s,,pl,new,
,Manage menu,,pl,new,
,Date,,pl,new,
,Choose date format,,pl,new,
,You can change date from general settings (Settings > General > Date Format). %s,,pl,new,
,Manage Date,,pl,new,
,Top Navigation,,pl,new,
,pro,,pl,new,
,Site Mode,,pl,new,
,Custom HTML,,pl,new,
,HTML Content,,pl,new,
,Search,,pl,new,
,Searc Form,,pl,new,
,Custom Link,,pl,new,
,Custom link,,pl,new,
,live,,pl,new,
,Widget 1,,pl,new,
,Select Widget,,pl,new,
,Widget 2,,pl,new,
,Widget 3,,pl,new,
,Navigation,,pl,new,
,Pro,,pl,new,
,Copyright,,pl,new,
,Add widget to display . %s,,pl,new,
,Beta,,pl,new,unchanged_like
,No menu assigned,,pl,new,
,-- Select --,,pl,new,
,Subscribe,,pl,new,
,Popular Tags,,pl,new,
,Breaking News,,pl,new,
,Posts List Section,,pl,new,
,General,,pl,new,
,Update,,pl,new,
,More,,pl,new,
,Main News,,pl,new,
,Trending Now,,pl,new,
,Editor's Picks,,pl,new,
,Featured Posts,,pl,new,
,Featured Categories,,pl,new,
,Featured Pages,,pl,new,
,Custom Options,,pl,new,
,Post list Section Title %d,,pl,new,
,View More,,pl,new,
,Read More,,pl,new,
,Related Stories,,pl,new,
,You May Have Missed,,pl,new,
,Copyright &copy; {year} All rights reserved.,,pl,new,
,Body Background Color,,pl,new,
,Site Title Size,,pl,new,
,Uppercase Site Title and Tagline,,pl,new,
,Site Title/Tagline Color,,pl,new,
,Header Image Mode,,pl,new,
,Image visibility may vary as per the mode,,pl,new,
,Above Site Title,,pl,new,
,Set as Background,,pl,new,
,Show Full Image (Background),,pl,new,
,Disable Image Tint/Overlay,,pl,new,
,ReviewNews Pro,,pl,new,
,Site Color Mode,,pl,new,
,Light,,pl,new,
,Dark,,pl,new,
,Primary Color Section ,,pl,new,
,Body Background Color (Dark Mode) will be applied for this mode.,,pl,new,
,Body Background Color (Dark Mode),,pl,new,
,Secondary Color Section ,,pl,new,
,Secondary Color,,pl,new,
,Fonts & Typography,,pl,new,
,Font Family Section,,pl,new,
,Fonts Source,,pl,new,
,Theme Fonts,,pl,new,
,System Fonts,,pl,new,
,Font Family,,pl,new,
,Main Banner Options,,pl,new,
,Enable Flash News,,pl,new,
,Section Title ,,pl,new,
,Flash Posts Category,,pl,new,
,Select category to be shown on trending posts ,,pl,new,
,Main Banner,,pl,new,
,Enable Main Banner Section,,pl,new,
,Main Banner Background Image,,pl,new,
,Recommended Size %1$s px X %2$s px,,pl,new,
,Select Main Banner Order,,pl,new,
,Order 1,,pl,new,
