msgctxt,msgid,msgid_plural,target_lang,status,issues
,BroadNews,,is,unchanged,unchanged_like
,https://afthemes.com/products/broadnews/,,is,unchanged,unchanged_like
,"BroadNews is a versatile WordPress theme designed for news, blogs, and magazines. The theme has a number of free starter sites that may be easily integrated to create a superb news center. The theme is fully widgetized, with 7+ unique widgets and 8+ widget areas that allow users to tailor site content. It also has a light and dark color mode for browsing articles and blog posts in a trendy way. It also contains a number of essential customizer options for constructing a visually beautiful news site. You may configure it whatever you want and preview how it looks before making any changes with the live customizer. It supports Gutenberg blocks, RTL, and the WooCommerce plugin, which allows you to combine an online store. The theme is suitable for use on a news, journal, magazine, publication, or review website, as well as for blogging. It's well-designed to help the website rank higher in search engines, and users will receive fantastic support from the team if they have any problems utilizing it.",,is,unchanged,
,AF themes,,is,unchanged,
,https://www.afthemes.com/,,is,unchanged,unchanged_like
,Oops! That page can&rsquo;t be found.,,is,unchanged,
,It looks like nothing was found at this location. Maybe try one of the links below or a search?,,is,unchanged,
,Dashboard,,is,unchanged,
,Customize,,is,unchanged,
,Starter Sites,,is,unchanged,
,Elementor Kits,,is,unchanged,
,Block Patterns,,is,unchanged,
,Upgrade to Pro,,is,unchanged,
,Upgrade Now,,is,unchanged,
,The Templatespare plugin should be updated to the latest version,,is,unchanged,
,"Import a Starter Site, Personalize, and Live it in 3 Easy Steps!",,is,unchanged,
,Blockspare plugin version should be more than %s.,,is,unchanged,
,"One-click Demo Import, Block Editor Ready, No Code Required! Built with Blockspare.",,is,unchanged,
,Elespare plugin version should be more than %s.,,is,unchanged,
,"One-click Import, Header/Footer Builder, Multilingual Support! Powered by Elespare.",,is,unchanged,
,Are you sure you want to install this plugin?,,is,unchanged,
,Install Now,,is,unchanged,
,Activate,,is,unchanged,
,Activated,,is,unchanged,
,Get Starter Sites,,is,unchanged,
,Get Started,,is,unchanged,
,"The ""Get Started"" action will install/activate the Templatespare and Blockspare plugins for Starter Sites and Templates.",,is,unchanged,
,By,,is,unchanged,unchanged_like
,More Details,,is,unchanged,
,"👋 Welcome, and Thank You!",,is,unchanged,
