msgctxt,msgid,msgid_plural,target_lang,status,issues
,BroadNews,,ru,unchanged,unchanged_like
,https://afthemes.com/products/broadnews/,,ru,unchanged,unchanged_like
,"BroadNews is a versatile WordPress theme designed for news, blogs, and magazines. The theme has a number of free starter sites that may be easily integrated to create a superb news center. The theme is fully widgetized, with 7+ unique widgets and 8+ widget areas that allow users to tailor site content. It also has a light and dark color mode for browsing articles and blog posts in a trendy way. It also contains a number of essential customizer options for constructing a visually beautiful news site. You may configure it whatever you want and preview how it looks before making any changes with the live customizer. It supports Gutenberg blocks, RTL, and the WooCommerce plugin, which allows you to combine an online store. The theme is suitable for use on a news, journal, magazine, publication, or review website, as well as for blogging. It's well-designed to help the website rank higher in search engines, and users will receive fantastic support from the team if they have any problems utilizing it.",,ru,unchanged,
,AF themes,,ru,unchanged,
,https://www.afthemes.com/,,ru,unchanged,unchanged_like
,Oops! That page can&rsquo;t be found.,,ru,unchanged,
,It looks like nothing was found at this location. Maybe try one of the links below or a search?,,ru,unchanged,
,Dashboard,,ru,unchanged,
,Customize,,ru,unchanged,
,Starter Sites,,ru,unchanged,
,Elementor Kits,,ru,unchanged,
,Block Patterns,,ru,unchanged,
,Upgrade to Pro,,ru,unchanged,
,Upgrade Now,,ru,unchanged,
,The Templatespare plugin should be updated to the latest version,,ru,unchanged,
,"Import a Starter Site, Personalize, and Live it in 3 Easy Steps!",,ru,unchanged,
,Blockspare plugin version should be more than %s.,,ru,unchanged,
,"One-click Demo Import, Block Editor Ready, No Code Required! Built with Blockspare.",,ru,unchanged,
,Elespare plugin version should be more than %s.,,ru,unchanged,
,"One-click Import, Header/Footer Builder, Multilingual Support! Powered by Elespare.",,ru,unchanged,
,Are you sure you want to install this plugin?,,ru,unchanged,
,Install Now,,ru,unchanged,
,Activate,,ru,unchanged,
,Activated,,ru,unchanged,
,Get Starter Sites,,ru,unchanged,
,Get Started,,ru,unchanged,
,"The ""Get Started"" action will install/activate the Templatespare and Blockspare plugins for Starter Sites and Templates.",,ru,unchanged,
,By,,ru,unchanged,
,More Details,,ru,unchanged,
,"👋 Welcome, and Thank You!",,ru,unchanged,
,"%s  is now active. We're here to help you turn your ideas into a beautiful, professional website — quickly and confidently.",,ru,unchanged,
,🚀 Start With One Click,,ru,unchanged,
,"Choose from 100+ starter sites designed for blogs, magazines, businesses & more.
      Setup is simple — no coding required.",,ru,unchanged,
,View Demos,,ru,unchanged,
,Theme dashboard,,ru,unchanged,
,🤝 We're Here for You,,ru,unchanged,
,Whether you're just starting or customizing your site,,ru,unchanged,
,Documentation,,ru,unchanged,
,Videos,,ru,unchanged,
,Support,,ru,unchanged,
,⭐ Rate This Theme,,ru,unchanged,
,"Sorry, you are not allowed to install plugins on this site.",,ru,unchanged,
,"Error - unable to verify nonce, please try again.",,ru,unchanged,
,"Sorry, you are not allowed to activate plugins on this site.",,ru,unchanged,
,One thought on &ldquo;%1$s&rdquo;,,ru,unchanged,
comments title,%1$s thought on &ldquo;%2$s&rdquo;,%1$s thoughts on &ldquo;%2$s&rdquo;,ru,unchanged,
comments title,%1$s thought on &ldquo;%2$s&rdquo;,%1$s thoughts on &ldquo;%2$s&rdquo;,ru,unchanged,
comments title,%1$s thought on &ldquo;%2$s&rdquo;,%1$s thoughts on &ldquo;%2$s&rdquo;,ru,unchanged,
,Comments are closed.,,ru,unchanged,
,%1$s by %2$s.,,ru,unchanged,
,Primary Menu,,ru,unchanged,
,Social Menu,,ru,unchanged,
,Footer Menu,,ru,unchanged,
%s font: on or off,on,,ru,unchanged,
,Skip to content,,ru,unchanged,
,-- Select --,,ru,unchanged,
,Subscribe,,ru,unchanged,
,Trending,,ru,unchanged,
,Exclusive News,,ru,unchanged,
,Must Read,,ru,unchanged,
,Main News,,ru,unchanged,
,Trending Now,,ru,unchanged,
,Editor's Picks,,ru,unchanged,
,Trending Story,,ru,unchanged,
,Featured News,,ru,unchanged,
,Read More,,ru,unchanged,
,Related News,,ru,unchanged,
,You may have missed,,ru,unchanged,
,Copyright &copy; All rights reserved.,,ru,unchanged,unchanged_like
,Background Color,,ru,unchanged,
,Site Title Size,,ru,unchanged,
,Uppercase Site Title and Tagline,,ru,unchanged,
,Site Title/Tagline Color,,ru,unchanged,
,Header Image Mode,,ru,unchanged,
,Image visibility may vary as per the mode,,ru,unchanged,
,Set as Background,,ru,unchanged,
,Show Full Image,,ru,unchanged,
,Enable Image Tint/Overlay,,ru,unchanged,
,BroadNews Pro,,ru,unchanged,
,Site Title/Tagline Color (Dark Mode),,ru,unchanged,
,Site Color Mode,,ru,unchanged,
,Light,,ru,unchanged,
,Dark,,ru,unchanged,
,Primary Color Section ,,ru,unchanged,
,Background Color (Dark Mode),,ru,unchanged,
,Background Color (Dark Mode) will be applied for this mode.,,ru,unchanged,
,Primary Color,,ru,unchanged,
,Secondary Color Section ,,ru,unchanged,
,Secondary Color,,ru,unchanged,
,Primary Navigation Section ,,ru,unchanged,
,Category Color Section ,,ru,unchanged,
,Category Colors,,ru,unchanged,
,Category %d Background,,ru,unchanged,
,Fonts & Typography,,ru,unchanged,
,Font Family Section,,ru,unchanged,
,Site Title Font,,ru,unchanged,
,Primary Font,,ru,unchanged,
,Secondary Font,,ru,unchanged,
,Main Banner Options,,ru,unchanged,
,Main Banner,,ru,unchanged,
,Enable Main Banner Section,,ru,unchanged,
,Main Banner Background Image,,ru,unchanged,
,Recommended Size %1$s px X %2$s px,,ru,unchanged,
,Select Main Banner Order,,ru,unchanged,
,Order 1,,ru,unchanged,
,Order 2,,ru,unchanged,
,Order 3,,ru,unchanged,
,Order 4,,ru,unchanged,
,Main News Section ,,ru,unchanged,
,Filter Posts By,,ru,unchanged,
,Category,,ru,unchanged,
,Tag,,ru,unchanged,
,Select Category,,ru,unchanged,
,Select category to be shown on main slider section,,ru,unchanged,
,Select Tag,,ru,unchanged,
,Select tag to be shown on main slider section,,ru,unchanged,
,Enable Autoplay,,ru,unchanged,
,Editor's Picks Section,,ru,unchanged,
,Section Title ,,ru,unchanged,
,Trending Section,,ru,unchanged,
,Popular Tags,,ru,unchanged,
,Enable Trending Tags,,ru,unchanged,
,Order Tags By,,ru,unchanged,
,Popularity,,ru,unchanged,
,Latest,,ru,unchanged,
,Enable Exclusive News,,ru,unchanged,
,Flash Posts Category,,ru,unchanged,
,Select category to be shown on trending posts ,,ru,unchanged,
,Frontpage Options,,ru,unchanged,
,Posts Carousel,,ru,unchanged,
,Enable Posts Carousel Section,,ru,unchanged,
,Select ,,ru,unchanged,
,Select category to be shown on featured section ,,ru,unchanged,
,Frontpage Layout Settings,,ru,unchanged,
,Frontpage Content Alignment,,ru,unchanged,
,Select frontpage content alignment,,ru,unchanged,
,Home Content - Home Sidebar,,ru,unchanged,
,Home Sidebar - Home Content,,ru,unchanged,
,Only Home Content,,ru,unchanged,
,Header Options,,ru,unchanged,
,Header Settings,,ru,unchanged,
,Primary Menu Desc (Badge),,ru,unchanged,
,Enable,,ru,unchanged,
,Disable,,ru,unchanged,
,Site Mode Switch,,ru,unchanged,
,Top Header Section,,ru,unchanged,
,Show Top Header,,ru,unchanged,
,Show Social Menu,,ru,unchanged,
,Show Date,,ru,unchanged,
,Show Time,,ru,unchanged,
,Time Format,,ru,unchanged,
,12 hours,,ru,unchanged,
,24 hours,,ru,unchanged,
,From WordPress Settings,,ru,unchanged,
,Header Advertisement,,ru,unchanged,
,Header Section Advertisement,,ru,unchanged,
,URL Link,,ru,unchanged,
,Theme Options,,ru,unchanged,
,Site Layout Mode,,ru,unchanged,
,Enable Gaps Around,,ru,unchanged,
,Breadcrumb Options,,ru,unchanged,
,Show breadcrumbs,,ru,unchanged,
,Select Breadcrumbs,,ru,unchanged,
