msgctxt,msgid,msgid_plural,target_lang,status,issues
,BroadNews,,sv,unchanged,unchanged_like
,https://afthemes.com/products/broadnews/,,sv,unchanged,unchanged_like
,"BroadNews is a versatile WordPress theme designed for news, blogs, and magazines. The theme has a number of free starter sites that may be easily integrated to create a superb news center. The theme is fully widgetized, with 7+ unique widgets and 8+ widget areas that allow users to tailor site content. It also has a light and dark color mode for browsing articles and blog posts in a trendy way. It also contains a number of essential customizer options for constructing a visually beautiful news site. You may configure it whatever you want and preview how it looks before making any changes with the live customizer. It supports Gutenberg blocks, RTL, and the WooCommerce plugin, which allows you to combine an online store. The theme is suitable for use on a news, journal, magazine, publication, or review website, as well as for blogging. It's well-designed to help the website rank higher in search engines, and users will receive fantastic support from the team if they have any problems utilizing it.",,sv,unchanged,
,AF themes,,sv,unchanged,
,https://www.afthemes.com/,,sv,unchanged,unchanged_like
,Oops! That page can&rsquo;t be found.,,sv,unchanged,
,It looks like nothing was found at this location. Maybe try one of the links below or a search?,,sv,unchanged,
,Dashboard,,sv,unchanged,
,Customize,,sv,unchanged,
,Starter Sites,,sv,unchanged,
,Elementor Kits,,sv,unchanged,
,Block Patterns,,sv,unchanged,
,Upgrade to Pro,,sv,unchanged,
,Upgrade Now,,sv,unchanged,
,The Templatespare plugin should be updated to the latest version,,sv,unchanged,
,"Import a Starter Site, Personalize, and Live it in 3 Easy Steps!",,sv,unchanged,
,Blockspare plugin version should be more than %s.,,sv,unchanged,
,"One-click Demo Import, Block Editor Ready, No Code Required! Built with Blockspare.",,sv,unchanged,
,Elespare plugin version should be more than %s.,,sv,unchanged,
,"One-click Import, Header/Footer Builder, Multilingual Support! Powered by Elespare.",,sv,unchanged,
,Are you sure you want to install this plugin?,,sv,unchanged,
,Install Now,,sv,unchanged,
,Activate,,sv,unchanged,
,Activated,,sv,unchanged,
,Get Starter Sites,,sv,unchanged,
,Get Started,,sv,unchanged,
,"The ""Get Started"" action will install/activate the Templatespare and Blockspare plugins for Starter Sites and Templates.",,sv,unchanged,
,By,,sv,unchanged,
,More Details,,sv,unchanged,
,"👋 Welcome, and Thank You!",,sv,unchanged,
,"%s  is now active. We're here to help you turn your ideas into a beautiful, professional website — quickly and confidently.",,sv,unchanged,
,🚀 Start With One Click,,sv,unchanged,
,"Choose from 100+ starter sites designed for blogs, magazines, businesses & more.
      Setup is simple — no coding required.",,sv,unchanged,
,View Demos,,sv,unchanged,
,Theme dashboard,,sv,unchanged,
,🤝 We're Here for You,,sv,unchanged,
,Whether you're just starting or customizing your site,,sv,unchanged,
,Documentation,,sv,unchanged,
,Videos,,sv,unchanged,
,Support,,sv,unchanged,
,⭐ Rate This Theme,,sv,unchanged,
,"Sorry, you are not allowed to install plugins on this site.",,sv,unchanged,
,"Error - unable to verify nonce, please try again.",,sv,unchanged,
,"Sorry, you are not allowed to activate plugins on this site.",,sv,unchanged,
,One thought on &ldquo;%1$s&rdquo;,,sv,unchanged,
comments title,%1$s thought on &ldquo;%2$s&rdquo;,%1$s thoughts on &ldquo;%2$s&rdquo;,sv,unchanged,
comments title,%1$s thought on &ldquo;%2$s&rdquo;,%1$s thoughts on &ldquo;%2$s&rdquo;,sv,unchanged,
,Comments are closed.,,sv,unchanged,
,%1$s by %2$s.,,sv,unchanged,
,Primary Menu,,sv,unchanged,
,Social Menu,,sv,unchanged,
,Footer Menu,,sv,unchanged,
%s font: on or off,on,,sv,unchanged,
,Skip to content,,sv,unchanged,
,-- Select --,,sv,unchanged,
,Subscribe,,sv,unchanged,
,Trending,,sv,unchanged,
,Exclusive News,,sv,unchanged,
,Must Read,,sv,unchanged,
,Main News,,sv,unchanged,
,Trending Now,,sv,unchanged,
,Editor's Picks,,sv,unchanged,
,Trending Story,,sv,unchanged,
,Featured News,,sv,unchanged,
,Read More,,sv,unchanged,
,Related News,,sv,unchanged,
,You may have missed,,sv,unchanged,
,Copyright &copy; All rights reserved.,,sv,unchanged,unchanged_like
,Background Color,,sv,unchanged,
,Site Title Size,,sv,unchanged,
,Uppercase Site Title and Tagline,,sv,unchanged,
,Site Title/Tagline Color,,sv,unchanged,
,Header Image Mode,,sv,unchanged,unchanged_like
,Image visibility may vary as per the mode,,sv,unchanged,
,Set as Background,,sv,unchanged,
,Show Full Image,,sv,unchanged,
,Enable Image Tint/Overlay,,sv,unchanged,
,BroadNews Pro,,sv,unchanged,unchanged_like
