msgctxt,msgid,msgid_plural,target_lang,status,issues
,BroadNews,,tl,unchanged,unchanged_like
,https://afthemes.com/products/broadnews/,,tl,unchanged,unchanged_like
,"BroadNews is a versatile WordPress theme designed for news, blogs, and magazines. The theme has a number of free starter sites that may be easily integrated to create a superb news center. The theme is fully widgetized, with 7+ unique widgets and 8+ widget areas that allow users to tailor site content. It also has a light and dark color mode for browsing articles and blog posts in a trendy way. It also contains a number of essential customizer options for constructing a visually beautiful news site. You may configure it whatever you want and preview how it looks before making any changes with the live customizer. It supports Gutenberg blocks, RTL, and the WooCommerce plugin, which allows you to combine an online store. The theme is suitable for use on a news, journal, magazine, publication, or review website, as well as for blogging. It's well-designed to help the website rank higher in search engines, and users will receive fantastic support from the team if they have any problems utilizing it.",,tl,unchanged,
,AF themes,,tl,unchanged,
,https://www.afthemes.com/,,tl,unchanged,unchanged_like
,Oops! That page can&rsquo;t be found.,,tl,unchanged,
,It looks like nothing was found at this location. Maybe try one of the links below or a search?,,tl,unchanged,
,Dashboard,,tl,unchanged,unchanged_like
,Customize,,tl,unchanged,
,Starter Sites,,tl,unchanged,
,Elementor Kits,,tl,unchanged,unchanged_like
,Block Patterns,,tl,unchanged,
,Upgrade to Pro,,tl,unchanged,
,Upgrade Now,,tl,unchanged,
,The Templatespare plugin should be updated to the latest version,,tl,unchanged,
,"Import a Starter Site, Personalize, and Live it in 3 Easy Steps!",,tl,unchanged,
,Blockspare plugin version should be more than %s.,,tl,unchanged,placeholders
,"One-click Demo Import, Block Editor Ready, No Code Required! Built with Blockspare.",,tl,unchanged,
,Elespare plugin version should be more than %s.,,tl,unchanged,
,"One-click Import, Header/Footer Builder, Multilingual Support! Powered by Elespare.",,tl,unchanged,
,Are you sure you want to install this plugin?,,tl,unchanged,
,Install Now,,tl,unchanged,
,Activate,,tl,unchanged,
,Activated,,tl,unchanged,
,Get Starter Sites,,tl,unchanged,
,Get Started,,tl,unchanged,
,"The ""Get Started"" action will install/activate the Templatespare and Blockspare plugins for Starter Sites and Templates.",,tl,unchanged,
,By,,tl,unchanged,
,More Details,,tl,unchanged,
,"👋 Welcome, and Thank You!",,tl,unchanged,
,"%s  is now active. We're here to help you turn your ideas into a beautiful, professional website — quickly and confidently.",,tl,unchanged,
,🚀 Start With One Click,,tl,unchanged,
,"Choose from 100+ starter sites designed for blogs, magazines, businesses & more.
      Setup is simple — no coding required.",,tl,unchanged,
,View Demos,,tl,unchanged,
,Theme dashboard,,tl,unchanged,
,🤝 We're Here for You,,tl,unchanged,
,Whether you're just starting or customizing your site,,tl,unchanged,
,Documentation,,tl,unchanged,
,Videos,,tl,unchanged,
,Support,,tl,unchanged,
,⭐ Rate This Theme,,tl,unchanged,
,"Sorry, you are not allowed to install plugins on this site.",,tl,unchanged,
,"Error - unable to verify nonce, please try again.",,tl,unchanged,
,"Sorry, you are not allowed to activate plugins on this site.",,tl,unchanged,
,One thought on &ldquo;%1$s&rdquo;,,tl,unchanged,placeholders
comments title,%1$s thought on &ldquo;%2$s&rdquo;,%1$s thoughts on &ldquo;%2$s&rdquo;,tl,unchanged,placeholders
comments title,%1$s thought on &ldquo;%2$s&rdquo;,%1$s thoughts on &ldquo;%2$s&rdquo;,tl,unchanged,
,Comments are closed.,,tl,unchanged,
,%1$s by %2$s.,,tl,unchanged,placeholders
,Primary Menu,,tl,unchanged,
,Social Menu,,tl,unchanged,
,Footer Menu,,tl,unchanged,
%s font: on or off,on,,tl,unchanged,
,Skip to content,,tl,unchanged,
,-- Select --,,tl,unchanged,
,Subscribe,,tl,unchanged,
,Trending,,tl,unchanged,unchanged_like
,Exclusive News,,tl,unchanged,
,Must Read,,tl,unchanged,
,Main News,,tl,unchanged,
,Trending Now,,tl,unchanged,
,Editor's Picks,,tl,unchanged,
,Trending Story,,tl,unchanged,unchanged_like
,Featured News,,tl,unchanged,
,Read More,,tl,unchanged,
,Related News,,tl,unchanged,
,You may have missed,,tl,unchanged,
,Copyright &copy; All rights reserved.,,tl,unchanged,unchanged_like
,Background Color,,tl,unchanged,
,Site Title Size,,tl,unchanged,
,Uppercase Site Title and Tagline,,tl,unchanged,
,Site Title/Tagline Color,,tl,unchanged,
,Header Image Mode,,tl,unchanged,
,Image visibility may vary as per the mode,,tl,unchanged,
,Set as Background,,tl,unchanged,
,Show Full Image,,tl,unchanged,
,Enable Image Tint/Overlay,,tl,unchanged,
,BroadNews Pro,,tl,unchanged,unchanged_like
,Site Title/Tagline Color (Dark Mode),,tl,unchanged,
,Site Color Mode,,tl,unchanged,
,Light,,tl,unchanged,
,Dark,,tl,unchanged,
,Primary Color Section ,,tl,unchanged,
,Background Color (Dark Mode),,tl,unchanged,
,Background Color (Dark Mode) will be applied for this mode.,,tl,unchanged,
,Primary Color,,tl,unchanged,
,Secondary Color Section ,,tl,unchanged,
,Secondary Color,,tl,unchanged,
,Primary Navigation Section ,,tl,unchanged,
,Category Color Section ,,tl,unchanged,
,Category Colors,,tl,unchanged,
,Category %d Background,,tl,unchanged,placeholders
,Fonts & Typography,,tl,unchanged,
,Font Family Section,,tl,unchanged,
,Site Title Font,,tl,unchanged,
,Primary Font,,tl,unchanged,
,Secondary Font,,tl,unchanged,
,Main Banner Options,,tl,unchanged,
,Main Banner,,tl,unchanged,
,Enable Main Banner Section,,tl,unchanged,
,Main Banner Background Image,,tl,unchanged,
,Recommended Size %1$s px X %2$s px,,tl,unchanged,
,Select Main Banner Order,,tl,unchanged,
,Order 1,,tl,unchanged,unchanged_like
,Order 2,,tl,unchanged,unchanged_like
,Order 3,,tl,unchanged,unchanged_like
,Order 4,,tl,unchanged,unchanged_like
,Main News Section ,,tl,unchanged,
,Filter Posts By,,tl,unchanged,
,Category,,tl,unchanged,
,Tag,,tl,unchanged,unchanged_like
,Select Category,,tl,unchanged,
,Select category to be shown on main slider section,,tl,unchanged,
,Select Tag,,tl,unchanged,
,Select tag to be shown on main slider section,,tl,unchanged,
,Enable Autoplay,,tl,unchanged,
,Editor's Picks Section,,tl,unchanged,
,Section Title ,,tl,unchanged,
,Trending Section,,tl,unchanged,
,Popular Tags,,tl,unchanged,
,Enable Trending Tags,,tl,unchanged,
,Order Tags By,,tl,unchanged,
,Popularity,,tl,unchanged,
,Latest,,tl,unchanged,
,Enable Exclusive News,,tl,unchanged,
,Flash Posts Category,,tl,unchanged,
,Select category to be shown on trending posts ,,tl,unchanged,
,Frontpage Options,,tl,unchanged,
,Posts Carousel,,tl,unchanged,
,Enable Posts Carousel Section,,tl,unchanged,
,Select ,,tl,unchanged,
,Select category to be shown on featured section ,,tl,unchanged,
,Frontpage Layout Settings,,tl,unchanged,
,Frontpage Content Alignment,,tl,unchanged,
,Select frontpage content alignment,,tl,unchanged,
,Home Content - Home Sidebar,,tl,unchanged,
,Home Sidebar - Home Content,,tl,unchanged,
,Only Home Content,,tl,unchanged,
,Header Options,,tl,unchanged,
,Header Settings,,tl,unchanged,
,Primary Menu Desc (Badge),,tl,unchanged,
,Enable,,tl,unchanged,
,Disable,,tl,unchanged,
,Site Mode Switch,,tl,unchanged,
,Top Header Section,,tl,unchanged,
,Show Top Header,,tl,unchanged,
,Show Social Menu,,tl,unchanged,
,Show Date,,tl,unchanged,
,Show Time,,tl,unchanged,
,Time Format,,tl,unchanged,
,12 hours,,tl,unchanged,
,24 hours,,tl,unchanged,
,From WordPress Settings,,tl,unchanged,
,Header Advertisement,,tl,unchanged,
,Header Section Advertisement,,tl,unchanged,
,URL Link,,tl,unchanged,
,Theme Options,,tl,unchanged,
,Site Layout Mode,,tl,unchanged,
,Enable Gaps Around,,tl,unchanged,
,Breadcrumb Options,,tl,unchanged,
,Show breadcrumbs,,tl,unchanged,
,Select Breadcrumbs,,tl,unchanged,
,Please ensure that you have enabled the plugin's breadcrumbs before choosing other than Default,,tl,unchanged,
,Default,,tl,unchanged,unchanged_like
,Yoast SEO,,tl,unchanged,unchanged_like
,Rank Math,,tl,unchanged,
,NavXT,,tl,unchanged,unchanged_like
,Global Settings,,tl,unchanged,
,Enable Preloader,,tl,unchanged,
,Global Content Alignment,,tl,unchanged,
,Content - Primary sidebar,,tl,unchanged,
,Primary sidebar - Content,,tl,unchanged,
,Full width content,,tl,unchanged,
