msgctxt,msgid,msgid_plural,target_lang,status,issues
,ChromeNews,,fi,unchanged,unchanged_like
,https://afthemes.com/products/chromenews/,,fi,unchanged,unchanged_like
,"ChromeNews is a powerful WordPress theme that's perfect for news, blogs, and magazines. The theme comes with a number of free starter sites that may be easily integrated to construct a fantastic news hub. The theme is fully widgetized, with 9+ custom widgets and widget sections, allowing users to customize site content. It also offers a light and dark color mode for viewing articles and blog posts in a fashionable manner. It also includes a variety of useful customizer choices for creating an aesthetically pleasing news site. You may set it up as you want and see how it looks before making any changes with the live customizer. It supports Gutenberg blocks and Elementor, as well as the WooCommerce plugin, allowing you to combine an online store with our newspaper theme. The RTL languages supported theme is appropriate for a news, journal, magazine, publishing, or review website, as well as blogging. It's well-designed to help the website rank higher in search engines, and users will receive excellent support from the staff if they run into any issues while using it. Find demos: https://afthemes.com/products/chromenews/#aft-view-starter-sites Videos: https://www.youtube.com/@wpafthemes/ Docs: https://docs.afthemes.com/chromenews/",,fi,unchanged,
,AF themes,,fi,unchanged,
,https://www.afthemes.com/,,fi,unchanged,unchanged_like
,Oops! That page can&rsquo;t be found.,,fi,unchanged,
,It looks like nothing was found at this location. Maybe try one of the links below or a search?,,fi,unchanged,
,Dashboard,,fi,unchanged,
,Customize,,fi,unchanged,
,Starter Sites,,fi,unchanged,
,Elementor Kits,,fi,unchanged,unchanged_like
,Block Patterns,,fi,unchanged,unchanged_like
,Upgrade to Pro,,fi,unchanged,
,Upgrade Now,,fi,unchanged,
,The Templatespare plugin should be updated to the latest version,,fi,unchanged,
,"Import a Starter Site, Personalize, and Live it in 3 Easy Steps!",,fi,unchanged,
,Blockspare plugin version should be more than %s.,,fi,unchanged,
,"One-click Demo Import, Block Editor Ready, No Code Required! Built with Blockspare.",,fi,unchanged,
,Elespare plugin version should be more than %s.,,fi,unchanged,
,"One-click Import, Header/Footer Builder, Multilingual Support! Powered by Elespare.",,fi,unchanged,
,Are you sure you want to install this plugin?,,fi,unchanged,
,Install Now,,fi,unchanged,
,Activate,,fi,unchanged,
,Activated,,fi,unchanged,
,Get Starter Sites,,fi,unchanged,
,Get Started,,fi,unchanged,
,"The ""Get Started"" action will install/activate the Templatespare and Blockspare plugins for Starter Sites and Templates.",,fi,unchanged,
,By,,fi,unchanged,
,More Details,,fi,unchanged,
,"👋 Welcome, and Thank You!",,fi,unchanged,
,"%s is now active. We're here to help you turn your ideas into a beautiful, professional website — quickly and confidently.",,fi,unchanged,
,🚀 Start With One Click,,fi,unchanged,
,"Choose from 100+ starter sites designed for blogs, magazines, businesses & more.
      Setup is simple — no coding required.",,fi,unchanged,
,View Demos,,fi,unchanged,
,Theme dashboard,,fi,unchanged,
,🤝 We're Here for You,,fi,unchanged,
,Whether you're just starting or customizing your site.,,fi,unchanged,
,Documentation,,fi,unchanged,
,Videos,,fi,unchanged,
,Support,,fi,unchanged,
,⭐ Rate This Theme,,fi,unchanged,
,"Sorry, you are not allowed to install plugins on this site.",,fi,unchanged,
,"Error - unable to verify nonce, please try again.",,fi,unchanged,
,"Sorry, you are not allowed to activate plugins on this site.",,fi,unchanged,
,One thought on &ldquo;%1$s&rdquo;,,fi,unchanged,
comments title,%1$s thought on &ldquo;%2$s&rdquo;,%1$s thoughts on &ldquo;%2$s&rdquo;,fi,unchanged,
comments title,%1$s thought on &ldquo;%2$s&rdquo;,%1$s thoughts on &ldquo;%2$s&rdquo;,fi,unchanged,
,Comments are closed.,,fi,unchanged,
,%1$s by %2$s.,,fi,unchanged,
,Primary Menu,,fi,unchanged,
,Social Menu,,fi,unchanged,
,Footer Menu,,fi,unchanged,
%s font: on or off,on,,fi,unchanged,
,Skip to content,,fi,unchanged,
,"Click the setting <span class=""dashicons dashicons-admin-generic""></span> on each element to customize its settings.",,fi,unchanged,
,Hide builder panel,,fi,unchanged,
,Hide Builder,,fi,unchanged,
,Device view controls,,fi,unchanged,
,Choose an Element,,fi,unchanged,
,Close choose element modal,,fi,unchanged,
,Header Builder,,fi,unchanged,
,Footer Builder,,fi,unchanged,
,Footer Layout,,fi,unchanged,
,Create dynamic header effortlessly with drag-and-drop builder.,,fi,unchanged,
,Header,,fi,unchanged,
,Create dynamic footer effortlessly with drag-and-drop builder.,,fi,unchanged,
,Footer,,fi,unchanged,
,Enable %s Builder,,fi,unchanged,
,Add Element,,fi,unchanged,
,Remove Element,,fi,unchanged,
,Configure Element,,fi,unchanged,
,Desktop,,fi,unchanged,
,Element Settings,,fi,unchanged,
,Site & Logo,,fi,unchanged,
,Site Identity,,fi,unchanged,
,You can change Site Identity from %s.,,fi,unchanged,
,Promotion,,fi,unchanged,
,Off Canvas,,fi,unchanged,
,Off Canvas Widget Area,,fi,unchanged,
,This widget area is used in the mobile off-canvas panel. %s,,fi,unchanged,
,Manage widgets,,fi,unchanged,
,Primary menu,,fi,unchanged,
,Select Menu,,fi,unchanged,
,You can change Menu from menu panel. %s,,fi,unchanged,
,Manage menu,,fi,unchanged,
,Date,,fi,unchanged,
,Choose date format,,fi,unchanged,
,You can change date from general settings (Settings > General > Date Format). %s,,fi,unchanged,
,Manage Date,,fi,unchanged,
,Top Navigation,,fi,unchanged,
,pro,,fi,unchanged,unchanged_like
,Site Mode,,fi,unchanged,
,Custom HTML,,fi,unchanged,
,HTML Content,,fi,unchanged,
,Search,,fi,unchanged,
,Searc Form,,fi,unchanged,
,Custom Link,,fi,unchanged,
,Custom link,,fi,unchanged,
,live,,fi,unchanged,
,Widget 1,,fi,unchanged,unchanged_like
,Select Widget,,fi,unchanged,
,Widget 2,,fi,unchanged,unchanged_like
,Widget 3,,fi,unchanged,unchanged_like
,Navigation,,fi,unchanged,
,Pro,,fi,unchanged,unchanged_like
,Copyright,,fi,unchanged,
,Add widget to display . %s,,fi,unchanged,
,Beta,,fi,unchanged,
,No menu assigned,,fi,unchanged,
,-- Select --,,fi,unchanged,
,Subscribe,,fi,unchanged,
,Trending,,fi,unchanged,
,Breaking News,,fi,unchanged,unchanged_like
,Main News,,fi,unchanged,
,Trending Now,,fi,unchanged,
,Popular,,fi,unchanged,
,Latest,,fi,unchanged,
,Editor's Picks,,fi,unchanged,
,Trending Story,,fi,unchanged,
,Featured Posts,,fi,unchanged,
,Read More,,fi,unchanged,
,Related News,,fi,unchanged,
,You may have missed,,fi,unchanged,
,Copyright &copy; All rights reserved.,,fi,unchanged,unchanged_like
,Background Color,,fi,unchanged,
,Site Title Size,,fi,unchanged,
,Uppercase Site Title and Tagline,,fi,unchanged,
,Site Title/Tagline Color,,fi,unchanged,
,Header Image Mode,,fi,unchanged,
,Image visibility may vary as per the mode,,fi,unchanged,
,Set as Background,,fi,unchanged,
,Show Full Image,,fi,unchanged,
,Enable Image Tint/Overlay,,fi,unchanged,
,ChromeNews Pro,,fi,unchanged,unchanged_like
,Site Title/Tagline Color (Dark Mode),,fi,unchanged,
,Site Color Mode,,fi,unchanged,
,Light,,fi,unchanged,
,Dark,,fi,unchanged,
,Primary Color Section ,,fi,unchanged,
,Background Color (Dark Mode),,fi,unchanged,
,Background Color (Dark Mode) will be applied for this mode.,,fi,unchanged,
,Secondary Color Section ,,fi,unchanged,
,Secondary Color,,fi,unchanged,
,Texts over Secondary Color,,fi,unchanged,
,Primary Navigation Section ,,fi,unchanged,
,Fonts & Typography,,fi,unchanged,
,Font Family Section,,fi,unchanged,
,Global Fonts Family,,fi,unchanged,
,Google Fonts,,fi,unchanged,
,System Fonts,,fi,unchanged,
,Site Title Font,,fi,unchanged,
,Primary Font,,fi,unchanged,
,Secondary Font,,fi,unchanged,
,Post Title Font,,fi,unchanged,
,"Widgets, Archives, Search, etc.",,fi,unchanged,
,Texts Formatting Section,,fi,unchanged,
,Title Font Weight,,fi,unchanged,
,Default Value: %d,,fi,unchanged,
,500,,fi,unchanged,unchanged_like
,700,,fi,unchanged,unchanged_like
,Font Size Section,,fi,unchanged,
,Global Section Title Size,,fi,unchanged,
,Main Banner Options,,fi,unchanged,
,Main Banner,,fi,unchanged,
,Enable Main Banner Section,,fi,unchanged,
,Main Banner Background Image,,fi,unchanged,
,Recommended Size %1$s px X %2$s px,,fi,unchanged,
,Select Main Banner Layout,,fi,unchanged,
,Default,,fi,unchanged,
,Tiled,,fi,unchanged,
,Vertical,,fi,unchanged,
,Select Main Banner Order,,fi,unchanged,
,Order 1,,fi,unchanged,
,Order 2,,fi,unchanged,
,Main News Section ,,fi,unchanged,
,Filter Posts By,,fi,unchanged,
,Category,,fi,unchanged,
,Tag,,fi,unchanged,unchanged_like
,Select Category,,fi,unchanged,
