msgctxt,msgid,msgid_plural,target_lang,status,issues
,ChromeNews,,fr,new,
,https://afthemes.com/products/chromenews/,,fr,new,unchanged_like
,"ChromeNews is a powerful WordPress theme that's perfect for news, blogs, and magazines. The theme comes with a number of free starter sites that may be easily integrated to construct a fantastic news hub. The theme is fully widgetized, with 9+ custom widgets and widget sections, allowing users to customize site content. It also offers a light and dark color mode for viewing articles and blog posts in a fashionable manner. It also includes a variety of useful customizer choices for creating an aesthetically pleasing news site. You may set it up as you want and see how it looks before making any changes with the live customizer. It supports Gutenberg blocks and Elementor, as well as the WooCommerce plugin, allowing you to combine an online store with our newspaper theme. The RTL languages supported theme is appropriate for a news, journal, magazine, publishing, or review website, as well as blogging. It's well-designed to help the website rank higher in search engines, and users will receive excellent support from the staff if they run into any issues while using it. Find demos: https://afthemes.com/products/chromenews/#aft-view-starter-sites Videos: https://www.youtube.com/@wpafthemes/ Docs: https://docs.afthemes.com/chromenews/",,fr,new,
,AF themes,,fr,new,
,https://www.afthemes.com/,,fr,new,unchanged_like
,Oops! That page can&rsquo;t be found.,,fr,new,
,It looks like nothing was found at this location. Maybe try one of the links below or a search?,,fr,new,
,%s,,fr,new,unchanged_like
,Starter Sites,,fr,new,
,Block Patterns,,fr,new,
,Elementor Kits,,fr,new,
,Customize,,fr,new,
,Settings,,fr,new,
,Upgrade,,fr,new,
,The Templatespare plugin should be updated to the latest version,,fr,new,
,"Import a Starter Site, Personalize, and Live it in 3 Easy Steps!",,fr,new,
,Blockspare plugin version should be more than %s.,,fr,new,
,"One-click Demo Import, Block Editor Ready, No Code Required! Built with Blockspare.",,fr,new,
,Elespare plugin version should be more than %s.,,fr,new,
,"One-click Import, Header/Footer Builder, Multilingual Support! Powered by Elespare.",,fr,new,
,Are you sure you want to install this plugin?,,fr,new,
,Install Now,,fr,new,
,Activate,,fr,new,
,Activated,,fr,new,
,Get Starter Sites,,fr,new,
,Get Started,,fr,new,
,"The ""Get Started"" action will install/activate the Templatespare and Blockspare plugins for Starter Sites and Templates.",,fr,new,
,By,,fr,new,
,More Details,,fr,new,
,Howdy!,,fr,new,
,%s is now installed and ready to use. We've assembled some links to get you started.,,fr,new,
,Explore Our Pre-Built Starter Websites!,,fr,new,
,"Let your imagination soar! Designed with User-Friendly features, incorporating the Latest Trends and SEO-Friendly Markups. We genuinely appreciate you choosing our theme!",,fr,new,
,Demos/product,,fr,new,
,Theme dashboard,,fr,new,
,Documentation,,fr,new,unchanged_like
,Please check our full documentation for detailed information on how to setup and customize the theme.,,fr,new,
,Docs,,fr,new,
,Videos,,fr,new,
,Blog,,fr,new,
,Rate This Theme,,fr,new,
,"Sorry, you are not allowed to install plugins on this site.",,fr,new,
,"Error - unable to verify nonce, please try again.",,fr,new,
,"Sorry, you are not allowed to activate plugins on this site.",,fr,new,
,One thought on &ldquo;%1$s&rdquo;,,fr,new,
comments title,%1$s thought on &ldquo;%2$s&rdquo;,%1$s thoughts on &ldquo;%2$s&rdquo;,fr,new,
comments title,%1$s thought on &ldquo;%2$s&rdquo;,%1$s thoughts on &ldquo;%2$s&rdquo;,fr,new,
,Comments are closed.,,fr,new,
,%1$s by %2$s.,,fr,new,
,Primary Menu,,fr,new,
,Social Menu,,fr,new,
,Footer Menu,,fr,new,
%s font: on or off,on,,fr,new,
,Skip to content,,fr,new,
,-- Select --,,fr,new,
,Subscribe,,fr,new,
,Trending,,fr,new,
,Breaking News,,fr,new,
,Main News,,fr,new,
,Trending Now,,fr,new,
,Popular,,fr,new,
,Latest,,fr,new,
,Editor's Picks,,fr,new,
,Trending Story,,fr,new,
,Featured Posts,,fr,new,
,Read More,,fr,new,
,Related News,,fr,new,
,You may have missed,,fr,new,
,Copyright &copy; All rights reserved.,,fr,new,unchanged_like
,Background Color,,fr,new,
,Site Title Size,,fr,new,
,Uppercase Site Title and Tagline,,fr,new,
,Site Title/Tagline Color,,fr,new,
,Header Image Mode,,fr,new,
,Image visibility may vary as per the mode,,fr,new,
,Set as Background,,fr,new,
,Show Full Image,,fr,new,
,Enable Image Tint/Overlay,,fr,new,
,ChromeNews Pro,,fr,new,
,Upgrade Now,,fr,new,
,Site Title/Tagline Color (Dark Mode),,fr,new,
,Site Color Mode,,fr,new,
,Light,,fr,new,
,Dark,,fr,new,
,Primary Color Section ,,fr,new,
,Background Color (Dark Mode),,fr,new,
,Background Color (Dark Mode) will be applied for this mode.,,fr,new,
,Secondary Color Section ,,fr,new,
,Secondary Color,,fr,new,
,Texts over Secondary Color,,fr,new,
,Primary Navigation Section ,,fr,new,
,Fonts & Typography,,fr,new,
,Font Family Section,,fr,new,
,Site Title Font,,fr,new,
,Primary Font,,fr,new,
,Secondary Font,,fr,new,
,Post Title Font,,fr,new,
,"Widgets, Archives, Search, etc.",,fr,new,
,Texts Formatting Section,,fr,new,
,Title Font Weight,,fr,new,
,Default Value: %d,,fr,new,
,500,,fr,new,unchanged_like
,700,,fr,new,unchanged_like
,Font Size Section,,fr,new,
,Global Section Title Size,,fr,new,
,Main Banner Options,,fr,new,
,Main Banner,,fr,new,
,Enable Main Banner Section,,fr,new,
,Main Banner Background Image,,fr,new,
,Recommended Size %1$s px X %2$s px,,fr,new,
,Select Main Banner Layout,,fr,new,
,Default,,fr,new,
,Tiled,,fr,new,
,Vertical,,fr,new,
,Select Main Banner Order,,fr,new,
,Order 1,,fr,new,
,Order 2,,fr,new,
,Main News Section ,,fr,new,
,Filter Posts By,,fr,new,
,Category,,fr,new,
,Tag,,fr,new,
,Select Category,,fr,new,
,Select category to be shown on main slider section,,fr,new,
,Select Tag,,fr,new,
,Select tag to be shown on main slider section,,fr,new,
,Number of Posts,,fr,new,
,Accepts any postive number.,,fr,new,
,Enable Autoplay,,fr,new,
,Editor's Picks Section,,fr,new,
,Section Title ,,fr,new,
,Trending Section,,fr,new,
,Popular Tags,,fr,new,
,Enable Trending Tags,,fr,new,
,Order Tags By,,fr,new,
,Popularity,,fr,new,
,Exclusive News,,fr,new,
,Enable Exclusive News,,fr,new,
,Flash Posts Category,,fr,new,
,Select category to be shown on trending posts ,,fr,new,
,Frontpage Options,,fr,new,
,Enable Featured Post Section,,fr,new,
,Select ,,fr,new,
,Select category to be shown on featured section ,,fr,new,
,Frontpage Layout Settings,,fr,new,
,Frontpage Content Alignment,,fr,new,
,Select frontpage content alignment,,fr,new,
,Home Content - Home Sidebar,,fr,new,
,Home Sidebar - Home Content,,fr,new,
,Only Home Content,,fr,new,
,Header Options,,fr,new,
,Header Settings,,fr,new,
,Site Light/Dark Mode,,fr,new,
,Enable,,fr,new,
,Disable,,fr,new,
,Top Header Section,,fr,new,
,Show Top Header,,fr,new,
,Show Social Menu,,fr,new,
,Show Date,,fr,new,
,Show Time,,fr,new,
,Time Format,,fr,new,
,12 hours,,fr,new,
,24 hours,,fr,new,
,From WordPress Settings,,fr,new,
,Header Advertisement,,fr,new,
,Header Section Advertisement,,fr,new,
,URL Link,,fr,new,
,Theme Options,,fr,new,
,Breadcrumb Options,,fr,new,
,Show breadcrumbs,,fr,new,
,Select Breadcrumbs,,fr,new,
,Please ensure that you have enabled the plugin's breadcrumbs before choosing other than Default,,fr,new,
,Yoast SEO,,fr,new,unchanged_like
,Rank Math,,fr,new,
,NavXT,,fr,new,unchanged_like
,Global Settings,,fr,new,
,Enable Preloader,,fr,new,
,Global Content Alignment,,fr,new,
,Content - Primary sidebar,,fr,new,
,Primary sidebar - Content,,fr,new,
,Full width content,,fr,new,
,Also Show Content Image in Archive,,fr,new,
,If there is no Post Featured image set,,fr,new,
,Enable ,,fr,new,
,Categories Settings,,fr,new,
,Post Categories,,fr,new,
,Show,,fr,new,
,Hide,,fr,new,
,Author and Date Settings,,fr,new,
,For Spotlight Posts,,fr,new,
,Show Date and Author,,fr,new,
,Show Date Only,,fr,new,
,Hide All,,fr,new,
,For Small Grid,,fr,new,
,For List,,fr,new,
,Author Icon/Gravatar,,fr,new,
,Show Gravatar,,fr,new,
,Show Icon,,fr,new,
,None,,fr,new,
,Post Date Type,,fr,new,
,Published Date,,fr,new,
,Modified Date,,fr,new,
,Date Format,,fr,new,
,WordPress Default Date Format,,fr,new,
,Ago Date Format,,fr,new,
,Minutes Read Count,,fr,new,
,Excerpt Settings,,fr,new,
,Global Excerpt Read More,,fr,new,
,Custom Menu Section,,fr,new,
,Enable Custom Menu Section,,fr,new,
,Icon,,fr,new,
,Bell,,fr,new,
,Play,,fr,new,
,User,,fr,new,
,Title,,fr,new,
,Link,,fr,new,
,Single Post,,fr,new,
,Show Featured Image,,fr,new,
,Featured Image Position,,fr,new,
,Title below image,,fr,new,
,Single Content,,fr,new,
,Spacious,,fr,new,
,Compact,,fr,new,unchanged_like
,Show Tags under Content,,fr,new,
,Social Share Option,,fr,new,
,Social Share from Jetpack plugin,,fr,new,
,After Title,,fr,new,
,Before Title,,fr,new,
,After Content,,fr,new,
,Related Posts Settings,,fr,new,
,Enable Related Posts,,fr,new,
,Archive Settings,,fr,new,
,Disable Main Banner on Blog,,fr,new,
,Archive layout,,fr,new,
,Select layout for archive,,fr,new,
,Grid,,fr,new,
,List,,fr,new,
,Sidebar Settings,,fr,new,
,Make Sidebar Sticky,,fr,new,
,Sidebar Sticky Position,,fr,new,
,Top,,fr,new,
,Bottom,,fr,new,
,You May Have Missed,,fr,new,
,Show Above Footer,,fr,new,
,Posts Section Title,,fr,new,
,Footer,,fr,new,
,Footer Background Image,,fr,new,
,Copyright Text,,fr,new,
,Hide footer Menu Section,,fr,new,
,Pages:,,fr,new,unchanged_like
,Light/Dark Button,,fr,new,
,Layout Options,,fr,new,
,Content Options,,fr,new,
,Set as global layout,,fr,new,
