msgctxt,msgid,msgid_plural,target_lang,status,issues
,ChromeNews,,id,unchanged,
,https://afthemes.com/products/chromenews/,,id,unchanged,unchanged_like
,"ChromeNews is a powerful WordPress theme that's perfect for news, blogs, and magazines. The theme comes with a number of free starter sites that may be easily integrated to construct a fantastic news hub. The theme is fully widgetized, with 9+ custom widgets and widget sections, allowing users to customize site content. It also offers a light and dark color mode for viewing articles and blog posts in a fashionable manner. It also includes a variety of useful customizer choices for creating an aesthetically pleasing news site. You may set it up as you want and see how it looks before making any changes with the live customizer. It supports Gutenberg blocks and Elementor, as well as the WooCommerce plugin, allowing you to combine an online store with our newspaper theme. The RTL languages supported theme is appropriate for a news, journal, magazine, publishing, or review website, as well as blogging. It's well-designed to help the website rank higher in search engines, and users will receive excellent support from the staff if they run into any issues while using it. Find demos: https://afthemes.com/products/chromenews/#aft-view-starter-sites Videos: https://www.youtube.com/@wpafthemes/ Docs: https://docs.afthemes.com/chromenews/",,id,unchanged,
,AF themes,,id,unchanged,
,https://www.afthemes.com/,,id,unchanged,unchanged_like
,Oops! That page can&rsquo;t be found.,,id,unchanged,
,It looks like nothing was found at this location. Maybe try one of the links below or a search?,,id,unchanged,
,Dashboard,,id,unchanged,
,Customize,,id,unchanged,
,Starter Sites,,id,unchanged,
,Elementor Kits,,id,unchanged,
,Block Patterns,,id,unchanged,
,Upgrade to Pro,,id,unchanged,
,Upgrade Now,,id,unchanged,
,The Templatespare plugin should be updated to the latest version,,id,unchanged,
,"Import a Starter Site, Personalize, and Live it in 3 Easy Steps!",,id,unchanged,
,Blockspare plugin version should be more than %s.,,id,unchanged,
,"One-click Demo Import, Block Editor Ready, No Code Required! Built with Blockspare.",,id,unchanged,
,Elespare plugin version should be more than %s.,,id,unchanged,
,"One-click Import, Header/Footer Builder, Multilingual Support! Powered by Elespare.",,id,unchanged,
,Are you sure you want to install this plugin?,,id,unchanged,
,Install Now,,id,unchanged,
,Activate,,id,unchanged,
,Activated,,id,unchanged,
,Get Starter Sites,,id,unchanged,
,Get Started,,id,unchanged,
,"The ""Get Started"" action will install/activate the Templatespare and Blockspare plugins for Starter Sites and Templates.",,id,unchanged,
,By,,id,unchanged,
,More Details,,id,unchanged,
,"👋 Welcome, and Thank You!",,id,unchanged,
,"%s is now active. We're here to help you turn your ideas into a beautiful, professional website — quickly and confidently.",,id,unchanged,
,🚀 Start With One Click,,id,unchanged,
,"Choose from 100+ starter sites designed for blogs, magazines, businesses & more.
      Setup is simple — no coding required.",,id,unchanged,
,View Demos,,id,unchanged,
,Theme dashboard,,id,unchanged,
,🤝 We're Here for You,,id,unchanged,
,Whether you're just starting or customizing your site.,,id,unchanged,
,Documentation,,id,unchanged,
,Videos,,id,unchanged,
,Support,,id,unchanged,
,⭐ Rate This Theme,,id,unchanged,
,"Sorry, you are not allowed to install plugins on this site.",,id,unchanged,
,"Error - unable to verify nonce, please try again.",,id,unchanged,
,"Sorry, you are not allowed to activate plugins on this site.",,id,unchanged,
,One thought on &ldquo;%1$s&rdquo;,,id,unchanged,
comments title,%1$s thought on &ldquo;%2$s&rdquo;,%1$s thoughts on &ldquo;%2$s&rdquo;,id,unchanged,
,Comments are closed.,,id,unchanged,
,%1$s by %2$s.,,id,unchanged,
,Primary Menu,,id,unchanged,
,Social Menu,,id,unchanged,
,Footer Menu,,id,unchanged,
%s font: on or off,on,,id,unchanged,
,Skip to content,,id,unchanged,
,"Click the setting <span class=""dashicons dashicons-admin-generic""></span> on each element to customize its settings.",,id,unchanged,
,Hide builder panel,,id,unchanged,
,Hide Builder,,id,unchanged,
,Device view controls,,id,unchanged,
,Choose an Element,,id,unchanged,
,Close choose element modal,,id,unchanged,
,Header Builder,,id,unchanged,
,Footer Builder,,id,unchanged,
,Footer Layout,,id,unchanged,
,Create dynamic header effortlessly with drag-and-drop builder.,,id,unchanged,
,Header,,id,unchanged,
,Create dynamic footer effortlessly with drag-and-drop builder.,,id,unchanged,
,Footer,,id,unchanged,
,Enable %s Builder,,id,unchanged,
,Add Element,,id,unchanged,
,Remove Element,,id,unchanged,
,Configure Element,,id,unchanged,
,Desktop,,id,unchanged,unchanged_like
,Element Settings,,id,unchanged,
,Site & Logo,,id,unchanged,
,Site Identity,,id,unchanged,
,You can change Site Identity from %s.,,id,unchanged,
,Promotion,,id,unchanged,
,Off Canvas,,id,unchanged,
,Off Canvas Widget Area,,id,unchanged,
,This widget area is used in the mobile off-canvas panel. %s,,id,unchanged,
,Manage widgets,,id,unchanged,
,Primary menu,,id,unchanged,
,Select Menu,,id,unchanged,
,You can change Menu from menu panel. %s,,id,unchanged,
,Manage menu,,id,unchanged,
,Date,,id,unchanged,
,Choose date format,,id,unchanged,
,You can change date from general settings (Settings > General > Date Format). %s,,id,unchanged,
,Manage Date,,id,unchanged,
,Top Navigation,,id,unchanged,
,pro,,id,unchanged,unchanged_like
,Site Mode,,id,unchanged,
,Custom HTML,,id,unchanged,
,HTML Content,,id,unchanged,
,Search,,id,unchanged,
,Searc Form,,id,unchanged,
,Custom Link,,id,unchanged,
,Custom link,,id,unchanged,
,live,,id,unchanged,
,Widget 1,,id,unchanged,unchanged_like
,Select Widget,,id,unchanged,
,Widget 2,,id,unchanged,unchanged_like
,Widget 3,,id,unchanged,unchanged_like
,Navigation,,id,unchanged,
,Pro,,id,unchanged,unchanged_like
,Copyright,,id,unchanged,
,Add widget to display . %s,,id,unchanged,
,Beta,,id,unchanged,unchanged_like
,No menu assigned,,id,unchanged,
,-- Select --,,id,unchanged,
,Subscribe,,id,unchanged,
,Trending,,id,unchanged,
,Breaking News,,id,unchanged,
,Main News,,id,unchanged,
,Trending Now,,id,unchanged,
,Popular,,id,unchanged,
,Latest,,id,unchanged,
,Editor's Picks,,id,unchanged,
,Trending Story,,id,unchanged,
,Featured Posts,,id,unchanged,
,Read More,,id,unchanged,
,Related News,,id,unchanged,
,You may have missed,,id,unchanged,
,Copyright &copy; All rights reserved.,,id,unchanged,unchanged_like
,Background Color,,id,unchanged,
,Site Title Size,,id,unchanged,
,Uppercase Site Title and Tagline,,id,unchanged,
,Site Title/Tagline Color,,id,unchanged,
,Header Image Mode,,id,unchanged,
,Image visibility may vary as per the mode,,id,unchanged,
,Set as Background,,id,unchanged,
,Show Full Image,,id,unchanged,
,Enable Image Tint/Overlay,,id,unchanged,
,ChromeNews Pro,,id,unchanged,unchanged_like
,Site Title/Tagline Color (Dark Mode),,id,unchanged,
,Site Color Mode,,id,unchanged,
,Light,,id,unchanged,
,Dark,,id,unchanged,
,Primary Color Section ,,id,unchanged,
,Background Color (Dark Mode),,id,unchanged,
,Background Color (Dark Mode) will be applied for this mode.,,id,unchanged,
,Secondary Color Section ,,id,unchanged,
,Secondary Color,,id,unchanged,
