msgctxt,msgid,msgid_plural,target_lang,status,issues
,ChromeNews,,it,new,
,https://afthemes.com/products/chromenews/,,it,new,unchanged_like
,"ChromeNews is a powerful WordPress theme that's perfect for news, blogs, and magazines. The theme comes with a number of free starter sites that may be easily integrated to construct a fantastic news hub. The theme is fully widgetized, with 9+ custom widgets and widget sections, allowing users to customize site content. It also offers a light and dark color mode for viewing articles and blog posts in a fashionable manner. It also includes a variety of useful customizer choices for creating an aesthetically pleasing news site. You may set it up as you want and see how it looks before making any changes with the live customizer. It supports Gutenberg blocks and Elementor, as well as the WooCommerce plugin, allowing you to combine an online store with our newspaper theme. The RTL languages supported theme is appropriate for a news, journal, magazine, publishing, or review website, as well as blogging. It's well-designed to help the website rank higher in search engines, and users will receive excellent support from the staff if they run into any issues while using it. Find demos: https://afthemes.com/products/chromenews/#aft-view-starter-sites Videos: https://www.youtube.com/@wpafthemes/ Docs: https://docs.afthemes.com/chromenews/",,it,new,
,AF themes,,it,new,
,https://www.afthemes.com/,,it,new,unchanged_like
,Oops! That page can&rsquo;t be found.,,it,new,
,It looks like nothing was found at this location. Maybe try one of the links below or a search?,,it,new,
,%s,,it,new,unchanged_like
,Starter Sites,,it,new,
,Block Patterns,,it,new,
,Elementor Kits,,it,new,
,Customize,,it,new,
,Settings,,it,new,
,Upgrade,,it,new,
,The Templatespare plugin should be updated to the latest version,,it,new,
,"Import a Starter Site, Personalize, and Live it in 3 Easy Steps!",,it,new,
,Blockspare plugin version should be more than %s.,,it,new,
,"One-click Demo Import, Block Editor Ready, No Code Required! Built with Blockspare.",,it,new,
,Elespare plugin version should be more than %s.,,it,new,
,"One-click Import, Header/Footer Builder, Multilingual Support! Powered by Elespare.",,it,new,
,Are you sure you want to install this plugin?,,it,new,
,Install Now,,it,new,
,Activate,,it,new,
,Activated,,it,new,
,Get Starter Sites,,it,new,
,Get Started,,it,new,
,"The ""Get Started"" action will install/activate the Templatespare and Blockspare plugins for Starter Sites and Templates.",,it,new,
,By,,it,new,
