msgctxt,msgid,msgid_plural,target_lang,status,issues
,ChromeNews,,sv,unchanged,unchanged_like
,https://afthemes.com/products/chromenews/,,sv,unchanged,unchanged_like
,"ChromeNews is a powerful WordPress theme that's perfect for news, blogs, and magazines. The theme comes with a number of free starter sites that may be easily integrated to construct a fantastic news hub. The theme is fully widgetized, with 9+ custom widgets and widget sections, allowing users to customize site content. It also offers a light and dark color mode for viewing articles and blog posts in a fashionable manner. It also includes a variety of useful customizer choices for creating an aesthetically pleasing news site. You may set it up as you want and see how it looks before making any changes with the live customizer. It supports Gutenberg blocks and Elementor, as well as the WooCommerce plugin, allowing you to combine an online store with our newspaper theme. The RTL languages supported theme is appropriate for a news, journal, magazine, publishing, or review website, as well as blogging. It's well-designed to help the website rank higher in search engines, and users will receive excellent support from the staff if they run into any issues while using it. Find demos: https://afthemes.com/products/chromenews/#aft-view-starter-sites Videos: https://www.youtube.com/@wpafthemes/ Docs: https://docs.afthemes.com/chromenews/",,sv,unchanged,
,AF themes,,sv,unchanged,
,https://www.afthemes.com/,,sv,unchanged,unchanged_like
,Oops! That page can&rsquo;t be found.,,sv,unchanged,
,It looks like nothing was found at this location. Maybe try one of the links below or a search?,,sv,unchanged,
,Dashboard,,sv,unchanged,
,Customize,,sv,unchanged,
,Starter Sites,,sv,unchanged,
,Elementor Kits,,sv,unchanged,
,Block Patterns,,sv,unchanged,
,Upgrade to Pro,,sv,unchanged,
,Upgrade Now,,sv,unchanged,
,The Templatespare plugin should be updated to the latest version,,sv,unchanged,
,"Import a Starter Site, Personalize, and Live it in 3 Easy Steps!",,sv,unchanged,
,Blockspare plugin version should be more than %s.,,sv,unchanged,
,"One-click Demo Import, Block Editor Ready, No Code Required! Built with Blockspare.",,sv,unchanged,
,Elespare plugin version should be more than %s.,,sv,unchanged,
,"One-click Import, Header/Footer Builder, Multilingual Support! Powered by Elespare.",,sv,unchanged,
,Are you sure you want to install this plugin?,,sv,unchanged,
,Install Now,,sv,unchanged,
,Activate,,sv,unchanged,
,Activated,,sv,unchanged,
,Get Starter Sites,,sv,unchanged,
,Get Started,,sv,unchanged,
,"The ""Get Started"" action will install/activate the Templatespare and Blockspare plugins for Starter Sites and Templates.",,sv,unchanged,
,By,,sv,unchanged,
,More Details,,sv,unchanged,
,"👋 Welcome, and Thank You!",,sv,unchanged,
,"%s is now active. We're here to help you turn your ideas into a beautiful, professional website — quickly and confidently.",,sv,unchanged,
,🚀 Start With One Click,,sv,unchanged,
,"Choose from 100+ starter sites designed for blogs, magazines, businesses & more.
      Setup is simple — no coding required.",,sv,unchanged,
,View Demos,,sv,unchanged,
,Theme dashboard,,sv,unchanged,
,🤝 We're Here for You,,sv,unchanged,
,Whether you're just starting or customizing your site.,,sv,unchanged,
,Documentation,,sv,unchanged,
,Videos,,sv,unchanged,
,Support,,sv,unchanged,
,⭐ Rate This Theme,,sv,unchanged,
,"Sorry, you are not allowed to install plugins on this site.",,sv,unchanged,
,"Error - unable to verify nonce, please try again.",,sv,unchanged,
,"Sorry, you are not allowed to activate plugins on this site.",,sv,unchanged,
,One thought on &ldquo;%1$s&rdquo;,,sv,unchanged,
comments title,%1$s thought on &ldquo;%2$s&rdquo;,%1$s thoughts on &ldquo;%2$s&rdquo;,sv,unchanged,
comments title,%1$s thought on &ldquo;%2$s&rdquo;,%1$s thoughts on &ldquo;%2$s&rdquo;,sv,unchanged,
,Comments are closed.,,sv,unchanged,
,%1$s by %2$s.,,sv,unchanged,
,Primary Menu,,sv,unchanged,
,Social Menu,,sv,unchanged,
,Footer Menu,,sv,unchanged,
%s font: on or off,on,,sv,unchanged,
,Skip to content,,sv,unchanged,
,"Click the setting <span class=""dashicons dashicons-admin-generic""></span> on each element to customize its settings.",,sv,unchanged,
,Hide builder panel,,sv,unchanged,
,Hide Builder,,sv,unchanged,unchanged_like
,Device view controls,,sv,unchanged,
