msgctxt,msgid,msgid_plural,target_lang,status,issues
,ChromeNews,,sw,unchanged,unchanged_like
,https://afthemes.com/products/chromenews/,,sw,unchanged,unchanged_like
,"ChromeNews is a powerful WordPress theme that's perfect for news, blogs, and magazines. The theme comes with a number of free starter sites that may be easily integrated to construct a fantastic news hub. The theme is fully widgetized, with 9+ custom widgets and widget sections, allowing users to customize site content. It also offers a light and dark color mode for viewing articles and blog posts in a fashionable manner. It also includes a variety of useful customizer choices for creating an aesthetically pleasing news site. You may set it up as you want and see how it looks before making any changes with the live customizer. It supports Gutenberg blocks and Elementor, as well as the WooCommerce plugin, allowing you to combine an online store with our newspaper theme. The RTL languages supported theme is appropriate for a news, journal, magazine, publishing, or review website, as well as blogging. It's well-designed to help the website rank higher in search engines, and users will receive excellent support from the staff if they run into any issues while using it. Find demos: https://afthemes.com/products/chromenews/#aft-view-starter-sites Videos: https://www.youtube.com/@wpafthemes/ Docs: https://docs.afthemes.com/chromenews/",,sw,unchanged,
,AF themes,,sw,unchanged,
,https://www.afthemes.com/,,sw,unchanged,unchanged_like
,Oops! That page can&rsquo;t be found.,,sw,unchanged,
,It looks like nothing was found at this location. Maybe try one of the links below or a search?,,sw,unchanged,
,Dashboard,,sw,unchanged,
,Customize,,sw,unchanged,unchanged_like
,Starter Sites,,sw,unchanged,
,Elementor Kits,,sw,unchanged,
,Block Patterns,,sw,unchanged,
,Upgrade to Pro,,sw,unchanged,
,Upgrade Now,,sw,unchanged,
,The Templatespare plugin should be updated to the latest version,,sw,unchanged,
,"Import a Starter Site, Personalize, and Live it in 3 Easy Steps!",,sw,unchanged,
,Blockspare plugin version should be more than %s.,,sw,unchanged,placeholders
,"One-click Demo Import, Block Editor Ready, No Code Required! Built with Blockspare.",,sw,unchanged,
,Elespare plugin version should be more than %s.,,sw,unchanged,placeholders
,"One-click Import, Header/Footer Builder, Multilingual Support! Powered by Elespare.",,sw,unchanged,
,Are you sure you want to install this plugin?,,sw,unchanged,
,Install Now,,sw,unchanged,
,Activate,,sw,unchanged,
,Activated,,sw,unchanged,
,Get Starter Sites,,sw,unchanged,
,Get Started,,sw,unchanged,
,"The ""Get Started"" action will install/activate the Templatespare and Blockspare plugins for Starter Sites and Templates.",,sw,unchanged,
,By,,sw,unchanged,
,More Details,,sw,unchanged,
,"👋 Welcome, and Thank You!",,sw,unchanged,
,"%s is now active. We're here to help you turn your ideas into a beautiful, professional website — quickly and confidently.",,sw,unchanged,placeholders
,🚀 Start With One Click,,sw,unchanged,
,"Choose from 100+ starter sites designed for blogs, magazines, businesses & more.
      Setup is simple — no coding required.",,sw,unchanged,
,View Demos,,sw,unchanged,
,Theme dashboard,,sw,unchanged,
,🤝 We're Here for You,,sw,unchanged,
,Whether you're just starting or customizing your site.,,sw,unchanged,
,Documentation,,sw,unchanged,
,Videos,,sw,unchanged,
,Support,,sw,unchanged,
,⭐ Rate This Theme,,sw,unchanged,
,"Sorry, you are not allowed to install plugins on this site.",,sw,unchanged,
,"Error - unable to verify nonce, please try again.",,sw,unchanged,
,"Sorry, you are not allowed to activate plugins on this site.",,sw,unchanged,
,One thought on &ldquo;%1$s&rdquo;,,sw,unchanged,placeholders
comments title,%1$s thought on &ldquo;%2$s&rdquo;,%1$s thoughts on &ldquo;%2$s&rdquo;,sw,unchanged,placeholders
comments title,%1$s thought on &ldquo;%2$s&rdquo;,%1$s thoughts on &ldquo;%2$s&rdquo;,sw,unchanged,placeholders
,Comments are closed.,,sw,unchanged,
,%1$s by %2$s.,,sw,unchanged,placeholders
,Primary Menu,,sw,unchanged,
,Social Menu,,sw,unchanged,
,Footer Menu,,sw,unchanged,
%s font: on or off,on,,sw,unchanged,unchanged_like
,Skip to content,,sw,unchanged,
,"Click the setting <span class=""dashicons dashicons-admin-generic""></span> on each element to customize its settings.",,sw,unchanged,
,Hide builder panel,,sw,unchanged,
,Hide Builder,,sw,unchanged,
,Device view controls,,sw,unchanged,
,Choose an Element,,sw,unchanged,
,Close choose element modal,,sw,unchanged,
,Header Builder,,sw,unchanged,
,Footer Builder,,sw,unchanged,
,Footer Layout,,sw,unchanged,
