msgctxt,msgid,msgid_plural,target_lang,status,issues
,ChromeNews,,th,unchanged,unchanged_like
,https://afthemes.com/products/chromenews/,,th,unchanged,unchanged_like
,"ChromeNews is a powerful WordPress theme that's perfect for news, blogs, and magazines. The theme comes with a number of free starter sites that may be easily integrated to construct a fantastic news hub. The theme is fully widgetized, with 9+ custom widgets and widget sections, allowing users to customize site content. It also offers a light and dark color mode for viewing articles and blog posts in a fashionable manner. It also includes a variety of useful customizer choices for creating an aesthetically pleasing news site. You may set it up as you want and see how it looks before making any changes with the live customizer. It supports Gutenberg blocks and Elementor, as well as the WooCommerce plugin, allowing you to combine an online store with our newspaper theme. The RTL languages supported theme is appropriate for a news, journal, magazine, publishing, or review website, as well as blogging. It's well-designed to help the website rank higher in search engines, and users will receive excellent support from the staff if they run into any issues while using it. Find demos: https://afthemes.com/products/chromenews/#aft-view-starter-sites Videos: https://www.youtube.com/@wpafthemes/ Docs: https://docs.afthemes.com/chromenews/",,th,unchanged,
,AF themes,,th,unchanged,
,https://www.afthemes.com/,,th,unchanged,unchanged_like
,Oops! That page can&rsquo;t be found.,,th,unchanged,
,It looks like nothing was found at this location. Maybe try one of the links below or a search?,,th,unchanged,
,Dashboard,,th,unchanged,
,Customize,,th,unchanged,
,Starter Sites,,th,unchanged,
,Elementor Kits,,th,unchanged,
,Block Patterns,,th,unchanged,
,Upgrade to Pro,,th,unchanged,
,Upgrade Now,,th,unchanged,
,The Templatespare plugin should be updated to the latest version,,th,unchanged,
,"Import a Starter Site, Personalize, and Live it in 3 Easy Steps!",,th,unchanged,
,Blockspare plugin version should be more than %s.,,th,unchanged,
,"One-click Demo Import, Block Editor Ready, No Code Required! Built with Blockspare.",,th,unchanged,
,Elespare plugin version should be more than %s.,,th,unchanged,
,"One-click Import, Header/Footer Builder, Multilingual Support! Powered by Elespare.",,th,unchanged,
,Are you sure you want to install this plugin?,,th,unchanged,
,Install Now,,th,unchanged,
,Activate,,th,unchanged,
,Activated,,th,unchanged,
,Get Starter Sites,,th,unchanged,
,Get Started,,th,unchanged,
,"The ""Get Started"" action will install/activate the Templatespare and Blockspare plugins for Starter Sites and Templates.",,th,unchanged,
,By,,th,unchanged,
,More Details,,th,unchanged,
,"👋 Welcome, and Thank You!",,th,unchanged,
,"%s is now active. We're here to help you turn your ideas into a beautiful, professional website — quickly and confidently.",,th,unchanged,
,🚀 Start With One Click,,th,unchanged,
,"Choose from 100+ starter sites designed for blogs, magazines, businesses & more.
      Setup is simple — no coding required.",,th,unchanged,
,View Demos,,th,unchanged,
,Theme dashboard,,th,unchanged,
,🤝 We're Here for You,,th,unchanged,
,Whether you're just starting or customizing your site.,,th,unchanged,
,Documentation,,th,unchanged,
,Videos,,th,unchanged,
,Support,,th,unchanged,
,⭐ Rate This Theme,,th,unchanged,
,"Sorry, you are not allowed to install plugins on this site.",,th,unchanged,
,"Error - unable to verify nonce, please try again.",,th,unchanged,
,"Sorry, you are not allowed to activate plugins on this site.",,th,unchanged,
,One thought on &ldquo;%1$s&rdquo;,,th,unchanged,
comments title,%1$s thought on &ldquo;%2$s&rdquo;,%1$s thoughts on &ldquo;%2$s&rdquo;,th,unchanged,
,Comments are closed.,,th,unchanged,
,%1$s by %2$s.,,th,unchanged,
,Primary Menu,,th,unchanged,
,Social Menu,,th,unchanged,
,Footer Menu,,th,unchanged,
%s font: on or off,on,,th,unchanged,
,Skip to content,,th,unchanged,
,"Click the setting <span class=""dashicons dashicons-admin-generic""></span> on each element to customize its settings.",,th,unchanged,
,Hide builder panel,,th,unchanged,
,Hide Builder,,th,unchanged,
,Device view controls,,th,unchanged,
,Choose an Element,,th,unchanged,
,Close choose element modal,,th,unchanged,
,Header Builder,,th,unchanged,
,Footer Builder,,th,unchanged,
,Footer Layout,,th,unchanged,
,Create dynamic header effortlessly with drag-and-drop builder.,,th,unchanged,
,Header,,th,unchanged,
,Create dynamic footer effortlessly with drag-and-drop builder.,,th,unchanged,
,Footer,,th,unchanged,
,Enable %s Builder,,th,unchanged,
,Add Element,,th,unchanged,
,Remove Element,,th,unchanged,
,Configure Element,,th,unchanged,
,Desktop,,th,unchanged,
,Element Settings,,th,unchanged,
,Site & Logo,,th,unchanged,
,Site Identity,,th,unchanged,
,You can change Site Identity from %s.,,th,unchanged,
,Promotion,,th,unchanged,
,Off Canvas,,th,unchanged,
,Off Canvas Widget Area,,th,unchanged,
,This widget area is used in the mobile off-canvas panel. %s,,th,unchanged,
,Manage widgets,,th,unchanged,
,Primary menu,,th,unchanged,
,Select Menu,,th,unchanged,
,You can change Menu from menu panel. %s,,th,unchanged,
,Manage menu,,th,unchanged,
,Date,,th,unchanged,
,Choose date format,,th,unchanged,
,You can change date from general settings (Settings > General > Date Format). %s,,th,unchanged,
,Manage Date,,th,unchanged,
,Top Navigation,,th,unchanged,
,pro,,th,unchanged,
,Site Mode,,th,unchanged,
,Custom HTML,,th,unchanged,
,HTML Content,,th,unchanged,
,Search,,th,unchanged,
,Searc Form,,th,unchanged,
,Custom Link,,th,unchanged,
,Custom link,,th,unchanged,
,live,,th,unchanged,
,Widget 1,,th,unchanged,
,Select Widget,,th,unchanged,
,Widget 2,,th,unchanged,
,Widget 3,,th,unchanged,
,Navigation,,th,unchanged,
,Pro,,th,unchanged,
,Copyright,,th,unchanged,
,Add widget to display . %s,,th,unchanged,
,Beta,,th,unchanged,
,No menu assigned,,th,unchanged,
,-- Select --,,th,unchanged,
,Subscribe,,th,unchanged,
,Trending,,th,unchanged,
,Breaking News,,th,unchanged,
,Main News,,th,unchanged,
,Trending Now,,th,unchanged,
,Popular,,th,unchanged,
,Latest,,th,unchanged,
,Editor's Picks,,th,unchanged,
,Trending Story,,th,unchanged,
,Featured Posts,,th,unchanged,
,Read More,,th,unchanged,
,Related News,,th,unchanged,
,You may have missed,,th,unchanged,
,Copyright &copy; All rights reserved.,,th,unchanged,unchanged_like
,Background Color,,th,unchanged,
,Site Title Size,,th,unchanged,
,Uppercase Site Title and Tagline,,th,unchanged,
,Site Title/Tagline Color,,th,unchanged,
,Header Image Mode,,th,unchanged,
,Image visibility may vary as per the mode,,th,unchanged,
,Set as Background,,th,unchanged,
,Show Full Image,,th,unchanged,
,Enable Image Tint/Overlay,,th,unchanged,
,ChromeNews Pro,,th,unchanged,unchanged_like
,Site Title/Tagline Color (Dark Mode),,th,unchanged,
,Site Color Mode,,th,unchanged,
,Light,,th,unchanged,
,Dark,,th,unchanged,
,Primary Color Section ,,th,unchanged,
,Background Color (Dark Mode),,th,unchanged,
,Background Color (Dark Mode) will be applied for this mode.,,th,unchanged,
,Secondary Color Section ,,th,unchanged,
,Secondary Color,,th,unchanged,
,Texts over Secondary Color,,th,unchanged,
,Primary Navigation Section ,,th,unchanged,
,Fonts & Typography,,th,unchanged,
,Font Family Section,,th,unchanged,
,Global Fonts Family,,th,unchanged,
,Google Fonts,,th,unchanged,
,System Fonts,,th,unchanged,
,Site Title Font,,th,unchanged,
,Primary Font,,th,unchanged,
,Secondary Font,,th,unchanged,
