msgctxt,msgid,msgid_plural,target_lang,status,issues
,CoverNews,,de,unchanged,unchanged_like
,https://afthemes.com/products/covernews/,,de,unchanged,unchanged_like
,"CoverNews is a clean and elegant free WordPress theme that is perfect for online blog and magazine. With the help of block patterns, live customizer options and custom widgets, you can design your website as you like and preview the changes live. This theme is fully responsive that looks beautiful on all the screen sizes from small to large devices. As it includes many useful features that require to build an awesome looking website, you can implement the layout as a personal blog, modern news journals, fashion magazine, travel blogging & magazine, vibrant news sites and more. It is also compatible with Elementor, Gutenberg along with WooCommerce plugin that helps you to integrate an online business with your blog easily. The RTL language supported theme is well optimized that helps to rank your website in the top of search engines and users will get an outstanding support from the team if there will be any difficulties while using the theme. There are a number demos available for this theme so import the one you like and start to build a website. See our demos: https://afthemes.com/products/covernews/#aft-view-starter-sites Videos: https://www.youtube.com/@wpafthemes/ Docs: https://docs.afthemes.com/covernews/",,de,unchanged,
,AF themes,,de,unchanged,
,https://www.afthemes.com/,,de,unchanged,unchanged_like
,Oops! That page can&rsquo;t be found.,,de,unchanged,
,It looks like nothing was found at this location. Maybe try one of the links below or a search?,,de,unchanged,
,Dashboard,,de,new,
,Customize,,de,unchanged,
,Header Builder,,de,new,
,Footer Builder,,de,new,
,Starter Sites,,de,unchanged,
,Elementor Kits,,de,unchanged,
,Block Patterns,,de,unchanged,
,Upgrade to Pro,,de,unchanged,
,Upgrade Now,,de,new,
,The Templatespare plugin should be updated to the latest version,,de,unchanged,
,"Import a Starter Site, Personalize, and Live it in 3 Easy Steps!",,de,unchanged,
,Blockspare plugin version should be more than %s.,,de,unchanged,
,"One-click Demo Import, Block Editor Ready, No Code Required! Built with Blockspare.",,de,unchanged,
,Elespare plugin version should be more than %s.,,de,unchanged,
,"One-click Import, Header/Footer Builder, Multilingual Support! Powered by Elespare.",,de,unchanged,
,Are you sure you want to install this plugin?,,de,unchanged,
,Install Now,,de,unchanged,
,Activate,,de,unchanged,
,Activated,,de,unchanged,
,Get Starter Sites,,de,unchanged,
,Get Started,,de,unchanged,
,"The ""Get Started"" action will install/activate the Templatespare and Blockspare plugins for Starter Sites and Templates.",,de,unchanged,
,By,,de,unchanged,
,More Details,,de,unchanged,
,"👋 Welcome, and Thank You!",,de,new,
,"%s is now active. We're here to help you turn your ideas into a beautiful, professional website — quickly and confidently.",,de,new,
,🚀 Start With One Click,,de,new,
,"Choose from 100+ starter sites designed for blogs, magazines, businesses & more.
      Setup is simple — no coding required.",,de,new,
,View Demos,,de,new,
,Theme dashboard,,de,unchanged,
,🤝 We're Here for You,,de,new,
,Whether you're just starting or customizing your site,,de,new,
,Documentation,,de,unchanged,
,Videos,,de,unchanged,unchanged_like
,Support,,de,unchanged,
,Rate This Theme,,de,unchanged,
,"Sorry, you are not allowed to install plugins on this site.",,de,unchanged,
,"Error - unable to verify nonce, please try again.",,de,unchanged,
,"Sorry, you are not allowed to activate plugins on this site.",,de,unchanged,
,One thought on &ldquo;%1$s&rdquo;,,de,unchanged,
comments title,%1$s thought on &ldquo;%2$s&rdquo;,%1$s thoughts on &ldquo;%2$s&rdquo;,de,unchanged,
comments title,%1$s thought on &ldquo;%2$s&rdquo;,%1$s thoughts on &ldquo;%2$s&rdquo;,de,unchanged,
,Comments are closed.,,de,unchanged,
,%1$s by %2$s.,,de,unchanged,
,Primary Menu,,de,unchanged,
,Top Menu,,de,unchanged,
,Social Menu,,de,unchanged,
,Footer Menu,,de,unchanged,
Source Sans Pro font: on or off,on,,de,unchanged,
Lato font: on or off,on,,de,unchanged,
,Skip to content,,de,unchanged,
,Light/Dark Button,,de,new,
,"Click the setting <span class=""dashicons dashicons-admin-generic""></span> on each element to customize its settings.",,de,new,
,Hide builder panel,,de,new,
,Hide Builder,,de,new,
,Device view controls,,de,new,
,Choose an Element,,de,new,
,Close choose element modal,,de,new,
,Footer Layout,,de,new,
,Create dynamic header effortlessly with drag-and-drop builder.,,de,new,
,Header,,de,new,
,Create dynamic footer effortlessly with drag-and-drop builder.,,de,new,
,Footer,,de,unchanged,
,Enable %s Builder,,de,new,
,Add Element,,de,new,
,Remove Element,,de,new,
,Configure Element,,de,new,
,Desktop,,de,new,unchanged_like
,Element Settings,,de,new,
,Site & Logo,,de,new,
,Site Identity,,de,new,
,You can change Site Identity from %s.,,de,new,
,Promotion,,de,new,
,Off Canvas,,de,new,
,Off Canvas Widget Area,,de,new,
,This widget area is used in the mobile off-canvas panel. %s,,de,new,
,Manage widgets,,de,new,
,Primary menu,,de,new,
,Select Menu,,de,new,
,You can change Menu from menu panel. %s,,de,new,
,Manage menu,,de,new,
,Date,,de,new,
,Choose date format,,de,new,
,You can change date from general settings (Settings > General > Date Format). %s,,de,new,
,Manage Date,,de,new,
,Top Navigation,,de,new,
,pro,,de,new,
,Site Mode,,de,unchanged,
,Custom HTML,,de,new,
,HTML Content,,de,new,
,Search,,de,new,
,Searc Form,,de,new,
,Custom Link,,de,new,
,Custom link,,de,new,
,live,,de,new,unchanged_like
,Widget 1,,de,new,unchanged_like
,Select Widget,,de,new,
,Widget 2,,de,new,unchanged_like
,Widget 3,,de,new,unchanged_like
,Navigation,,de,new,unchanged_like
,Pro,,de,unchanged,
,Copyright,,de,new,unchanged_like
,Add widget to display . %s,,de,new,
,Beta,,de,new,unchanged_like
,No menu assigned,,de,new,
,All,,de,unchanged,
,Flash Story,,de,unchanged,
,Main Story,,de,unchanged,
,Editor's Picks,,de,unchanged,
,Trending Story,,de,unchanged,
,Featured Story,,de,unchanged,
,Read More,,de,unchanged,
,More Stories,,de,unchanged,
,You may have missed,,de,unchanged,
,Copyright &copy; All rights reserved.,,de,unchanged,unchanged_like
,Site Title Size,,de,unchanged,
,Site Title/Tagline Color,,de,unchanged,
,Header Image Mode,,de,unchanged,
,Image visibility may vary as per the mode,,de,unchanged,
,Set as Background,,de,unchanged,
,Show Full Image,,de,unchanged,
,Disable Image Tint/Overlay,,de,unchanged,
,Select global site mode,,de,unchanged,
,Default,,de,unchanged,
,Dark,,de,unchanged,
,Background Color will not be applicable for this mode.,,de,unchanged,
,CoverNews Pro,,de,unchanged,unchanged_like
,Upgrade now,,de,unchanged,
,Front-page Options,,de,new,
,Banner Advertisement,,de,unchanged,
,Banner Section Advertisement,,de,unchanged,
,Recommended Size %1$s px X %2$s px,,de,unchanged,
,URL Link,,de,unchanged,
,Open in new tab,,de,unchanged,
,Show banner advertisement on,,de,unchanged,
,Select scope to display on banner advertisement section,,de,unchanged,
,Show on Homepage only,,de,unchanged,
,Show sitewide,,de,unchanged,
,Flash Posts,,de,unchanged,
,Enable Flash Posts Section,,de,unchanged,
,Flash Story Title,,de,unchanged,
,Flash Posts Category,,de,unchanged,
,Select category to be shown on trending posts ,,de,unchanged,
,Main Banner Section,,de,unchanged,
,Enable Main Banner Slider,,de,unchanged,
,Banner Section Order,,de,unchanged,
,Select Banner Section Order,,de,unchanged,
,Order 2,,de,unchanged,
,Main Story Section,,de,unchanged,
,Main Story Slider Title,,de,unchanged,
,Slider Posts Category,,de,unchanged,
,Select category to be shown on Main Story slider section,,de,unchanged,
,Editor's Picks Section,,de,unchanged,
,Editor's Picks Title,,de,unchanged,
,Editor's Picks Category,,de,unchanged,
,Select category to be shown on Editor's Picks section,,de,unchanged,
,Trending Story Section,,de,unchanged,
,Trending Vertical Slider Title,,de,unchanged,
,Trending News Category,,de,unchanged,
,Select category to be shown on Trending section,,de,unchanged,
,Disable main banner section on blog archive,,de,unchanged,
,"The option will disable trending news, main slider, featured news, featured products from blog archive page.",,de,unchanged,
,Featured Posts Section,,de,unchanged,
