msgctxt,msgid,msgid_plural,target_lang,status,issues
,CoverNews,,en,unchanged,unchanged_like
,https://afthemes.com/products/covernews/,,en,unchanged,unchanged_like
,"CoverNews is a clean and elegant free WordPress theme that is perfect for online blog and magazine. With the help of block patterns, live customizer options and custom widgets, you can design your website as you like and preview the changes live. This theme is fully responsive that looks beautiful on all the screen sizes from small to large devices. As it includes many useful features that require to build an awesome looking website, you can implement the layout as a personal blog, modern news journals, fashion magazine, travel blogging & magazine, vibrant news sites and more. It is also compatible with Elementor, Gutenberg along with WooCommerce plugin that helps you to integrate an online business with your blog easily. The RTL language supported theme is well optimized that helps to rank your website in the top of search engines and users will get an outstanding support from the team if there will be any difficulties while using the theme. There are a number demos available for this theme so import the one you like and start to build a website. See our demos: https://afthemes.com/products/covernews/#aft-view-starter-sites Videos: https://www.youtube.com/@wpafthemes/ Docs: https://docs.afthemes.com/covernews/",,en,unchanged,unchanged_like
,AF themes,,en,unchanged,unchanged_like
,https://www.afthemes.com/,,en,unchanged,unchanged_like
,Oops! That page can&rsquo;t be found.,,en,unchanged,unchanged_like
,It looks like nothing was found at this location. Maybe try one of the links below or a search?,,en,unchanged,unchanged_like
,Dashboard,,en,new,unchanged_like
,Customize,,en,unchanged,unchanged_like
,Header Builder,,en,new,unchanged_like
,Footer Builder,,en,new,unchanged_like
,Starter Sites,,en,unchanged,unchanged_like
,Elementor Kits,,en,unchanged,unchanged_like
,Block Patterns,,en,unchanged,unchanged_like
,Upgrade to Pro,,en,unchanged,unchanged_like
,Upgrade Now,,en,new,unchanged_like
,The Templatespare plugin should be updated to the latest version,,en,unchanged,unchanged_like
,"Import a Starter Site, Personalize, and Live it in 3 Easy Steps!",,en,unchanged,unchanged_like
,Blockspare plugin version should be more than %s.,,en,unchanged,unchanged_like
,"One-click Demo Import, Block Editor Ready, No Code Required! Built with Blockspare.",,en,unchanged,unchanged_like
,Elespare plugin version should be more than %s.,,en,unchanged,unchanged_like
,"One-click Import, Header/Footer Builder, Multilingual Support! Powered by Elespare.",,en,unchanged,unchanged_like
,Are you sure you want to install this plugin?,,en,unchanged,unchanged_like
,Install Now,,en,unchanged,unchanged_like
,Activate,,en,unchanged,unchanged_like
,Activated,,en,unchanged,unchanged_like
,Get Starter Sites,,en,unchanged,unchanged_like
,Get Started,,en,unchanged,unchanged_like
,"The ""Get Started"" action will install/activate the Templatespare and Blockspare plugins for Starter Sites and Templates.",,en,unchanged,unchanged_like
,By,,en,unchanged,unchanged_like
,More Details,,en,unchanged,unchanged_like
,"👋 Welcome, and Thank You!",,en,new,unchanged_like
,"%s is now active. We're here to help you turn your ideas into a beautiful, professional website — quickly and confidently.",,en,new,unchanged_like
,🚀 Start With One Click,,en,new,unchanged_like
,"Choose from 100+ starter sites designed for blogs, magazines, businesses & more.
      Setup is simple — no coding required.",,en,new,
,View Demos,,en,new,unchanged_like
,Theme dashboard,,en,unchanged,unchanged_like
,🤝 We're Here for You,,en,new,unchanged_like
,Whether you're just starting or customizing your site,,en,new,unchanged_like
,Documentation,,en,unchanged,unchanged_like
,Videos,,en,unchanged,unchanged_like
,Support,,en,unchanged,unchanged_like
,Rate This Theme,,en,unchanged,unchanged_like
,"Sorry, you are not allowed to install plugins on this site.",,en,unchanged,unchanged_like
,"Error - unable to verify nonce, please try again.",,en,unchanged,unchanged_like
,"Sorry, you are not allowed to activate plugins on this site.",,en,unchanged,unchanged_like
,One thought on &ldquo;%1$s&rdquo;,,en,unchanged,unchanged_like
comments title,%1$s thought on &ldquo;%2$s&rdquo;,%1$s thoughts on &ldquo;%2$s&rdquo;,en,unchanged,unchanged_like
comments title,%1$s thought on &ldquo;%2$s&rdquo;,%1$s thoughts on &ldquo;%2$s&rdquo;,en,unchanged,
,Comments are closed.,,en,unchanged,unchanged_like
,%1$s by %2$s.,,en,unchanged,unchanged_like
,Primary Menu,,en,unchanged,unchanged_like
,Top Menu,,en,unchanged,unchanged_like
,Social Menu,,en,unchanged,unchanged_like
,Footer Menu,,en,unchanged,unchanged_like
Source Sans Pro font: on or off,on,,en,unchanged,unchanged_like
Lato font: on or off,on,,en,unchanged,unchanged_like
,Skip to content,,en,unchanged,unchanged_like
,Light/Dark Button,,en,new,unchanged_like
,"Click the setting <span class=""dashicons dashicons-admin-generic""></span> on each element to customize its settings.",,en,new,unchanged_like
,Hide builder panel,,en,new,unchanged_like
,Hide Builder,,en,new,unchanged_like
,Device view controls,,en,new,unchanged_like
,Choose an Element,,en,new,unchanged_like
,Close choose element modal,,en,new,unchanged_like
,Footer Layout,,en,new,unchanged_like
,Create dynamic header effortlessly with drag-and-drop builder.,,en,new,unchanged_like
,Header,,en,new,unchanged_like
,Create dynamic footer effortlessly with drag-and-drop builder.,,en,new,unchanged_like
,Footer,,en,unchanged,unchanged_like
,Enable %s Builder,,en,new,unchanged_like
,Add Element,,en,new,unchanged_like
,Remove Element,,en,new,unchanged_like
,Configure Element,,en,new,unchanged_like
,Desktop,,en,new,unchanged_like
,Element Settings,,en,new,unchanged_like
,Site & Logo,,en,new,unchanged_like
,Site Identity,,en,new,unchanged_like
,You can change Site Identity from %s.,,en,new,unchanged_like
,Promotion,,en,new,unchanged_like
,Off Canvas,,en,new,unchanged_like
,Off Canvas Widget Area,,en,new,unchanged_like
,This widget area is used in the mobile off-canvas panel. %s,,en,new,unchanged_like
,Manage widgets,,en,new,unchanged_like
,Primary menu,,en,new,unchanged_like
,Select Menu,,en,new,unchanged_like
,You can change Menu from menu panel. %s,,en,new,unchanged_like
,Manage menu,,en,new,unchanged_like
,Date,,en,new,unchanged_like
,Choose date format,,en,new,unchanged_like
,You can change date from general settings (Settings > General > Date Format). %s,,en,new,unchanged_like
,Manage Date,,en,new,unchanged_like
,Top Navigation,,en,new,unchanged_like
,pro,,en,new,unchanged_like
,Site Mode,,en,unchanged,unchanged_like
,Custom HTML,,en,new,unchanged_like
,HTML Content,,en,new,unchanged_like
,Search,,en,new,unchanged_like
,Searc Form,,en,new,
,Custom Link,,en,new,unchanged_like
,Custom link,,en,new,unchanged_like
,live,,en,new,unchanged_like
,Widget 1,,en,new,unchanged_like
,Select Widget,,en,new,unchanged_like
,Widget 2,,en,new,unchanged_like
,Widget 3,,en,new,unchanged_like
,Navigation,,en,new,unchanged_like
,Pro,,en,unchanged,unchanged_like
,Copyright,,en,new,unchanged_like
,Add widget to display . %s,,en,new,
,Beta,,en,new,unchanged_like
,No menu assigned,,en,new,unchanged_like
,All,,en,unchanged,unchanged_like
,Flash Story,,en,unchanged,unchanged_like
,Main Story,,en,unchanged,unchanged_like
,Editor's Picks,,en,unchanged,unchanged_like
,Trending Story,,en,unchanged,unchanged_like
,Featured Story,,en,unchanged,unchanged_like
,Read More,,en,unchanged,unchanged_like
,More Stories,,en,unchanged,unchanged_like
,You may have missed,,en,unchanged,unchanged_like
,Copyright &copy; All rights reserved.,,en,unchanged,unchanged_like
,Site Title Size,,en,unchanged,unchanged_like
,Site Title/Tagline Color,,en,unchanged,unchanged_like
,Header Image Mode,,en,unchanged,unchanged_like
,Image visibility may vary as per the mode,,en,unchanged,unchanged_like
,Set as Background,,en,unchanged,unchanged_like
,Show Full Image,,en,unchanged,unchanged_like
,Disable Image Tint/Overlay,,en,unchanged,unchanged_like
,Select global site mode,,en,unchanged,unchanged_like
,Default,,en,unchanged,unchanged_like
,Dark,,en,unchanged,unchanged_like
,Background Color will not be applicable for this mode.,,en,unchanged,unchanged_like
,CoverNews Pro,,en,unchanged,unchanged_like
,Upgrade now,,en,unchanged,unchanged_like
,Front-page Options,,en,new,unchanged_like
,Banner Advertisement,,en,unchanged,unchanged_like
,Banner Section Advertisement,,en,unchanged,unchanged_like
,Recommended Size %1$s px X %2$s px,,en,unchanged,unchanged_like
,URL Link,,en,unchanged,unchanged_like
,Open in new tab,,en,unchanged,unchanged_like
,Show banner advertisement on,,en,unchanged,unchanged_like
,Select scope to display on banner advertisement section,,en,unchanged,unchanged_like
,Show on Homepage only,,en,unchanged,unchanged_like
,Show sitewide,,en,unchanged,unchanged_like
,Flash Posts,,en,unchanged,unchanged_like
,Enable Flash Posts Section,,en,unchanged,unchanged_like
,Flash Story Title,,en,unchanged,unchanged_like
,Flash Posts Category,,en,unchanged,unchanged_like
,Select category to be shown on trending posts ,,en,unchanged,unchanged_like
,Main Banner Section,,en,unchanged,unchanged_like
,Enable Main Banner Slider,,en,unchanged,unchanged_like
,Banner Section Order,,en,unchanged,unchanged_like
,Select Banner Section Order,,en,unchanged,unchanged_like
,Order 2,,en,unchanged,unchanged_like
,Main Story Section,,en,unchanged,unchanged_like
,Main Story Slider Title,,en,unchanged,unchanged_like
,Slider Posts Category,,en,unchanged,unchanged_like
,Select category to be shown on Main Story slider section,,en,unchanged,unchanged_like
,Editor's Picks Section,,en,unchanged,unchanged_like
,Editor's Picks Title,,en,unchanged,unchanged_like
,Editor's Picks Category,,en,unchanged,unchanged_like
,Select category to be shown on Editor's Picks section,,en,unchanged,unchanged_like
,Trending Story Section,,en,unchanged,unchanged_like
,Trending Vertical Slider Title,,en,unchanged,unchanged_like
,Trending News Category,,en,unchanged,unchanged_like
,Select category to be shown on Trending section,,en,unchanged,unchanged_like
,Disable main banner section on blog archive,,en,unchanged,unchanged_like
,"The option will disable trending news, main slider, featured news, featured products from blog archive page.",,en,unchanged,unchanged_like
,Featured Posts Section,,en,unchanged,unchanged_like
,Enable Featured New Section,,en,unchanged,unchanged_like
,Featured Posts Section Title,,en,unchanged,unchanged_like
,Featured Posts Category,,en,unchanged,unchanged_like
,Select category to be shown on featured section ,,en,unchanged,unchanged_like
,Front-page Layout Settings,,en,new,unchanged_like
,Front-page Content alignment,,en,new,unchanged_like
,Select frontpage content alignment,,en,unchanged,unchanged_like
,Home Content - Home Sidebar,,en,unchanged,unchanged_like
,Home Sidebar - Home Content,,en,unchanged,unchanged_like
,Only Home Content,,en,unchanged,unchanged_like
,Theme Options,,en,unchanged,unchanged_like
,Preloader Options,,en,unchanged,unchanged_like
,Enable preloader,,en,unchanged,unchanged_like
,Header Options,,en,unchanged,unchanged_like
,Show date on top header,,en,unchanged,unchanged_like
,Show social menu on top header,,en,unchanged,unchanged_like
,Disable Sticky Header,,en,unchanged,unchanged_like
,Breadcrumb Options,,en,unchanged,unchanged_like
,Show breadcrumbs,,en,unchanged,unchanged_like
,Select Breadcrumbs,,en,unchanged,unchanged_like
,Please ensure that you have enabled the plugin's breadcrumbs before choosing other than Default,,en,unchanged,unchanged_like
,Yoast SEO,,en,unchanged,unchanged_like
,Rank Math,,en,unchanged,unchanged_like
,NavXT,,en,unchanged,unchanged_like
,Global Settings,,en,unchanged,unchanged_like
,Global Fonts Family,,en,new,unchanged_like
,Google Fonts,,en,new,unchanged_like
,System Fonts,,en,new,unchanged_like
,Disable Emoji Script,,en,new,unchanged_like
,GDPR friendly & better performance,,en,new,unchanged_like
,Conatiner Width,,en,unchanged,unchanged_like
,Select Conatiner Width,,en,unchanged,unchanged_like
,Wide,,en,unchanged,unchanged_like
,Full Width,,en,unchanged,unchanged_like
,Content Alignment,,en,unchanged,unchanged_like
,Select global content alignment,,en,unchanged,unchanged_like
,Content - Primary sidebar,,en,unchanged,unchanged_like
,Primary sidebar - Content,,en,unchanged,unchanged_like
,Full width content,,en,unchanged,unchanged_like
,Image Lazy Loading,,en,unchanged,unchanged_like
,Enable ,,en,unchanged,unchanged_like
,Disable,,en,unchanged,unchanged_like
,Date and Author Display,,en,unchanged,unchanged_like
,Select date and author display settings below post title,,en,unchanged,unchanged_like
,Show Date and Author,,en,unchanged,unchanged_like
,Show Date Only,,en,unchanged,unchanged_like
,Show Author Only,,en,unchanged,unchanged_like
,Hide All,,en,unchanged,unchanged_like
,Date Display Format,,en,unchanged,unchanged_like
,Select date display display format,,en,unchanged,unchanged_like
,Date Format by Theme,,en,unchanged,unchanged_like
,WordPress Default Date Format,,en,unchanged,unchanged_like
,Show Comment Count,,en,unchanged,unchanged_like
,Enable,,en,unchanged,unchanged_like
,Single Posts Settings,,en,unchanged,unchanged_like
,Show Featured Image,,en,unchanged,unchanged_like
,Global Content Mode,,en,unchanged,unchanged_like
,Individual posts edit panel also have the option,,en,unchanged,unchanged_like
,Spacious,,en,unchanged,unchanged_like
,Show Tags Below Content,,en,unchanged,unchanged_like
,Yes,,en,unchanged,unchanged_like
,No,,en,unchanged,unchanged_like
,Sidebar Settings,,en,unchanged,unchanged_like
,Make Sidebar Sticky,,en,unchanged,unchanged_like
,Sidebar Sticky Position,,en,unchanged,unchanged_like
,Top,,en,unchanged,unchanged_like
,Bottom,,en,unchanged,unchanged_like
,Archive Settings,,en,unchanged,unchanged_like
,Archive layout,,en,unchanged,unchanged_like
,Select layout for archive,,en,unchanged,unchanged_like
,Full,,en,unchanged,unchanged_like
