msgctxt,msgid,msgid_plural,target_lang,status,issues
,CoverNews,,hi,unchanged,
,https://afthemes.com/products/covernews/,,hi,unchanged,unchanged_like
,"CoverNews is a clean and elegant free WordPress theme that is perfect for online blog and magazine. With the help of block patterns, live customizer options and custom widgets, you can design your website as you like and preview the changes live. This theme is fully responsive that looks beautiful on all the screen sizes from small to large devices. As it includes many useful features that require to build an awesome looking website, you can implement the layout as a personal blog, modern news journals, fashion magazine, travel blogging & magazine, vibrant news sites and more. It is also compatible with Elementor, Gutenberg along with WooCommerce plugin that helps you to integrate an online business with your blog easily. The RTL language supported theme is well optimized that helps to rank your website in the top of search engines and users will get an outstanding support from the team if there will be any difficulties while using the theme. There are a number demos available for this theme so import the one you like and start to build a website. See our demos: https://afthemes.com/products/covernews/#aft-view-starter-sites Videos: https://www.youtube.com/@wpafthemes/ Docs: https://docs.afthemes.com/covernews/",,hi,unchanged,
,AF themes,,hi,unchanged,
,https://www.afthemes.com/,,hi,unchanged,unchanged_like
,Oops! That page can&rsquo;t be found.,,hi,unchanged,
,It looks like nothing was found at this location. Maybe try one of the links below or a search?,,hi,unchanged,
,Dashboard,,hi,new,
,Customize,,hi,unchanged,
,Header Builder,,hi,new,
,Footer Builder,,hi,new,
,Starter Sites,,hi,unchanged,
,Elementor Kits,,hi,unchanged,
,Block Patterns,,hi,unchanged,
,Upgrade to Pro,,hi,unchanged,
,Upgrade Now,,hi,new,
,The Templatespare plugin should be updated to the latest version,,hi,unchanged,
,"Import a Starter Site, Personalize, and Live it in 3 Easy Steps!",,hi,unchanged,
,Blockspare plugin version should be more than %s.,,hi,unchanged,
,"One-click Demo Import, Block Editor Ready, No Code Required! Built with Blockspare.",,hi,unchanged,
,Elespare plugin version should be more than %s.,,hi,unchanged,
,"One-click Import, Header/Footer Builder, Multilingual Support! Powered by Elespare.",,hi,unchanged,
,Are you sure you want to install this plugin?,,hi,unchanged,
,Install Now,,hi,unchanged,
,Activate,,hi,unchanged,
,Activated,,hi,unchanged,
,Get Starter Sites,,hi,unchanged,
,Get Started,,hi,unchanged,
,"The ""Get Started"" action will install/activate the Templatespare and Blockspare plugins for Starter Sites and Templates.",,hi,unchanged,
,By,,hi,unchanged,
,More Details,,hi,unchanged,
,"👋 Welcome, and Thank You!",,hi,new,
,"%s is now active. We're here to help you turn your ideas into a beautiful, professional website — quickly and confidently.",,hi,new,
,🚀 Start With One Click,,hi,new,
,"Choose from 100+ starter sites designed for blogs, magazines, businesses & more.
      Setup is simple — no coding required.",,hi,new,
,View Demos,,hi,new,
,Theme dashboard,,hi,unchanged,
,🤝 We're Here for You,,hi,new,
,Whether you're just starting or customizing your site,,hi,new,
,Documentation,,hi,unchanged,
,Videos,,hi,unchanged,
,Support,,hi,unchanged,
,Rate This Theme,,hi,unchanged,
,"Sorry, you are not allowed to install plugins on this site.",,hi,unchanged,
,"Error - unable to verify nonce, please try again.",,hi,unchanged,
,"Sorry, you are not allowed to activate plugins on this site.",,hi,unchanged,
,One thought on &ldquo;%1$s&rdquo;,,hi,unchanged,
comments title,%1$s thought on &ldquo;%2$s&rdquo;,%1$s thoughts on &ldquo;%2$s&rdquo;,hi,unchanged,
comments title,%1$s thought on &ldquo;%2$s&rdquo;,%1$s thoughts on &ldquo;%2$s&rdquo;,hi,unchanged,
,Comments are closed.,,hi,unchanged,
,%1$s by %2$s.,,hi,unchanged,
,Primary Menu,,hi,unchanged,
,Top Menu,,hi,unchanged,
,Social Menu,,hi,unchanged,
,Footer Menu,,hi,unchanged,
Source Sans Pro font: on or off,on,,hi,unchanged,
Lato font: on or off,on,,hi,unchanged,
,Skip to content,,hi,unchanged,
,Light/Dark Button,,hi,new,
,"Click the setting <span class=""dashicons dashicons-admin-generic""></span> on each element to customize its settings.",,hi,new,
,Hide builder panel,,hi,new,
,Hide Builder,,hi,new,
,Device view controls,,hi,new,
,Choose an Element,,hi,new,
,Close choose element modal,,hi,new,
,Footer Layout,,hi,new,
,Create dynamic header effortlessly with drag-and-drop builder.,,hi,new,
,Header,,hi,new,
,Create dynamic footer effortlessly with drag-and-drop builder.,,hi,new,
,Footer,,hi,unchanged,
,Enable %s Builder,,hi,new,
,Add Element,,hi,new,
,Remove Element,,hi,new,
,Configure Element,,hi,new,
,Desktop,,hi,new,
,Element Settings,,hi,new,
,Site & Logo,,hi,new,
,Site Identity,,hi,new,
,You can change Site Identity from %s.,,hi,new,
,Promotion,,hi,new,
,Off Canvas,,hi,new,
,Off Canvas Widget Area,,hi,new,
,This widget area is used in the mobile off-canvas panel. %s,,hi,new,
,Manage widgets,,hi,new,
,Primary menu,,hi,new,
,Select Menu,,hi,new,
,You can change Menu from menu panel. %s,,hi,new,
,Manage menu,,hi,new,
,Date,,hi,new,
,Choose date format,,hi,new,
,You can change date from general settings (Settings > General > Date Format). %s,,hi,new,
,Manage Date,,hi,new,
,Top Navigation,,hi,new,
,pro,,hi,new,
,Site Mode,,hi,unchanged,
,Custom HTML,,hi,new,
,HTML Content,,hi,new,
,Search,,hi,new,
,Searc Form,,hi,new,
,Custom Link,,hi,new,
,Custom link,,hi,new,
,live,,hi,new,
,Widget 1,,hi,new,
,Select Widget,,hi,new,
,Widget 2,,hi,new,
,Widget 3,,hi,new,
,Navigation,,hi,new,
,Pro,,hi,unchanged,
,Copyright,,hi,new,
,Add widget to display . %s,,hi,new,
,Beta,,hi,new,
,No menu assigned,,hi,new,
,All,,hi,unchanged,
,Flash Story,,hi,unchanged,
,Main Story,,hi,unchanged,
,Editor's Picks,,hi,unchanged,
,Trending Story,,hi,unchanged,
,Featured Story,,hi,unchanged,
,Read More,,hi,unchanged,
,More Stories,,hi,unchanged,
,You may have missed,,hi,unchanged,
,Copyright &copy; All rights reserved.,,hi,unchanged,unchanged_like
,Site Title Size,,hi,unchanged,
,Site Title/Tagline Color,,hi,unchanged,
,Header Image Mode,,hi,unchanged,
,Image visibility may vary as per the mode,,hi,unchanged,
,Set as Background,,hi,unchanged,
,Show Full Image,,hi,unchanged,
,Disable Image Tint/Overlay,,hi,unchanged,
,Select global site mode,,hi,unchanged,
,Default,,hi,unchanged,
,Dark,,hi,unchanged,
,Background Color will not be applicable for this mode.,,hi,unchanged,
,CoverNews Pro,,hi,unchanged,
,Upgrade now,,hi,unchanged,
,Front-page Options,,hi,new,
,Banner Advertisement,,hi,unchanged,
,Banner Section Advertisement,,hi,unchanged,
,Recommended Size %1$s px X %2$s px,,hi,unchanged,
,URL Link,,hi,unchanged,
,Open in new tab,,hi,unchanged,
,Show banner advertisement on,,hi,unchanged,
,Select scope to display on banner advertisement section,,hi,unchanged,
,Show on Homepage only,,hi,unchanged,
,Show sitewide,,hi,unchanged,
,Flash Posts,,hi,unchanged,
,Enable Flash Posts Section,,hi,unchanged,
,Flash Story Title,,hi,unchanged,
,Flash Posts Category,,hi,unchanged,
,Select category to be shown on trending posts ,,hi,unchanged,
,Main Banner Section,,hi,unchanged,
,Enable Main Banner Slider,,hi,unchanged,
,Banner Section Order,,hi,unchanged,
,Select Banner Section Order,,hi,unchanged,
,Order 2,,hi,unchanged,
,Main Story Section,,hi,unchanged,
,Main Story Slider Title,,hi,unchanged,
,Slider Posts Category,,hi,unchanged,
,Select category to be shown on Main Story slider section,,hi,unchanged,
,Editor's Picks Section,,hi,unchanged,
,Editor's Picks Title,,hi,unchanged,
,Editor's Picks Category,,hi,unchanged,
,Select category to be shown on Editor's Picks section,,hi,unchanged,
,Trending Story Section,,hi,unchanged,
,Trending Vertical Slider Title,,hi,unchanged,
,Trending News Category,,hi,unchanged,
,Select category to be shown on Trending section,,hi,unchanged,
,Disable main banner section on blog archive,,hi,unchanged,
,"The option will disable trending news, main slider, featured news, featured products from blog archive page.",,hi,unchanged,
,Featured Posts Section,,hi,unchanged,
,Enable Featured New Section,,hi,unchanged,
,Featured Posts Section Title,,hi,unchanged,
,Featured Posts Category,,hi,unchanged,
,Select category to be shown on featured section ,,hi,unchanged,
,Front-page Layout Settings,,hi,new,
,Front-page Content alignment,,hi,new,
,Select frontpage content alignment,,hi,unchanged,
,Home Content - Home Sidebar,,hi,unchanged,
,Home Sidebar - Home Content,,hi,unchanged,
,Only Home Content,,hi,unchanged,
,Theme Options,,hi,unchanged,
,Preloader Options,,hi,unchanged,
,Enable preloader,,hi,unchanged,
,Header Options,,hi,unchanged,
,Show date on top header,,hi,unchanged,
,Show social menu on top header,,hi,unchanged,
,Disable Sticky Header,,hi,unchanged,
,Breadcrumb Options,,hi,unchanged,
,Show breadcrumbs,,hi,unchanged,
,Select Breadcrumbs,,hi,unchanged,
,Please ensure that you have enabled the plugin's breadcrumbs before choosing other than Default,,hi,unchanged,
,Yoast SEO,,hi,unchanged,
,Rank Math,,hi,unchanged,
,NavXT,,hi,unchanged,unchanged_like
,Global Settings,,hi,unchanged,
,Global Fonts Family,,hi,new,
,Google Fonts,,hi,new,
,System Fonts,,hi,new,
,Disable Emoji Script,,hi,new,
,GDPR friendly & better performance,,hi,new,
,Conatiner Width,,hi,unchanged,
,Select Conatiner Width,,hi,unchanged,
,Wide,,hi,unchanged,
,Full Width,,hi,unchanged,
,Content Alignment,,hi,unchanged,
,Select global content alignment,,hi,unchanged,
,Content - Primary sidebar,,hi,unchanged,
,Primary sidebar - Content,,hi,unchanged,
,Full width content,,hi,unchanged,
,Image Lazy Loading,,hi,unchanged,
,Enable ,,hi,unchanged,
,Disable,,hi,unchanged,
,Date and Author Display,,hi,unchanged,
,Select date and author display settings below post title,,hi,unchanged,
,Show Date and Author,,hi,unchanged,
,Show Date Only,,hi,unchanged,
,Show Author Only,,hi,unchanged,
,Hide All,,hi,unchanged,
