msgctxt,msgid,msgid_plural,target_lang,status,issues
,CoverNews,,it,unchanged,unchanged_like
,https://afthemes.com/products/covernews/,,it,unchanged,unchanged_like
,"CoverNews is a clean and elegant free WordPress theme that is perfect for online blog and magazine. With the help of block patterns, live customizer options and custom widgets, you can design your website as you like and preview the changes live. This theme is fully responsive that looks beautiful on all the screen sizes from small to large devices. As it includes many useful features that require to build an awesome looking website, you can implement the layout as a personal blog, modern news journals, fashion magazine, travel blogging & magazine, vibrant news sites and more. It is also compatible with Elementor, Gutenberg along with WooCommerce plugin that helps you to integrate an online business with your blog easily. The RTL language supported theme is well optimized that helps to rank your website in the top of search engines and users will get an outstanding support from the team if there will be any difficulties while using the theme. There are a number demos available for this theme so import the one you like and start to build a website. See our demos: https://afthemes.com/products/covernews/#aft-view-starter-sites Videos: https://www.youtube.com/@wpafthemes/ Docs: https://docs.afthemes.com/covernews/",,it,unchanged,
,AF themes,,it,unchanged,
,https://www.afthemes.com/,,it,unchanged,unchanged_like
,Oops! That page can&rsquo;t be found.,,it,unchanged,
,It looks like nothing was found at this location. Maybe try one of the links below or a search?,,it,unchanged,
,Dashboard,,it,new,
,Customize,,it,unchanged,
,Header Builder,,it,new,
,Footer Builder,,it,new,
,Starter Sites,,it,unchanged,
,Elementor Kits,,it,unchanged,
,Block Patterns,,it,unchanged,
,Upgrade to Pro,,it,unchanged,
,Upgrade Now,,it,new,
,The Templatespare plugin should be updated to the latest version,,it,unchanged,
,"Import a Starter Site, Personalize, and Live it in 3 Easy Steps!",,it,unchanged,
,Blockspare plugin version should be more than %s.,,it,unchanged,
,"One-click Demo Import, Block Editor Ready, No Code Required! Built with Blockspare.",,it,unchanged,
,Elespare plugin version should be more than %s.,,it,unchanged,
,"One-click Import, Header/Footer Builder, Multilingual Support! Powered by Elespare.",,it,unchanged,
,Are you sure you want to install this plugin?,,it,unchanged,
,Install Now,,it,unchanged,
,Activate,,it,unchanged,
,Activated,,it,unchanged,
,Get Starter Sites,,it,unchanged,
,Get Started,,it,unchanged,
,"The ""Get Started"" action will install/activate the Templatespare and Blockspare plugins for Starter Sites and Templates.",,it,unchanged,
,By,,it,unchanged,
,More Details,,it,unchanged,
,"👋 Welcome, and Thank You!",,it,new,
,"%s is now active. We're here to help you turn your ideas into a beautiful, professional website — quickly and confidently.",,it,new,
,🚀 Start With One Click,,it,new,
,"Choose from 100+ starter sites designed for blogs, magazines, businesses & more.
      Setup is simple — no coding required.",,it,new,
,View Demos,,it,new,
,Theme dashboard,,it,unchanged,
,🤝 We're Here for You,,it,new,
,Whether you're just starting or customizing your site,,it,new,
,Documentation,,it,unchanged,
,Videos,,it,unchanged,
,Support,,it,unchanged,
,Rate This Theme,,it,unchanged,
,"Sorry, you are not allowed to install plugins on this site.",,it,unchanged,
,"Error - unable to verify nonce, please try again.",,it,unchanged,
