msgctxt,msgid,msgid_plural,target_lang,status,issues
,CoverNews,,ne,unchanged,
,https://afthemes.com/products/covernews/,,ne,unchanged,unchanged_like
,"CoverNews is a clean and elegant free WordPress theme that is perfect for online blog and magazine. With the help of block patterns, live customizer options and custom widgets, you can design your website as you like and preview the changes live. This theme is fully responsive that looks beautiful on all the screen sizes from small to large devices. As it includes many useful features that require to build an awesome looking website, you can implement the layout as a personal blog, modern news journals, fashion magazine, travel blogging & magazine, vibrant news sites and more. It is also compatible with Elementor, Gutenberg along with WooCommerce plugin that helps you to integrate an online business with your blog easily. The RTL language supported theme is well optimized that helps to rank your website in the top of search engines and users will get an outstanding support from the team if there will be any difficulties while using the theme. There are a number demos available for this theme so import the one you like and start to build a website. See our demos: https://afthemes.com/products/covernews/#aft-view-starter-sites Videos: https://www.youtube.com/@wpafthemes/ Docs: https://docs.afthemes.com/covernews/",,ne,unchanged,
,AF themes,,ne,unchanged,
,https://www.afthemes.com/,,ne,unchanged,unchanged_like
,Oops! That page can&rsquo;t be found.,,ne,unchanged,
,It looks like nothing was found at this location. Maybe try one of the links below or a search?,,ne,unchanged,
,Dashboard,,ne,new,
,Customize,,ne,unchanged,
,Header Builder,,ne,new,
,Footer Builder,,ne,new,
,Starter Sites,,ne,unchanged,
,Elementor Kits,,ne,unchanged,
,Block Patterns,,ne,unchanged,
,Upgrade to Pro,,ne,unchanged,
,Upgrade Now,,ne,new,
,The Templatespare plugin should be updated to the latest version,,ne,unchanged,
,"Import a Starter Site, Personalize, and Live it in 3 Easy Steps!",,ne,unchanged,
,Blockspare plugin version should be more than %s.,,ne,unchanged,
,"One-click Demo Import, Block Editor Ready, No Code Required! Built with Blockspare.",,ne,unchanged,
,Elespare plugin version should be more than %s.,,ne,unchanged,
,"One-click Import, Header/Footer Builder, Multilingual Support! Powered by Elespare.",,ne,unchanged,
,Are you sure you want to install this plugin?,,ne,unchanged,
,Install Now,,ne,unchanged,
,Activate,,ne,unchanged,
,Activated,,ne,unchanged,
,Get Starter Sites,,ne,unchanged,
,Get Started,,ne,unchanged,
,"The ""Get Started"" action will install/activate the Templatespare and Blockspare plugins for Starter Sites and Templates.",,ne,unchanged,
,By,,ne,unchanged,
,More Details,,ne,unchanged,
,"👋 Welcome, and Thank You!",,ne,new,
,"%s is now active. We're here to help you turn your ideas into a beautiful, professional website — quickly and confidently.",,ne,new,
,🚀 Start With One Click,,ne,new,
,"Choose from 100+ starter sites designed for blogs, magazines, businesses & more.
      Setup is simple — no coding required.",,ne,new,
,View Demos,,ne,new,
,Theme dashboard,,ne,unchanged,
,🤝 We're Here for You,,ne,new,
,Whether you're just starting or customizing your site,,ne,new,
,Documentation,,ne,unchanged,
,Videos,,ne,unchanged,
,Support,,ne,unchanged,
,Rate This Theme,,ne,unchanged,
,"Sorry, you are not allowed to install plugins on this site.",,ne,unchanged,
,"Error - unable to verify nonce, please try again.",,ne,unchanged,
,"Sorry, you are not allowed to activate plugins on this site.",,ne,unchanged,
,One thought on &ldquo;%1$s&rdquo;,,ne,unchanged,
comments title,%1$s thought on &ldquo;%2$s&rdquo;,%1$s thoughts on &ldquo;%2$s&rdquo;,ne,unchanged,
comments title,%1$s thought on &ldquo;%2$s&rdquo;,%1$s thoughts on &ldquo;%2$s&rdquo;,ne,unchanged,
,Comments are closed.,,ne,unchanged,
,%1$s by %2$s.,,ne,unchanged,
,Primary Menu,,ne,unchanged,
,Top Menu,,ne,unchanged,
,Social Menu,,ne,unchanged,
,Footer Menu,,ne,unchanged,
Source Sans Pro font: on or off,on,,ne,unchanged,
Lato font: on or off,on,,ne,unchanged,
,Skip to content,,ne,unchanged,
,Light/Dark Button,,ne,new,
,"Click the setting <span class=""dashicons dashicons-admin-generic""></span> on each element to customize its settings.",,ne,new,
,Hide builder panel,,ne,new,
,Hide Builder,,ne,new,
,Device view controls,,ne,new,
,Choose an Element,,ne,new,
,Close choose element modal,,ne,new,
,Footer Layout,,ne,new,
,Create dynamic header effortlessly with drag-and-drop builder.,,ne,new,
,Header,,ne,new,
,Create dynamic footer effortlessly with drag-and-drop builder.,,ne,new,
,Footer,,ne,unchanged,
,Enable %s Builder,,ne,new,
,Add Element,,ne,new,
,Remove Element,,ne,new,
,Configure Element,,ne,new,
,Desktop,,ne,new,
,Element Settings,,ne,new,
,Site & Logo,,ne,new,
,Site Identity,,ne,new,
,You can change Site Identity from %s.,,ne,new,
,Promotion,,ne,new,
,Off Canvas,,ne,new,
,Off Canvas Widget Area,,ne,new,
,This widget area is used in the mobile off-canvas panel. %s,,ne,new,
,Manage widgets,,ne,new,
,Primary menu,,ne,new,
,Select Menu,,ne,new,
,You can change Menu from menu panel. %s,,ne,new,
,Manage menu,,ne,new,
,Date,,ne,new,
,Choose date format,,ne,new,
,You can change date from general settings (Settings > General > Date Format). %s,,ne,new,
,Manage Date,,ne,new,
,Top Navigation,,ne,new,
,pro,,ne,new,
,Site Mode,,ne,unchanged,
,Custom HTML,,ne,new,
,HTML Content,,ne,new,
,Search,,ne,new,
,Searc Form,,ne,new,
,Custom Link,,ne,new,
,Custom link,,ne,new,
,live,,ne,new,
,Widget 1,,ne,new,
,Select Widget,,ne,new,
,Widget 2,,ne,new,
,Widget 3,,ne,new,
,Navigation,,ne,new,
,Pro,,ne,unchanged,
,Copyright,,ne,new,
,Add widget to display . %s,,ne,new,
,Beta,,ne,new,
,No menu assigned,,ne,new,
,All,,ne,unchanged,
,Flash Story,,ne,unchanged,
,Main Story,,ne,unchanged,
,Editor's Picks,,ne,unchanged,
,Trending Story,,ne,unchanged,
,Featured Story,,ne,unchanged,
,Read More,,ne,unchanged,
,More Stories,,ne,unchanged,
,You may have missed,,ne,unchanged,
,Copyright &copy; All rights reserved.,,ne,unchanged,unchanged_like
,Site Title Size,,ne,unchanged,
,Site Title/Tagline Color,,ne,unchanged,
,Header Image Mode,,ne,unchanged,
,Image visibility may vary as per the mode,,ne,unchanged,
,Set as Background,,ne,unchanged,
,Show Full Image,,ne,unchanged,
,Disable Image Tint/Overlay,,ne,unchanged,
,Select global site mode,,ne,unchanged,
,Default,,ne,unchanged,
,Dark,,ne,unchanged,
,Background Color will not be applicable for this mode.,,ne,unchanged,
,CoverNews Pro,,ne,unchanged,
,Upgrade now,,ne,unchanged,
,Front-page Options,,ne,new,
,Banner Advertisement,,ne,unchanged,
,Banner Section Advertisement,,ne,unchanged,
,Recommended Size %1$s px X %2$s px,,ne,unchanged,
,URL Link,,ne,unchanged,
,Open in new tab,,ne,unchanged,
,Show banner advertisement on,,ne,unchanged,
,Select scope to display on banner advertisement section,,ne,unchanged,
,Show on Homepage only,,ne,unchanged,
,Show sitewide,,ne,unchanged,
,Flash Posts,,ne,unchanged,
,Enable Flash Posts Section,,ne,unchanged,
,Flash Story Title,,ne,unchanged,
,Flash Posts Category,,ne,unchanged,
,Select category to be shown on trending posts ,,ne,unchanged,
,Main Banner Section,,ne,unchanged,
,Enable Main Banner Slider,,ne,unchanged,
,Banner Section Order,,ne,unchanged,
,Select Banner Section Order,,ne,unchanged,
,Order 2,,ne,unchanged,
,Main Story Section,,ne,unchanged,
,Main Story Slider Title,,ne,unchanged,
,Slider Posts Category,,ne,unchanged,
,Select category to be shown on Main Story slider section,,ne,unchanged,
,Editor's Picks Section,,ne,unchanged,
,Editor's Picks Title,,ne,unchanged,
,Editor's Picks Category,,ne,unchanged,
,Select category to be shown on Editor's Picks section,,ne,unchanged,
,Trending Story Section,,ne,unchanged,
,Trending Vertical Slider Title,,ne,unchanged,
,Trending News Category,,ne,unchanged,
,Select category to be shown on Trending section,,ne,unchanged,
,Disable main banner section on blog archive,,ne,unchanged,
,"The option will disable trending news, main slider, featured news, featured products from blog archive page.",,ne,unchanged,
,Featured Posts Section,,ne,unchanged,
,Enable Featured New Section,,ne,unchanged,
,Featured Posts Section Title,,ne,unchanged,
,Featured Posts Category,,ne,unchanged,
,Select category to be shown on featured section ,,ne,unchanged,
,Front-page Layout Settings,,ne,new,
,Front-page Content alignment,,ne,new,
,Select frontpage content alignment,,ne,unchanged,
,Home Content - Home Sidebar,,ne,unchanged,
,Home Sidebar - Home Content,,ne,unchanged,
,Only Home Content,,ne,unchanged,
,Theme Options,,ne,unchanged,
,Preloader Options,,ne,unchanged,
,Enable preloader,,ne,unchanged,
,Header Options,,ne,unchanged,
,Show date on top header,,ne,unchanged,
,Show social menu on top header,,ne,unchanged,
,Disable Sticky Header,,ne,unchanged,
,Breadcrumb Options,,ne,unchanged,
,Show breadcrumbs,,ne,unchanged,
,Select Breadcrumbs,,ne,unchanged,
,Please ensure that you have enabled the plugin's breadcrumbs before choosing other than Default,,ne,unchanged,
,Yoast SEO,,ne,unchanged,unchanged_like
,Rank Math,,ne,unchanged,
,NavXT,,ne,unchanged,unchanged_like
,Global Settings,,ne,unchanged,
,Global Fonts Family,,ne,new,
,Google Fonts,,ne,new,
,System Fonts,,ne,new,
,Disable Emoji Script,,ne,new,
,GDPR friendly & better performance,,ne,new,
,Conatiner Width,,ne,unchanged,
,Select Conatiner Width,,ne,unchanged,
,Wide,,ne,unchanged,
,Full Width,,ne,unchanged,
,Content Alignment,,ne,unchanged,
,Select global content alignment,,ne,unchanged,
,Content - Primary sidebar,,ne,unchanged,
,Primary sidebar - Content,,ne,unchanged,
,Full width content,,ne,unchanged,
,Image Lazy Loading,,ne,unchanged,
,Enable ,,ne,unchanged,
,Disable,,ne,unchanged,
,Date and Author Display,,ne,unchanged,
,Select date and author display settings below post title,,ne,unchanged,
,Show Date and Author,,ne,unchanged,
,Show Date Only,,ne,unchanged,
,Show Author Only,,ne,unchanged,
,Hide All,,ne,unchanged,
,Date Display Format,,ne,unchanged,
,Select date display display format,,ne,unchanged,
,Date Format by Theme,,ne,unchanged,
,WordPress Default Date Format,,ne,unchanged,
,Show Comment Count,,ne,unchanged,
,Enable,,ne,unchanged,
,Single Posts Settings,,ne,unchanged,
,Show Featured Image,,ne,unchanged,
,Global Content Mode,,ne,unchanged,
,Individual posts edit panel also have the option,,ne,unchanged,
,Spacious,,ne,unchanged,
,Show Tags Below Content,,ne,unchanged,
,Yes,,ne,unchanged,
,No,,ne,unchanged,
,Sidebar Settings,,ne,unchanged,
,Make Sidebar Sticky,,ne,unchanged,
,Sidebar Sticky Position,,ne,unchanged,
,Top,,ne,unchanged,
,Bottom,,ne,unchanged,
,Archive Settings,,ne,unchanged,
,Archive layout,,ne,unchanged,
,Select layout for archive,,ne,unchanged,
,Full,,ne,unchanged,
,Grid,,ne,unchanged,
,Image alignment,,ne,unchanged,
,Select image alignment for archive,,ne,unchanged,
,Left,,ne,unchanged,
,Right,,ne,unchanged,
,Content view,,ne,unchanged,
,Select content view for archive,,ne,unchanged,
,Post excerpt,,ne,unchanged,
,Full Content,,ne,unchanged,
,None,,ne,unchanged,
,Excerpt Mode,,ne,unchanged,
,Select Excerpt display mode,,ne,unchanged,
,Trimmed Content,,ne,unchanged,
,Default Excerpt,,ne,unchanged,
,Related Posts,,ne,unchanged,
,Show on single posts,,ne,unchanged,
,Title,,ne,unchanged,
,Latest Posts Options,,ne,unchanged,
,Show Latest Posts Section above Footer,,ne,unchanged,
,Latest Posts Section Title,,ne,unchanged,
