msgctxt,msgid,msgid_plural,target_lang,status,issues
,CoverNews,,nl,unchanged,
,https://afthemes.com/products/covernews/,,nl,unchanged,unchanged_like
,"CoverNews is a clean and elegant free WordPress theme that is perfect for online blog and magazine. With the help of block patterns, live customizer options and custom widgets, you can design your website as you like and preview the changes live. This theme is fully responsive that looks beautiful on all the screen sizes from small to large devices. As it includes many useful features that require to build an awesome looking website, you can implement the layout as a personal blog, modern news journals, fashion magazine, travel blogging & magazine, vibrant news sites and more. It is also compatible with Elementor, Gutenberg along with WooCommerce plugin that helps you to integrate an online business with your blog easily. The RTL language supported theme is well optimized that helps to rank your website in the top of search engines and users will get an outstanding support from the team if there will be any difficulties while using the theme. There are a number demos available for this theme so import the one you like and start to build a website. See our demos: https://afthemes.com/products/covernews/#aft-view-starter-sites Videos: https://www.youtube.com/@wpafthemes/ Docs: https://docs.afthemes.com/covernews/",,nl,unchanged,
,AF themes,,nl,unchanged,
,https://www.afthemes.com/,,nl,unchanged,unchanged_like
,Oops! That page can&rsquo;t be found.,,nl,unchanged,
,It looks like nothing was found at this location. Maybe try one of the links below or a search?,,nl,unchanged,
,Dashboard,,nl,new,unchanged_like
,Customize,,nl,unchanged,
,Header Builder,,nl,new,
,Footer Builder,,nl,new,
,Starter Sites,,nl,unchanged,
,Elementor Kits,,nl,unchanged,
,Block Patterns,,nl,unchanged,
,Upgrade to Pro,,nl,unchanged,
,Upgrade Now,,nl,new,
,The Templatespare plugin should be updated to the latest version,,nl,unchanged,
,"Import a Starter Site, Personalize, and Live it in 3 Easy Steps!",,nl,unchanged,
,Blockspare plugin version should be more than %s.,,nl,unchanged,
,"One-click Demo Import, Block Editor Ready, No Code Required! Built with Blockspare.",,nl,unchanged,
,Elespare plugin version should be more than %s.,,nl,unchanged,
,"One-click Import, Header/Footer Builder, Multilingual Support! Powered by Elespare.",,nl,unchanged,
,Are you sure you want to install this plugin?,,nl,unchanged,
,Install Now,,nl,unchanged,
,Activate,,nl,unchanged,
,Activated,,nl,unchanged,
,Get Starter Sites,,nl,unchanged,
,Get Started,,nl,unchanged,
,"The ""Get Started"" action will install/activate the Templatespare and Blockspare plugins for Starter Sites and Templates.",,nl,unchanged,
,By,,nl,unchanged,
,More Details,,nl,unchanged,
,"👋 Welcome, and Thank You!",,nl,new,
,"%s is now active. We're here to help you turn your ideas into a beautiful, professional website — quickly and confidently.",,nl,new,
,🚀 Start With One Click,,nl,new,
,"Choose from 100+ starter sites designed for blogs, magazines, businesses & more.
      Setup is simple — no coding required.",,nl,new,
,View Demos,,nl,new,
,Theme dashboard,,nl,unchanged,
