msgctxt,msgid,msgid_plural,target_lang,status,issues
,CoverNews,,pt,unchanged,
,https://afthemes.com/products/covernews/,,pt,unchanged,unchanged_like
,"CoverNews is a clean and elegant free WordPress theme that is perfect for online blog and magazine. With the help of block patterns, live customizer options and custom widgets, you can design your website as you like and preview the changes live. This theme is fully responsive that looks beautiful on all the screen sizes from small to large devices. As it includes many useful features that require to build an awesome looking website, you can implement the layout as a personal blog, modern news journals, fashion magazine, travel blogging & magazine, vibrant news sites and more. It is also compatible with Elementor, Gutenberg along with WooCommerce plugin that helps you to integrate an online business with your blog easily. The RTL language supported theme is well optimized that helps to rank your website in the top of search engines and users will get an outstanding support from the team if there will be any difficulties while using the theme. There are a number demos available for this theme so import the one you like and start to build a website. See our demos: https://afthemes.com/products/covernews/#aft-view-starter-sites Videos: https://www.youtube.com/@wpafthemes/ Docs: https://docs.afthemes.com/covernews/",,pt,unchanged,
,AF themes,,pt,unchanged,
,https://www.afthemes.com/,,pt,unchanged,unchanged_like
,Oops! That page can&rsquo;t be found.,,pt,unchanged,
,It looks like nothing was found at this location. Maybe try one of the links below or a search?,,pt,unchanged,
,Dashboard,,pt,new,
,Customize,,pt,unchanged,
,Header Builder,,pt,new,
,Footer Builder,,pt,new,
,Starter Sites,,pt,unchanged,
,Elementor Kits,,pt,unchanged,
,Block Patterns,,pt,unchanged,
,Upgrade to Pro,,pt,unchanged,
,Upgrade Now,,pt,new,
,The Templatespare plugin should be updated to the latest version,,pt,unchanged,
,"Import a Starter Site, Personalize, and Live it in 3 Easy Steps!",,pt,unchanged,
,Blockspare plugin version should be more than %s.,,pt,unchanged,
,"One-click Demo Import, Block Editor Ready, No Code Required! Built with Blockspare.",,pt,unchanged,
,Elespare plugin version should be more than %s.,,pt,unchanged,
,"One-click Import, Header/Footer Builder, Multilingual Support! Powered by Elespare.",,pt,unchanged,
,Are you sure you want to install this plugin?,,pt,unchanged,
,Install Now,,pt,unchanged,
,Activate,,pt,unchanged,
,Activated,,pt,unchanged,
,Get Starter Sites,,pt,unchanged,
,Get Started,,pt,unchanged,
,"The ""Get Started"" action will install/activate the Templatespare and Blockspare plugins for Starter Sites and Templates.",,pt,unchanged,
,By,,pt,unchanged,
,More Details,,pt,unchanged,
,"👋 Welcome, and Thank You!",,pt,new,
,"%s is now active. We're here to help you turn your ideas into a beautiful, professional website — quickly and confidently.",,pt,new,
,🚀 Start With One Click,,pt,new,
,"Choose from 100+ starter sites designed for blogs, magazines, businesses & more.
      Setup is simple — no coding required.",,pt,new,
,View Demos,,pt,new,
,Theme dashboard,,pt,unchanged,
,🤝 We're Here for You,,pt,new,
,Whether you're just starting or customizing your site,,pt,new,
,Documentation,,pt,unchanged,
,Videos,,pt,unchanged,
,Support,,pt,unchanged,
,Rate This Theme,,pt,unchanged,
,"Sorry, you are not allowed to install plugins on this site.",,pt,unchanged,
,"Error - unable to verify nonce, please try again.",,pt,unchanged,
,"Sorry, you are not allowed to activate plugins on this site.",,pt,unchanged,
,One thought on &ldquo;%1$s&rdquo;,,pt,unchanged,
comments title,%1$s thought on &ldquo;%2$s&rdquo;,%1$s thoughts on &ldquo;%2$s&rdquo;,pt,unchanged,
comments title,%1$s thought on &ldquo;%2$s&rdquo;,%1$s thoughts on &ldquo;%2$s&rdquo;,pt,unchanged,
,Comments are closed.,,pt,unchanged,
,%1$s by %2$s.,,pt,unchanged,
,Primary Menu,,pt,unchanged,
,Top Menu,,pt,unchanged,
,Social Menu,,pt,unchanged,
,Footer Menu,,pt,unchanged,
Source Sans Pro font: on or off,on,,pt,unchanged,
Lato font: on or off,on,,pt,unchanged,
,Skip to content,,pt,unchanged,
,Light/Dark Button,,pt,new,
,"Click the setting <span class=""dashicons dashicons-admin-generic""></span> on each element to customize its settings.",,pt,new,
,Hide builder panel,,pt,new,
,Hide Builder,,pt,new,
,Device view controls,,pt,new,
,Choose an Element,,pt,new,
,Close choose element modal,,pt,new,
,Footer Layout,,pt,new,
,Create dynamic header effortlessly with drag-and-drop builder.,,pt,new,
,Header,,pt,new,
,Create dynamic footer effortlessly with drag-and-drop builder.,,pt,new,
,Footer,,pt,unchanged,
,Enable %s Builder,,pt,new,
,Add Element,,pt,new,
,Remove Element,,pt,new,
,Configure Element,,pt,new,
,Desktop,,pt,new,
,Element Settings,,pt,new,
,Site & Logo,,pt,new,
,Site Identity,,pt,new,
,You can change Site Identity from %s.,,pt,new,
,Promotion,,pt,new,
,Off Canvas,,pt,new,
,Off Canvas Widget Area,,pt,new,
,This widget area is used in the mobile off-canvas panel. %s,,pt,new,
,Manage widgets,,pt,new,
,Primary menu,,pt,new,
,Select Menu,,pt,new,
,You can change Menu from menu panel. %s,,pt,new,
,Manage menu,,pt,new,
,Date,,pt,new,
,Choose date format,,pt,new,
,You can change date from general settings (Settings > General > Date Format). %s,,pt,new,
,Manage Date,,pt,new,
,Top Navigation,,pt,new,
,pro,,pt,new,
,Site Mode,,pt,unchanged,
,Custom HTML,,pt,new,
,HTML Content,,pt,new,
,Search,,pt,new,
,Searc Form,,pt,new,
,Custom Link,,pt,new,
,Custom link,,pt,new,
,live,,pt,new,
,Widget 1,,pt,new,unchanged_like
,Select Widget,,pt,new,
,Widget 2,,pt,new,unchanged_like
,Widget 3,,pt,new,unchanged_like
,Navigation,,pt,new,
,Pro,,pt,unchanged,
,Copyright,,pt,new,
,Add widget to display . %s,,pt,new,
,Beta,,pt,new,unchanged_like
,No menu assigned,,pt,new,
,All,,pt,unchanged,
,Flash Story,,pt,unchanged,
,Main Story,,pt,unchanged,
,Editor's Picks,,pt,unchanged,
,Trending Story,,pt,unchanged,
,Featured Story,,pt,unchanged,
,Read More,,pt,unchanged,
,More Stories,,pt,unchanged,
