msgctxt,msgid,msgid_plural,target_lang,status,issues
,DarkNews,,de,new,unchanged_like
,https://afthemes.com/products/darknews/,,de,new,unchanged_like
,"DarkNews is an advanced dark WordPress theme that's appropriate for a news, blog and magazine website. The theme includes a range of free starting pages that can be imported with a single click to create a great news portal. With 9+ custom widgets and widget areas, the theme is fully widgetized, allowing users to control site content. It also has a light and dark color mode, so you can view articles and blog posts in a trendy way. It also contains a number of helpful customizer options for building a visually appealing news site. You can configure it as you like to see how it looks before making any improvements using the live customizer. It's compatible with Elementor, Gutenberg blocks and RTL, as well as the WooCommerce plugin, which enables you to blend an online shop with our newspaper theme. The theme is ideal for a news, journal, magazine, publishing, or review site, as well as blogging. It's well-designed to bring the website to the top of search engines, and people will get outstanding support from the team if they have any problems when using it.",,de,new,
,AF themes,,de,new,
,https://www.afthemes.com/,,de,new,unchanged_like
,Oops! That page can&rsquo;t be found.,,de,new,
,It looks like nothing was found at this location. Maybe try one of the links below or a search?,,de,new,
,Dashboard,,de,new,
,Customize,,de,new,
,Starter Sites,,de,new,
,Elementor Kits,,de,new,
,Block Patterns,,de,new,
,Upgrade to Pro,,de,new,
,Upgrade Now,,de,new,
,The Templatespare plugin should be updated to the latest version,,de,new,
,"Import a Starter Site, Personalize, and Live it in 3 Easy Steps!",,de,new,
,Blockspare plugin version should be more than %s.,,de,new,
,"One-click Demo Import, Block Editor Ready, No Code Required! Built with Blockspare.",,de,new,
,Elespare plugin version should be more than %s.,,de,new,
,"One-click Import, Header/Footer Builder, Multilingual Support! Powered by Elespare.",,de,new,
,Are you sure you want to install this plugin?,,de,new,
,Install Now,,de,new,
,Activate,,de,new,
,Activated,,de,new,
,Get Starter Sites,,de,new,
,Get Started,,de,new,
,"The ""Get Started"" action will install/activate the Templatespare and Blockspare plugins for Starter Sites and Templates.",,de,new,
,By,,de,new,
,More Details,,de,new,
,"👋 Welcome, and Thank You!",,de,new,
,"%s is now active. We're here to help you turn your ideas into a beautiful, professional website — quickly and confidently.",,de,new,
,🚀 Start With One Click,,de,new,
,"Choose from 100+ starter sites designed for blogs, magazines, businesses & more.
      Setup is simple — no coding required.",,de,new,
,View Demos,,de,new,
,Theme dashboard,,de,new,
,🤝 We're Here for You,,de,new,
,Whether you're just starting or customizing your site.,,de,new,
,Documentation,,de,new,
,Videos,,de,new,unchanged_like
,Support,,de,new,
,⭐ Rate This Theme,,de,new,
,"Sorry, you are not allowed to install plugins on this site.",,de,new,
,"Error - unable to verify nonce, please try again.",,de,new,
,"Sorry, you are not allowed to activate plugins on this site.",,de,new,
,One thought on &ldquo;%1$s&rdquo;,,de,new,
comments title,%1$s thought on &ldquo;%2$s&rdquo;,%1$s thoughts on &ldquo;%2$s&rdquo;,de,new,
comments title,%1$s thought on &ldquo;%2$s&rdquo;,%1$s thoughts on &ldquo;%2$s&rdquo;,de,new,
,Comments are closed.,,de,new,
,%1$s by %2$s.,,de,new,
,Primary Menu,,de,new,
,Social Menu,,de,new,
,Footer Menu,,de,new,
%s font: on or off,on,,de,new,
,Skip to content,,de,new,
,-- Select --,,de,new,
,Watch Online,,de,new,
,Popular Tags,,de,new,
,Breaking News,,de,new,
,Youtube video Section,,de,new,
,Express Posts Section,,de,new,
,Express Posts 1,,de,new,
,Express Posts 2,,de,new,
