msgctxt,msgid,msgid_plural,target_lang,status,issues
,DarkNews,,en,new,unchanged_like
,https://afthemes.com/products/darknews/,,en,new,unchanged_like
,"DarkNews is an advanced dark WordPress theme that's appropriate for a news, blog and magazine website. The theme includes a range of free starting pages that can be imported with a single click to create a great news portal. With 9+ custom widgets and widget areas, the theme is fully widgetized, allowing users to control site content. It also has a light and dark color mode, so you can view articles and blog posts in a trendy way. It also contains a number of helpful customizer options for building a visually appealing news site. You can configure it as you like to see how it looks before making any improvements using the live customizer. It's compatible with Elementor, Gutenberg blocks and RTL, as well as the WooCommerce plugin, which enables you to blend an online shop with our newspaper theme. The theme is ideal for a news, journal, magazine, publishing, or review site, as well as blogging. It's well-designed to bring the website to the top of search engines, and people will get outstanding support from the team if they have any problems when using it.",,en,new,unchanged_like
,AF themes,,en,new,unchanged_like
,https://www.afthemes.com/,,en,new,unchanged_like
,Oops! That page can&rsquo;t be found.,,en,new,unchanged_like
,It looks like nothing was found at this location. Maybe try one of the links below or a search?,,en,new,unchanged_like
,Dashboard,,en,new,unchanged_like
,Customize,,en,new,unchanged_like
,Starter Sites,,en,new,unchanged_like
,Elementor Kits,,en,new,unchanged_like
,Block Patterns,,en,new,unchanged_like
,Upgrade to Pro,,en,new,unchanged_like
,Upgrade Now,,en,new,unchanged_like
,The Templatespare plugin should be updated to the latest version,,en,new,unchanged_like
,"Import a Starter Site, Personalize, and Live it in 3 Easy Steps!",,en,new,unchanged_like
,Blockspare plugin version should be more than %s.,,en,new,unchanged_like
,"One-click Demo Import, Block Editor Ready, No Code Required! Built with Blockspare.",,en,new,unchanged_like
,Elespare plugin version should be more than %s.,,en,new,unchanged_like
,"One-click Import, Header/Footer Builder, Multilingual Support! Powered by Elespare.",,en,new,unchanged_like
,Are you sure you want to install this plugin?,,en,new,unchanged_like
,Install Now,,en,new,unchanged_like
,Activate,,en,new,unchanged_like
,Activated,,en,new,unchanged_like
,Get Starter Sites,,en,new,unchanged_like
,Get Started,,en,new,unchanged_like
,"The ""Get Started"" action will install/activate the Templatespare and Blockspare plugins for Starter Sites and Templates.",,en,new,unchanged_like
,By,,en,new,unchanged_like
,More Details,,en,new,unchanged_like
,"👋 Welcome, and Thank You!",,en,new,unchanged_like
,"%s is now active. We're here to help you turn your ideas into a beautiful, professional website — quickly and confidently.",,en,new,unchanged_like
,🚀 Start With One Click,,en,new,unchanged_like
,"Choose from 100+ starter sites designed for blogs, magazines, businesses & more.
      Setup is simple — no coding required.",,en,new,
,View Demos,,en,new,unchanged_like
,Theme dashboard,,en,new,unchanged_like
,🤝 We're Here for You,,en,new,unchanged_like
,Whether you're just starting or customizing your site.,,en,new,unchanged_like
,Documentation,,en,new,unchanged_like
,Videos,,en,new,unchanged_like
,Support,,en,new,unchanged_like
,⭐ Rate This Theme,,en,new,unchanged_like
,"Sorry, you are not allowed to install plugins on this site.",,en,new,unchanged_like
,"Error - unable to verify nonce, please try again.",,en,new,unchanged_like
,"Sorry, you are not allowed to activate plugins on this site.",,en,new,unchanged_like
,One thought on &ldquo;%1$s&rdquo;,,en,new,unchanged_like
comments title,%1$s thought on &ldquo;%2$s&rdquo;,%1$s thoughts on &ldquo;%2$s&rdquo;,en,new,unchanged_like
comments title,%1$s thought on &ldquo;%2$s&rdquo;,%1$s thoughts on &ldquo;%2$s&rdquo;,en,new,
,Comments are closed.,,en,new,unchanged_like
,%1$s by %2$s.,,en,new,unchanged_like
,Primary Menu,,en,new,unchanged_like
,Social Menu,,en,new,unchanged_like
,Footer Menu,,en,new,unchanged_like
%s font: on or off,on,,en,new,unchanged_like
,Skip to content,,en,new,unchanged_like
,-- Select --,,en,new,unchanged_like
,Watch Online,,en,new,unchanged_like
,Popular Tags,,en,new,unchanged_like
,Breaking News,,en,new,unchanged_like
,Youtube video Section,,en,new,unchanged_like
,Express Posts Section,,en,new,unchanged_like
,Express Posts 1,,en,new,unchanged_like
,Express Posts 2,,en,new,unchanged_like
,Posts List Section,,en,new,unchanged_like
,Posts List %d,,en,new,unchanged_like
,Posts Carousel,,en,new,unchanged_like
,Latest,,en,new,unchanged_like
,Popular,,en,new,unchanged_like
,Trending,,en,new,unchanged_like
,Editor's Picks,,en,new,unchanged_like
,Trending Story,,en,new,unchanged_like
,Featured Posts,,en,new,unchanged_like
,Featured Categories,,en,new,unchanged_like
,Featured Pages,,en,new,unchanged_like
,Custom Options,,en,new,unchanged_like
,Post list Section Title %d,,en,new,unchanged_like
,View More,,en,new,unchanged_like
,Read More,,en,new,unchanged_like
,Trending Now,,en,new,unchanged_like
,Connect with Us,,en,new,unchanged_like
,Instagram,,en,new,unchanged_like
,Popular News,,en,new,unchanged_like
,Related Stories,,en,new,unchanged_like
,You may have missed,,en,new,unchanged_like
,Copyright &copy; All rights reserved.,,en,new,unchanged_like
,Body Background Color (Dark Mode),,en,new,unchanged_like
,Site Title Size,,en,new,unchanged_like
,Site Title/Tagline Color,,en,new,unchanged_like
,Header Image Mode,,en,new,unchanged_like
,Image visibility may vary as per the mode,,en,new,unchanged_like
,Set as Background,,en,new,unchanged_like
,Show Full Image,,en,new,unchanged_like
,Disable Image Tint/Overlay,,en,new,unchanged_like
,DarkNews Pro,,en,new,unchanged_like
,Fonts & Typography,,en,new,unchanged_like
,Font Family Section,,en,new,unchanged_like
,Site Title Font,,en,new,unchanged_like
,Primary Font,,en,new,unchanged_like
,Secondary Font,,en,new,unchanged_like
,Site Color Mode,,en,new,unchanged_like
,Dark,,en,new,unchanged_like
,Light,,en,new,unchanged_like
,Body Background Color (Light Mode) will be applied for this mode.,,en,new,unchanged_like
,Body Background Color (Light Mode),,en,new,unchanged_like
,Secondary Color,,en,new,unchanged_like
,Main Banner Options,,en,new,unchanged_like
,Main Banner,,en,new,unchanged_like
,Enable Main Banner Section,,en,new,unchanged_like
,Main Banner Background Image,,en,new,unchanged_like
,Recommended Size %1$s px X %2$s px,,en,new,unchanged_like
,Select Main Banner Order,,en,new,unchanged_like
,Order 1,,en,new,unchanged_like
,Order 2,,en,new,unchanged_like
,Order 3,,en,new,unchanged_like
,Main News Section ,,en,new,unchanged_like
,Filter Posts By,,en,new,unchanged_like
,Category,,en,new,unchanged_like
,Tag,,en,new,unchanged_like
,Select Category,,en,new,unchanged_like
,Select category to be shown on main slider section,,en,new,unchanged_like
,Select Tag,,en,new,unchanged_like
,Select tag to be shown on main slider section,,en,new,unchanged_like
,Editor's Picks Section,,en,new,unchanged_like
,Latest Section,,en,new,unchanged_like
,Section Title ,,en,new,unchanged_like
,Select,,en,new,unchanged_like
,Popular Section,,en,new,unchanged_like
,Comment Count,,en,new,unchanged_like
,Enable Popular Tags,,en,new,unchanged_like
,Enable Breaking News,,en,new,unchanged_like
,Breaking Posts Category,,en,new,unchanged_like
,Select category to be shown on breaking news ,,en,new,unchanged_like
,Frontpage Options,,en,new,unchanged_like
,Enable Featured Post Section,,en,new,unchanged_like
,Select Category ,,en,new,unchanged_like
,Select category to be shown on featured section ,,en,new,unchanged_like
,Posts List,,en,new,unchanged_like
,Enable Post List Section,,en,new,unchanged_like
,Section %d,,en,new,unchanged_like
,Section Title,,en,new,unchanged_like
,Frontpage Layout Settings,,en,new,unchanged_like
,Frontpage Content Display,,en,new,unchanged_like
,Select frontpage content display,,en,new,unchanged_like
,Frontpage Widgets,,en,new,unchanged_like
,Page Contents & Frontpage Widgets,,en,new,unchanged_like
,Frontpage Content Alignment,,en,new,unchanged_like
,Select frontpage content alignment,,en,new,unchanged_like
,Home Content - Home Sidebar,,en,new,unchanged_like
,Home Sidebar - Home Content,,en,new,unchanged_like
,Only Home Content,,en,new,unchanged_like
,Header Options,,en,new,unchanged_like
,Top Header Section,,en,new,unchanged_like
,Show Top Header,,en,new,unchanged_like
,Show Date,,en,new,unchanged_like
,Show Social Menu,,en,new,unchanged_like
,Header Advertisement,,en,new,unchanged_like
,Header Section Advertisement,,en,new,unchanged_like
,URL Link,,en,new,unchanged_like
,Theme Options,,en,new,unchanged_like
,Enable Box's Top/Bottom Gaps,,en,new,unchanged_like
,Breadcrumb Options,,en,new,unchanged_like
,Show breadcrumbs,,en,new,unchanged_like
,Select Breadcrumbs,,en,new,unchanged_like
,Please ensure that you have enabled the plugin's breadcrumbs before choosing other than Default,,en,new,unchanged_like
,Default,,en,new,unchanged_like
,Yoast SEO,,en,new,unchanged_like
,Rank Math,,en,new,unchanged_like
,NavXT,,en,new,unchanged_like
,Global Settings,,en,new,unchanged_like
,Enable Preloader,,en,new,unchanged_like
,Site Layout Option,,en,new,unchanged_like
,Boxed,,en,new,unchanged_like
,Wide,,en,new,unchanged_like
,Global Content Alignment,,en,new,unchanged_like
,Content - Primary sidebar,,en,new,unchanged_like
,Primary sidebar - Content,,en,new,unchanged_like
,Full width content,,en,new,unchanged_like
,Single Content Mode,,en,new,unchanged_like
,Spacious,,en,new,unchanged_like
,Scroll to Top Position,,en,new,unchanged_like
,Right,,en,new,unchanged_like
,Left,,en,new,unchanged_like
,None,,en,new,unchanged_like
,Categories Settings,,en,new,unchanged_like
,Post Categories,,en,new,unchanged_like
,Show,,en,new,unchanged_like
,Hide,,en,new,unchanged_like
,Categories to be displayed,,en,new,unchanged_like
,Show All,,en,new,unchanged_like
,Top One Category,,en,new,unchanged_like
,Number of Categories,,en,new,unchanged_like
,Author and Date Settings,,en,new,unchanged_like
,For Spotlight Posts,,en,new,unchanged_like
,Show Date and Author,,en,new,unchanged_like
,Hide All,,en,new,unchanged_like
,For Small Grid,,en,new,unchanged_like
,For List,,en,new,unchanged_like
,Author Icon/Gravatar,,en,new,unchanged_like
,Show Gravatar,,en,new,unchanged_like
,Show Icon,,en,new,unchanged_like
,Date Format,,en,new,unchanged_like
,WordPress Default Date Format,,en,new,unchanged_like
,Ago Date Format,,en,new,unchanged_like
,Minutes Read Count,,en,new,unchanged_like
,Excerpt Settings,,en,new,unchanged_like
,Global Excerpt Length,,en,new,unchanged_like
,Global Excerpt Read More,,en,new,unchanged_like
,Custom Menu Section,,en,new,unchanged_like
,Enable Custom Menu Section,,en,new,unchanged_like
,Title,,en,new,unchanged_like
,Link,,en,new,unchanged_like
,Single Post,,en,new,unchanged_like
,Show Featured Image,,en,new,unchanged_like
,Related Posts Settings,,en,new,unchanged_like
,Enable Related Posts,,en,new,unchanged_like
,Archive Settings,,en,new,unchanged_like
,Disable Main Banner on Blog,,en,new,unchanged_like
,Archive layout,,en,new,unchanged_like
,Select layout for archive,,en,new,unchanged_like
,Grid,,en,new,unchanged_like
,Full,,en,new,unchanged_like
,Make First Post Full,,en,new,unchanged_like
,Grid Column Layout,,en,new,unchanged_like
,Select column for archive grid,,en,new,unchanged_like
,Two Column,,en,new,unchanged_like
,Three Column,,en,new,unchanged_like
,Select Full Layout,,en,new,unchanged_like
,Select full layout for archive,,en,new,unchanged_like
,Posts Title After Image,,en,new,unchanged_like
,Posts Title Before Image,,en,new,unchanged_like
,Content View,,en,new,unchanged_like
,Select content view for archive,,en,new,unchanged_like
,Post Excerpt,,en,new,unchanged_like
,Full Content,,en,new,unchanged_like
,Sidebar Settings,,en,new,unchanged_like
,Make Sidebar Sticky,,en,new,unchanged_like
