msgctxt,msgid,msgid_plural,target_lang,status,issues
,DarkNews,,hi,unchanged,
,https://afthemes.com/products/darknews/,,hi,unchanged,unchanged_like
,"DarkNews is an advanced dark WordPress theme that's appropriate for a news, blog and magazine website. The theme includes a range of free starting pages that can be imported with a single click to create a great news portal. With 9+ custom widgets and widget areas, the theme is fully widgetized, allowing users to control site content. It also has a light and dark color mode, so you can view articles and blog posts in a trendy way. It also contains a number of helpful customizer options for building a visually appealing news site. You can configure it as you like to see how it looks before making any improvements using the live customizer. It's compatible with Elementor, Gutenberg blocks and RTL, as well as the WooCommerce plugin, which enables you to blend an online shop with our newspaper theme. The theme is ideal for a news, journal, magazine, publishing, or review site, as well as blogging. It's well-designed to bring the website to the top of search engines, and people will get outstanding support from the team if they have any problems when using it.",,hi,unchanged,
,AF themes,,hi,unchanged,
,https://www.afthemes.com/,,hi,unchanged,unchanged_like
,Oops! That page can&rsquo;t be found.,,hi,unchanged,
,It looks like nothing was found at this location. Maybe try one of the links below or a search?,,hi,unchanged,
,Dashboard,,hi,unchanged,
,Customize,,hi,unchanged,
,Starter Sites,,hi,unchanged,
,Elementor Kits,,hi,unchanged,
,Block Patterns,,hi,unchanged,
,Upgrade to Pro,,hi,unchanged,
,Upgrade Now,,hi,unchanged,
,The Templatespare plugin should be updated to the latest version,,hi,unchanged,
,"Import a Starter Site, Personalize, and Live it in 3 Easy Steps!",,hi,unchanged,
,Blockspare plugin version should be more than %s.,,hi,unchanged,
,"One-click Demo Import, Block Editor Ready, No Code Required! Built with Blockspare.",,hi,unchanged,
,Elespare plugin version should be more than %s.,,hi,unchanged,
,"One-click Import, Header/Footer Builder, Multilingual Support! Powered by Elespare.",,hi,unchanged,
,Are you sure you want to install this plugin?,,hi,unchanged,
,Install Now,,hi,unchanged,
,Activate,,hi,unchanged,
,Activated,,hi,unchanged,
,Get Starter Sites,,hi,unchanged,
,Get Started,,hi,unchanged,
,"The ""Get Started"" action will install/activate the Templatespare and Blockspare plugins for Starter Sites and Templates.",,hi,unchanged,
,By,,hi,unchanged,
,More Details,,hi,unchanged,
,"👋 Welcome, and Thank You!",,hi,unchanged,
,"%s is now active. We're here to help you turn your ideas into a beautiful, professional website — quickly and confidently.",,hi,unchanged,
,🚀 Start With One Click,,hi,unchanged,
,"Choose from 100+ starter sites designed for blogs, magazines, businesses & more.
      Setup is simple — no coding required.",,hi,unchanged,
,View Demos,,hi,unchanged,
,Theme dashboard,,hi,unchanged,
,🤝 We're Here for You,,hi,unchanged,
,Whether you're just starting or customizing your site.,,hi,unchanged,
,Documentation,,hi,unchanged,
,Videos,,hi,unchanged,
,Support,,hi,unchanged,
,⭐ Rate This Theme,,hi,unchanged,
,"Sorry, you are not allowed to install plugins on this site.",,hi,unchanged,
,"Error - unable to verify nonce, please try again.",,hi,unchanged,
,"Sorry, you are not allowed to activate plugins on this site.",,hi,unchanged,
,One thought on &ldquo;%1$s&rdquo;,,hi,unchanged,
comments title,%1$s thought on &ldquo;%2$s&rdquo;,%1$s thoughts on &ldquo;%2$s&rdquo;,hi,unchanged,
comments title,%1$s thought on &ldquo;%2$s&rdquo;,%1$s thoughts on &ldquo;%2$s&rdquo;,hi,unchanged,
,Comments are closed.,,hi,unchanged,
,%1$s by %2$s.,,hi,unchanged,
,Primary Menu,,hi,unchanged,
,Social Menu,,hi,unchanged,
,Footer Menu,,hi,unchanged,
%s font: on or off,on,,hi,unchanged,
,Skip to content,,hi,unchanged,
,-- Select --,,hi,unchanged,
,Watch Online,,hi,unchanged,
,Popular Tags,,hi,unchanged,
,Breaking News,,hi,unchanged,
,Youtube video Section,,hi,unchanged,
,Express Posts Section,,hi,unchanged,
,Express Posts 1,,hi,unchanged,
,Express Posts 2,,hi,unchanged,
,Posts List Section,,hi,unchanged,
,Posts List %d,,hi,unchanged,
,Posts Carousel,,hi,unchanged,
,Latest,,hi,unchanged,
,Popular,,hi,unchanged,
,Trending,,hi,unchanged,
,Editor's Picks,,hi,unchanged,
,Trending Story,,hi,unchanged,
,Featured Posts,,hi,unchanged,
,Featured Categories,,hi,unchanged,
,Featured Pages,,hi,unchanged,
,Custom Options,,hi,unchanged,
,Post list Section Title %d,,hi,unchanged,
,View More,,hi,unchanged,
,Read More,,hi,unchanged,
,Trending Now,,hi,unchanged,
,Connect with Us,,hi,unchanged,
,Instagram,,hi,unchanged,unchanged_like
,Popular News,,hi,unchanged,
,Related Stories,,hi,unchanged,
,You may have missed,,hi,unchanged,
,Copyright &copy; All rights reserved.,,hi,unchanged,unchanged_like
,Body Background Color (Dark Mode),,hi,unchanged,
,Site Title Size,,hi,unchanged,
,Site Title/Tagline Color,,hi,unchanged,
,Header Image Mode,,hi,unchanged,
,Image visibility may vary as per the mode,,hi,unchanged,
,Set as Background,,hi,unchanged,
,Show Full Image,,hi,unchanged,
,Disable Image Tint/Overlay,,hi,unchanged,
,DarkNews Pro,,hi,unchanged,
,Fonts & Typography,,hi,unchanged,
,Font Family Section,,hi,unchanged,
,Site Title Font,,hi,unchanged,
,Primary Font,,hi,unchanged,
,Secondary Font,,hi,unchanged,
,Site Color Mode,,hi,unchanged,
,Dark,,hi,unchanged,
,Light,,hi,unchanged,
,Body Background Color (Light Mode) will be applied for this mode.,,hi,unchanged,
,Body Background Color (Light Mode),,hi,unchanged,
,Secondary Color,,hi,unchanged,
,Main Banner Options,,hi,unchanged,
,Main Banner,,hi,unchanged,
,Enable Main Banner Section,,hi,unchanged,
,Main Banner Background Image,,hi,unchanged,
,Recommended Size %1$s px X %2$s px,,hi,unchanged,
,Select Main Banner Order,,hi,unchanged,
,Order 1,,hi,unchanged,
,Order 2,,hi,unchanged,
,Order 3,,hi,unchanged,
,Main News Section ,,hi,unchanged,
,Filter Posts By,,hi,unchanged,
,Category,,hi,unchanged,
,Tag,,hi,unchanged,
,Select Category,,hi,unchanged,
,Select category to be shown on main slider section,,hi,unchanged,
,Select Tag,,hi,unchanged,
,Select tag to be shown on main slider section,,hi,unchanged,
,Editor's Picks Section,,hi,unchanged,
,Latest Section,,hi,unchanged,
,Section Title ,,hi,unchanged,
,Select,,hi,unchanged,
