msgctxt,msgid,msgid_plural,target_lang,status,issues
,DarkNews,,it,new,unchanged_like
,https://afthemes.com/products/darknews/,,it,new,unchanged_like
,"DarkNews is an advanced dark WordPress theme that's appropriate for a news, blog and magazine website. The theme includes a range of free starting pages that can be imported with a single click to create a great news portal. With 9+ custom widgets and widget areas, the theme is fully widgetized, allowing users to control site content. It also has a light and dark color mode, so you can view articles and blog posts in a trendy way. It also contains a number of helpful customizer options for building a visually appealing news site. You can configure it as you like to see how it looks before making any improvements using the live customizer. It's compatible with Elementor, Gutenberg blocks and RTL, as well as the WooCommerce plugin, which enables you to blend an online shop with our newspaper theme. The theme is ideal for a news, journal, magazine, publishing, or review site, as well as blogging. It's well-designed to bring the website to the top of search engines, and people will get outstanding support from the team if they have any problems when using it.",,it,new,
,AF themes,,it,new,
,https://www.afthemes.com/,,it,new,unchanged_like
,Oops! That page can&rsquo;t be found.,,it,new,
,It looks like nothing was found at this location. Maybe try one of the links below or a search?,,it,new,
,Dashboard,,it,new,
,Customize,,it,new,
,Starter Sites,,it,new,
,Elementor Kits,,it,new,
,Block Patterns,,it,new,
,Upgrade to Pro,,it,new,
,Upgrade Now,,it,new,
,The Templatespare plugin should be updated to the latest version,,it,new,
,"Import a Starter Site, Personalize, and Live it in 3 Easy Steps!",,it,new,
,Blockspare plugin version should be more than %s.,,it,new,
,"One-click Demo Import, Block Editor Ready, No Code Required! Built with Blockspare.",,it,new,
,Elespare plugin version should be more than %s.,,it,new,
,"One-click Import, Header/Footer Builder, Multilingual Support! Powered by Elespare.",,it,new,
,Are you sure you want to install this plugin?,,it,new,
,Install Now,,it,new,
,Activate,,it,new,
,Activated,,it,new,
,Get Starter Sites,,it,new,
,Get Started,,it,new,
,"The ""Get Started"" action will install/activate the Templatespare and Blockspare plugins for Starter Sites and Templates.",,it,new,
,By,,it,new,
,More Details,,it,new,
,"👋 Welcome, and Thank You!",,it,new,
,"%s is now active. We're here to help you turn your ideas into a beautiful, professional website — quickly and confidently.",,it,new,
,🚀 Start With One Click,,it,new,
,"Choose from 100+ starter sites designed for blogs, magazines, businesses & more.
      Setup is simple — no coding required.",,it,new,
,View Demos,,it,new,
,Theme dashboard,,it,new,
,🤝 We're Here for You,,it,new,
,Whether you're just starting or customizing your site.,,it,new,
,Documentation,,it,new,
,Videos,,it,new,
,Support,,it,new,
,⭐ Rate This Theme,,it,new,
,"Sorry, you are not allowed to install plugins on this site.",,it,new,
,"Error - unable to verify nonce, please try again.",,it,new,
,"Sorry, you are not allowed to activate plugins on this site.",,it,new,
,One thought on &ldquo;%1$s&rdquo;,,it,new,
comments title,%1$s thought on &ldquo;%2$s&rdquo;,%1$s thoughts on &ldquo;%2$s&rdquo;,it,new,
comments title,%1$s thought on &ldquo;%2$s&rdquo;,%1$s thoughts on &ldquo;%2$s&rdquo;,it,new,
,Comments are closed.,,it,new,
,%1$s by %2$s.,,it,new,
,Primary Menu,,it,new,
,Social Menu,,it,new,
,Footer Menu,,it,new,
%s font: on or off,on,,it,new,
,Skip to content,,it,new,
,-- Select --,,it,new,
,Watch Online,,it,new,
,Popular Tags,,it,new,
,Breaking News,,it,new,
,Youtube video Section,,it,new,
,Express Posts Section,,it,new,
,Express Posts 1,,it,new,
,Express Posts 2,,it,new,
,Posts List Section,,it,new,
,Posts List %d,,it,new,
,Posts Carousel,,it,new,
,Latest,,it,new,
,Popular,,it,new,
,Trending,,it,new,
,Editor's Picks,,it,new,
,Trending Story,,it,new,
,Featured Posts,,it,new,
,Featured Categories,,it,new,
,Featured Pages,,it,new,
,Custom Options,,it,new,
,Post list Section Title %d,,it,new,
,View More,,it,new,
,Read More,,it,new,
,Trending Now,,it,new,
,Connect with Us,,it,new,
,Instagram,,it,new,unchanged_like
,Popular News,,it,new,
,Related Stories,,it,new,
,You may have missed,,it,new,
,Copyright &copy; All rights reserved.,,it,new,unchanged_like
,Body Background Color (Dark Mode),,it,new,
,Site Title Size,,it,new,
,Site Title/Tagline Color,,it,new,
,Header Image Mode,,it,new,
,Image visibility may vary as per the mode,,it,new,
,Set as Background,,it,new,
,Show Full Image,,it,new,
,Disable Image Tint/Overlay,,it,new,
,DarkNews Pro,,it,new,unchanged_like
,Fonts & Typography,,it,new,
,Font Family Section,,it,new,
,Site Title Font,,it,new,
,Primary Font,,it,new,
,Secondary Font,,it,new,
,Site Color Mode,,it,new,
,Dark,,it,new,
,Light,,it,new,
,Body Background Color (Light Mode) will be applied for this mode.,,it,new,
,Body Background Color (Light Mode),,it,new,
,Secondary Color,,it,new,
,Main Banner Options,,it,new,
,Main Banner,,it,new,
,Enable Main Banner Section,,it,new,
,Main Banner Background Image,,it,new,
,Recommended Size %1$s px X %2$s px,,it,new,
,Select Main Banner Order,,it,new,
,Order 1,,it,new,
,Order 2,,it,new,
,Order 3,,it,new,
,Main News Section ,,it,new,
,Filter Posts By,,it,new,
,Category,,it,new,
,Tag,,it,new,
,Select Category,,it,new,
,Select category to be shown on main slider section,,it,new,
,Select Tag,,it,new,
,Select tag to be shown on main slider section,,it,new,
,Editor's Picks Section,,it,new,
,Latest Section,,it,new,
,Section Title ,,it,new,
,Select,,it,new,
,Popular Section,,it,new,
,Comment Count,,it,new,
,Enable Popular Tags,,it,new,
,Enable Breaking News,,it,new,
,Breaking Posts Category,,it,new,
,Select category to be shown on breaking news ,,it,new,
,Frontpage Options,,it,new,
,Enable Featured Post Section,,it,new,
,Select Category ,,it,new,
,Select category to be shown on featured section ,,it,new,
,Posts List,,it,new,
,Enable Post List Section,,it,new,
,Section %d,,it,new,
,Section Title,,it,new,
,Frontpage Layout Settings,,it,new,
,Frontpage Content Display,,it,new,
,Select frontpage content display,,it,new,
,Frontpage Widgets,,it,new,
,Page Contents & Frontpage Widgets,,it,new,
,Frontpage Content Alignment,,it,new,
,Select frontpage content alignment,,it,new,
,Home Content - Home Sidebar,,it,new,
,Home Sidebar - Home Content,,it,new,
,Only Home Content,,it,new,
,Header Options,,it,new,
,Top Header Section,,it,new,
,Show Top Header,,it,new,
,Show Date,,it,new,
,Show Social Menu,,it,new,
,Header Advertisement,,it,new,
,Header Section Advertisement,,it,new,
,URL Link,,it,new,
,Theme Options,,it,new,
,Enable Box's Top/Bottom Gaps,,it,new,
,Breadcrumb Options,,it,new,
,Show breadcrumbs,,it,new,
,Select Breadcrumbs,,it,new,
,Please ensure that you have enabled the plugin's breadcrumbs before choosing other than Default,,it,new,
,Default,,it,new,
,Yoast SEO,,it,new,
,Rank Math,,it,new,
,NavXT,,it,new,unchanged_like
,Global Settings,,it,new,
,Enable Preloader,,it,new,
,Site Layout Option,,it,new,
,Boxed,,it,new,
,Wide,,it,new,
,Global Content Alignment,,it,new,
,Content - Primary sidebar,,it,new,
,Primary sidebar - Content,,it,new,
,Full width content,,it,new,
,Single Content Mode,,it,new,
,Spacious,,it,new,
,Scroll to Top Position,,it,new,
,Right,,it,new,
,Left,,it,new,
,None,,it,new,
,Categories Settings,,it,new,
,Post Categories,,it,new,
,Show,,it,new,
,Hide,,it,new,
,Categories to be displayed,,it,new,
,Show All,,it,new,
,Top One Category,,it,new,
,Number of Categories,,it,new,
,Author and Date Settings,,it,new,
,For Spotlight Posts,,it,new,
,Show Date and Author,,it,new,
,Hide All,,it,new,
,For Small Grid,,it,new,
,For List,,it,new,
,Author Icon/Gravatar,,it,new,
,Show Gravatar,,it,new,
,Show Icon,,it,new,
,Date Format,,it,new,
,WordPress Default Date Format,,it,new,
,Ago Date Format,,it,new,
,Minutes Read Count,,it,new,
,Excerpt Settings,,it,new,
,Global Excerpt Length,,it,new,
,Global Excerpt Read More,,it,new,
,Custom Menu Section,,it,new,
,Enable Custom Menu Section,,it,new,
,Title,,it,new,
,Link,,it,new,
,Single Post,,it,new,
,Show Featured Image,,it,new,
,Related Posts Settings,,it,new,
,Enable Related Posts,,it,new,
,Archive Settings,,it,new,
,Disable Main Banner on Blog,,it,new,
,Archive layout,,it,new,
,Select layout for archive,,it,new,
,Grid,,it,new,
,Full,,it,new,
,Make First Post Full,,it,new,
,Grid Column Layout,,it,new,
,Select column for archive grid,,it,new,
,Two Column,,it,new,
,Three Column,,it,new,
,Select Full Layout,,it,new,
,Select full layout for archive,,it,new,
,Posts Title After Image,,it,new,
,Posts Title Before Image,,it,new,
,Content View,,it,new,
,Select content view for archive,,it,new,
,Post Excerpt,,it,new,
,Full Content,,it,new,
,Sidebar Settings,,it,new,
,Make Sidebar Sticky,,it,new,
,Sidebar Sticky Position,,it,new,
,Top,,it,new,
,Bottom,,it,new,
,You May Have Missed,,it,new,
,Show Above Footer,,it,new,
,Posts Section Title,,it,new,
,Footer,,it,new,
,Footer Background Image,,it,new,
,Copyright Text,,it,new,
,Hide footer Menu Section,,it,new,
,Pages:,,it,new,
,Layout Options,,it,new,
,Content Options,,it,new,
,Set as global layout,,it,new,
,Please go to Customize>Themes Options for Single Post/Page.,,it,new,
,Sidebar Options,,it,new,
,Content - Primary Sidebar,,it,new,
,Primary Sidebar - Content,,it,new,
,No Sidebar,,it,new,
,Please go to Customize>Frontpage Options for Homepage.,,it,new,
,Category Color 1,,it,new,
,Category Color 2,,it,new,
,Category Color 3,,it,new,
,Color Class,,it,new,
,"Select category color class. You can set appropriate categories color on ""Categories"" section of the theme customizer.",,it,new,
,Templatespare,,it,new,unchanged_like
,Elespare,,it,new,unchanged_like
,Blockspare,,it,new,unchanged_like
,WP Post Author,,it,new,
,Free Live Chat using 3CX,,it,new,
,"Howdy, %1$s! We've noticed that you've been using %2$s for some time now, we hope you are loving it! We would appreciate it if you can %3$sgive us a 5 star rating on WordPress.org%4$s! We'll continue to develop exciting new features for free in the future by sharing the love!",,it,new,
,Sure thing,,it,new,
,Remind me later,,it,new,
,I've already done.,,it,new,
,Got any support queries?,,it,new,
,Previous,,it,new,
,Next,,it,new,
,%s min read,,it,new,
,ago,,it,new,
,"Edit <span class=""screen-reader-text"">%s</span>",,it,new,
,Action failed. Please refresh the page and retry.,,it,new,
,Cheatin&#8217; huh?,,it,new,
