msgctxt,msgid,msgid_plural,target_lang,status,issues
,DarkNews,,ne,new,
,https://afthemes.com/products/darknews/,,ne,new,unchanged_like
,"DarkNews is an advanced dark WordPress theme that's appropriate for a news, blog and magazine website. The theme includes a range of free starting pages that can be imported with a single click to create a great news portal. With 9+ custom widgets and widget areas, the theme is fully widgetized, allowing users to control site content. It also has a light and dark color mode, so you can view articles and blog posts in a trendy way. It also contains a number of helpful customizer options for building a visually appealing news site. You can configure it as you like to see how it looks before making any improvements using the live customizer. It's compatible with Elementor, Gutenberg blocks and RTL, as well as the WooCommerce plugin, which enables you to blend an online shop with our newspaper theme. The theme is ideal for a news, journal, magazine, publishing, or review site, as well as blogging. It's well-designed to bring the website to the top of search engines, and people will get outstanding support from the team if they have any problems when using it.",,ne,new,
,AF themes,,ne,new,
,https://www.afthemes.com/,,ne,new,unchanged_like
,Oops! That page can&rsquo;t be found.,,ne,new,
,It looks like nothing was found at this location. Maybe try one of the links below or a search?,,ne,new,
,Dashboard,,ne,new,
,Customize,,ne,new,
,Starter Sites,,ne,new,
,Elementor Kits,,ne,new,
,Block Patterns,,ne,new,
,Upgrade to Pro,,ne,new,
,Upgrade Now,,ne,new,
,The Templatespare plugin should be updated to the latest version,,ne,new,
,"Import a Starter Site, Personalize, and Live it in 3 Easy Steps!",,ne,new,
,Blockspare plugin version should be more than %s.,,ne,new,
,"One-click Demo Import, Block Editor Ready, No Code Required! Built with Blockspare.",,ne,new,
,Elespare plugin version should be more than %s.,,ne,new,
,"One-click Import, Header/Footer Builder, Multilingual Support! Powered by Elespare.",,ne,new,
,Are you sure you want to install this plugin?,,ne,new,
,Install Now,,ne,new,
,Activate,,ne,new,
,Activated,,ne,new,
,Get Starter Sites,,ne,new,
,Get Started,,ne,new,
,"The ""Get Started"" action will install/activate the Templatespare and Blockspare plugins for Starter Sites and Templates.",,ne,new,
,By,,ne,new,
,More Details,,ne,new,
,"👋 Welcome, and Thank You!",,ne,new,
,"%s is now active. We're here to help you turn your ideas into a beautiful, professional website — quickly and confidently.",,ne,new,
,🚀 Start With One Click,,ne,new,
,"Choose from 100+ starter sites designed for blogs, magazines, businesses & more.
      Setup is simple — no coding required.",,ne,new,
,View Demos,,ne,new,
,Theme dashboard,,ne,new,
,🤝 We're Here for You,,ne,new,
,Whether you're just starting or customizing your site.,,ne,new,
,Documentation,,ne,new,
,Videos,,ne,new,
,Support,,ne,new,
,⭐ Rate This Theme,,ne,new,
,"Sorry, you are not allowed to install plugins on this site.",,ne,new,
,"Error - unable to verify nonce, please try again.",,ne,new,
,"Sorry, you are not allowed to activate plugins on this site.",,ne,new,
,One thought on &ldquo;%1$s&rdquo;,,ne,new,
comments title,%1$s thought on &ldquo;%2$s&rdquo;,%1$s thoughts on &ldquo;%2$s&rdquo;,ne,new,
comments title,%1$s thought on &ldquo;%2$s&rdquo;,%1$s thoughts on &ldquo;%2$s&rdquo;,ne,new,
,Comments are closed.,,ne,new,
,%1$s by %2$s.,,ne,new,
,Primary Menu,,ne,new,
,Social Menu,,ne,new,
,Footer Menu,,ne,new,
%s font: on or off,on,,ne,new,
,Skip to content,,ne,new,
,-- Select --,,ne,new,
,Watch Online,,ne,new,
,Popular Tags,,ne,new,
,Breaking News,,ne,new,
,Youtube video Section,,ne,new,
,Express Posts Section,,ne,new,
,Express Posts 1,,ne,new,
,Express Posts 2,,ne,new,
,Posts List Section,,ne,new,
,Posts List %d,,ne,new,
,Posts Carousel,,ne,new,
,Latest,,ne,new,
,Popular,,ne,new,
,Trending,,ne,new,
,Editor's Picks,,ne,new,
,Trending Story,,ne,new,
,Featured Posts,,ne,new,
,Featured Categories,,ne,new,
,Featured Pages,,ne,new,
,Custom Options,,ne,new,
,Post list Section Title %d,,ne,new,
,View More,,ne,new,
,Read More,,ne,new,
,Trending Now,,ne,new,
,Connect with Us,,ne,new,
,Instagram,,ne,new,
,Popular News,,ne,new,
,Related Stories,,ne,new,
,You may have missed,,ne,new,
,Copyright &copy; All rights reserved.,,ne,new,unchanged_like
,Body Background Color (Dark Mode),,ne,new,
,Site Title Size,,ne,new,
,Site Title/Tagline Color,,ne,new,
,Header Image Mode,,ne,new,
,Image visibility may vary as per the mode,,ne,new,
,Set as Background,,ne,new,
,Show Full Image,,ne,new,
,Disable Image Tint/Overlay,,ne,new,
,DarkNews Pro,,ne,new,
,Fonts & Typography,,ne,new,
,Font Family Section,,ne,new,
,Site Title Font,,ne,new,
,Primary Font,,ne,new,
,Secondary Font,,ne,new,
,Site Color Mode,,ne,new,
,Dark,,ne,new,
,Light,,ne,new,
,Body Background Color (Light Mode) will be applied for this mode.,,ne,new,
,Body Background Color (Light Mode),,ne,new,
,Secondary Color,,ne,new,
,Main Banner Options,,ne,new,
,Main Banner,,ne,new,
,Enable Main Banner Section,,ne,new,
,Main Banner Background Image,,ne,new,
,Recommended Size %1$s px X %2$s px,,ne,new,
,Select Main Banner Order,,ne,new,
,Order 1,,ne,new,
,Order 2,,ne,new,
,Order 3,,ne,new,
,Main News Section ,,ne,new,
,Filter Posts By,,ne,new,
,Category,,ne,new,
,Tag,,ne,new,
,Select Category,,ne,new,
,Select category to be shown on main slider section,,ne,new,
,Select Tag,,ne,new,
,Select tag to be shown on main slider section,,ne,new,
