msgctxt,msgid,msgid_plural,target_lang,status,issues
,DarkNews,,nl,unchanged,
,https://afthemes.com/products/darknews/,,nl,unchanged,unchanged_like
,"DarkNews is an advanced dark WordPress theme that's appropriate for a news, blog and magazine website. The theme includes a range of free starting pages that can be imported with a single click to create a great news portal. With 9+ custom widgets and widget areas, the theme is fully widgetized, allowing users to control site content. It also has a light and dark color mode, so you can view articles and blog posts in a trendy way. It also contains a number of helpful customizer options for building a visually appealing news site. You can configure it as you like to see how it looks before making any improvements using the live customizer. It's compatible with Elementor, Gutenberg blocks and RTL, as well as the WooCommerce plugin, which enables you to blend an online shop with our newspaper theme. The theme is ideal for a news, journal, magazine, publishing, or review site, as well as blogging. It's well-designed to bring the website to the top of search engines, and people will get outstanding support from the team if they have any problems when using it.",,nl,unchanged,
,AF themes,,nl,unchanged,
,https://www.afthemes.com/,,nl,unchanged,unchanged_like
,Oops! That page can&rsquo;t be found.,,nl,unchanged,
,It looks like nothing was found at this location. Maybe try one of the links below or a search?,,nl,unchanged,
,Dashboard,,nl,unchanged,unchanged_like
,Customize,,nl,unchanged,
,Starter Sites,,nl,unchanged,
,Elementor Kits,,nl,unchanged,
,Block Patterns,,nl,unchanged,
,Upgrade to Pro,,nl,unchanged,
,Upgrade Now,,nl,unchanged,
,The Templatespare plugin should be updated to the latest version,,nl,unchanged,
,"Import a Starter Site, Personalize, and Live it in 3 Easy Steps!",,nl,unchanged,
,Blockspare plugin version should be more than %s.,,nl,unchanged,
,"One-click Demo Import, Block Editor Ready, No Code Required! Built with Blockspare.",,nl,unchanged,
,Elespare plugin version should be more than %s.,,nl,unchanged,
,"One-click Import, Header/Footer Builder, Multilingual Support! Powered by Elespare.",,nl,unchanged,
,Are you sure you want to install this plugin?,,nl,unchanged,
,Install Now,,nl,unchanged,
,Activate,,nl,unchanged,
,Activated,,nl,unchanged,
,Get Starter Sites,,nl,unchanged,
,Get Started,,nl,unchanged,
,"The ""Get Started"" action will install/activate the Templatespare and Blockspare plugins for Starter Sites and Templates.",,nl,unchanged,
,By,,nl,unchanged,
,More Details,,nl,unchanged,
,"👋 Welcome, and Thank You!",,nl,unchanged,
,"%s is now active. We're here to help you turn your ideas into a beautiful, professional website — quickly and confidently.",,nl,unchanged,
,🚀 Start With One Click,,nl,unchanged,
,"Choose from 100+ starter sites designed for blogs, magazines, businesses & more.
      Setup is simple — no coding required.",,nl,unchanged,
,View Demos,,nl,unchanged,
,Theme dashboard,,nl,unchanged,
,🤝 We're Here for You,,nl,unchanged,
,Whether you're just starting or customizing your site.,,nl,unchanged,
,Documentation,,nl,unchanged,
,Videos,,nl,unchanged,
,Support,,nl,unchanged,
,⭐ Rate This Theme,,nl,unchanged,
,"Sorry, you are not allowed to install plugins on this site.",,nl,unchanged,
,"Error - unable to verify nonce, please try again.",,nl,unchanged,
,"Sorry, you are not allowed to activate plugins on this site.",,nl,unchanged,
,One thought on &ldquo;%1$s&rdquo;,,nl,unchanged,
comments title,%1$s thought on &ldquo;%2$s&rdquo;,%1$s thoughts on &ldquo;%2$s&rdquo;,nl,unchanged,
comments title,%1$s thought on &ldquo;%2$s&rdquo;,%1$s thoughts on &ldquo;%2$s&rdquo;,nl,unchanged,
,Comments are closed.,,nl,unchanged,
,%1$s by %2$s.,,nl,unchanged,
,Primary Menu,,nl,unchanged,
,Social Menu,,nl,unchanged,
,Footer Menu,,nl,unchanged,
%s font: on or off,on,,nl,unchanged,
,Skip to content,,nl,unchanged,
,-- Select --,,nl,unchanged,
,Watch Online,,nl,unchanged,
,Popular Tags,,nl,unchanged,
,Breaking News,,nl,unchanged,
,Youtube video Section,,nl,unchanged,
,Express Posts Section,,nl,unchanged,
,Express Posts 1,,nl,unchanged,
,Express Posts 2,,nl,unchanged,
,Posts List Section,,nl,unchanged,
,Posts List %d,,nl,unchanged,
,Posts Carousel,,nl,unchanged,
,Latest,,nl,unchanged,
,Popular,,nl,unchanged,
,Trending,,nl,unchanged,
,Editor's Picks,,nl,unchanged,
,Trending Story,,nl,unchanged,
,Featured Posts,,nl,unchanged,
,Featured Categories,,nl,unchanged,
,Featured Pages,,nl,unchanged,
,Custom Options,,nl,unchanged,
,Post list Section Title %d,,nl,unchanged,
,View More,,nl,unchanged,
,Read More,,nl,unchanged,
,Trending Now,,nl,unchanged,
,Connect with Us,,nl,unchanged,
,Instagram,,nl,unchanged,unchanged_like
,Popular News,,nl,unchanged,
,Related Stories,,nl,unchanged,
,You may have missed,,nl,unchanged,
,Copyright &copy; All rights reserved.,,nl,unchanged,unchanged_like
,Body Background Color (Dark Mode),,nl,unchanged,
,Site Title Size,,nl,unchanged,
,Site Title/Tagline Color,,nl,unchanged,
,Header Image Mode,,nl,unchanged,
,Image visibility may vary as per the mode,,nl,unchanged,
,Set as Background,,nl,unchanged,
,Show Full Image,,nl,unchanged,
,Disable Image Tint/Overlay,,nl,unchanged,
,DarkNews Pro,,nl,unchanged,unchanged_like
,Fonts & Typography,,nl,unchanged,
,Font Family Section,,nl,unchanged,
,Site Title Font,,nl,unchanged,
,Primary Font,,nl,unchanged,
,Secondary Font,,nl,unchanged,
,Site Color Mode,,nl,unchanged,
,Dark,,nl,unchanged,
,Light,,nl,unchanged,
,Body Background Color (Light Mode) will be applied for this mode.,,nl,unchanged,
,Body Background Color (Light Mode),,nl,unchanged,
,Secondary Color,,nl,unchanged,
,Main Banner Options,,nl,unchanged,
,Main Banner,,nl,unchanged,
,Enable Main Banner Section,,nl,unchanged,
,Main Banner Background Image,,nl,unchanged,
,Recommended Size %1$s px X %2$s px,,nl,unchanged,
,Select Main Banner Order,,nl,unchanged,
,Order 1,,nl,unchanged,
,Order 2,,nl,unchanged,
,Order 3,,nl,unchanged,
,Main News Section ,,nl,unchanged,
,Filter Posts By,,nl,unchanged,
,Category,,nl,unchanged,
,Tag,,nl,unchanged,
,Select Category,,nl,unchanged,
,Select category to be shown on main slider section,,nl,unchanged,
,Select Tag,,nl,unchanged,
,Select tag to be shown on main slider section,,nl,unchanged,
,Editor's Picks Section,,nl,unchanged,
,Latest Section,,nl,unchanged,
,Section Title ,,nl,unchanged,
,Select,,nl,unchanged,
,Popular Section,,nl,unchanged,
,Comment Count,,nl,unchanged,
,Enable Popular Tags,,nl,unchanged,
,Enable Breaking News,,nl,unchanged,
,Breaking Posts Category,,nl,unchanged,
,Select category to be shown on breaking news ,,nl,unchanged,
,Frontpage Options,,nl,unchanged,
,Enable Featured Post Section,,nl,unchanged,
,Select Category ,,nl,unchanged,
,Select category to be shown on featured section ,,nl,unchanged,
,Posts List,,nl,unchanged,
,Enable Post List Section,,nl,unchanged,
,Section %d,,nl,unchanged,
,Section Title,,nl,unchanged,
,Frontpage Layout Settings,,nl,unchanged,
,Frontpage Content Display,,nl,unchanged,
,Select frontpage content display,,nl,unchanged,
,Frontpage Widgets,,nl,unchanged,
,Page Contents & Frontpage Widgets,,nl,unchanged,
,Frontpage Content Alignment,,nl,unchanged,
,Select frontpage content alignment,,nl,unchanged,
,Home Content - Home Sidebar,,nl,unchanged,
,Home Sidebar - Home Content,,nl,unchanged,
,Only Home Content,,nl,unchanged,
,Header Options,,nl,unchanged,
,Top Header Section,,nl,unchanged,
,Show Top Header,,nl,unchanged,
,Show Date,,nl,unchanged,
,Show Social Menu,,nl,unchanged,
,Header Advertisement,,nl,unchanged,
,Header Section Advertisement,,nl,unchanged,
,URL Link,,nl,unchanged,
,Theme Options,,nl,unchanged,
,Enable Box's Top/Bottom Gaps,,nl,unchanged,
,Breadcrumb Options,,nl,unchanged,
,Show breadcrumbs,,nl,unchanged,
,Select Breadcrumbs,,nl,unchanged,
,Please ensure that you have enabled the plugin's breadcrumbs before choosing other than Default,,nl,unchanged,
,Default,,nl,unchanged,
,Yoast SEO,,nl,unchanged,unchanged_like
,Rank Math,,nl,unchanged,
,NavXT,,nl,unchanged,unchanged_like
,Global Settings,,nl,unchanged,
,Enable Preloader,,nl,unchanged,
,Site Layout Option,,nl,unchanged,
,Boxed,,nl,unchanged,
,Wide,,nl,unchanged,
,Global Content Alignment,,nl,unchanged,
,Content - Primary sidebar,,nl,unchanged,
,Primary sidebar - Content,,nl,unchanged,
,Full width content,,nl,unchanged,
,Single Content Mode,,nl,unchanged,
,Spacious,,nl,unchanged,
,Scroll to Top Position,,nl,unchanged,
,Right,,nl,unchanged,
,Left,,nl,unchanged,
,None,,nl,unchanged,
,Categories Settings,,nl,unchanged,
,Post Categories,,nl,unchanged,
,Show,,nl,unchanged,unchanged_like
,Hide,,nl,unchanged,
,Categories to be displayed,,nl,unchanged,
,Show All,,nl,unchanged,
,Top One Category,,nl,unchanged,
,Number of Categories,,nl,unchanged,
,Author and Date Settings,,nl,unchanged,
,For Spotlight Posts,,nl,unchanged,
,Show Date and Author,,nl,unchanged,
,Hide All,,nl,unchanged,
,For Small Grid,,nl,unchanged,
,For List,,nl,unchanged,
,Author Icon/Gravatar,,nl,unchanged,
,Show Gravatar,,nl,unchanged,
,Show Icon,,nl,unchanged,
,Date Format,,nl,unchanged,
,WordPress Default Date Format,,nl,unchanged,
,Ago Date Format,,nl,unchanged,
,Minutes Read Count,,nl,unchanged,
,Excerpt Settings,,nl,unchanged,
,Global Excerpt Length,,nl,unchanged,
,Global Excerpt Read More,,nl,unchanged,
,Custom Menu Section,,nl,unchanged,
,Enable Custom Menu Section,,nl,unchanged,
,Title,,nl,unchanged,
,Link,,nl,unchanged,unchanged_like
,Single Post,,nl,unchanged,
,Show Featured Image,,nl,unchanged,
,Related Posts Settings,,nl,unchanged,
,Enable Related Posts,,nl,unchanged,
,Archive Settings,,nl,unchanged,
,Disable Main Banner on Blog,,nl,unchanged,
,Archive layout,,nl,unchanged,
,Select layout for archive,,nl,unchanged,
,Grid,,nl,unchanged,
,Full,,nl,unchanged,
,Make First Post Full,,nl,unchanged,
,Grid Column Layout,,nl,unchanged,
,Select column for archive grid,,nl,unchanged,
,Two Column,,nl,unchanged,
,Three Column,,nl,unchanged,
,Select Full Layout,,nl,unchanged,
,Select full layout for archive,,nl,unchanged,
,Posts Title After Image,,nl,unchanged,
,Posts Title Before Image,,nl,unchanged,
,Content View,,nl,unchanged,
,Select content view for archive,,nl,unchanged,
,Post Excerpt,,nl,unchanged,
,Full Content,,nl,unchanged,
,Sidebar Settings,,nl,unchanged,
,Make Sidebar Sticky,,nl,unchanged,
,Sidebar Sticky Position,,nl,unchanged,
,Top,,nl,unchanged,
,Bottom,,nl,unchanged,
,You May Have Missed,,nl,unchanged,
,Show Above Footer,,nl,unchanged,
,Posts Section Title,,nl,unchanged,
,Footer,,nl,unchanged,
,Footer Background Image,,nl,unchanged,
,Copyright Text,,nl,unchanged,
,Hide footer Menu Section,,nl,unchanged,
,Pages:,,nl,unchanged,
,Layout Options,,nl,unchanged,
,Content Options,,nl,unchanged,
,Set as global layout,,nl,unchanged,
,Please go to Customize>Themes Options for Single Post/Page.,,nl,unchanged,
,Sidebar Options,,nl,unchanged,
,Content - Primary Sidebar,,nl,unchanged,
,Primary Sidebar - Content,,nl,unchanged,
,No Sidebar,,nl,unchanged,
,Please go to Customize>Frontpage Options for Homepage.,,nl,unchanged,
,Category Color 1,,nl,unchanged,
,Category Color 2,,nl,unchanged,
,Category Color 3,,nl,unchanged,
,Color Class,,nl,unchanged,
,"Select category color class. You can set appropriate categories color on ""Categories"" section of the theme customizer.",,nl,unchanged,
,Templatespare,,nl,unchanged,
,Elespare,,nl,unchanged,
,Blockspare,,nl,unchanged,
,WP Post Author,,nl,unchanged,
,Free Live Chat using 3CX,,nl,unchanged,
,"Howdy, %1$s! We've noticed that you've been using %2$s for some time now, we hope you are loving it! We would appreciate it if you can %3$sgive us a 5 star rating on WordPress.org%4$s! We'll continue to develop exciting new features for free in the future by sharing the love!",,nl,unchanged,
,Sure thing,,nl,unchanged,
,Remind me later,,nl,unchanged,
,I've already done.,,nl,unchanged,
,Got any support queries?,,nl,unchanged,
,Previous,,nl,unchanged,
,Next,,nl,unchanged,
,%s min read,,nl,unchanged,
,ago,,nl,unchanged,
,"Edit <span class=""screen-reader-text"">%s</span>",,nl,unchanged,
,Action failed. Please refresh the page and retry.,,nl,unchanged,
,Cheatin&#8217; huh?,,nl,unchanged,
,%1$s 🎁 Hope you're loving our free %2$s theme! Dive into the festive spirit with an exclusive gift: %4$s premium features! Use code %3$s at checkout. Wishing you a season filled with joyous holidays and even happier savings! 🎄✨,,nl,unchanged,
,Claim Your Discount,,nl,unchanged,
,Power Bundle,,nl,unchanged,
,All Themes Plan,,nl,unchanged,
,Maybe Later,,nl,unchanged,
,Have Queries?,,nl,unchanged,
,Displays author info.,,nl,unchanged,
,AFTDN Author Info,,nl,unchanged,
,About Author,,nl,unchanged,
,Profile image,,nl,unchanged,
,Name,,nl,unchanged,
,Descriptions,,nl,unchanged,
,Facebook,,nl,unchanged,unchanged_like
,Twitter,,nl,unchanged,
,Displays Express Posts from selected categories.,,nl,unchanged,
,AFTDN Express Posts List,,nl,unchanged,
,Displays posts carousel from selected category.,,nl,unchanged,
,AFTDN Posts Carousel,,nl,unchanged,
,Select category,,nl,unchanged,
,Displays grid from selected categories.,,nl,unchanged,
,AFTDN Post Double Columns,,nl,unchanged,
,Select Category 1,,nl,unchanged,
,Select Category 2,,nl,unchanged,
,AFTDN Post List,,nl,unchanged,
