msgctxt,msgid,msgid_plural,target_lang,status,issues
,DarkNews,,pt,new,unchanged_like
,https://afthemes.com/products/darknews/,,pt,new,unchanged_like
,"DarkNews is an advanced dark WordPress theme that's appropriate for a news, blog and magazine website. The theme includes a range of free starting pages that can be imported with a single click to create a great news portal. With 9+ custom widgets and widget areas, the theme is fully widgetized, allowing users to control site content. It also has a light and dark color mode, so you can view articles and blog posts in a trendy way. It also contains a number of helpful customizer options for building a visually appealing news site. You can configure it as you like to see how it looks before making any improvements using the live customizer. It's compatible with Elementor, Gutenberg blocks and RTL, as well as the WooCommerce plugin, which enables you to blend an online shop with our newspaper theme. The theme is ideal for a news, journal, magazine, publishing, or review site, as well as blogging. It's well-designed to bring the website to the top of search engines, and people will get outstanding support from the team if they have any problems when using it.",,pt,new,
,AF themes,,pt,new,
,https://www.afthemes.com/,,pt,new,unchanged_like
,Oops! That page can&rsquo;t be found.,,pt,new,
,It looks like nothing was found at this location. Maybe try one of the links below or a search?,,pt,new,
,Dashboard,,pt,new,
,Customize,,pt,new,
,Starter Sites,,pt,new,
,Elementor Kits,,pt,new,
,Block Patterns,,pt,new,
,Upgrade to Pro,,pt,new,
,Upgrade Now,,pt,new,
,The Templatespare plugin should be updated to the latest version,,pt,new,
,"Import a Starter Site, Personalize, and Live it in 3 Easy Steps!",,pt,new,
,Blockspare plugin version should be more than %s.,,pt,new,
,"One-click Demo Import, Block Editor Ready, No Code Required! Built with Blockspare.",,pt,new,
,Elespare plugin version should be more than %s.,,pt,new,
,"One-click Import, Header/Footer Builder, Multilingual Support! Powered by Elespare.",,pt,new,
,Are you sure you want to install this plugin?,,pt,new,
,Install Now,,pt,new,
,Activate,,pt,new,
,Activated,,pt,new,
,Get Starter Sites,,pt,new,
,Get Started,,pt,new,
,"The ""Get Started"" action will install/activate the Templatespare and Blockspare plugins for Starter Sites and Templates.",,pt,new,
,By,,pt,new,
,More Details,,pt,new,
,"👋 Welcome, and Thank You!",,pt,new,
,"%s is now active. We're here to help you turn your ideas into a beautiful, professional website — quickly and confidently.",,pt,new,
,🚀 Start With One Click,,pt,new,
,"Choose from 100+ starter sites designed for blogs, magazines, businesses & more.
      Setup is simple — no coding required.",,pt,new,
,View Demos,,pt,new,
,Theme dashboard,,pt,new,
,🤝 We're Here for You,,pt,new,
,Whether you're just starting or customizing your site.,,pt,new,
,Documentation,,pt,new,
,Videos,,pt,new,
,Support,,pt,new,
,⭐ Rate This Theme,,pt,new,
,"Sorry, you are not allowed to install plugins on this site.",,pt,new,
,"Error - unable to verify nonce, please try again.",,pt,new,
,"Sorry, you are not allowed to activate plugins on this site.",,pt,new,
,One thought on &ldquo;%1$s&rdquo;,,pt,new,
comments title,%1$s thought on &ldquo;%2$s&rdquo;,%1$s thoughts on &ldquo;%2$s&rdquo;,pt,new,
comments title,%1$s thought on &ldquo;%2$s&rdquo;,%1$s thoughts on &ldquo;%2$s&rdquo;,pt,new,
,Comments are closed.,,pt,new,
,%1$s by %2$s.,,pt,new,
,Primary Menu,,pt,new,
,Social Menu,,pt,new,
,Footer Menu,,pt,new,
%s font: on or off,on,,pt,new,
,Skip to content,,pt,new,
,-- Select --,,pt,new,
,Watch Online,,pt,new,
,Popular Tags,,pt,new,
,Breaking News,,pt,new,
,Youtube video Section,,pt,new,
,Express Posts Section,,pt,new,
,Express Posts 1,,pt,new,
,Express Posts 2,,pt,new,
,Posts List Section,,pt,new,
,Posts List %d,,pt,new,
,Posts Carousel,,pt,new,
,Latest,,pt,new,
,Popular,,pt,new,unchanged_like
,Trending,,pt,new,
,Editor's Picks,,pt,new,
,Trending Story,,pt,new,
,Featured Posts,,pt,new,
,Featured Categories,,pt,new,
,Featured Pages,,pt,new,
,Custom Options,,pt,new,
,Post list Section Title %d,,pt,new,
,View More,,pt,new,
,Read More,,pt,new,
,Trending Now,,pt,new,
,Connect with Us,,pt,new,
,Instagram,,pt,new,unchanged_like
,Popular News,,pt,new,
,Related Stories,,pt,new,
,You may have missed,,pt,new,
,Copyright &copy; All rights reserved.,,pt,new,unchanged_like
,Body Background Color (Dark Mode),,pt,new,
,Site Title Size,,pt,new,
,Site Title/Tagline Color,,pt,new,
,Header Image Mode,,pt,new,
,Image visibility may vary as per the mode,,pt,new,
,Set as Background,,pt,new,
,Show Full Image,,pt,new,
,Disable Image Tint/Overlay,,pt,new,
,DarkNews Pro,,pt,new,unchanged_like
,Fonts & Typography,,pt,new,
,Font Family Section,,pt,new,
,Site Title Font,,pt,new,
,Primary Font,,pt,new,
,Secondary Font,,pt,new,
,Site Color Mode,,pt,new,
,Dark,,pt,new,
,Light,,pt,new,
,Body Background Color (Light Mode) will be applied for this mode.,,pt,new,
,Body Background Color (Light Mode),,pt,new,
,Secondary Color,,pt,new,
,Main Banner Options,,pt,new,
,Main Banner,,pt,new,
,Enable Main Banner Section,,pt,new,
