msgctxt,msgid,msgid_plural,target_lang,status,issues
,DarkNews,,ru,new,
,https://afthemes.com/products/darknews/,,ru,new,unchanged_like
,"DarkNews is an advanced dark WordPress theme that's appropriate for a news, blog and magazine website. The theme includes a range of free starting pages that can be imported with a single click to create a great news portal. With 9+ custom widgets and widget areas, the theme is fully widgetized, allowing users to control site content. It also has a light and dark color mode, so you can view articles and blog posts in a trendy way. It also contains a number of helpful customizer options for building a visually appealing news site. You can configure it as you like to see how it looks before making any improvements using the live customizer. It's compatible with Elementor, Gutenberg blocks and RTL, as well as the WooCommerce plugin, which enables you to blend an online shop with our newspaper theme. The theme is ideal for a news, journal, magazine, publishing, or review site, as well as blogging. It's well-designed to bring the website to the top of search engines, and people will get outstanding support from the team if they have any problems when using it.",,ru,new,
,AF themes,,ru,new,
,https://www.afthemes.com/,,ru,new,unchanged_like
,Oops! That page can&rsquo;t be found.,,ru,new,
,It looks like nothing was found at this location. Maybe try one of the links below or a search?,,ru,new,
,Dashboard,,ru,new,
,Customize,,ru,new,
,Starter Sites,,ru,new,
,Elementor Kits,,ru,new,
,Block Patterns,,ru,new,
,Upgrade to Pro,,ru,new,
,Upgrade Now,,ru,new,
,The Templatespare plugin should be updated to the latest version,,ru,new,
,"Import a Starter Site, Personalize, and Live it in 3 Easy Steps!",,ru,new,
,Blockspare plugin version should be more than %s.,,ru,new,
,"One-click Demo Import, Block Editor Ready, No Code Required! Built with Blockspare.",,ru,new,
,Elespare plugin version should be more than %s.,,ru,new,
,"One-click Import, Header/Footer Builder, Multilingual Support! Powered by Elespare.",,ru,new,
,Are you sure you want to install this plugin?,,ru,new,
,Install Now,,ru,new,
,Activate,,ru,new,
,Activated,,ru,new,
,Get Starter Sites,,ru,new,
,Get Started,,ru,new,
,"The ""Get Started"" action will install/activate the Templatespare and Blockspare plugins for Starter Sites and Templates.",,ru,new,
,By,,ru,new,
,More Details,,ru,new,
,"👋 Welcome, and Thank You!",,ru,new,
