msgctxt,msgid,msgid_plural,target_lang,status,issues
,Elegant Magazine,,es,unchanged,
,https://www.afthemes.com/products/elegant-magazine/,,es,unchanged,unchanged_like
,"An elegant and minimalist theme, which is predominantly designed for a web news portal and magazine with an immense research on contemporary online newspapers. With the help of available customizer options and widgets, you can implement layout as a trending news journals, modern fashion magazine, travel blogging & magazine, clean and minimal news sites, blogging site and even more. The theme is SEO friendly with optimized code and awesome support. See our demos: https://afthemes.com/elegant-magazine-demos/ and support at : https://afthemes.com/supports/",,es,unchanged,
,AF themes,,es,unchanged,
,https://www.afthemes.com/,,es,unchanged,unchanged_like
,Oops! That page can&rsquo;t be found.,,es,unchanged,
,It looks like nothing was found at this location. Maybe try one of the links below or a search?,,es,unchanged,
,Dashboard,,es,new,
,Customize,,es,unchanged,
,Starter Sites,,es,unchanged,
,Elementor Kits,,es,unchanged,
,Block Patterns,,es,unchanged,
,Upgrade to Pro,,es,unchanged,
,Upgrade Now,,es,new,
,The Templatespare plugin should be updated to the latest version,,es,unchanged,
,"Import a Starter Site, Personalize, and Live it in 3 Easy Steps!",,es,unchanged,
,Blockspare plugin version should be more than %s.,,es,unchanged,
,"One-click Demo Import, Block Editor Ready, No Code Required! Built with Blockspare.",,es,unchanged,
,Elespare plugin version should be more than %s.,,es,unchanged,
,"One-click Import, Header/Footer Builder, Multilingual Support! Powered by Elespare.",,es,unchanged,
,Are you sure you want to install this plugin?,,es,unchanged,
,Install Now,,es,unchanged,
,Activate,,es,unchanged,
,Activated,,es,unchanged,
,Get Starter Sites,,es,unchanged,
,Get Started,,es,unchanged,
,"The ""Get Started"" action will install/activate the Templatespare and Blockspare plugins for Starter Sites and Templates.",,es,unchanged,
,By,,es,unchanged,
,More Details,,es,unchanged,
,"👋 Welcome, and Thank You!",,es,new,
,"%s is now active. We’re here to help you turn your ideas into a beautiful, professional website — quickly and confidently.",,es,new,
,🚀 Start With One Click,,es,new,
,"Choose from 100+ starter sites designed for blogs, magazines, businesses & more.
      Setup is simple — no coding required.",,es,new,
,View Demos,,es,new,
,Theme dashboard,,es,unchanged,
,🤝 We're Here for You,,es,new,
,Whether you're just starting or customizing your site.,,es,new,
,Documentation,,es,unchanged,
,Videos,,es,unchanged,
,Support,,es,unchanged,
,Rate This Theme,,es,unchanged,
,"Sorry, you are not allowed to install plugins on this site.",,es,unchanged,
,"Error - unable to verify nonce, please try again.",,es,unchanged,
,"Sorry, you are not allowed to activate plugins on this site.",,es,unchanged,
,One thought on &ldquo;%1$s&rdquo;,,es,unchanged,
comments title,%1$s thought on &ldquo;%2$s&rdquo;,%1$s thoughts on &ldquo;%2$s&rdquo;,es,unchanged,
comments title,%1$s thought on &ldquo;%2$s&rdquo;,%1$s thoughts on &ldquo;%2$s&rdquo;,es,unchanged,
,Comments are closed.,,es,unchanged,
,Theme: %1$s by %2$s.,,es,unchanged,
,Primary Menu,,es,unchanged,
,Top Menu,,es,unchanged,
,Social Menu,,es,unchanged,
,Footer Menu,,es,unchanged,
Oswald font: on or off,on,,es,unchanged,
Lato font: on or off,on,,es,unchanged,
,Skip to content,,es,unchanged,
,All,,es,unchanged,
,Exclusive,,es,unchanged,
,You may also like,,es,unchanged,
,Copyright &copy; All rights reserved.,,es,unchanged,unchanged_like
,Disable Image Tint/Overlay,,es,unchanged,
,Elegant Magazine Pro,,es,unchanged,
,Upgrade now,,es,unchanged,
,Top header background color,,es,unchanged,
,Top header texts color,,es,unchanged,
,Frontpage Options,,es,unchanged,
,Advertisement,,es,unchanged,
,Banner Section Advertisement,,es,unchanged,
,Recommended Size %1$s px X %2$s px,,es,unchanged,
,URL Link,,es,unchanged,
,Ticker news,,es,unchanged,
,Enable Ticker News,,es,unchanged,
,Ticker Title,,es,unchanged,
,Ticker News Category,,es,unchanged,
,Select category to be shown on ticker ,,es,unchanged,
,Main banner news,,es,unchanged,
,Enable main news section,,es,unchanged,
,Slider news category,,es,unchanged,
,Select category to be shown on slider ,,es,unchanged,
,Featured news category,,es,unchanged,
,Select category to be shown on featured section ,,es,unchanged,
,Enable static page content,,es,unchanged,
,Layout,,es,unchanged,
,Frontpage Content alignment,,es,unchanged,
,Select frontpage content alignment,,es,unchanged,
,Home Content - Home Sidebar,,es,unchanged,
,Home Sidebar - Home Content,,es,unchanged,
,Only Home Content,,es,unchanged,
,Theme Options,,es,unchanged,
,Preloader,,es,unchanged,
,Enable preloader,,es,unchanged,
,Header,,es,unchanged,
,Transparent top header,,es,unchanged,
,Show date on top header,,es,unchanged,
,Show social menu on top header,,es,unchanged,
,Breadcrumb,,es,unchanged,
,Show breadcrumbs,,es,unchanged,
,Content alignment,,es,unchanged,
,Select global content alignment,,es,unchanged,
,Content - Primary sidebar,,es,unchanged,
,Primary sidebar - Content,,es,unchanged,
,Full width content,,es,unchanged,
,Image Lazy Loading,,es,unchanged,
,Enable ,,es,unchanged,
,Disable,,es,unchanged,
,Archive,,es,unchanged,
,Archive layout,,es,unchanged,
,Select layout for archive,,es,unchanged,
,Full,,es,unchanged,
,List,,es,unchanged,
,Image alignment,,es,unchanged,
,Select image alignment for archive,,es,unchanged,
,Left,,es,unchanged,
,Right,,es,unchanged,
,Content view,,es,unchanged,
,Select content view for archive,,es,unchanged,
,Post excerpt,,es,unchanged,
,Full Content,,es,unchanged,
,Related Posts,,es,unchanged,
,Show on single posts,,es,unchanged,
,Title,,es,unchanged,
,Latest blog carousel,,es,unchanged,
,Show above footer,,es,unchanged,
,Footer,,es,unchanged,
,Copyright Text,,es,unchanged,
,Pages:,,es,unchanged,
,Layout Options,,es,unchanged,
,Content - Primary Sidebar,,es,unchanged,
,Primary Sidebar - Content,,es,unchanged,
,Templatespare,,es,unchanged,
,Elespare,,es,unchanged,unchanged_like
,Blockspare,,es,unchanged,
,WP Post Author,,es,unchanged,
,Free Live Chat using 3CX,,es,unchanged,
,"Howdy, %1$s! We've noticed that you've been using %2$s for some time now, we hope you are loving it! We would appreciate it if you can %3$sgive us a 5 star rating on WordPress.org%4$s! We'll continue to develop exciting new features for free in the future by sharing the love!",,es,unchanged,
,Sure thing,,es,unchanged,
,Remind me later,,es,unchanged,
,I've already done.,,es,unchanged,
,Got any support queries?,,es,unchanged,
,/,,es,unchanged,
,", ",,es,unchanged,
,Posted in %1$s,,es,unchanged,
list item separator,", ",,es,unchanged,
,Tagged %1$s,,es,unchanged,
,"Leave a Comment<span class=""screen-reader-text""> on %s</span>",,es,unchanged,
,"Edit <span class=""screen-reader-text"">%s</span>",,es,unchanged,
,Tags:,,es,unchanged,
,Action failed. Please refresh the page and retry.,,es,unchanged,
,Cheatin&#8217; huh?,,es,unchanged,
,%1$s 🎁 Hope you're loving our free %2$s theme! Dive into the festive spirit with an exclusive gift: %4$s premium features! Use code %3$s at checkout. Wishing you a season filled with joyous holidays and even happier savings! 🎄✨,,es,unchanged,
,Claim Your Discount,,es,unchanged,
,Power Bundle,,es,unchanged,
,All Themes Plan,,es,unchanged,
,Maybe Later,,es,unchanged,
,Have Queries?,,es,unchanged,
,Displays author info.,,es,unchanged,
,EM Author Info,,es,unchanged,
,Subtitle,,es,unchanged,
,Profile image,,es,unchanged,
,Name,,es,unchanged,
,Descriptions,,es,unchanged,
,Facebook,,es,unchanged,unchanged_like
,Twitter,,es,unchanged,
,LinkedIn,,es,unchanged,unchanged_like
,Displays posts carousel from selected category.,,es,unchanged,
,EM Posts Carousel,,es,unchanged,
,Select category,,es,unchanged,
,Displays posts from selected double categories in double column.,,es,unchanged,
,EM Double Categories Posts ,,es,unchanged,
,Select first category,,es,unchanged,
,Select second category,,es,unchanged,
,Displays posts from selected category in double column.,,es,unchanged,
,EM Posts - Double Column ,,es,unchanged,
,Double Column Posts,,es,unchanged,
,Double Column Posts Subtitle,,es,unchanged,
,Displays posts from selected category in express column.,,es,unchanged,
,EM Posts - Express Column ,,es,unchanged,
,Displays posts from selected category in single column.,,es,unchanged,
,EM Posts - Single Column ,,es,unchanged,
,Yes,,es,unchanged,
,No,,es,unchanged,unchanged_like
,Show excerpt,,es,unchanged,
,Displays posts slider from selected category.,,es,unchanged,
,EM Posts Slider,,es,unchanged,
,Displays tabbed posts lists from selected settings.,,es,unchanged,
,EM Tabbed Posts,,es,unchanged,
,EM Popular,,es,unchanged,
,EM Latest,,es,unchanged,
,EM Categorised,,es,unchanged,
,Popular,,es,unchanged,unchanged_like
,Recent,,es,unchanged,
,Categorised,,es,unchanged,
,Popular Posts,,es,unchanged,
,Latest Posts,,es,unchanged,
,Latest,,es,unchanged,
,Categorised Posts,,es,unchanged,
,Settings for all tabs,,es,unchanged,
,Displays social contacts lists from selected settings.,,es,unchanged,
,EM Social Contacts,,es,unchanged,
,EM Social,,es,unchanged,
,Social menu is not set. You need to create menu and assign it to Social Menu on Menu Settings.,,es,unchanged,
,Upload,,es,unchanged,
,Select Image,,es,unchanged,
,Choose Image,,es,unchanged,
Remove,X,,es,unchanged,
,All Categories,,es,unchanged,
,Main Sidebar,,es,unchanged,
,Add widgets for main sidebar.,,es,unchanged,
,Off-canvas Panel,,es,unchanged,
,Add widgets for off-canvas panel.,,es,unchanged,
,Front-page Content Section,,es,unchanged,
,Add widgets to front-page contents section.,,es,unchanged,
,Front-page Sidebar Section,,es,unchanged,
,Add widgets to front-page sidebar section.,,es,unchanged,
,Footer First Section,,es,unchanged,
,Displays items on footer first column.,,es,unchanged,
,Footer Second Section,,es,unchanged,
,Displays items on footer second column.,,es,unchanged,
,Footer Third Section,,es,unchanged,
,Displays items on footer third column.,,es,unchanged,
,View your shopping cart,,es,unchanged,
