msgctxt,msgid,msgid_plural,target_lang,status,issues
,Elegant Magazine,,it,unchanged,
,https://www.afthemes.com/products/elegant-magazine/,,it,unchanged,unchanged_like
,"An elegant and minimalist theme, which is predominantly designed for a web news portal and magazine with an immense research on contemporary online newspapers. With the help of available customizer options and widgets, you can implement layout as a trending news journals, modern fashion magazine, travel blogging & magazine, clean and minimal news sites, blogging site and even more. The theme is SEO friendly with optimized code and awesome support. See our demos: https://afthemes.com/elegant-magazine-demos/ and support at : https://afthemes.com/supports/",,it,unchanged,
,AF themes,,it,unchanged,
,https://www.afthemes.com/,,it,unchanged,unchanged_like
,Oops! That page can&rsquo;t be found.,,it,unchanged,
,It looks like nothing was found at this location. Maybe try one of the links below or a search?,,it,unchanged,
,Dashboard,,it,new,
,Customize,,it,unchanged,
,Starter Sites,,it,unchanged,
,Elementor Kits,,it,unchanged,
,Block Patterns,,it,unchanged,
,Upgrade to Pro,,it,unchanged,
,Upgrade Now,,it,new,
,The Templatespare plugin should be updated to the latest version,,it,unchanged,
,"Import a Starter Site, Personalize, and Live it in 3 Easy Steps!",,it,unchanged,
,Blockspare plugin version should be more than %s.,,it,unchanged,
,"One-click Demo Import, Block Editor Ready, No Code Required! Built with Blockspare.",,it,unchanged,
,Elespare plugin version should be more than %s.,,it,unchanged,
,"One-click Import, Header/Footer Builder, Multilingual Support! Powered by Elespare.",,it,unchanged,
,Are you sure you want to install this plugin?,,it,unchanged,
,Install Now,,it,unchanged,
,Activate,,it,unchanged,
,Activated,,it,unchanged,
,Get Starter Sites,,it,unchanged,
,Get Started,,it,unchanged,
,"The ""Get Started"" action will install/activate the Templatespare and Blockspare plugins for Starter Sites and Templates.",,it,unchanged,
,By,,it,unchanged,
,More Details,,it,unchanged,
,"👋 Welcome, and Thank You!",,it,new,
,"%s is now active. We’re here to help you turn your ideas into a beautiful, professional website — quickly and confidently.",,it,new,
,🚀 Start With One Click,,it,new,
,"Choose from 100+ starter sites designed for blogs, magazines, businesses & more.
      Setup is simple — no coding required.",,it,new,
,View Demos,,it,new,
,Theme dashboard,,it,unchanged,
,🤝 We're Here for You,,it,new,
,Whether you're just starting or customizing your site.,,it,new,
,Documentation,,it,unchanged,
,Videos,,it,unchanged,
,Support,,it,unchanged,
,Rate This Theme,,it,unchanged,
,"Sorry, you are not allowed to install plugins on this site.",,it,unchanged,
,"Error - unable to verify nonce, please try again.",,it,unchanged,
,"Sorry, you are not allowed to activate plugins on this site.",,it,unchanged,
,One thought on &ldquo;%1$s&rdquo;,,it,unchanged,
comments title,%1$s thought on &ldquo;%2$s&rdquo;,%1$s thoughts on &ldquo;%2$s&rdquo;,it,unchanged,
comments title,%1$s thought on &ldquo;%2$s&rdquo;,%1$s thoughts on &ldquo;%2$s&rdquo;,it,unchanged,
,Comments are closed.,,it,unchanged,
,Theme: %1$s by %2$s.,,it,unchanged,
,Primary Menu,,it,unchanged,
,Top Menu,,it,unchanged,
,Social Menu,,it,unchanged,
,Footer Menu,,it,unchanged,
Oswald font: on or off,on,,it,unchanged,
Lato font: on or off,on,,it,unchanged,
,Skip to content,,it,unchanged,
,All,,it,unchanged,
,Exclusive,,it,unchanged,
,You may also like,,it,unchanged,
,Copyright &copy; All rights reserved.,,it,unchanged,unchanged_like
,Disable Image Tint/Overlay,,it,unchanged,
,Elegant Magazine Pro,,it,unchanged,
,Upgrade now,,it,unchanged,
,Top header background color,,it,unchanged,
,Top header texts color,,it,unchanged,
,Frontpage Options,,it,unchanged,
,Advertisement,,it,unchanged,
,Banner Section Advertisement,,it,unchanged,
,Recommended Size %1$s px X %2$s px,,it,unchanged,
,URL Link,,it,unchanged,
,Ticker news,,it,unchanged,
,Enable Ticker News,,it,unchanged,
,Ticker Title,,it,unchanged,
,Ticker News Category,,it,unchanged,
,Select category to be shown on ticker ,,it,unchanged,
,Main banner news,,it,unchanged,
,Enable main news section,,it,unchanged,
,Slider news category,,it,unchanged,
,Select category to be shown on slider ,,it,unchanged,
,Featured news category,,it,unchanged,
,Select category to be shown on featured section ,,it,unchanged,
,Enable static page content,,it,unchanged,
,Layout,,it,unchanged,
,Frontpage Content alignment,,it,unchanged,
,Select frontpage content alignment,,it,unchanged,
,Home Content - Home Sidebar,,it,unchanged,
,Home Sidebar - Home Content,,it,unchanged,
,Only Home Content,,it,unchanged,
,Theme Options,,it,unchanged,
,Preloader,,it,unchanged,
,Enable preloader,,it,unchanged,
,Header,,it,unchanged,
,Transparent top header,,it,unchanged,
,Show date on top header,,it,unchanged,
,Show social menu on top header,,it,unchanged,
,Breadcrumb,,it,unchanged,
,Show breadcrumbs,,it,unchanged,
,Content alignment,,it,unchanged,
,Select global content alignment,,it,unchanged,
,Content - Primary sidebar,,it,unchanged,
,Primary sidebar - Content,,it,unchanged,
,Full width content,,it,unchanged,
,Image Lazy Loading,,it,unchanged,
,Enable ,,it,unchanged,
,Disable,,it,unchanged,
,Archive,,it,unchanged,
,Archive layout,,it,unchanged,
,Select layout for archive,,it,unchanged,
,Full,,it,unchanged,
,List,,it,unchanged,
,Image alignment,,it,unchanged,
,Select image alignment for archive,,it,unchanged,
,Left,,it,unchanged,
,Right,,it,unchanged,
,Content view,,it,unchanged,
,Select content view for archive,,it,unchanged,
,Post excerpt,,it,unchanged,
,Full Content,,it,unchanged,
,Related Posts,,it,unchanged,
,Show on single posts,,it,unchanged,
,Title,,it,unchanged,
,Latest blog carousel,,it,unchanged,
,Show above footer,,it,unchanged,
,Footer,,it,unchanged,
