msgctxt,msgid,msgid_plural,target_lang,status,issues
,Elegant Magazine,,ja,unchanged,
,https://www.afthemes.com/products/elegant-magazine/,,ja,unchanged,unchanged_like
,"An elegant and minimalist theme, which is predominantly designed for a web news portal and magazine with an immense research on contemporary online newspapers. With the help of available customizer options and widgets, you can implement layout as a trending news journals, modern fashion magazine, travel blogging & magazine, clean and minimal news sites, blogging site and even more. The theme is SEO friendly with optimized code and awesome support. See our demos: https://afthemes.com/elegant-magazine-demos/ and support at : https://afthemes.com/supports/",,ja,unchanged,
,AF themes,,ja,unchanged,
,https://www.afthemes.com/,,ja,unchanged,unchanged_like
,Oops! That page can&rsquo;t be found.,,ja,unchanged,
,It looks like nothing was found at this location. Maybe try one of the links below or a search?,,ja,unchanged,
,Dashboard,,ja,new,
,Customize,,ja,unchanged,
,Starter Sites,,ja,unchanged,
,Elementor Kits,,ja,unchanged,
,Block Patterns,,ja,unchanged,
,Upgrade to Pro,,ja,unchanged,
,Upgrade Now,,ja,new,
,The Templatespare plugin should be updated to the latest version,,ja,unchanged,
,"Import a Starter Site, Personalize, and Live it in 3 Easy Steps!",,ja,unchanged,
,Blockspare plugin version should be more than %s.,,ja,unchanged,
,"One-click Demo Import, Block Editor Ready, No Code Required! Built with Blockspare.",,ja,unchanged,
,Elespare plugin version should be more than %s.,,ja,unchanged,
,"One-click Import, Header/Footer Builder, Multilingual Support! Powered by Elespare.",,ja,unchanged,
,Are you sure you want to install this plugin?,,ja,unchanged,
,Install Now,,ja,unchanged,
,Activate,,ja,unchanged,
,Activated,,ja,unchanged,
,Get Starter Sites,,ja,unchanged,
,Get Started,,ja,unchanged,
,"The ""Get Started"" action will install/activate the Templatespare and Blockspare plugins for Starter Sites and Templates.",,ja,unchanged,
,By,,ja,unchanged,
,More Details,,ja,unchanged,
,"👋 Welcome, and Thank You!",,ja,new,
,"%s is now active. We’re here to help you turn your ideas into a beautiful, professional website — quickly and confidently.",,ja,new,
,🚀 Start With One Click,,ja,new,
,"Choose from 100+ starter sites designed for blogs, magazines, businesses & more.
      Setup is simple — no coding required.",,ja,new,
,View Demos,,ja,new,
,Theme dashboard,,ja,unchanged,
,🤝 We're Here for You,,ja,new,
,Whether you're just starting or customizing your site.,,ja,new,
,Documentation,,ja,unchanged,
,Videos,,ja,unchanged,
,Support,,ja,unchanged,
,Rate This Theme,,ja,unchanged,
,"Sorry, you are not allowed to install plugins on this site.",,ja,unchanged,
,"Error - unable to verify nonce, please try again.",,ja,unchanged,
,"Sorry, you are not allowed to activate plugins on this site.",,ja,unchanged,
,One thought on &ldquo;%1$s&rdquo;,,ja,unchanged,
comments title,%1$s thought on &ldquo;%2$s&rdquo;,%1$s thoughts on &ldquo;%2$s&rdquo;,ja,unchanged,
,Comments are closed.,,ja,unchanged,
,Theme: %1$s by %2$s.,,ja,unchanged,
,Primary Menu,,ja,unchanged,
,Top Menu,,ja,unchanged,
,Social Menu,,ja,unchanged,
,Footer Menu,,ja,unchanged,
Oswald font: on or off,on,,ja,unchanged,
Lato font: on or off,on,,ja,unchanged,
,Skip to content,,ja,unchanged,
,All,,ja,unchanged,
,Exclusive,,ja,unchanged,
,You may also like,,ja,unchanged,
,Copyright &copy; All rights reserved.,,ja,unchanged,unchanged_like
,Disable Image Tint/Overlay,,ja,unchanged,
,Elegant Magazine Pro,,ja,unchanged,
,Upgrade now,,ja,unchanged,
,Top header background color,,ja,unchanged,
,Top header texts color,,ja,unchanged,
,Frontpage Options,,ja,unchanged,
,Advertisement,,ja,unchanged,
,Banner Section Advertisement,,ja,unchanged,
,Recommended Size %1$s px X %2$s px,,ja,unchanged,
,URL Link,,ja,unchanged,
,Ticker news,,ja,unchanged,
,Enable Ticker News,,ja,unchanged,
,Ticker Title,,ja,unchanged,
,Ticker News Category,,ja,unchanged,
,Select category to be shown on ticker ,,ja,unchanged,
,Main banner news,,ja,unchanged,
,Enable main news section,,ja,unchanged,
,Slider news category,,ja,unchanged,
,Select category to be shown on slider ,,ja,unchanged,
,Featured news category,,ja,unchanged,
,Select category to be shown on featured section ,,ja,unchanged,
,Enable static page content,,ja,unchanged,
,Layout,,ja,unchanged,
,Frontpage Content alignment,,ja,unchanged,
,Select frontpage content alignment,,ja,unchanged,
,Home Content - Home Sidebar,,ja,unchanged,
,Home Sidebar - Home Content,,ja,unchanged,
,Only Home Content,,ja,unchanged,
,Theme Options,,ja,unchanged,
,Preloader,,ja,unchanged,
,Enable preloader,,ja,unchanged,
,Header,,ja,unchanged,
,Transparent top header,,ja,unchanged,
,Show date on top header,,ja,unchanged,
,Show social menu on top header,,ja,unchanged,
,Breadcrumb,,ja,unchanged,
,Show breadcrumbs,,ja,unchanged,
,Content alignment,,ja,unchanged,
,Select global content alignment,,ja,unchanged,
,Content - Primary sidebar,,ja,unchanged,
,Primary sidebar - Content,,ja,unchanged,
,Full width content,,ja,unchanged,
,Image Lazy Loading,,ja,unchanged,
,Enable ,,ja,unchanged,
,Disable,,ja,unchanged,
,Archive,,ja,unchanged,
,Archive layout,,ja,unchanged,
,Select layout for archive,,ja,unchanged,
,Full,,ja,unchanged,
,List,,ja,unchanged,
,Image alignment,,ja,unchanged,
,Select image alignment for archive,,ja,unchanged,
,Left,,ja,unchanged,
,Right,,ja,unchanged,
,Content view,,ja,unchanged,
,Select content view for archive,,ja,unchanged,
,Post excerpt,,ja,unchanged,
,Full Content,,ja,unchanged,
,Related Posts,,ja,unchanged,
,Show on single posts,,ja,unchanged,
,Title,,ja,unchanged,
,Latest blog carousel,,ja,unchanged,
,Show above footer,,ja,unchanged,
,Footer,,ja,unchanged,
,Copyright Text,,ja,unchanged,
,Pages:,,ja,unchanged,
,Layout Options,,ja,unchanged,
,Content - Primary Sidebar,,ja,unchanged,
,Primary Sidebar - Content,,ja,unchanged,
,Templatespare,,ja,unchanged,
,Elespare,,ja,unchanged,
,Blockspare,,ja,unchanged,
,WP Post Author,,ja,unchanged,
,Free Live Chat using 3CX,,ja,unchanged,
,"Howdy, %1$s! We've noticed that you've been using %2$s for some time now, we hope you are loving it! We would appreciate it if you can %3$sgive us a 5 star rating on WordPress.org%4$s! We'll continue to develop exciting new features for free in the future by sharing the love!",,ja,unchanged,
,Sure thing,,ja,unchanged,
,Remind me later,,ja,unchanged,
,I've already done.,,ja,unchanged,
,Got any support queries?,,ja,unchanged,
,/,,ja,unchanged,
,", ",,ja,unchanged,
,Posted in %1$s,,ja,unchanged,
list item separator,", ",,ja,unchanged,
,Tagged %1$s,,ja,unchanged,
,"Leave a Comment<span class=""screen-reader-text""> on %s</span>",,ja,unchanged,
,"Edit <span class=""screen-reader-text"">%s</span>",,ja,unchanged,
,Tags:,,ja,unchanged,
,Action failed. Please refresh the page and retry.,,ja,unchanged,
,Cheatin&#8217; huh?,,ja,unchanged,
,%1$s 🎁 Hope you're loving our free %2$s theme! Dive into the festive spirit with an exclusive gift: %4$s premium features! Use code %3$s at checkout. Wishing you a season filled with joyous holidays and even happier savings! 🎄✨,,ja,unchanged,
,Claim Your Discount,,ja,unchanged,
,Power Bundle,,ja,unchanged,
,All Themes Plan,,ja,unchanged,
,Maybe Later,,ja,unchanged,
,Have Queries?,,ja,unchanged,
,Displays author info.,,ja,unchanged,
,EM Author Info,,ja,unchanged,
,Subtitle,,ja,unchanged,
,Profile image,,ja,unchanged,
,Name,,ja,unchanged,
,Descriptions,,ja,unchanged,
,Facebook,,ja,unchanged,
,Twitter,,ja,unchanged,
,LinkedIn,,ja,unchanged,
,Displays posts carousel from selected category.,,ja,unchanged,
,EM Posts Carousel,,ja,unchanged,
,Select category,,ja,unchanged,
,Displays posts from selected double categories in double column.,,ja,unchanged,
,EM Double Categories Posts ,,ja,unchanged,
,Select first category,,ja,unchanged,
,Select second category,,ja,unchanged,
,Displays posts from selected category in double column.,,ja,unchanged,
,EM Posts - Double Column ,,ja,unchanged,
,Double Column Posts,,ja,unchanged,
,Double Column Posts Subtitle,,ja,unchanged,
,Displays posts from selected category in express column.,,ja,unchanged,
,EM Posts - Express Column ,,ja,unchanged,
,Displays posts from selected category in single column.,,ja,unchanged,
,EM Posts - Single Column ,,ja,unchanged,
,Yes,,ja,unchanged,
,No,,ja,unchanged,
,Show excerpt,,ja,unchanged,
,Displays posts slider from selected category.,,ja,unchanged,
,EM Posts Slider,,ja,unchanged,
,Displays tabbed posts lists from selected settings.,,ja,unchanged,
,EM Tabbed Posts,,ja,unchanged,
,EM Popular,,ja,unchanged,
,EM Latest,,ja,unchanged,
,EM Categorised,,ja,unchanged,
,Popular,,ja,unchanged,
,Recent,,ja,unchanged,
,Categorised,,ja,unchanged,
,Popular Posts,,ja,unchanged,
,Latest Posts,,ja,unchanged,
,Latest,,ja,unchanged,
,Categorised Posts,,ja,unchanged,
,Settings for all tabs,,ja,unchanged,
,Displays social contacts lists from selected settings.,,ja,unchanged,
,EM Social Contacts,,ja,unchanged,
,EM Social,,ja,unchanged,
