msgctxt,msgid,msgid_plural,target_lang,status,issues
,Elegant Magazine,,ne,new,
,https://www.afthemes.com/products/elegant-magazine/,,ne,new,unchanged_like
,"An elegant and minimalist theme, which is predominantly designed for a web news portal and magazine with an immense research on contemporary online newspapers. With the help of available customizer options and widgets, you can implement layout as a trending news journals, modern fashion magazine, travel blogging & magazine, clean and minimal news sites, blogging site and even more. The theme is SEO friendly with optimized code and awesome support. See our demos: https://afthemes.com/elegant-magazine-demos/ and support at : https://afthemes.com/supports/",,ne,new,
,AF themes,,ne,new,
,https://www.afthemes.com/,,ne,new,unchanged_like
,Oops! That page can&rsquo;t be found.,,ne,new,
,It looks like nothing was found at this location. Maybe try one of the links below or a search?,,ne,new,
,%s,,ne,new,unchanged_like
,Starter Sites,,ne,new,
,Block Patterns,,ne,new,
,Elementor Kits,,ne,new,
,Customize,,ne,new,
,Settings,,ne,new,
,Upgrade,,ne,new,
,The Templatespare plugin should be updated to the latest version,,ne,new,
,"Import a Starter Site, Personalize, and Live it in 3 Easy Steps!",,ne,new,
,Blockspare plugin version should be more than %s.,,ne,new,
,"One-click Demo Import, Block Editor Ready, No Code Required! Built with Blockspare.",,ne,new,
,Elespare plugin version should be more than %s.,,ne,new,
,"One-click Import, Header/Footer Builder, Multilingual Support! Powered by Elespare.",,ne,new,
,Are you sure you want to install this plugin?,,ne,new,
,Install Now,,ne,new,
,Activate,,ne,new,
,Activated,,ne,new,
,Get Starter Sites,,ne,new,
,Get Started,,ne,new,
,"The ""Get Started"" action will install/activate the Templatespare and Blockspare plugins for Starter Sites and Templates.",,ne,new,
,By,,ne,new,
,More Details,,ne,new,
,Howdy!,,ne,new,
,%s is now installed and ready to use. We've assembled some links to get you started.,,ne,new,
,Explore Our Pre-Built Starter Websites!,,ne,new,
,"Let your imagination soar! Designed with User-Friendly features, incorporating the Latest Trends and SEO-Friendly Markups. We genuinely appreciate you choosing our theme!",,ne,new,
,Demos/product,,ne,new,
,Theme dashboard,,ne,new,
,Documentation,,ne,new,
,Please check our full documentation for detailed information on how to setup and customize the theme.,,ne,new,
,Docs,,ne,new,
,Videos,,ne,new,
,Blog,,ne,new,
,Rate This Theme,,ne,new,
,"Sorry, you are not allowed to install plugins on this site.",,ne,new,
,"Error - unable to verify nonce, please try again.",,ne,new,
,"Sorry, you are not allowed to activate plugins on this site.",,ne,new,
,One thought on &ldquo;%1$s&rdquo;,,ne,new,
comments title,%1$s thought on &ldquo;%2$s&rdquo;,%1$s thoughts on &ldquo;%2$s&rdquo;,ne,new,
comments title,%1$s thought on &ldquo;%2$s&rdquo;,%1$s thoughts on &ldquo;%2$s&rdquo;,ne,new,
,Comments are closed.,,ne,new,
,Theme: %1$s by %2$s.,,ne,new,
,Primary Menu,,ne,new,
,Top Menu,,ne,new,
,Social Menu,,ne,new,
,Footer Menu,,ne,new,
Oswald font: on or off,on,,ne,new,
Lato font: on or off,on,,ne,new,
,Skip to content,,ne,new,
,All,,ne,new,
,Exclusive,,ne,new,
,You may also like,,ne,new,
,Copyright &copy; All rights reserved.,,ne,new,unchanged_like
,Disable Image Tint/Overlay,,ne,new,
,Elegant Magazine Pro,,ne,new,
,Upgrade now,,ne,new,
,Top header background color,,ne,new,
,Top header texts color,,ne,new,
,Frontpage Options,,ne,new,
,Advertisement,,ne,new,
,Banner Section Advertisement,,ne,new,
,Recommended Size %1$s px X %2$s px,,ne,new,
