msgctxt,msgid,msgid_plural,target_lang,status,issues
,Elegant Magazine,,nl,unchanged,
,https://www.afthemes.com/products/elegant-magazine/,,nl,unchanged,unchanged_like
,"An elegant and minimalist theme, which is predominantly designed for a web news portal and magazine with an immense research on contemporary online newspapers. With the help of available customizer options and widgets, you can implement layout as a trending news journals, modern fashion magazine, travel blogging & magazine, clean and minimal news sites, blogging site and even more. The theme is SEO friendly with optimized code and awesome support. See our demos: https://afthemes.com/elegant-magazine-demos/ and support at : https://afthemes.com/supports/",,nl,unchanged,
,AF themes,,nl,unchanged,
,https://www.afthemes.com/,,nl,unchanged,unchanged_like
,Oops! That page can&rsquo;t be found.,,nl,unchanged,
,It looks like nothing was found at this location. Maybe try one of the links below or a search?,,nl,unchanged,
,Dashboard,,nl,new,unchanged_like
,Customize,,nl,unchanged,
,Starter Sites,,nl,unchanged,
,Elementor Kits,,nl,unchanged,
,Block Patterns,,nl,unchanged,
,Upgrade to Pro,,nl,unchanged,
,Upgrade Now,,nl,new,
,The Templatespare plugin should be updated to the latest version,,nl,unchanged,
,"Import a Starter Site, Personalize, and Live it in 3 Easy Steps!",,nl,unchanged,
,Blockspare plugin version should be more than %s.,,nl,unchanged,
,"One-click Demo Import, Block Editor Ready, No Code Required! Built with Blockspare.",,nl,unchanged,
,Elespare plugin version should be more than %s.,,nl,unchanged,
,"One-click Import, Header/Footer Builder, Multilingual Support! Powered by Elespare.",,nl,unchanged,
,Are you sure you want to install this plugin?,,nl,unchanged,
,Install Now,,nl,unchanged,
,Activate,,nl,unchanged,
,Activated,,nl,unchanged,
,Get Starter Sites,,nl,unchanged,
,Get Started,,nl,unchanged,
,"The ""Get Started"" action will install/activate the Templatespare and Blockspare plugins for Starter Sites and Templates.",,nl,unchanged,
,By,,nl,unchanged,
,More Details,,nl,unchanged,
,"👋 Welcome, and Thank You!",,nl,new,
,"%s is now active. We’re here to help you turn your ideas into a beautiful, professional website — quickly and confidently.",,nl,new,
,🚀 Start With One Click,,nl,new,
,"Choose from 100+ starter sites designed for blogs, magazines, businesses & more.
      Setup is simple — no coding required.",,nl,new,
,View Demos,,nl,new,
,Theme dashboard,,nl,unchanged,
,🤝 We're Here for You,,nl,new,
,Whether you're just starting or customizing your site.,,nl,new,
,Documentation,,nl,unchanged,
,Videos,,nl,unchanged,
,Support,,nl,unchanged,
,Rate This Theme,,nl,unchanged,
,"Sorry, you are not allowed to install plugins on this site.",,nl,unchanged,
,"Error - unable to verify nonce, please try again.",,nl,unchanged,
,"Sorry, you are not allowed to activate plugins on this site.",,nl,unchanged,
,One thought on &ldquo;%1$s&rdquo;,,nl,unchanged,
comments title,%1$s thought on &ldquo;%2$s&rdquo;,%1$s thoughts on &ldquo;%2$s&rdquo;,nl,unchanged,
comments title,%1$s thought on &ldquo;%2$s&rdquo;,%1$s thoughts on &ldquo;%2$s&rdquo;,nl,unchanged,
,Comments are closed.,,nl,unchanged,
,Theme: %1$s by %2$s.,,nl,unchanged,
,Primary Menu,,nl,unchanged,
,Top Menu,,nl,unchanged,
,Social Menu,,nl,unchanged,
,Footer Menu,,nl,unchanged,
Oswald font: on or off,on,,nl,unchanged,
Lato font: on or off,on,,nl,unchanged,
,Skip to content,,nl,unchanged,
,All,,nl,unchanged,
,Exclusive,,nl,unchanged,
,You may also like,,nl,unchanged,
,Copyright &copy; All rights reserved.,,nl,unchanged,unchanged_like
,Disable Image Tint/Overlay,,nl,unchanged,
,Elegant Magazine Pro,,nl,unchanged,
,Upgrade now,,nl,unchanged,
,Top header background color,,nl,unchanged,
,Top header texts color,,nl,unchanged,
,Frontpage Options,,nl,unchanged,
,Advertisement,,nl,unchanged,
,Banner Section Advertisement,,nl,unchanged,
,Recommended Size %1$s px X %2$s px,,nl,unchanged,
,URL Link,,nl,unchanged,
,Ticker news,,nl,unchanged,
,Enable Ticker News,,nl,unchanged,
,Ticker Title,,nl,unchanged,
,Ticker News Category,,nl,unchanged,
,Select category to be shown on ticker ,,nl,unchanged,
,Main banner news,,nl,unchanged,
,Enable main news section,,nl,unchanged,
,Slider news category,,nl,unchanged,
,Select category to be shown on slider ,,nl,unchanged,
,Featured news category,,nl,unchanged,
,Select category to be shown on featured section ,,nl,unchanged,
,Enable static page content,,nl,unchanged,
,Layout,,nl,unchanged,
,Frontpage Content alignment,,nl,unchanged,
,Select frontpage content alignment,,nl,unchanged,
,Home Content - Home Sidebar,,nl,unchanged,
,Home Sidebar - Home Content,,nl,unchanged,
,Only Home Content,,nl,unchanged,
,Theme Options,,nl,unchanged,
,Preloader,,nl,unchanged,
,Enable preloader,,nl,unchanged,
,Header,,nl,unchanged,
,Transparent top header,,nl,unchanged,
,Show date on top header,,nl,unchanged,
,Show social menu on top header,,nl,unchanged,
,Breadcrumb,,nl,unchanged,
,Show breadcrumbs,,nl,unchanged,
,Content alignment,,nl,unchanged,
,Select global content alignment,,nl,unchanged,
,Content - Primary sidebar,,nl,unchanged,
,Primary sidebar - Content,,nl,unchanged,
,Full width content,,nl,unchanged,
,Image Lazy Loading,,nl,unchanged,
,Enable ,,nl,unchanged,
,Disable,,nl,unchanged,
,Archive,,nl,unchanged,
,Archive layout,,nl,unchanged,
,Select layout for archive,,nl,unchanged,
,Full,,nl,unchanged,
,List,,nl,unchanged,
,Image alignment,,nl,unchanged,
,Select image alignment for archive,,nl,unchanged,
,Left,,nl,unchanged,
,Right,,nl,unchanged,
,Content view,,nl,unchanged,
,Select content view for archive,,nl,unchanged,
,Post excerpt,,nl,unchanged,
,Full Content,,nl,unchanged,
,Related Posts,,nl,unchanged,
,Show on single posts,,nl,unchanged,
,Title,,nl,unchanged,
,Latest blog carousel,,nl,unchanged,
,Show above footer,,nl,unchanged,
,Footer,,nl,unchanged,
,Copyright Text,,nl,unchanged,
,Pages:,,nl,unchanged,
,Layout Options,,nl,unchanged,
,Content - Primary Sidebar,,nl,unchanged,
,Primary Sidebar - Content,,nl,unchanged,
,Templatespare,,nl,unchanged,
,Elespare,,nl,unchanged,
,Blockspare,,nl,unchanged,
,WP Post Author,,nl,unchanged,
,Free Live Chat using 3CX,,nl,unchanged,
,"Howdy, %1$s! We've noticed that you've been using %2$s for some time now, we hope you are loving it! We would appreciate it if you can %3$sgive us a 5 star rating on WordPress.org%4$s! We'll continue to develop exciting new features for free in the future by sharing the love!",,nl,unchanged,
,Sure thing,,nl,unchanged,
,Remind me later,,nl,unchanged,
,I've already done.,,nl,unchanged,
,Got any support queries?,,nl,unchanged,
,/,,nl,unchanged,
,", ",,nl,unchanged,
,Posted in %1$s,,nl,unchanged,
list item separator,", ",,nl,unchanged,
,Tagged %1$s,,nl,unchanged,
,"Leave a Comment<span class=""screen-reader-text""> on %s</span>",,nl,unchanged,
,"Edit <span class=""screen-reader-text"">%s</span>",,nl,unchanged,
,Tags:,,nl,unchanged,unchanged_like
