msgctxt,msgid,msgid_plural,target_lang,status,issues
,Elegant Magazine,,pt,unchanged,
,https://www.afthemes.com/products/elegant-magazine/,,pt,unchanged,unchanged_like
,"An elegant and minimalist theme, which is predominantly designed for a web news portal and magazine with an immense research on contemporary online newspapers. With the help of available customizer options and widgets, you can implement layout as a trending news journals, modern fashion magazine, travel blogging & magazine, clean and minimal news sites, blogging site and even more. The theme is SEO friendly with optimized code and awesome support. See our demos: https://afthemes.com/elegant-magazine-demos/ and support at : https://afthemes.com/supports/",,pt,unchanged,
,AF themes,,pt,unchanged,
,https://www.afthemes.com/,,pt,unchanged,unchanged_like
,Oops! That page can&rsquo;t be found.,,pt,unchanged,
,It looks like nothing was found at this location. Maybe try one of the links below or a search?,,pt,unchanged,
,Dashboard,,pt,new,
,Customize,,pt,unchanged,
,Starter Sites,,pt,unchanged,
,Elementor Kits,,pt,unchanged,
,Block Patterns,,pt,unchanged,
,Upgrade to Pro,,pt,unchanged,
,Upgrade Now,,pt,new,
,The Templatespare plugin should be updated to the latest version,,pt,unchanged,
,"Import a Starter Site, Personalize, and Live it in 3 Easy Steps!",,pt,unchanged,
,Blockspare plugin version should be more than %s.,,pt,unchanged,
,"One-click Demo Import, Block Editor Ready, No Code Required! Built with Blockspare.",,pt,unchanged,
,Elespare plugin version should be more than %s.,,pt,unchanged,
,"One-click Import, Header/Footer Builder, Multilingual Support! Powered by Elespare.",,pt,unchanged,
,Are you sure you want to install this plugin?,,pt,unchanged,
,Install Now,,pt,unchanged,
,Activate,,pt,unchanged,
,Activated,,pt,unchanged,
,Get Starter Sites,,pt,unchanged,
,Get Started,,pt,unchanged,
,"The ""Get Started"" action will install/activate the Templatespare and Blockspare plugins for Starter Sites and Templates.",,pt,unchanged,
,By,,pt,unchanged,
,More Details,,pt,unchanged,
,"👋 Welcome, and Thank You!",,pt,new,
,"%s is now active. We’re here to help you turn your ideas into a beautiful, professional website — quickly and confidently.",,pt,new,
,🚀 Start With One Click,,pt,new,
,"Choose from 100+ starter sites designed for blogs, magazines, businesses & more.
      Setup is simple — no coding required.",,pt,new,
,View Demos,,pt,new,
,Theme dashboard,,pt,unchanged,
,🤝 We're Here for You,,pt,new,
,Whether you're just starting or customizing your site.,,pt,new,
,Documentation,,pt,unchanged,
,Videos,,pt,unchanged,
,Support,,pt,unchanged,
,Rate This Theme,,pt,unchanged,
,"Sorry, you are not allowed to install plugins on this site.",,pt,unchanged,
,"Error - unable to verify nonce, please try again.",,pt,unchanged,
,"Sorry, you are not allowed to activate plugins on this site.",,pt,unchanged,
,One thought on &ldquo;%1$s&rdquo;,,pt,unchanged,
comments title,%1$s thought on &ldquo;%2$s&rdquo;,%1$s thoughts on &ldquo;%2$s&rdquo;,pt,unchanged,
comments title,%1$s thought on &ldquo;%2$s&rdquo;,%1$s thoughts on &ldquo;%2$s&rdquo;,pt,unchanged,
,Comments are closed.,,pt,unchanged,
,Theme: %1$s by %2$s.,,pt,unchanged,
,Primary Menu,,pt,unchanged,
,Top Menu,,pt,unchanged,
,Social Menu,,pt,unchanged,
,Footer Menu,,pt,unchanged,
Oswald font: on or off,on,,pt,unchanged,
Lato font: on or off,on,,pt,unchanged,
,Skip to content,,pt,unchanged,
,All,,pt,unchanged,
,Exclusive,,pt,unchanged,
,You may also like,,pt,unchanged,
,Copyright &copy; All rights reserved.,,pt,unchanged,unchanged_like
,Disable Image Tint/Overlay,,pt,unchanged,
,Elegant Magazine Pro,,pt,unchanged,
,Upgrade now,,pt,unchanged,
,Top header background color,,pt,unchanged,
,Top header texts color,,pt,unchanged,
,Frontpage Options,,pt,unchanged,
,Advertisement,,pt,unchanged,
,Banner Section Advertisement,,pt,unchanged,
,Recommended Size %1$s px X %2$s px,,pt,unchanged,
,URL Link,,pt,unchanged,
,Ticker news,,pt,unchanged,
,Enable Ticker News,,pt,unchanged,
,Ticker Title,,pt,unchanged,
,Ticker News Category,,pt,unchanged,
,Select category to be shown on ticker ,,pt,unchanged,
,Main banner news,,pt,unchanged,
,Enable main news section,,pt,unchanged,
,Slider news category,,pt,unchanged,
,Select category to be shown on slider ,,pt,unchanged,
,Featured news category,,pt,unchanged,
,Select category to be shown on featured section ,,pt,unchanged,
,Enable static page content,,pt,unchanged,
,Layout,,pt,unchanged,
,Frontpage Content alignment,,pt,unchanged,
,Select frontpage content alignment,,pt,unchanged,
,Home Content - Home Sidebar,,pt,unchanged,
,Home Sidebar - Home Content,,pt,unchanged,
,Only Home Content,,pt,unchanged,
,Theme Options,,pt,unchanged,
,Preloader,,pt,unchanged,
