msgctxt,msgid,msgid_plural,target_lang,status,issues
,EnterNews,,de,unchanged,
,https://afthemes.com/products/enternews/,,de,unchanged,unchanged_like
,"EnterNews is the best responsive News and Magazine WordPress Theme. To make a fantastic news website, the theme has a number of free starter sites with a single click import. The theme is completely widgetized, empowering users to control site content with 8+ custom widgets and widget areas. Also it includes default and dark color mode, allowing you to present articles and blog posts in a trendy manner. In addition, it comes with a variety of useful customizer options for creating a stunning newsportal. You can design it however you like and preview the changes using live customizer. It works with Gutenberg WordPress blocks and RTL, as well as the WooCommerce plugin, which helps you to combine an online store with our newspaper style. The theme is perfect for a news, newspaper, magazine, publishing, or review platform, and it's also useful for blogging. It's well-designed to get the website to the top of search engines, and users can get excellent assistance from the team if they run into any issues when using the theme. See more demos and documentaion at: https://afthemes.com/products/enternews/",,de,unchanged,
,AF themes,,de,unchanged,
,https://www.afthemes.com/,,de,unchanged,unchanged_like
,Oops! That page can&rsquo;t be found.,,de,unchanged,
,It looks like nothing was found at this location. Maybe try one of the links below or a search?,,de,unchanged,
,%s,,de,unchanged,unchanged_like
,Starter Sites,,de,unchanged,
,Block Patterns,,de,unchanged,
,Elementor Kits,,de,unchanged,
,Customize,,de,unchanged,
,Settings,,de,unchanged,
,Upgrade,,de,unchanged,unchanged_like
,The Templatespare plugin should be updated to the latest version,,de,unchanged,
,"Import a Starter Site, Personalize, and Live it in 3 Easy Steps!",,de,unchanged,
,Blockspare plugin version should be more than %s.,,de,unchanged,
,"One-click Demo Import, Block Editor Ready, No Code Required! Built with Blockspare.",,de,unchanged,
,Elespare plugin version should be more than %s.,,de,unchanged,
,"One-click Import, Header/Footer Builder, Multilingual Support! Powered by Elespare.",,de,unchanged,
,Are you sure you want to install this plugin?,,de,unchanged,
,Install Now,,de,unchanged,
,Activate,,de,unchanged,
,Activated,,de,unchanged,
,Get Starter Sites,,de,unchanged,
,Get Started,,de,unchanged,
,"The ""Get Started"" action will install/activate the Templatespare and Blockspare plugins for Starter Sites and Templates.",,de,unchanged,
,By,,de,unchanged,
,More Details,,de,unchanged,
,Howdy!,,de,unchanged,
,%s is now installed and ready to use. We've assembled some links to get you started.,,de,unchanged,
,Explore Our Pre-Built Starter Websites!,,de,unchanged,
,"Let your imagination soar! Designed with User-Friendly features, incorporating the Latest Trends and SEO-Friendly Markups. We genuinely appreciate you choosing our theme!",,de,unchanged,
,Demos/product,,de,unchanged,
,Theme dashboard,,de,unchanged,
,Documentation,,de,unchanged,
,Please check our full documentation for detailed information on how to setup and customize the theme.,,de,unchanged,
,Docs,,de,unchanged,
,Videos,,de,unchanged,unchanged_like
,Blog,,de,unchanged,unchanged_like
,Rate This Theme,,de,unchanged,
,"Sorry, you are not allowed to install plugins on this site.",,de,unchanged,
