msgctxt,msgid,msgid_plural,target_lang,status,issues
,EnterNews,,ja,unchanged,
,https://afthemes.com/products/enternews/,,ja,unchanged,unchanged_like
,"EnterNews is the best responsive News and Magazine WordPress Theme. To make a fantastic news website, the theme has a number of free starter sites with a single click import. The theme is completely widgetized, empowering users to control site content with 8+ custom widgets and widget areas. Also it includes default and dark color mode, allowing you to present articles and blog posts in a trendy manner. In addition, it comes with a variety of useful customizer options for creating a stunning newsportal. You can design it however you like and preview the changes using live customizer. It works with Gutenberg WordPress blocks and RTL, as well as the WooCommerce plugin, which helps you to combine an online store with our newspaper style. The theme is perfect for a news, newspaper, magazine, publishing, or review platform, and it's also useful for blogging. It's well-designed to get the website to the top of search engines, and users can get excellent assistance from the team if they run into any issues when using the theme. See more demos and documentaion at: https://afthemes.com/products/enternews/",,ja,unchanged,
,AF themes,,ja,unchanged,
,https://www.afthemes.com/,,ja,unchanged,unchanged_like
,Oops! That page can&rsquo;t be found.,,ja,unchanged,
,It looks like nothing was found at this location. Maybe try one of the links below or a search?,,ja,unchanged,
,Dashboard,,ja,new,
,Customize,,ja,unchanged,
,Starter Sites,,ja,unchanged,
,Elementor Kits,,ja,unchanged,
,Block Patterns,,ja,unchanged,
,Upgrade to Pro,,ja,unchanged,
,Upgrade Now,,ja,unchanged,
,The Templatespare plugin should be updated to the latest version,,ja,unchanged,
,"Import a Starter Site, Personalize, and Live it in 3 Easy Steps!",,ja,unchanged,
,Blockspare plugin version should be more than %s.,,ja,unchanged,
,"One-click Demo Import, Block Editor Ready, No Code Required! Built with Blockspare.",,ja,unchanged,
,Elespare plugin version should be more than %s.,,ja,unchanged,
,"One-click Import, Header/Footer Builder, Multilingual Support! Powered by Elespare.",,ja,unchanged,
,Are you sure you want to install this plugin?,,ja,unchanged,
,Install Now,,ja,unchanged,
,Activate,,ja,unchanged,
,Activated,,ja,unchanged,
,Get Starter Sites,,ja,unchanged,
,Get Started,,ja,unchanged,
,"The ""Get Started"" action will install/activate the Templatespare and Blockspare plugins for Starter Sites and Templates.",,ja,unchanged,
,By,,ja,unchanged,
,More Details,,ja,unchanged,
,"👋 Welcome, and Thank You!",,ja,new,
,"%s is now active. We're here to help you turn your ideas into a beautiful, professional website — quickly and confidently.",,ja,new,
,🚀 Start With One Click,,ja,new,
,"Choose from 100+ starter sites designed for blogs, magazines, businesses & more.
      Setup is simple — no coding required.",,ja,new,
,View Demos,,ja,new,
,Theme dashboard,,ja,unchanged,
,🤝 We're Here for You,,ja,new,
,Whether you're just starting or customizing your site.,,ja,new,
,Documentation,,ja,unchanged,
,Videos,,ja,unchanged,
,Support,,ja,unchanged,
,⭐ Rate This Theme,,ja,new,
,"Sorry, you are not allowed to install plugins on this site.",,ja,unchanged,
,"Error - unable to verify nonce, please try again.",,ja,unchanged,
,"Sorry, you are not allowed to activate plugins on this site.",,ja,unchanged,
,One thought on &ldquo;%1$s&rdquo;,,ja,unchanged,
comments title,%1$s thought on &ldquo;%2$s&rdquo;,%1$s thoughts on &ldquo;%2$s&rdquo;,ja,unchanged,
,Comments are closed.,,ja,unchanged,
,%1$s by %2$s.,,ja,unchanged,
,Primary Menu,,ja,unchanged,
,Social Menu,,ja,unchanged,
,Footer Menu,,ja,unchanged,
,Secondary Menu,,ja,unchanged,
%s font: on or off,on,,ja,unchanged,
,Skip to content,,ja,unchanged,
,All,,ja,unchanged,
,Popular Tags,,ja,unchanged,
,Headlines,,ja,unchanged,
,Main News,,ja,unchanged,
,Trending,,ja,unchanged,
,Editor's Pick,,ja,unchanged,
,Featured News,,ja,unchanged,
,Read more,,ja,unchanged,
,More Stories,,ja,unchanged,
,Subscribe To  Our Newsletter,,ja,unchanged,
,You may have missed,,ja,unchanged,
,Copyright &copy; All rights reserved.,,ja,unchanged,unchanged_like
,Watch Online,,ja,unchanged,
,Site Title Size,,ja,unchanged,
,Site Title/Tagline Color,,ja,unchanged,
,Header Image Mode,,ja,unchanged,
,Image visibility may vary as per the mode,,ja,unchanged,
,Set as Background,,ja,unchanged,
,Show Full Image,,ja,unchanged,
,Disable Image Tint/Overlay,,ja,unchanged,
,Background Color will not be applicable for this mode.,,ja,unchanged,
,Site Mode Section ,,ja,unchanged,
,Site Mode,,ja,unchanged,
,Default,,ja,unchanged,
,Dark,,ja,unchanged,
,Main Banner Color Section ,,ja,unchanged,
,Editor's Picks,,ja,unchanged,
,Alternative,,ja,unchanged,
,Enable Container Padding,,ja,unchanged,
,Main Slider,,ja,unchanged,
,Dim,,ja,unchanged,
,Secondary Color,,ja,unchanged,
,EnterNews Pro,,ja,unchanged,unchanged_like
,Frontpage Options,,ja,unchanged,
,Ticker News,,ja,unchanged,
,Enable Ticker News,,ja,unchanged,
,Exclusive News Title,,ja,unchanged,
,Exclusive Posts Category,,ja,unchanged,
,Posts to be shown on trending posts ,,ja,unchanged,
,Main Banner,,ja,unchanged,
,Enable Main Banner,,ja,unchanged,
,Select Banner Layout,,ja,unchanged,
,Wide,,ja,unchanged,
,Boxed,,ja,unchanged,
,Main Banner Background Image,,ja,unchanged,
,Recommended Size %1$s px X %2$s px,,ja,unchanged,
,Select Banner Style,,ja,unchanged,
,Editor's Pick - Main News - Trending,,ja,unchanged,
,Trending - Main News - Editor's Pick,,ja,unchanged,
,Main News - Editor's Pick - Trending,,ja,unchanged,
,Editorials Section ,,ja,unchanged,
,Section Title,,ja,unchanged,
,Category,,ja,unchanged,
,Posts to be shown on Editorials slider section,,ja,unchanged,
,Main Slider Section ,,ja,unchanged,
,Posts to be shown on Main News Slider,,ja,unchanged,
,Trending Section ,,ja,unchanged,
,Posts to be shown on Trending slider section,,ja,unchanged,
,Disable Main Banner section on Static Posts page,,ja,unchanged,
,Enable Featured News,,ja,unchanged,
,Posts to be shown on featured news section,,ja,unchanged,
,Frontpage Layout Settings,,ja,unchanged,
,Frontpage Content Display,,ja,unchanged,
,Select frontpage content display,,ja,unchanged,
,Frontpage Widgets,,ja,unchanged,
,Page Contents & Frontpage Widgets,,ja,unchanged,
,Frontpage Content Position,,ja,unchanged,
,Select frontpage content alignment,,ja,unchanged,
,Content - Sidebar,,ja,unchanged,
,Sidebar - Content,,ja,unchanged,
,Full Content,,ja,unchanged,
,Make Frontpage Sidebar Sticky,,ja,unchanged,
,Fonts & Typography,,ja,unchanged,
,Primary Font,,ja,unchanged,
,Secondary Font,,ja,unchanged,
,Tertiary Font,,ja,unchanged,
,Theme Options,,ja,unchanged,
,Preloader Options,,ja,unchanged,
,Enable preloader,,ja,unchanged,
,Breadcrumb Options,,ja,unchanged,
,Show breadcrumbs,,ja,unchanged,
,Select Breadcrumbs,,ja,unchanged,
,Please ensure that you have enabled the plugin's breadcrumbs before choosing other than Default,,ja,unchanged,
,Yoast SEO,,ja,unchanged,
,Rank Math,,ja,unchanged,
,NavXT,,ja,unchanged,unchanged_like
,Global Settings,,ja,unchanged,
,Global Content Alignment,,ja,unchanged,
,Content - Primary sidebar,,ja,unchanged,
,Primary sidebar - Content,,ja,unchanged,
,Full width content,,ja,unchanged,
,Post Categories,,ja,unchanged,
,Show,,ja,unchanged,
,Hide,,ja,unchanged,
,Widget Excerpt Mode,,ja,unchanged,
,Trimmed Content,,ja,unchanged,
,Default Excerpt,,ja,unchanged,
,Header Options,,ja,unchanged,
,Show date on top header,,ja,unchanged,
,Enable Sticky Header,,ja,unchanged,
,Show Home Menu Icon,,ja,unchanged,
,Custom Link Section ,,ja,unchanged,
,Enable Watch Online Section,,ja,unchanged,
,Title,,ja,unchanged,
,Button Link,,ja,unchanged,
,Sidebar Settings,,ja,unchanged,
,Make Sidebar Sticky,,ja,unchanged,
,Sidebar Sticky Position,,ja,unchanged,
,Top,,ja,unchanged,
,Bottom,,ja,unchanged,
,Comment Count,,ja,unchanged,
,Minutes Read Count,,ja,unchanged,
,Date and Author,,ja,unchanged,
,Show Date and Author,,ja,unchanged,
,Hide All,,ja,unchanged,
,Single Post,,ja,unchanged,
,Show Featured Image,,ja,unchanged,
,Related Posts,,ja,unchanged,
,Show on single posts,,ja,unchanged,
,Archive Settings,,ja,unchanged,
,Archive layout,,ja,unchanged,
,Select layout for archive,,ja,unchanged,
,List,,ja,unchanged,
,Grid,,ja,unchanged,
,Image alignment,,ja,unchanged,
,Select image alignment for archive,,ja,unchanged,
,Left,,ja,unchanged,
,Right,,ja,unchanged,
,Alternate,,ja,unchanged,
,You May Have Missed,,ja,unchanged,
,Show Latest Posts Section above Footer,,ja,unchanged,
,Posts Section Title,,ja,unchanged,
,Footer,,ja,unchanged,
,Copyright Text,,ja,unchanged,
,Pages:,,ja,unchanged,
,Home,,ja,unchanged,
