msgctxt,msgid,msgid_plural,target_lang,status,issues
,EnterNews,,ru,unchanged,
,https://afthemes.com/products/enternews/,,ru,unchanged,unchanged_like
,"EnterNews is the best responsive News and Magazine WordPress Theme. To make a fantastic news website, the theme has a number of free starter sites with a single click import. The theme is completely widgetized, empowering users to control site content with 8+ custom widgets and widget areas. Also it includes default and dark color mode, allowing you to present articles and blog posts in a trendy manner. In addition, it comes with a variety of useful customizer options for creating a stunning newsportal. You can design it however you like and preview the changes using live customizer. It works with Gutenberg WordPress blocks and RTL, as well as the WooCommerce plugin, which helps you to combine an online store with our newspaper style. The theme is perfect for a news, newspaper, magazine, publishing, or review platform, and it's also useful for blogging. It's well-designed to get the website to the top of search engines, and users can get excellent assistance from the team if they run into any issues when using the theme. See more demos and documentaion at: https://afthemes.com/products/enternews/",,ru,unchanged,
,AF themes,,ru,unchanged,
,https://www.afthemes.com/,,ru,unchanged,unchanged_like
,Oops! That page can&rsquo;t be found.,,ru,unchanged,
,It looks like nothing was found at this location. Maybe try one of the links below or a search?,,ru,unchanged,
,Dashboard,,ru,unchanged,
,Customize,,ru,unchanged,
,Starter Sites,,ru,unchanged,
,Elementor Kits,,ru,unchanged,
,Block Patterns,,ru,unchanged,
,Upgrade to Pro,,ru,unchanged,
,Upgrade Now,,ru,unchanged,
,The Templatespare plugin should be updated to the latest version,,ru,unchanged,
,"Import a Starter Site, Personalize, and Live it in 3 Easy Steps!",,ru,unchanged,
,Blockspare plugin version should be more than %s.,,ru,unchanged,
,"One-click Demo Import, Block Editor Ready, No Code Required! Built with Blockspare.",,ru,unchanged,
,Elespare plugin version should be more than %s.,,ru,unchanged,
,"One-click Import, Header/Footer Builder, Multilingual Support! Powered by Elespare.",,ru,unchanged,
,Are you sure you want to install this plugin?,,ru,unchanged,
,Install Now,,ru,unchanged,
,Activate,,ru,unchanged,
,Activated,,ru,unchanged,
,Get Starter Sites,,ru,unchanged,
,Get Started,,ru,unchanged,
,"The ""Get Started"" action will install/activate the Templatespare and Blockspare plugins for Starter Sites and Templates.",,ru,unchanged,
,By,,ru,unchanged,
,More Details,,ru,unchanged,
,"👋 Welcome, and Thank You!",,ru,unchanged,
,"%s is now active. We're here to help you turn your ideas into a beautiful, professional website — quickly and confidently.",,ru,unchanged,
,🚀 Start With One Click,,ru,unchanged,
,"Choose from 100+ starter sites designed for blogs, magazines, businesses & more.
      Setup is simple — no coding required.",,ru,unchanged,
,View Demos,,ru,unchanged,
,Theme dashboard,,ru,unchanged,
,🤝 We're Here for You,,ru,unchanged,
,Whether you're just starting or customizing your site.,,ru,unchanged,
,Documentation,,ru,unchanged,
,Videos,,ru,unchanged,
,Support,,ru,unchanged,
,⭐ Rate This Theme,,ru,unchanged,
,"Sorry, you are not allowed to install plugins on this site.",,ru,unchanged,
,"Error - unable to verify nonce, please try again.",,ru,unchanged,
,"Sorry, you are not allowed to activate plugins on this site.",,ru,unchanged,
,One thought on &ldquo;%1$s&rdquo;,,ru,unchanged,
comments title,%1$s thought on &ldquo;%2$s&rdquo;,%1$s thoughts on &ldquo;%2$s&rdquo;,ru,unchanged,
comments title,%1$s thought on &ldquo;%2$s&rdquo;,%1$s thoughts on &ldquo;%2$s&rdquo;,ru,unchanged,
comments title,%1$s thought on &ldquo;%2$s&rdquo;,%1$s thoughts on &ldquo;%2$s&rdquo;,ru,unchanged,
,Comments are closed.,,ru,unchanged,
,%1$s by %2$s.,,ru,unchanged,
,Primary Menu,,ru,unchanged,
,Social Menu,,ru,unchanged,
,Footer Menu,,ru,unchanged,
,Secondary Menu,,ru,unchanged,
%s font: on or off,on,,ru,unchanged,
,Skip to content,,ru,unchanged,
,All,,ru,unchanged,
,Popular Tags,,ru,unchanged,
,Headlines,,ru,unchanged,
,Main News,,ru,unchanged,
,Trending,,ru,unchanged,
,Editor's Pick,,ru,unchanged,
,Featured News,,ru,unchanged,
,Read more,,ru,unchanged,
,More Stories,,ru,unchanged,
,Subscribe To  Our Newsletter,,ru,unchanged,
,You may have missed,,ru,unchanged,
,Copyright &copy; All rights reserved.,,ru,unchanged,unchanged_like
,Watch Online,,ru,unchanged,
,Site Title Size,,ru,unchanged,
,Site Title/Tagline Color,,ru,unchanged,
,Header Image Mode,,ru,unchanged,
,Image visibility may vary as per the mode,,ru,unchanged,
,Set as Background,,ru,unchanged,
,Show Full Image,,ru,unchanged,
,Disable Image Tint/Overlay,,ru,unchanged,
,Background Color will not be applicable for this mode.,,ru,unchanged,
,Site Mode Section ,,ru,unchanged,
,Site Mode,,ru,unchanged,
,Default,,ru,unchanged,
,Dark,,ru,unchanged,
,Main Banner Color Section ,,ru,unchanged,
,Editor's Picks,,ru,unchanged,
,Alternative,,ru,unchanged,
,Enable Container Padding,,ru,unchanged,
,Main Slider,,ru,unchanged,
,Dim,,ru,unchanged,
,Secondary Color,,ru,unchanged,
,EnterNews Pro,,ru,unchanged,unchanged_like
,Frontpage Options,,ru,unchanged,
,Ticker News,,ru,unchanged,
,Enable Ticker News,,ru,unchanged,
,Exclusive News Title,,ru,unchanged,
,Exclusive Posts Category,,ru,unchanged,
,Posts to be shown on trending posts ,,ru,unchanged,
,Main Banner,,ru,unchanged,
,Enable Main Banner,,ru,unchanged,
,Select Banner Layout,,ru,unchanged,
,Wide,,ru,unchanged,
,Boxed,,ru,unchanged,
,Main Banner Background Image,,ru,unchanged,
,Recommended Size %1$s px X %2$s px,,ru,unchanged,
,Select Banner Style,,ru,unchanged,
,Editor's Pick - Main News - Trending,,ru,unchanged,
,Trending - Main News - Editor's Pick,,ru,unchanged,
,Main News - Editor's Pick - Trending,,ru,unchanged,
,Editorials Section ,,ru,unchanged,
,Section Title,,ru,unchanged,
,Category,,ru,unchanged,
,Posts to be shown on Editorials slider section,,ru,unchanged,
,Main Slider Section ,,ru,unchanged,
,Posts to be shown on Main News Slider,,ru,unchanged,
,Trending Section ,,ru,unchanged,
,Posts to be shown on Trending slider section,,ru,unchanged,
,Disable Main Banner section on Static Posts page,,ru,unchanged,
,Enable Featured News,,ru,unchanged,
,Posts to be shown on featured news section,,ru,unchanged,
,Frontpage Layout Settings,,ru,unchanged,
,Frontpage Content Display,,ru,unchanged,
,Select frontpage content display,,ru,unchanged,
,Frontpage Widgets,,ru,unchanged,
,Page Contents & Frontpage Widgets,,ru,unchanged,
,Frontpage Content Position,,ru,unchanged,
,Select frontpage content alignment,,ru,unchanged,
,Content - Sidebar,,ru,unchanged,
,Sidebar - Content,,ru,unchanged,
,Full Content,,ru,unchanged,
,Make Frontpage Sidebar Sticky,,ru,unchanged,
,Fonts & Typography,,ru,unchanged,
,Primary Font,,ru,unchanged,
,Secondary Font,,ru,unchanged,
,Tertiary Font,,ru,unchanged,
,Theme Options,,ru,unchanged,
,Preloader Options,,ru,unchanged,
,Enable preloader,,ru,unchanged,
,Breadcrumb Options,,ru,unchanged,
,Show breadcrumbs,,ru,unchanged,
,Select Breadcrumbs,,ru,unchanged,
,Please ensure that you have enabled the plugin's breadcrumbs before choosing other than Default,,ru,unchanged,
,Yoast SEO,,ru,unchanged,
,Rank Math,,ru,unchanged,
,NavXT,,ru,unchanged,
,Global Settings,,ru,unchanged,
,Global Content Alignment,,ru,unchanged,
,Content - Primary sidebar,,ru,unchanged,
,Primary sidebar - Content,,ru,unchanged,
,Full width content,,ru,unchanged,
,Post Categories,,ru,unchanged,
,Show,,ru,unchanged,
,Hide,,ru,unchanged,
,Widget Excerpt Mode,,ru,unchanged,
,Trimmed Content,,ru,unchanged,
,Default Excerpt,,ru,unchanged,
,Header Options,,ru,unchanged,
,Show date on top header,,ru,unchanged,
,Enable Sticky Header,,ru,unchanged,
,Show Home Menu Icon,,ru,unchanged,
,Custom Link Section ,,ru,unchanged,
,Enable Watch Online Section,,ru,unchanged,
,Title,,ru,unchanged,
,Button Link,,ru,unchanged,
,Sidebar Settings,,ru,unchanged,
,Make Sidebar Sticky,,ru,unchanged,
,Sidebar Sticky Position,,ru,unchanged,
,Top,,ru,unchanged,
,Bottom,,ru,unchanged,
,Comment Count,,ru,unchanged,
,Minutes Read Count,,ru,unchanged,
,Date and Author,,ru,unchanged,
,Show Date and Author,,ru,unchanged,
,Hide All,,ru,unchanged,
,Single Post,,ru,unchanged,
,Show Featured Image,,ru,unchanged,
,Related Posts,,ru,unchanged,
,Show on single posts,,ru,unchanged,
,Archive Settings,,ru,unchanged,
,Archive layout,,ru,unchanged,
,Select layout for archive,,ru,unchanged,
,List,,ru,unchanged,
,Grid,,ru,unchanged,
,Image alignment,,ru,unchanged,
,Select image alignment for archive,,ru,unchanged,
,Left,,ru,unchanged,
,Right,,ru,unchanged,
,Alternate,,ru,unchanged,
,You May Have Missed,,ru,unchanged,
,Show Latest Posts Section above Footer,,ru,unchanged,
,Posts Section Title,,ru,unchanged,
,Footer,,ru,unchanged,
,Copyright Text,,ru,unchanged,
,Pages:,,ru,unchanged,
,Home,,ru,unchanged,
,Menu,,ru,unchanged,
,Search,,ru,unchanged,
,Layout Options,,ru,unchanged,
,Set as global layout,,ru,unchanged,
,Content - Primary Sidebar,,ru,unchanged,
,Primary Sidebar - Content,,ru,unchanged,
,Category Color 1,,ru,unchanged,
,Category Color 2,,ru,unchanged,
,Category Color 3,,ru,unchanged,
,Color Class,,ru,unchanged,
,"Select category color class. You can set appropriate categories color on ""Categories"" section of the theme customizer.",,ru,unchanged,
,Templatespare,,ru,unchanged,
,Elespare,,ru,unchanged,
,Blockspare,,ru,unchanged,
,WP Post Author,,ru,unchanged,
,Free Live Chat using 3CX,,ru,unchanged,
,"Howdy, %1$s! We've noticed that you've been using %2$s for some time now, we hope you are loving it! We would appreciate it if you can %3$sgive us a 5 star rating on WordPress.org%4$s! We'll continue to develop exciting new features for free in the future by sharing the love!",,ru,unchanged,
,Sure thing,,ru,unchanged,
,Remind me later,,ru,unchanged,
,I've already done.,,ru,unchanged,
,Got any support queries?,,ru,unchanged,
,Previous,,ru,unchanged,
,Next,,ru,unchanged,
,%s min read,%s min read,ru,unchanged,
,%s min read,%s min read,ru,unchanged,
,%s min read,%s min read,ru,unchanged,
,View all posts in %s,,ru,unchanged,
,ago,,ru,unchanged,
,"Edit <span class=""screen-reader-text"">%s</span>",,ru,unchanged,
,Action failed. Please refresh the page and retry.,,ru,unchanged,
,Cheatin&#8217; huh?,,ru,unchanged,
