msgctxt,msgid,msgid_plural,target_lang,status,issues
,Magazine 7,,fr,new,
,https://afthemes.com/products/magazine-7/,,fr,new,unchanged_like
,"Magazine 7 is a clean, elegant and beautiful WordPress theme, which is typically designed for a web blog and magazine with an immense research on modern online news portals. With the help of available customizer options and widgets, you can implement layout as a fashion magazine, restaurant blogging & magazine, e-commerce magazine, personal blog, modern news journals, vibrant news sites and more. The theme is SEO friendly with optimized code and outstanding support. See our demos: https://demos.afthemes.com/magazine-7/, https://demos.afthemes.com/magazine-7/restro/, https://demos.afthemes.com/magazine-7/clean-blog/",,fr,new,
,AF themes,,fr,new,
,https://www.afthemes.com/,,fr,new,unchanged_like
,Oops! That page can&rsquo;t be found.,,fr,new,
,It looks like nothing was found at this location. Maybe try one of the links below or a search?,,fr,new,
,Dashboard,,fr,new,
,Customize,,fr,new,
,Starter Sites,,fr,new,
,Elementor Kits,,fr,new,
,Block Patterns,,fr,new,
,Upgrade to Pro,,fr,new,
,Upgrade Now,,fr,new,
,The Templatespare plugin should be updated to the latest version,,fr,new,
,"Import a Starter Site, Personalize, and Live it in 3 Easy Steps!",,fr,new,
,Blockspare plugin version should be more than %s.,,fr,new,
,"One-click Demo Import, Block Editor Ready, No Code Required! Built with Blockspare.",,fr,new,
,Elespare plugin version should be more than %s.,,fr,new,
,"One-click Import, Header/Footer Builder, Multilingual Support! Powered by Elespare.",,fr,new,
,Are you sure you want to install this plugin?,,fr,new,
,Install Now,,fr,new,
,Activate,,fr,new,
,Activated,,fr,new,
,Get Starter Sites,,fr,new,
,Get Started,,fr,new,
,"The ""Get Started"" action will install/activate the Templatespare and Blockspare plugins for Starter Sites and Templates.",,fr,new,
,By,,fr,new,
,More Details,,fr,new,
,"👋 Welcome, and Thank You!",,fr,new,
,"%s is now active. We're here to help you turn your ideas into a beautiful, professional website — quickly and confidently.",,fr,new,
,🚀 Start With One Click,,fr,new,
,"Choose from 100+ starter sites designed for blogs, magazines, businesses & more.
      Setup is simple — no coding required.",,fr,new,
,View Demos,,fr,new,
,Theme dashboard,,fr,new,
,🤝 We're Here for You,,fr,new,
,Whether you're just starting or customizing your site.,,fr,new,
,Documentation,,fr,new,unchanged_like
,Videos,,fr,new,
,Support,,fr,new,
,⭐ Rate This Theme,,fr,new,
,"Sorry, you are not allowed to install plugins on this site.",,fr,new,
,"Error - unable to verify nonce, please try again.",,fr,new,
,"Sorry, you are not allowed to activate plugins on this site.",,fr,new,
,One thought on &ldquo;%1$s&rdquo;,,fr,new,
comments title,%1$s thought on &ldquo;%2$s&rdquo;,%1$s thoughts on &ldquo;%2$s&rdquo;,fr,new,
comments title,%1$s thought on &ldquo;%2$s&rdquo;,%1$s thoughts on &ldquo;%2$s&rdquo;,fr,new,
,Comments are closed.,,fr,new,
,%1$s by %2$s.,,fr,new,
,Primary Menu,,fr,new,
,Top Menu,,fr,new,
,Social Menu,,fr,new,
,Footer Menu,,fr,new,
Oswald font: on or off,on,,fr,new,
Montserrat font: on or off,on,,fr,new,
,Skip to content,,fr,new,
,All,,fr,new,
,Featured Posts,,fr,new,
,Our Featured Posts,,fr,new,
,Read more,,fr,new,
,Latest Posts,,fr,new,
,Our Latest Posts,,fr,new,
,Copyright &copy; All rights reserved.,,fr,new,unchanged_like
,Site Title Size,,fr,new,
,Site Title/Tagline Color,,fr,new,
,Disable Image Tint/Overlay,,fr,new,
,Magazine 7 Plus,,fr,new,unchanged_like
,Upgrade now,,fr,new,
,Frontpage Options,,fr,new,
,Trending Posts,,fr,new,
,Enable Trending Posts Section,,fr,new,
,Trending Posts Category,,fr,new,
,Select category to be shown on trending posts ,,fr,new,
,Advertisement,,fr,new,
,Banner Section Advertisement,,fr,new,
,Recommended Size %1$s px X %2$s px,,fr,new,
,URL Link,,fr,new,
,Main Banner Slider Section,,fr,new,
,Enable Main Banner Slider,,fr,new,
,Slider Posts Category,,fr,new,
,Select category to be shown on slider ,,fr,new,
,Featured Posts Section,,fr,new,
,Enable Featured New Section,,fr,new,
,Featured Posts Section Title,,fr,new,
,Featured Posts Section Subtitle,,fr,new,
,Featured Posts Category,,fr,new,
,Select category to be shown on featured section ,,fr,new,
,Frontpage Layout Settings,,fr,new,
,Frontpage Content alignment,,fr,new,
,Select frontpage content alignment,,fr,new,
,Home Content - Home Sidebar,,fr,new,
,Home Sidebar - Home Content,,fr,new,
,Only Home Content,,fr,new,
,Latest Posts Options,,fr,new,
,Show Latest Posts Section on Frontpage,,fr,new,
,Latest Posts Section Title,,fr,new,
,Theme Options,,fr,new,
,Preloader Options,,fr,new,
,Enable preloader,,fr,new,
,Header Options,,fr,new,
,Show date on top header,,fr,new,
,Show social menu on top header,,fr,new,
,Breadcrumb Options,,fr,new,
,Show breadcrumbs,,fr,new,
,Global Layout Settings,,fr,new,
,Global Content alignment,,fr,new,
,Select global content alignment,,fr,new,
,Content - Primary sidebar,,fr,new,
,Primary sidebar - Content,,fr,new,
,Full width content,,fr,new,
,Image Lazy Loading,,fr,new,
,Enable ,,fr,new,
,Disable,,fr,new,
,Show Featured Image in single post,,fr,new,
,Archive Settings,,fr,new,
,Archive layout,,fr,new,
,Select layout for archive,,fr,new,
,Grid,,fr,new,
,Full,,fr,new,
,Image alignment,,fr,new,
,Select image alignment for archive,,fr,new,
,Left,,fr,new,
,Right,,fr,new,
,Content view,,fr,new,
,Select content view for archive,,fr,new,
,Post excerpt,,fr,new,
,Full Content,,fr,new,
,None,,fr,new,
,Footer,,fr,new,
,Copyright Text,,fr,new,
,Hide footer menu section,,fr,new,
,Pages:,,fr,new,unchanged_like
,Layout Options,,fr,new,
,Content - Primary Sidebar,,fr,new,
,Primary Sidebar - Content,,fr,new,
,Category Color 1,,fr,new,
,Category Color 2,,fr,new,
,Category Color 3,,fr,new,
,Color Class,,fr,new,
,"Select category color class. You can set appropriate categories color on ""Categories"" section of the theme customizer.",,fr,new,
,TemplateSpare,,fr,new,
,Elespare,,fr,new,unchanged_like
,Blockspare,,fr,new,
,WP Post Author,,fr,new,
,Free Live Chat using 3CX,,fr,new,
,"Howdy, %1$s! We've noticed that you've been using %2$s for some time now, we hope you are loving it! We would appreciate it if you can %3$sgive us a 5 star rating on WordPress.org%4$s! We'll continue to develop exciting new features for free in the future by sharing the love!",,fr,new,
,Sure thing,,fr,new,
,Remind me later,,fr,new,
,I've already done.,,fr,new,
,Got any support queries?,,fr,new,
,Previous,,fr,new,
,Next,,fr,new,
,View all posts in %s,,fr,new,
,ago,,fr,new,
list item separator,", ",,fr,new,
,Tags: %1$s,,fr,new,
,"Edit <span class=""screen-reader-text"">%s</span>",,fr,new,
,Action failed. Please refresh the page and retry.,,fr,new,
,Cheatin&#8217; huh?,,fr,new,
,%1$s 🎁 Hope you're loving our free %2$s theme! Dive into the festive spirit with an exclusive gift: %4$s premium features! Use code %3$s at checkout. Wishing you a season filled with joyous holidays and even happier savings! 🎄✨,,fr,new,
,Claim Your Discount,,fr,new,
,Power Bundle,,fr,new,
,All Themes Plan,,fr,new,
,Maybe Later,,fr,new,
,Have Queries?,,fr,new,
,Displays author info.,,fr,new,
,M7 Author Info,,fr,new,
,Title,,fr,new,
,Subtitle,,fr,new,
,Profile image,,fr,new,
,Name,,fr,new,
,Descriptions,,fr,new,unchanged_like
,Facebook,,fr,new,unchanged_like
,Twitter,,fr,new,
,LinkedIn,,fr,new,unchanged_like
,Displays posts carousel from selected category.,,fr,new,
,M7 Posts Carousel,,fr,new,
,Select category,,fr,new,
,Displays posts from selected category in double column.,,fr,new,
,M7 Posts - Double Column ,,fr,new,
,Double Column Posts,,fr,new,
,Double Column Posts Subtitle,,fr,new,
,Displays posts from selected category in single column.,,fr,new,
,M7 Posts - Single Column ,,fr,new,
,Yes,,fr,new,
,No,,fr,new,
,Show excerpt,,fr,new,
,Displays tabbed posts lists from selected settings.,,fr,new,
,M7 Tabbed Posts,,fr,new,
,M7 Popular,,fr,new,
,M7 Latest,,fr,new,
,Trending,,fr,new,
,Popular,,fr,new,
,Recent,,fr,new,
,Categorised,,fr,new,
,Popular Posts,,fr,new,
,Latest,,fr,new,
,Categorised Posts,,fr,new,
,Settings for all tabs,,fr,new,
,Displays products from selected category.,,fr,new,
,M7 Products,,fr,new,
,Select Product Category,,fr,new,
,Displays social contacts lists from selected settings.,,fr,new,
,M7 Social Contacts,,fr,new,
,M7 Social,,fr,new,unchanged_like
,Social menu is not set. You need to create menu and assign it to Social Menu on Menu Settings.,,fr,new,
,Upload,,fr,new,
,Select Image,,fr,new,
,Choose Image,,fr,new,
Remove,X,,fr,new,unchanged_like
,Select Category,,fr,new,
,Main Sidebar,,fr,new,
,Add widgets for main sidebar.,,fr,new,
,Off-canvas Panel,,fr,new,
,Add widgets for off-canvas panel.,,fr,new,
,Front-page Content Section,,fr,new,
,Add widgets to front-page contents section.,,fr,new,
,Front-page Sidebar Section,,fr,new,
,Add widgets to front-page sidebar section.,,fr,new,
,Footer First Section,,fr,new,
,Displays items on footer first column.,,fr,new,
,Footer Second Section,,fr,new,
,Displays items on footer second column.,,fr,new,
,Footer Third Section,,fr,new,
,Displays items on footer third column.,,fr,new,
,View your shopping cart,,fr,new,
,%d item,%d items,fr,new,
,%d item,%d items,fr,new,
,Browse:,,fr,new,
breadcrumbs aria label,Breadcrumbs,,fr,new,
,Home,,fr,new,
,404 Not Found,,fr,new,
,Archives,,fr,new,unchanged_like
,Search results for: %s,,fr,new,
,Page %s,,fr,new,unchanged_like
,Comment Page %s,,fr,new,
,Minute %s,,fr,new,
,Week %s,,fr,new,
minute and hour archives time format,g:i a,,fr,new,
minute archives time format,i,,fr,new,
hour archives time format,g a,,fr,new,
yearly archives date format,Y,,fr,new,
monthly archives date format,F,,fr,new,unchanged_like
daily archives date format,j,,fr,new,unchanged_like
weekly archives date format,W,,fr,new,unchanged_like
,%s info,,fr,new,
,Welcome! Thank you for choosing %1$s. To fully take advantage of the best our theme can offer please make sure you visit theme details page.,,fr,new,
,Get started with %1$s,,fr,new,
,Dismiss this notice,,fr,new,
,%s() method does not exist.,,fr,new,
,Manage Plugins,,fr,new,
,"Howdy %1$s, we would like to thank you for installing and activating %2$s theme for your precious site. All of the features provided by the theme are now ready to use; Here, we have gathered all of the essential details and helpful links for you and your better experience with %2$s. Once again, Thanks for using our theme!",,fr,new,
,Getting Started,,fr,new,
