msgctxt,msgid,msgid_plural,target_lang,status,issues
,Magazine 7,,it,unchanged,
,https://afthemes.com/products/magazine-7/,,it,unchanged,unchanged_like
,"Magazine 7 is a clean, elegant and beautiful WordPress theme, which is typically designed for a web blog and magazine with an immense research on modern online news portals. With the help of available customizer options and widgets, you can implement layout as a fashion magazine, restaurant blogging & magazine, e-commerce magazine, personal blog, modern news journals, vibrant news sites and more. The theme is SEO friendly with optimized code and outstanding support. See our demos: https://demos.afthemes.com/magazine-7/, https://demos.afthemes.com/magazine-7/restro/, https://demos.afthemes.com/magazine-7/clean-blog/",,it,unchanged,
,AF themes,,it,unchanged,
,https://www.afthemes.com/,,it,unchanged,unchanged_like
,Oops! That page can&rsquo;t be found.,,it,unchanged,
,It looks like nothing was found at this location. Maybe try one of the links below or a search?,,it,unchanged,
,%s,,it,unchanged,unchanged_like
,Starter Sites,,it,unchanged,
,Block Patterns,,it,unchanged,
,Elementor Kits,,it,unchanged,
,Customize,,it,unchanged,
,Settings,,it,unchanged,
,Upgrade,,it,unchanged,
,The Templatespare plugin should be updated to the latest version,,it,unchanged,
,"Import a Starter Site, Personalize, and Live it in 3 Easy Steps!",,it,unchanged,
,Blockspare plugin version should be more than %s.,,it,unchanged,
,"One-click Demo Import, Block Editor Ready, No Code Required! Built with Blockspare.",,it,unchanged,
,Elespare plugin version should be more than %s.,,it,unchanged,
,"One-click Import, Header/Footer Builder, Multilingual Support! Powered by Elespare.",,it,unchanged,
,Are you sure you want to install this plugin?,,it,unchanged,
,Install Now,,it,unchanged,
,Activate,,it,unchanged,
,Activated,,it,unchanged,
,Get Starter Sites,,it,unchanged,
,Get Started,,it,unchanged,
,"The ""Get Started"" action will install/activate the Templatespare and Blockspare plugins for Starter Sites and Templates.",,it,unchanged,
,By,,it,unchanged,
,More Details,,it,unchanged,
,Howdy!,,it,unchanged,
,%s is now installed and ready to use. We've assembled some links to get you started.,,it,unchanged,
,Explore Our Pre-Built Starter Websites!,,it,unchanged,
,"Let your imagination soar! Designed with User-Friendly features, incorporating the Latest Trends and SEO-Friendly Markups. We genuinely appreciate you choosing our theme!",,it,unchanged,
,Demos/product,,it,unchanged,
,Theme dashboard,,it,unchanged,
,Documentation,,it,unchanged,
,Please check our full documentation for detailed information on how to setup and customize the theme.,,it,unchanged,
,Docs,,it,unchanged,
,Videos,,it,unchanged,
,Blog,,it,unchanged,unchanged_like
,Rate This Theme,,it,unchanged,
,"Sorry, you are not allowed to install plugins on this site.",,it,unchanged,
,"Error - unable to verify nonce, please try again.",,it,unchanged,
,"Sorry, you are not allowed to activate plugins on this site.",,it,unchanged,
,One thought on &ldquo;%1$s&rdquo;,,it,unchanged,
comments title,%1$s thought on &ldquo;%2$s&rdquo;,%1$s thoughts on &ldquo;%2$s&rdquo;,it,unchanged,
comments title,%1$s thought on &ldquo;%2$s&rdquo;,%1$s thoughts on &ldquo;%2$s&rdquo;,it,unchanged,
,Comments are closed.,,it,unchanged,
,%1$s by %2$s.,,it,unchanged,
,Primary Menu,,it,unchanged,
,Top Menu,,it,unchanged,
,Social Menu,,it,unchanged,
,Footer Menu,,it,unchanged,
Oswald font: on or off,on,,it,unchanged,
Montserrat font: on or off,on,,it,unchanged,
,Skip to content,,it,unchanged,
,All,,it,unchanged,
,Featured Posts,,it,unchanged,
,Our Featured Posts,,it,unchanged,
,Read more,,it,unchanged,
,Latest Posts,,it,unchanged,
,Our Latest Posts,,it,unchanged,
,Copyright &copy; All rights reserved.,,it,unchanged,unchanged_like
,Site Title Size,,it,unchanged,
,Site Title/Tagline Color,,it,unchanged,
,Disable Image Tint/Overlay,,it,unchanged,
,Magazine 7 Plus,,it,unchanged,
,Upgrade now,,it,unchanged,
,Frontpage Options,,it,unchanged,
,Trending Posts,,it,unchanged,
,Enable Trending Posts Section,,it,unchanged,
,Trending Posts Category,,it,unchanged,
,Select category to be shown on trending posts ,,it,unchanged,
,Advertisement,,it,unchanged,
,Banner Section Advertisement,,it,unchanged,
,Recommended Size %1$s px X %2$s px,,it,unchanged,
,URL Link,,it,unchanged,
,Main Banner Slider Section,,it,unchanged,
,Enable Main Banner Slider,,it,unchanged,
,Slider Posts Category,,it,unchanged,
,Select category to be shown on slider ,,it,unchanged,
,Featured Posts Section,,it,unchanged,
,Enable Featured New Section,,it,unchanged,
,Featured Posts Section Title,,it,unchanged,
,Featured Posts Section Subtitle,,it,unchanged,
,Featured Posts Category,,it,unchanged,
,Select category to be shown on featured section ,,it,unchanged,
,Frontpage Layout Settings,,it,unchanged,
,Frontpage Content alignment,,it,unchanged,
,Select frontpage content alignment,,it,unchanged,
,Home Content - Home Sidebar,,it,unchanged,
,Home Sidebar - Home Content,,it,unchanged,
,Only Home Content,,it,unchanged,
,Latest Posts Options,,it,unchanged,
,Show Latest Posts Section on Frontpage,,it,unchanged,
,Latest Posts Section Title,,it,unchanged,
,Theme Options,,it,unchanged,
,Preloader Options,,it,unchanged,
,Enable preloader,,it,unchanged,
,Header Options,,it,unchanged,
,Show date on top header,,it,unchanged,
,Show social menu on top header,,it,unchanged,
,Breadcrumb Options,,it,unchanged,
,Show breadcrumbs,,it,unchanged,
,Global Layout Settings,,it,unchanged,
,Global Content alignment,,it,unchanged,
,Select global content alignment,,it,unchanged,
,Content - Primary sidebar,,it,unchanged,
,Primary sidebar - Content,,it,unchanged,
,Full width content,,it,unchanged,
,Image Lazy Loading,,it,unchanged,
