msgctxt,msgid,msgid_plural,target_lang,status,issues
,Magazine 7,,pt,new,
,https://afthemes.com/products/magazine-7/,,pt,new,unchanged_like
,"Magazine 7 is a clean, elegant and beautiful WordPress theme, which is typically designed for a web blog and magazine with an immense research on modern online news portals. With the help of available customizer options and widgets, you can implement layout as a fashion magazine, restaurant blogging & magazine, e-commerce magazine, personal blog, modern news journals, vibrant news sites and more. The theme is SEO friendly with optimized code and outstanding support. See our demos: https://demos.afthemes.com/magazine-7/, https://demos.afthemes.com/magazine-7/restro/, https://demos.afthemes.com/magazine-7/clean-blog/",,pt,new,
,AF themes,,pt,new,
,https://www.afthemes.com/,,pt,new,unchanged_like
,Oops! That page can&rsquo;t be found.,,pt,new,
,It looks like nothing was found at this location. Maybe try one of the links below or a search?,,pt,new,
,Dashboard,,pt,new,
,Customize,,pt,new,
,Starter Sites,,pt,new,
,Elementor Kits,,pt,new,
,Block Patterns,,pt,new,
,Upgrade to Pro,,pt,new,
,Upgrade Now,,pt,new,
,The Templatespare plugin should be updated to the latest version,,pt,new,
,"Import a Starter Site, Personalize, and Live it in 3 Easy Steps!",,pt,new,
,Blockspare plugin version should be more than %s.,,pt,new,
,"One-click Demo Import, Block Editor Ready, No Code Required! Built with Blockspare.",,pt,new,
,Elespare plugin version should be more than %s.,,pt,new,
,"One-click Import, Header/Footer Builder, Multilingual Support! Powered by Elespare.",,pt,new,
,Are you sure you want to install this plugin?,,pt,new,
,Install Now,,pt,new,
,Activate,,pt,new,
,Activated,,pt,new,
,Get Starter Sites,,pt,new,
,Get Started,,pt,new,
,"The ""Get Started"" action will install/activate the Templatespare and Blockspare plugins for Starter Sites and Templates.",,pt,new,
,By,,pt,new,
,More Details,,pt,new,
,"👋 Welcome, and Thank You!",,pt,new,
,"%s is now active. We're here to help you turn your ideas into a beautiful, professional website — quickly and confidently.",,pt,new,
,🚀 Start With One Click,,pt,new,
,"Choose from 100+ starter sites designed for blogs, magazines, businesses & more.
      Setup is simple — no coding required.",,pt,new,
,View Demos,,pt,new,
,Theme dashboard,,pt,new,
,🤝 We're Here for You,,pt,new,
,Whether you're just starting or customizing your site.,,pt,new,
,Documentation,,pt,new,
,Videos,,pt,new,
,Support,,pt,new,
,⭐ Rate This Theme,,pt,new,
,"Sorry, you are not allowed to install plugins on this site.",,pt,new,
,"Error - unable to verify nonce, please try again.",,pt,new,
,"Sorry, you are not allowed to activate plugins on this site.",,pt,new,
,One thought on &ldquo;%1$s&rdquo;,,pt,new,
comments title,%1$s thought on &ldquo;%2$s&rdquo;,%1$s thoughts on &ldquo;%2$s&rdquo;,pt,new,
comments title,%1$s thought on &ldquo;%2$s&rdquo;,%1$s thoughts on &ldquo;%2$s&rdquo;,pt,new,
,Comments are closed.,,pt,new,
,%1$s by %2$s.,,pt,new,
,Primary Menu,,pt,new,
,Top Menu,,pt,new,
,Social Menu,,pt,new,
,Footer Menu,,pt,new,
Oswald font: on or off,on,,pt,new,
Montserrat font: on or off,on,,pt,new,
,Skip to content,,pt,new,
,All,,pt,new,
,Featured Posts,,pt,new,
,Our Featured Posts,,pt,new,
,Read more,,pt,new,
,Latest Posts,,pt,new,
,Our Latest Posts,,pt,new,
,Copyright &copy; All rights reserved.,,pt,new,unchanged_like
,Site Title Size,,pt,new,
,Site Title/Tagline Color,,pt,new,
,Disable Image Tint/Overlay,,pt,new,
,Magazine 7 Plus,,pt,new,
,Upgrade now,,pt,new,
,Frontpage Options,,pt,new,
,Trending Posts,,pt,new,
,Enable Trending Posts Section,,pt,new,
,Trending Posts Category,,pt,new,
,Select category to be shown on trending posts ,,pt,new,
,Advertisement,,pt,new,
,Banner Section Advertisement,,pt,new,
,Recommended Size %1$s px X %2$s px,,pt,new,
,URL Link,,pt,new,
,Main Banner Slider Section,,pt,new,
,Enable Main Banner Slider,,pt,new,
,Slider Posts Category,,pt,new,
,Select category to be shown on slider ,,pt,new,
,Featured Posts Section,,pt,new,
,Enable Featured New Section,,pt,new,
,Featured Posts Section Title,,pt,new,
,Featured Posts Section Subtitle,,pt,new,
,Featured Posts Category,,pt,new,
,Select category to be shown on featured section ,,pt,new,
,Frontpage Layout Settings,,pt,new,
,Frontpage Content alignment,,pt,new,
,Select frontpage content alignment,,pt,new,
,Home Content - Home Sidebar,,pt,new,
,Home Sidebar - Home Content,,pt,new,
,Only Home Content,,pt,new,
,Latest Posts Options,,pt,new,
,Show Latest Posts Section on Frontpage,,pt,new,
,Latest Posts Section Title,,pt,new,
,Theme Options,,pt,new,
,Preloader Options,,pt,new,
,Enable preloader,,pt,new,
,Header Options,,pt,new,
,Show date on top header,,pt,new,
,Show social menu on top header,,pt,new,
,Breadcrumb Options,,pt,new,
,Show breadcrumbs,,pt,new,
,Global Layout Settings,,pt,new,
,Global Content alignment,,pt,new,
,Select global content alignment,,pt,new,
,Content - Primary sidebar,,pt,new,
,Primary sidebar - Content,,pt,new,
,Full width content,,pt,new,
,Image Lazy Loading,,pt,new,
,Enable ,,pt,new,
,Disable,,pt,new,
,Show Featured Image in single post,,pt,new,
,Archive Settings,,pt,new,
,Archive layout,,pt,new,
,Select layout for archive,,pt,new,
,Grid,,pt,new,
,Full,,pt,new,
,Image alignment,,pt,new,
,Select image alignment for archive,,pt,new,
,Left,,pt,new,
,Right,,pt,new,
,Content view,,pt,new,
,Select content view for archive,,pt,new,
,Post excerpt,,pt,new,
,Full Content,,pt,new,
,None,,pt,new,
,Footer,,pt,new,
,Copyright Text,,pt,new,
,Hide footer menu section,,pt,new,
,Pages:,,pt,new,
,Layout Options,,pt,new,
,Content - Primary Sidebar,,pt,new,
,Primary Sidebar - Content,,pt,new,
,Category Color 1,,pt,new,
,Category Color 2,,pt,new,
,Category Color 3,,pt,new,
,Color Class,,pt,new,
,"Select category color class. You can set appropriate categories color on ""Categories"" section of the theme customizer.",,pt,new,
,TemplateSpare,,pt,new,
