msgctxt,msgid,msgid_plural,target_lang,status,issues
,Magnitude,,nl,new,
,https://afthemes.com/products/magnitude/,,nl,new,unchanged_like
,"Magnitude is a clean, elegant WordPress theme, ideal for blogging and magazine online. You can design your website as you like and preview the modifications live using live customizer options and custom widgets. It is compatible with the Gutenberg and RTL along with WooCommerce plugin which helps you to integrate an online business with our newspaper template. It also contains many helpful elements that require an amazing news portal to be built, the theme is ideal for blogging and great for news, newspaper, magazine, publication or review site. The theme is well-optimized that helps to rank your website in the top of search engines and users will get an outstanding support from the team if there will be any difficulties while using the theme. There are number of demos available in this theme so choose the one you like and start to build a website. See our demos: https://demos.afthemes.com/magnitude/, https://demos.afthemes.com/magnitude/newsportal/, https://demos.afthemes.com/magnitude/sport/",,nl,new,
,AF themes,,nl,new,
,https://www.afthemes.com/,,nl,new,unchanged_like
,Oops! That page can&rsquo;t be found.,,nl,new,
,It looks like nothing was found at this location. Maybe try one of the links below or a search?,,nl,new,
,Dashboard,,nl,new,unchanged_like
,Customize,,nl,new,
,Starter Sites,,nl,new,
,Elementor Kits,,nl,new,
,Block Patterns,,nl,new,
,Upgrade to Pro,,nl,new,
,Upgrade Now,,nl,new,
,The Templatespare plugin should be updated to the latest version,,nl,new,
,"Import a Starter Site, Personalize, and Live it in 3 Easy Steps!",,nl,new,
,Blockspare plugin version should be more than %s.,,nl,new,
,"One-click Demo Import, Block Editor Ready, No Code Required! Built with Blockspare.",,nl,new,
,Elespare plugin version should be more than %s.,,nl,new,
,"One-click Import, Header/Footer Builder, Multilingual Support! Powered by Elespare.",,nl,new,
,Are you sure you want to install this plugin?,,nl,new,
,Install Now,,nl,new,
,Activate,,nl,new,
,Activated,,nl,new,
,Get Starter Sites,,nl,new,
,Get Started,,nl,new,
,"The ""Get Started"" action will install/activate the Templatespare and Blockspare plugins for Starter Sites and Templates.",,nl,new,
,By,,nl,new,
,More Details,,nl,new,
,"👋 Welcome, and Thank You!",,nl,new,
,"%s is now active. We're here to help you turn your ideas into a beautiful, professional website — quickly and confidently.",,nl,new,
,🚀 Start With One Click,,nl,new,
,"Choose from 100+ starter sites designed for blogs, magazines, businesses & more.
      Setup is simple — no coding required.",,nl,new,
,Demos/product,,nl,new,
,Theme dashboard,,nl,new,
,🤝 We're Here for You,,nl,new,
,Whether you're just starting or customizing your site.,,nl,new,
,Documentation,,nl,new,
,Videos,,nl,new,
,Support,,nl,new,
,⭐ Rate This Theme,,nl,new,
,"Sorry, you are not allowed to install plugins on this site.",,nl,new,
,"Error - unable to verify nonce, please try again.",,nl,new,
,"Sorry, you are not allowed to activate plugins on this site.",,nl,new,
,One thought on &ldquo;%1$s&rdquo;,,nl,new,
comments title,%1$s thought on &ldquo;%2$s&rdquo;,%1$s thoughts on &ldquo;%2$s&rdquo;,nl,new,
comments title,%1$s thought on &ldquo;%2$s&rdquo;,%1$s thoughts on &ldquo;%2$s&rdquo;,nl,new,
,Comments are closed.,,nl,new,
,%1$s by %2$s.,,nl,new,
,Primary Menu,,nl,new,
,Social Menu,,nl,new,
,Footer Menu,,nl,new,
Source Sans Pro font: on or off,on,,nl,new,
Lato font: on or off,on,,nl,new,
,Skip to content,,nl,new,
,-- Select --,,nl,new,
,Popular Tags,,nl,new,
,Exclusive,,nl,new,
,Featured Posts,,nl,new,
,Featured Categories,,nl,new,
,Featured Pages,,nl,new,
,Custom Options,,nl,new,
,View More,,nl,new,
,Read More,,nl,new,
,Related Stories,,nl,new,
,Subscribe To  Our Newsletter,,nl,new,
,You may have missed,,nl,new,
,Copyright &copy; All rights reserved.,,nl,new,unchanged_like
