msgctxt,msgid,msgid_plural,target_lang,status,issues
,MoreNews,,ar,new,
,https://afthemes.com/products/morenews/,,ar,new,unchanged_like
,"MoreNews is a dynamic, ultra-fast, and highly versatile WordPress theme built not only for News, Magazines, and Blogs but also for Business, eCommerce, and any kind of Website thanks to its new HEADER & FOOTER BUILDER that works seamlessly with the Block Editor, GUTENBERG, ELEMENTOR, Brizy, Divi, and other popular Page Builders, giving you complete drag-and-drop freedom to design unique layouts without touching code. With 100+ ready-to-import Starter Sites, 30+ Custom Widgets, Advanced Block Patterns, Flexible Banner and Layout Options, AMP support, and full WOOCOMMERCE integration, MoreNews makes it easy to launch anything from a simple Blog to a professional Online Store or a complex Content Hub in minutes. It is fully optimized for SEO, CORE WEB VITALS, Speed, and Responsive Design, ensuring excellent performance on all devices, and is built with WCAG Accessibility, GDPR Compliance, and clean, Lightweight Code for long-term reliability. Multilingual and RTL Ready, with Demo Content available in multiple languages including English, Spanish, German, French, Japanese, Chinese, and Arabic, MoreNews is a future-proof theme designed for creators who value Style, Scalability, and a smooth User Experience across the globe. Explore all features at https://afthemes.com/products/morenews.",,ar,new,
,AF themes,,ar,unchanged,
,https://www.afthemes.com/,,ar,unchanged,unchanged_like
,Oops! That page can&rsquo;t be found.,,ar,unchanged,
,It looks like nothing was found at this location. Maybe try one of the links below or a search?,,ar,unchanged,
,Dashboard,,ar,unchanged,
,Customize,,ar,unchanged,
,Header Builder,,ar,unchanged,
,Footer Builder,,ar,unchanged,
,Starter Sites,,ar,unchanged,
,Elementor Kits,,ar,unchanged,
,Block Patterns,,ar,unchanged,
,Upgrade to Pro,,ar,new,
,Upgrade Now,,ar,unchanged,
,The Templatespare plugin should be updated to the latest version,,ar,unchanged,
,"Import a Starter Site, Personalize, and Live it in 3 Easy Steps!",,ar,unchanged,
,Blockspare plugin version should be more than %s.,,ar,unchanged,
,"One-click Demo Import, Block Editor Ready, No Code Required! Built with Blockspare.",,ar,new,
,Elespare plugin version should be more than %s.,,ar,unchanged,
,"One-click Import, Header/Footer Builder, Multilingual Support! Powered by Elespare.",,ar,new,
,Are you sure you want to install this plugin?,,ar,unchanged,
,Install Now,,ar,unchanged,
,Activate,,ar,unchanged,
,Activated,,ar,unchanged,
,Get Starter Sites,,ar,unchanged,
,Get Started,,ar,unchanged,
,"The ""Get Started"" action will install/activate the Templatespare and Blockspare plugins for Starter Sites and Templates.",,ar,unchanged,
,By,,ar,unchanged,
,More Details,,ar,unchanged,
,"👋 Welcome, and Thank You!",,ar,new,
,"%s is now active. We're here to help you turn your ideas into a beautiful, professional website — quickly and confidently.",,ar,new,
,🚀 Start With One Click,,ar,new,
,"Choose from 100+ starter sites designed for blogs, magazines, businesses & more.
      Setup is simple — no coding required.",,ar,new,
,View Demos,,ar,unchanged,
,Theme dashboard,,ar,unchanged,
,🤝 We're Here for You,,ar,new,
,Whether you're just starting or customizing your site.,,ar,new,
,Documentation,,ar,unchanged,
,Video Tutorials,,ar,new,
,Support,,ar,unchanged,
,⭐ Rate This Theme,,ar,new,
,"Sorry, you are not allowed to install plugins on this site.",,ar,unchanged,
,"Error - unable to verify nonce, please try again.",,ar,unchanged,
,"Sorry, you are not allowed to activate plugins on this site.",,ar,unchanged,
,One thought on &ldquo;%1$s&rdquo;,,ar,unchanged,
comments title,%1$s thought on &ldquo;%2$s&rdquo;,%1$s thoughts on &ldquo;%2$s&rdquo;,ar,unchanged,
comments title,%1$s thought on &ldquo;%2$s&rdquo;,%1$s thoughts on &ldquo;%2$s&rdquo;,ar,unchanged,
comments title,%1$s thought on &ldquo;%2$s&rdquo;,%1$s thoughts on &ldquo;%2$s&rdquo;,ar,unchanged,
comments title,%1$s thought on &ldquo;%2$s&rdquo;,%1$s thoughts on &ldquo;%2$s&rdquo;,ar,unchanged,
comments title,%1$s thought on &ldquo;%2$s&rdquo;,%1$s thoughts on &ldquo;%2$s&rdquo;,ar,unchanged,
comments title,%1$s thought on &ldquo;%2$s&rdquo;,%1$s thoughts on &ldquo;%2$s&rdquo;,ar,unchanged,
,Comments are closed.,,ar,unchanged,
,%1$s by %2$s.,,ar,unchanged,
,Primary Menu,,ar,unchanged,
,Social Menu,,ar,unchanged,
,Footer Menu,,ar,unchanged,
,Skip to content,,ar,unchanged,
,Open search form,,ar,unchanged,
,"Click the setting <span class=""dashicons dashicons-admin-generic""></span> on each element to customize its settings.",,ar,unchanged,
,Hide builder panel,,ar,new,
,Hide Builder,,ar,new,
,Device view controls,,ar,new,
,Choose an Element,,ar,unchanged,
,Close choose element modal,,ar,new,
,Footer Layout,,ar,unchanged,
,Create dynamic header effortlessly with drag-and-drop builder.,,ar,unchanged,
,Header,,ar,new,
,Create dynamic footer effortlessly with drag-and-drop builder.,,ar,unchanged,
,Footer,,ar,unchanged,
,Enable %s Builder,,ar,new,
,Add Element,,ar,unchanged,
,Remove Element,,ar,unchanged,
,Configure Element,,ar,unchanged,
,Desktop,,ar,unchanged,
,Element Settings,,ar,unchanged,
,close Off-Canvas Navigation,,ar,unchanged,
,Site & Logo,,ar,unchanged,
,Site Identity,,ar,unchanged,
,You can change Site Identity from %s.,,ar,new,
,Promotion,,ar,unchanged,
,Off Canvas,,ar,unchanged,
,Off Canvas Widget Area,,ar,unchanged,
,This widget area is used in the mobile off-canvas panel. %s,,ar,new,
,Manage widgets,,ar,new,
,Primary menu,,ar,unchanged,
,Select Menu,,ar,unchanged,
,You can change Menu from menu panel. %s,,ar,new,
,Manage menu,,ar,new,
,Date,,ar,unchanged,
,Choose date format,,ar,unchanged,
,You can change date from general settings (Settings > General > Date Format). %s,,ar,new,
,Manage Date,,ar,new,
,Top Navigation,,ar,unchanged,
,pro,,ar,new,
,Site Mode,,ar,unchanged,
,Custom HTML,,ar,unchanged,
,HTML Content,,ar,unchanged,
,Search,,ar,unchanged,
,Searc Form,,ar,unchanged,
,Custom Link,,ar,unchanged,
,Custom link,,ar,unchanged,
,live,,ar,unchanged,
,Widget 1,,ar,unchanged,
,Select Widget,,ar,unchanged,
,Widget 2,,ar,unchanged,
,Widget 3,,ar,unchanged,
,Navigation,,ar,unchanged,
,Pro,,ar,new,
,Copyright,,ar,unchanged,
,Add widget to display . %s,,ar,new,
,Beta,,ar,new,
,No menu assigned,,ar,unchanged,
,-- Select --,,ar,unchanged,
,Live,,ar,unchanged,
,Popular Tags,,ar,unchanged,
,Exclusive,,ar,unchanged,
,Prime News,,ar,unchanged,
,Related Stories,,ar,unchanged,
,Youtube video Section,,ar,unchanged,
,Featured Videos,,ar,unchanged,
,Express Posts Section,,ar,unchanged,
,Express Posts 1,,ar,unchanged,
,Express Posts 2,,ar,unchanged,
,Posts List Section,,ar,unchanged,
,Posts List %d,,ar,new,
,Posts Carousel,,ar,unchanged,
,Main News,,ar,unchanged,
,Latest,,ar,unchanged,
,Popular,,ar,unchanged,
,Trending,,ar,unchanged,
,Trending Now,,ar,unchanged,
,Update,,ar,unchanged,
,Editor's Picks,,ar,unchanged,
,Trending Story,,ar,unchanged,
,Featured Posts,,ar,unchanged,
,Featured Categories,,ar,unchanged,
,Featured Pages,,ar,unchanged,
,Custom Options,,ar,unchanged,
,Post list Section Title %d,,ar,unchanged,
,View More,,ar,unchanged,
,Read More,,ar,unchanged,
,Subscribe To  Our Newsletter,,ar,unchanged,
,You may have missed,,ar,unchanged,
,Copyright &copy; All rights reserved.,,ar,new,unchanged_like
,Body Background Color,,ar,unchanged,
,Site Title Size,,ar,unchanged,
,Uppercase Site Title and Tagline,,ar,unchanged,
,Site Title/Tagline Color,,ar,unchanged,
,Header Image Mode,,ar,unchanged,
,Image visibility may vary as per the mode,,ar,unchanged,
,Above Site Title,,ar,unchanged,
,Set as Background,,ar,unchanged,
,Show Full Image (Background),,ar,unchanged,
,Disable Image Tint/Overlay,,ar,unchanged,
,MoreNews Pro,,ar,unchanged,
,Site Color Mode,,ar,unchanged,
,Light,,ar,unchanged,
,Dark,,ar,unchanged,
,Primary Color Section ,,ar,unchanged,
,Body Background Color (Dark Mode) will be applied for this mode.,,ar,unchanged,
,Body Background Color (Dark Mode),,ar,unchanged,
,Secondary Color Section ,,ar,unchanged,
,Secondary Color,,ar,unchanged,
,Fonts & Typography,,ar,unchanged,
,Font Family Section,,ar,unchanged,
,Global Fonts Family,,ar,unchanged,
,Google Fonts,,ar,unchanged,
,System Fonts,,ar,unchanged,
,Site Title Font,,ar,unchanged,
,Primary Font,,ar,unchanged,
,Secondary Font,,ar,unchanged,
,Main Banner Options,,ar,unchanged,
,Main Banner,,ar,unchanged,
,Enable Main Banner Section,,ar,unchanged,
,Main Banner Background Image,,ar,unchanged,
,Recommended Size %1$s px X %2$s px,,ar,unchanged,
,Select Main Banner Layout,,ar,unchanged,
,"Slider, Trending and Tabs",,ar,unchanged,
,"Slider, Editors Picks and Tabs",,ar,new,
,Slider and Editors Picks,,ar,new,
,Slider and Tabs,,ar,new,
,Select Main Banner Order,,ar,unchanged,
,Order 1,,ar,unchanged,
,Order 2,,ar,unchanged,
,Order 3,,ar,unchanged,
,Main News Section ,,ar,unchanged,
,Section Title ,,ar,unchanged,
,Filter Posts By,,ar,unchanged,
,Category,,ar,unchanged,
,Tag,,ar,unchanged,
,Select Category,,ar,unchanged,
,Select category to be shown on main slider section,,ar,unchanged,
,Select Tag,,ar,unchanged,
,Select tag to be shown on main slider section,,ar,unchanged,
,Editor's Picks Section,,ar,unchanged,
,Select,,ar,unchanged,
,Trending Section,,ar,unchanged,
,Comment Count,,ar,unchanged,
,Latest Section,,ar,unchanged,
,Popular Section,,ar,unchanged,
,Update Section,,ar,new,
,Enable Trending Tags,,ar,unchanged,
,Breaking News,,ar,unchanged,
,Enable Flash News,,ar,unchanged,
,Flash Posts Category,,ar,unchanged,
,Select category to be shown on trending posts ,,ar,unchanged,
,Front-page Options,,ar,unchanged,
,Enable Featured Post Section,,ar,unchanged,
,Select ,,ar,unchanged,
,Select category to be shown on featured section ,,ar,unchanged,
,Posts List,,ar,unchanged,
,Enable Post List Section,,ar,unchanged,
,Section %d,,ar,unchanged,
,Section Title,,ar,unchanged,
,Front-page Layout Settings,,ar,unchanged,
,Front-page Content Display,,ar,unchanged,
,Select frontpage content display,,ar,unchanged,
,Front-page Widgets,,ar,unchanged,
,Page Contents & Front-page Widgets,,ar,unchanged,
,Front-page Content Alignment,,ar,unchanged,
,Select frontpage content alignment,,ar,unchanged,
,Home Content - Home Sidebar,,ar,unchanged,
,Home Sidebar - Home Content,,ar,unchanged,
,Only Home Content,,ar,unchanged,
,Header Options,,ar,unchanged,
,Header Settings,,ar,unchanged,
,Site Mode Switch,,ar,unchanged,
,Enable,,ar,unchanged,
,Disable,,ar,unchanged,
,Disable Sticky Header,,ar,unchanged,
,Sticky header works only with builder at bottom.,,ar,new,
,Top Header Section,,ar,unchanged,
,Show Top Header,,ar,unchanged,
,Header Advertisement,,ar,unchanged,
,Header Section Advertisement,,ar,unchanged,
,URL Link,,ar,unchanged,
,Theme Options,,ar,unchanged,
,Breadcrumb Options,,ar,unchanged,
,Show breadcrumbs,,ar,unchanged,
,Select Breadcrumbs,,ar,unchanged,
,Please ensure that you have enabled the plugin's breadcrumbs before choosing other than Default,,ar,unchanged,
,Default,,ar,unchanged,
,Yoast SEO,,ar,unchanged,
,Rank Math,,ar,unchanged,
,NavXT,,ar,unchanged,
,Global Settings,,ar,unchanged,
,Enable Preloader,,ar,unchanged,
,Disable Emoji Script,,ar,unchanged,
,GDPR friendly & better performance,,ar,unchanged,
,Global Content Alignment,,ar,unchanged,
,Content - Primary sidebar,,ar,unchanged,
,Primary sidebar - Content,,ar,unchanged,
,Full width content,,ar,unchanged,
,Also Show Content Image in Archive,,ar,unchanged,
,If there is no Post Featured image set,,ar,unchanged,
,Enable ,,ar,unchanged,
,Image Lazy Loading,,ar,unchanged,
,Set for better performance,,ar,unchanged,
,Image Async Decoding,,ar,unchanged,
,Set to enhance rendering speed,,ar,unchanged,
,Scroll to Top Position,,ar,unchanged,
,Right,,ar,unchanged,
,Left,,ar,unchanged,
,Categories Settings,,ar,unchanged,
,Post Categories,,ar,unchanged,
,Show,,ar,unchanged,
,Hide,,ar,unchanged,
,Categories to be displayed,,ar,unchanged,
,Show All,,ar,unchanged,
,Top One Category,,ar,unchanged,
,Number of Categories,,ar,unchanged,
,Author and Date Settings,,ar,unchanged,
,Author Icon,,ar,new,
,Show Gravatar,,ar,unchanged,
,Show Icon,,ar,unchanged,
,None,,ar,unchanged,
,Date Format,,ar,unchanged,
,WordPress Default Date Format,,ar,unchanged,
,Ago Date Format,,ar,unchanged,
,Minutes Read Count,,ar,unchanged,
,Excerpt Settings,,ar,unchanged,
,Global Excerpt Read More,,ar,unchanged,
,Primary Menu Section,,ar,new,
,Show Primary Menu Description,,ar,new,
,Enable Custom Menu Section,,ar,unchanged,
,Title,,ar,unchanged,
,Link,,ar,unchanged,
,Single Post,,ar,unchanged,
,Show Featured Image,,ar,unchanged,
,Featured Image Width,,ar,unchanged,
,Full - Default,,ar,unchanged,
,Original,,ar,unchanged,
,Single Content Mode,,ar,unchanged,
,Spacious,,ar,unchanged,
,Social Share Option,,ar,new,
,Social Share from Jetpack plugin,,ar,new,
,Top - Default,,ar,new,
,Bottom,,ar,unchanged,
,Show Author Bio under Content,,ar,unchanged,
,Show Tags under Content,,ar,unchanged,
,Related Posts Settings,,ar,unchanged,
,Enable Related Posts,,ar,unchanged,
,Archive Settings,,ar,unchanged,
,Disable Main Banner on Blog,,ar,unchanged,
,Archive layout,,ar,unchanged,
,Select layout for archive,,ar,unchanged,
,List,,ar,unchanged,
,Full,,ar,unchanged,
,Image Alignment,,ar,unchanged,
,Select image alignment for archive,,ar,unchanged,
,Select Title Position,,ar,unchanged,
,Select full layout for archive,,ar,unchanged,
,After Image,,ar,unchanged,
,Before Image,,ar,unchanged,
,Content View,,ar,unchanged,
,Select content view for archive,,ar,unchanged,
,Post Excerpt,,ar,unchanged,
,Full Content,,ar,unchanged,
,Sidebar Settings,,ar,unchanged,
,Make Sidebar Sticky,,ar,unchanged,
