msgctxt,msgid,msgid_plural,target_lang,status,issues
,MoreNews,,de,new,
,https://afthemes.com/products/morenews/,,de,new,unchanged_like
,"MoreNews is a dynamic, ultra-fast, and highly versatile WordPress theme built not only for News, Magazines, and Blogs but also for Business, eCommerce, and any kind of Website thanks to its new HEADER & FOOTER BUILDER that works seamlessly with the Block Editor, GUTENBERG, ELEMENTOR, Brizy, Divi, and other popular Page Builders, giving you complete drag-and-drop freedom to design unique layouts without touching code. With 100+ ready-to-import Starter Sites, 30+ Custom Widgets, Advanced Block Patterns, Flexible Banner and Layout Options, AMP support, and full WOOCOMMERCE integration, MoreNews makes it easy to launch anything from a simple Blog to a professional Online Store or a complex Content Hub in minutes. It is fully optimized for SEO, CORE WEB VITALS, Speed, and Responsive Design, ensuring excellent performance on all devices, and is built with WCAG Accessibility, GDPR Compliance, and clean, Lightweight Code for long-term reliability. Multilingual and RTL Ready, with Demo Content available in multiple languages including English, Spanish, German, French, Japanese, Chinese, and Arabic, MoreNews is a future-proof theme designed for creators who value Style, Scalability, and a smooth User Experience across the globe. Explore all features at https://afthemes.com/products/morenews.",,de,new,
,AF themes,,de,unchanged,
,https://www.afthemes.com/,,de,unchanged,unchanged_like
,Oops! That page can&rsquo;t be found.,,de,unchanged,
,It looks like nothing was found at this location. Maybe try one of the links below or a search?,,de,unchanged,
,Dashboard,,de,unchanged,
,Customize,,de,unchanged,
,Header Builder,,de,unchanged,
,Footer Builder,,de,unchanged,
,Starter Sites,,de,unchanged,
,Elementor Kits,,de,unchanged,
,Block Patterns,,de,unchanged,
,Upgrade to Pro,,de,new,
,Upgrade Now,,de,unchanged,
,The Templatespare plugin should be updated to the latest version,,de,unchanged,
,"Import a Starter Site, Personalize, and Live it in 3 Easy Steps!",,de,unchanged,
,Blockspare plugin version should be more than %s.,,de,unchanged,
,"One-click Demo Import, Block Editor Ready, No Code Required! Built with Blockspare.",,de,new,
,Elespare plugin version should be more than %s.,,de,unchanged,
,"One-click Import, Header/Footer Builder, Multilingual Support! Powered by Elespare.",,de,new,
,Are you sure you want to install this plugin?,,de,unchanged,
,Install Now,,de,unchanged,
,Activate,,de,unchanged,
,Activated,,de,unchanged,
,Get Starter Sites,,de,unchanged,
,Get Started,,de,unchanged,
,"The ""Get Started"" action will install/activate the Templatespare and Blockspare plugins for Starter Sites and Templates.",,de,unchanged,
,By,,de,unchanged,
,More Details,,de,unchanged,
,"👋 Welcome, and Thank You!",,de,new,
,"%s is now active. We're here to help you turn your ideas into a beautiful, professional website — quickly and confidently.",,de,new,
,🚀 Start With One Click,,de,new,
,"Choose from 100+ starter sites designed for blogs, magazines, businesses & more.
      Setup is simple — no coding required.",,de,new,
,View Demos,,de,unchanged,
,Theme dashboard,,de,unchanged,
,🤝 We're Here for You,,de,new,
,Whether you're just starting or customizing your site.,,de,new,
,Documentation,,de,unchanged,
,Video Tutorials,,de,new,
,Support,,de,unchanged,
,⭐ Rate This Theme,,de,new,
,"Sorry, you are not allowed to install plugins on this site.",,de,unchanged,
,"Error - unable to verify nonce, please try again.",,de,unchanged,
,"Sorry, you are not allowed to activate plugins on this site.",,de,unchanged,
,One thought on &ldquo;%1$s&rdquo;,,de,unchanged,
