msgctxt,msgid,msgid_plural,target_lang,status,issues
,MoreNews,,fr,new,
,https://afthemes.com/products/morenews/,,fr,new,unchanged_like
,"MoreNews is a dynamic, ultra-fast, and highly versatile WordPress theme built not only for News, Magazines, and Blogs but also for Business, eCommerce, and any kind of Website thanks to its new HEADER & FOOTER BUILDER that works seamlessly with the Block Editor, GUTENBERG, ELEMENTOR, Brizy, Divi, and other popular Page Builders, giving you complete drag-and-drop freedom to design unique layouts without touching code. With 100+ ready-to-import Starter Sites, 30+ Custom Widgets, Advanced Block Patterns, Flexible Banner and Layout Options, AMP support, and full WOOCOMMERCE integration, MoreNews makes it easy to launch anything from a simple Blog to a professional Online Store or a complex Content Hub in minutes. It is fully optimized for SEO, CORE WEB VITALS, Speed, and Responsive Design, ensuring excellent performance on all devices, and is built with WCAG Accessibility, GDPR Compliance, and clean, Lightweight Code for long-term reliability. Multilingual and RTL Ready, with Demo Content available in multiple languages including English, Spanish, German, French, Japanese, Chinese, and Arabic, MoreNews is a future-proof theme designed for creators who value Style, Scalability, and a smooth User Experience across the globe. Explore all features at https://afthemes.com/products/morenews.",,fr,new,
,AF themes,,fr,unchanged,
,https://www.afthemes.com/,,fr,unchanged,unchanged_like
,Oops! That page can&rsquo;t be found.,,fr,unchanged,
,It looks like nothing was found at this location. Maybe try one of the links below or a search?,,fr,unchanged,
,Dashboard,,fr,unchanged,
,Customize,,fr,unchanged,
,Header Builder,,fr,unchanged,
,Footer Builder,,fr,unchanged,
,Starter Sites,,fr,unchanged,
,Elementor Kits,,fr,unchanged,
,Block Patterns,,fr,unchanged,
,Upgrade to Pro,,fr,new,
,Upgrade Now,,fr,unchanged,
,The Templatespare plugin should be updated to the latest version,,fr,unchanged,
,"Import a Starter Site, Personalize, and Live it in 3 Easy Steps!",,fr,unchanged,
,Blockspare plugin version should be more than %s.,,fr,unchanged,
,"One-click Demo Import, Block Editor Ready, No Code Required! Built with Blockspare.",,fr,new,
,Elespare plugin version should be more than %s.,,fr,unchanged,
,"One-click Import, Header/Footer Builder, Multilingual Support! Powered by Elespare.",,fr,new,
,Are you sure you want to install this plugin?,,fr,unchanged,
,Install Now,,fr,unchanged,
,Activate,,fr,unchanged,
,Activated,,fr,unchanged,
,Get Starter Sites,,fr,unchanged,
,Get Started,,fr,unchanged,
,"The ""Get Started"" action will install/activate the Templatespare and Blockspare plugins for Starter Sites and Templates.",,fr,unchanged,
,By,,fr,unchanged,
,More Details,,fr,unchanged,
,"👋 Welcome, and Thank You!",,fr,new,
,"%s is now active. We're here to help you turn your ideas into a beautiful, professional website — quickly and confidently.",,fr,new,
,🚀 Start With One Click,,fr,new,
,"Choose from 100+ starter sites designed for blogs, magazines, businesses & more.
      Setup is simple — no coding required.",,fr,new,
,View Demos,,fr,unchanged,
,Theme dashboard,,fr,unchanged,
,🤝 We're Here for You,,fr,new,
,Whether you're just starting or customizing your site.,,fr,new,
,Documentation,,fr,unchanged,unchanged_like
,Video Tutorials,,fr,new,
,Support,,fr,unchanged,
,⭐ Rate This Theme,,fr,new,
,"Sorry, you are not allowed to install plugins on this site.",,fr,unchanged,
,"Error - unable to verify nonce, please try again.",,fr,unchanged,
,"Sorry, you are not allowed to activate plugins on this site.",,fr,unchanged,
,One thought on &ldquo;%1$s&rdquo;,,fr,unchanged,
comments title,%1$s thought on &ldquo;%2$s&rdquo;,%1$s thoughts on &ldquo;%2$s&rdquo;,fr,unchanged,
comments title,%1$s thought on &ldquo;%2$s&rdquo;,%1$s thoughts on &ldquo;%2$s&rdquo;,fr,unchanged,
,Comments are closed.,,fr,unchanged,
,%1$s by %2$s.,,fr,unchanged,
,Primary Menu,,fr,unchanged,
,Social Menu,,fr,unchanged,
,Footer Menu,,fr,unchanged,
,Skip to content,,fr,unchanged,
,Open search form,,fr,unchanged,
,"Click the setting <span class=""dashicons dashicons-admin-generic""></span> on each element to customize its settings.",,fr,unchanged,
,Hide builder panel,,fr,new,
,Hide Builder,,fr,new,
,Device view controls,,fr,new,
,Choose an Element,,fr,unchanged,
,Close choose element modal,,fr,new,
,Footer Layout,,fr,unchanged,
,Create dynamic header effortlessly with drag-and-drop builder.,,fr,unchanged,
,Header,,fr,new,
,Create dynamic footer effortlessly with drag-and-drop builder.,,fr,unchanged,
,Footer,,fr,unchanged,
,Enable %s Builder,,fr,new,
,Add Element,,fr,unchanged,
,Remove Element,,fr,unchanged,
,Configure Element,,fr,unchanged,
,Desktop,,fr,unchanged,
,Element Settings,,fr,unchanged,
,close Off-Canvas Navigation,,fr,unchanged,
,Site & Logo,,fr,unchanged,
,Site Identity,,fr,unchanged,
,You can change Site Identity from %s.,,fr,new,
,Promotion,,fr,unchanged,unchanged_like
,Off Canvas,,fr,unchanged,
,Off Canvas Widget Area,,fr,unchanged,
,This widget area is used in the mobile off-canvas panel. %s,,fr,new,
,Manage widgets,,fr,new,
,Primary menu,,fr,unchanged,
,Select Menu,,fr,unchanged,
,You can change Menu from menu panel. %s,,fr,new,
,Manage menu,,fr,new,
,Date,,fr,unchanged,unchanged_like
,Choose date format,,fr,unchanged,
,You can change date from general settings (Settings > General > Date Format). %s,,fr,new,
,Manage Date,,fr,new,
,Top Navigation,,fr,unchanged,
,pro,,fr,new,unchanged_like
,Site Mode,,fr,unchanged,
,Custom HTML,,fr,unchanged,
,HTML Content,,fr,unchanged,
,Search,,fr,unchanged,
,Searc Form,,fr,unchanged,
,Custom Link,,fr,unchanged,
,Custom link,,fr,unchanged,
,live,,fr,unchanged,
,Widget 1,,fr,unchanged,unchanged_like
,Select Widget,,fr,unchanged,
,Widget 2,,fr,unchanged,unchanged_like
,Widget 3,,fr,unchanged,unchanged_like
,Navigation,,fr,unchanged,unchanged_like
,Pro,,fr,new,unchanged_like
,Copyright,,fr,unchanged,
,Add widget to display . %s,,fr,new,
,Beta,,fr,new,
,No menu assigned,,fr,unchanged,
,-- Select --,,fr,unchanged,
,Live,,fr,unchanged,
,Popular Tags,,fr,unchanged,
,Exclusive,,fr,unchanged,
,Prime News,,fr,unchanged,
,Related Stories,,fr,unchanged,
,Youtube video Section,,fr,unchanged,
,Featured Videos,,fr,unchanged,
,Express Posts Section,,fr,unchanged,
,Express Posts 1,,fr,unchanged,
,Express Posts 2,,fr,unchanged,
,Posts List Section,,fr,unchanged,
,Posts List %d,,fr,new,
,Posts Carousel,,fr,unchanged,
,Main News,,fr,unchanged,
,Latest,,fr,unchanged,
,Popular,,fr,unchanged,
,Trending,,fr,unchanged,
,Trending Now,,fr,unchanged,
,Update,,fr,unchanged,
,Editor's Picks,,fr,unchanged,
,Trending Story,,fr,unchanged,
,Featured Posts,,fr,unchanged,
,Featured Categories,,fr,unchanged,
,Featured Pages,,fr,unchanged,
,Custom Options,,fr,unchanged,
,Post list Section Title %d,,fr,unchanged,
,View More,,fr,unchanged,
,Read More,,fr,unchanged,
,Subscribe To  Our Newsletter,,fr,unchanged,
,You may have missed,,fr,unchanged,
,Copyright &copy; All rights reserved.,,fr,new,unchanged_like
,Body Background Color,,fr,unchanged,
,Site Title Size,,fr,unchanged,
,Uppercase Site Title and Tagline,,fr,unchanged,
,Site Title/Tagline Color,,fr,unchanged,
,Header Image Mode,,fr,unchanged,
,Image visibility may vary as per the mode,,fr,unchanged,
,Above Site Title,,fr,unchanged,
,Set as Background,,fr,unchanged,
,Show Full Image (Background),,fr,unchanged,
,Disable Image Tint/Overlay,,fr,unchanged,
,MoreNews Pro,,fr,unchanged,
,Site Color Mode,,fr,unchanged,
,Light,,fr,unchanged,
,Dark,,fr,unchanged,
,Primary Color Section ,,fr,unchanged,
,Body Background Color (Dark Mode) will be applied for this mode.,,fr,unchanged,
,Body Background Color (Dark Mode),,fr,unchanged,
,Secondary Color Section ,,fr,unchanged,
,Secondary Color,,fr,unchanged,
,Fonts & Typography,,fr,unchanged,
,Font Family Section,,fr,unchanged,
,Global Fonts Family,,fr,unchanged,
,Google Fonts,,fr,unchanged,
,System Fonts,,fr,unchanged,
,Site Title Font,,fr,unchanged,
,Primary Font,,fr,unchanged,
,Secondary Font,,fr,unchanged,
,Main Banner Options,,fr,unchanged,
,Main Banner,,fr,unchanged,
,Enable Main Banner Section,,fr,unchanged,
,Main Banner Background Image,,fr,unchanged,
,Recommended Size %1$s px X %2$s px,,fr,unchanged,
,Select Main Banner Layout,,fr,unchanged,
,"Slider, Trending and Tabs",,fr,unchanged,
,"Slider, Editors Picks and Tabs",,fr,new,
,Slider and Editors Picks,,fr,new,
,Slider and Tabs,,fr,new,
,Select Main Banner Order,,fr,unchanged,
,Order 1,,fr,unchanged,
,Order 2,,fr,unchanged,
,Order 3,,fr,unchanged,
,Main News Section ,,fr,unchanged,
,Section Title ,,fr,unchanged,
,Filter Posts By,,fr,unchanged,
,Category,,fr,unchanged,
,Tag,,fr,unchanged,
,Select Category,,fr,unchanged,
,Select category to be shown on main slider section,,fr,unchanged,
,Select Tag,,fr,unchanged,
,Select tag to be shown on main slider section,,fr,unchanged,
,Editor's Picks Section,,fr,unchanged,
,Select,,fr,unchanged,
,Trending Section,,fr,unchanged,
,Comment Count,,fr,unchanged,
,Latest Section,,fr,unchanged,
,Popular Section,,fr,unchanged,
,Update Section,,fr,new,
,Enable Trending Tags,,fr,unchanged,
,Breaking News,,fr,unchanged,
,Enable Flash News,,fr,unchanged,
,Flash Posts Category,,fr,unchanged,
,Select category to be shown on trending posts ,,fr,unchanged,
,Front-page Options,,fr,unchanged,
,Enable Featured Post Section,,fr,unchanged,
,Select ,,fr,unchanged,
,Select category to be shown on featured section ,,fr,unchanged,
,Posts List,,fr,unchanged,
,Enable Post List Section,,fr,unchanged,
,Section %d,,fr,unchanged,unchanged_like
,Section Title,,fr,unchanged,
,Front-page Layout Settings,,fr,unchanged,
,Front-page Content Display,,fr,unchanged,
,Select frontpage content display,,fr,unchanged,
,Front-page Widgets,,fr,unchanged,
,Page Contents & Front-page Widgets,,fr,unchanged,
,Front-page Content Alignment,,fr,unchanged,
,Select frontpage content alignment,,fr,unchanged,
,Home Content - Home Sidebar,,fr,unchanged,
,Home Sidebar - Home Content,,fr,unchanged,
,Only Home Content,,fr,unchanged,
,Header Options,,fr,unchanged,
,Header Settings,,fr,unchanged,
,Site Mode Switch,,fr,unchanged,
,Enable,,fr,unchanged,
,Disable,,fr,unchanged,
,Disable Sticky Header,,fr,unchanged,
,Sticky header works only with builder at bottom.,,fr,new,
,Top Header Section,,fr,unchanged,
,Show Top Header,,fr,unchanged,
,Header Advertisement,,fr,unchanged,
,Header Section Advertisement,,fr,unchanged,
,URL Link,,fr,unchanged,
,Theme Options,,fr,unchanged,
,Breadcrumb Options,,fr,unchanged,
,Show breadcrumbs,,fr,unchanged,
,Select Breadcrumbs,,fr,unchanged,
,Please ensure that you have enabled the plugin's breadcrumbs before choosing other than Default,,fr,unchanged,
