msgctxt,msgid,msgid_plural,target_lang,status,issues
,MoreNews,,hi,new,
,https://afthemes.com/products/morenews/,,hi,new,unchanged_like
,"MoreNews is a dynamic, ultra-fast, and highly versatile WordPress theme built not only for News, Magazines, and Blogs but also for Business, eCommerce, and any kind of Website thanks to its new HEADER & FOOTER BUILDER that works seamlessly with the Block Editor, GUTENBERG, ELEMENTOR, Brizy, Divi, and other popular Page Builders, giving you complete drag-and-drop freedom to design unique layouts without touching code. With 100+ ready-to-import Starter Sites, 30+ Custom Widgets, Advanced Block Patterns, Flexible Banner and Layout Options, AMP support, and full WOOCOMMERCE integration, MoreNews makes it easy to launch anything from a simple Blog to a professional Online Store or a complex Content Hub in minutes. It is fully optimized for SEO, CORE WEB VITALS, Speed, and Responsive Design, ensuring excellent performance on all devices, and is built with WCAG Accessibility, GDPR Compliance, and clean, Lightweight Code for long-term reliability. Multilingual and RTL Ready, with Demo Content available in multiple languages including English, Spanish, German, French, Japanese, Chinese, and Arabic, MoreNews is a future-proof theme designed for creators who value Style, Scalability, and a smooth User Experience across the globe. Explore all features at https://afthemes.com/products/morenews.",,hi,new,
,AF themes,,hi,unchanged,
,https://www.afthemes.com/,,hi,unchanged,unchanged_like
,Oops! That page can&rsquo;t be found.,,hi,unchanged,
,It looks like nothing was found at this location. Maybe try one of the links below or a search?,,hi,unchanged,
,Dashboard,,hi,unchanged,
,Customize,,hi,unchanged,
,Header Builder,,hi,unchanged,
,Footer Builder,,hi,unchanged,
,Starter Sites,,hi,unchanged,
,Elementor Kits,,hi,unchanged,
,Block Patterns,,hi,unchanged,
,Upgrade to Pro,,hi,new,
,Upgrade Now,,hi,unchanged,
,The Templatespare plugin should be updated to the latest version,,hi,unchanged,
,"Import a Starter Site, Personalize, and Live it in 3 Easy Steps!",,hi,unchanged,
,Blockspare plugin version should be more than %s.,,hi,unchanged,
,"One-click Demo Import, Block Editor Ready, No Code Required! Built with Blockspare.",,hi,new,
,Elespare plugin version should be more than %s.,,hi,unchanged,
,"One-click Import, Header/Footer Builder, Multilingual Support! Powered by Elespare.",,hi,new,
,Are you sure you want to install this plugin?,,hi,unchanged,
,Install Now,,hi,unchanged,
,Activate,,hi,unchanged,
,Activated,,hi,unchanged,
,Get Starter Sites,,hi,unchanged,
,Get Started,,hi,unchanged,
,"The ""Get Started"" action will install/activate the Templatespare and Blockspare plugins for Starter Sites and Templates.",,hi,unchanged,
,By,,hi,unchanged,
,More Details,,hi,unchanged,
,"👋 Welcome, and Thank You!",,hi,new,
,"%s is now active. We're here to help you turn your ideas into a beautiful, professional website — quickly and confidently.",,hi,new,
,🚀 Start With One Click,,hi,new,
,"Choose from 100+ starter sites designed for blogs, magazines, businesses & more.
      Setup is simple — no coding required.",,hi,new,
,View Demos,,hi,unchanged,
,Theme dashboard,,hi,unchanged,
,🤝 We're Here for You,,hi,new,
,Whether you're just starting or customizing your site.,,hi,new,
,Documentation,,hi,unchanged,
,Video Tutorials,,hi,new,
,Support,,hi,unchanged,
,⭐ Rate This Theme,,hi,new,
,"Sorry, you are not allowed to install plugins on this site.",,hi,unchanged,
,"Error - unable to verify nonce, please try again.",,hi,unchanged,
,"Sorry, you are not allowed to activate plugins on this site.",,hi,unchanged,
,One thought on &ldquo;%1$s&rdquo;,,hi,unchanged,
comments title,%1$s thought on &ldquo;%2$s&rdquo;,%1$s thoughts on &ldquo;%2$s&rdquo;,hi,unchanged,
comments title,%1$s thought on &ldquo;%2$s&rdquo;,%1$s thoughts on &ldquo;%2$s&rdquo;,hi,unchanged,
,Comments are closed.,,hi,unchanged,
,%1$s by %2$s.,,hi,unchanged,
,Primary Menu,,hi,unchanged,
,Social Menu,,hi,unchanged,
,Footer Menu,,hi,unchanged,
,Skip to content,,hi,unchanged,
,Open search form,,hi,unchanged,
,"Click the setting <span class=""dashicons dashicons-admin-generic""></span> on each element to customize its settings.",,hi,unchanged,
,Hide builder panel,,hi,new,
,Hide Builder,,hi,new,
,Device view controls,,hi,new,
,Choose an Element,,hi,unchanged,
,Close choose element modal,,hi,new,
,Footer Layout,,hi,unchanged,
,Create dynamic header effortlessly with drag-and-drop builder.,,hi,unchanged,
,Header,,hi,new,
,Create dynamic footer effortlessly with drag-and-drop builder.,,hi,unchanged,
,Footer,,hi,unchanged,
,Enable %s Builder,,hi,new,
,Add Element,,hi,unchanged,
,Remove Element,,hi,unchanged,
,Configure Element,,hi,unchanged,
,Desktop,,hi,unchanged,
,Element Settings,,hi,unchanged,
,close Off-Canvas Navigation,,hi,unchanged,
,Site & Logo,,hi,unchanged,
,Site Identity,,hi,unchanged,
,You can change Site Identity from %s.,,hi,new,
,Promotion,,hi,unchanged,
,Off Canvas,,hi,unchanged,
,Off Canvas Widget Area,,hi,unchanged,
,This widget area is used in the mobile off-canvas panel. %s,,hi,new,
,Manage widgets,,hi,new,
,Primary menu,,hi,unchanged,
,Select Menu,,hi,unchanged,
,You can change Menu from menu panel. %s,,hi,new,
,Manage menu,,hi,new,
,Date,,hi,unchanged,
,Choose date format,,hi,unchanged,
,You can change date from general settings (Settings > General > Date Format). %s,,hi,new,
,Manage Date,,hi,new,
,Top Navigation,,hi,unchanged,
,pro,,hi,new,
,Site Mode,,hi,unchanged,
,Custom HTML,,hi,unchanged,
,HTML Content,,hi,unchanged,
,Search,,hi,unchanged,
,Searc Form,,hi,unchanged,
,Custom Link,,hi,unchanged,
,Custom link,,hi,unchanged,
,live,,hi,unchanged,
,Widget 1,,hi,unchanged,
,Select Widget,,hi,unchanged,
,Widget 2,,hi,unchanged,
,Widget 3,,hi,unchanged,
,Navigation,,hi,unchanged,
,Pro,,hi,new,
,Copyright,,hi,unchanged,
,Add widget to display . %s,,hi,new,
,Beta,,hi,new,
,No menu assigned,,hi,unchanged,
,-- Select --,,hi,unchanged,
,Live,,hi,unchanged,
,Popular Tags,,hi,unchanged,
,Exclusive,,hi,unchanged,
,Prime News,,hi,unchanged,
,Related Stories,,hi,unchanged,
,Youtube video Section,,hi,unchanged,
,Featured Videos,,hi,unchanged,
,Express Posts Section,,hi,unchanged,
,Express Posts 1,,hi,unchanged,
,Express Posts 2,,hi,unchanged,
,Posts List Section,,hi,unchanged,
,Posts List %d,,hi,new,
,Posts Carousel,,hi,unchanged,
,Main News,,hi,unchanged,
,Latest,,hi,unchanged,
,Popular,,hi,unchanged,
,Trending,,hi,unchanged,
,Trending Now,,hi,unchanged,
,Update,,hi,unchanged,
,Editor's Picks,,hi,unchanged,
,Trending Story,,hi,unchanged,
,Featured Posts,,hi,unchanged,
,Featured Categories,,hi,unchanged,
,Featured Pages,,hi,unchanged,
,Custom Options,,hi,unchanged,
,Post list Section Title %d,,hi,unchanged,
,View More,,hi,unchanged,
,Read More,,hi,unchanged,
,Subscribe To  Our Newsletter,,hi,unchanged,
,You may have missed,,hi,unchanged,
,Copyright &copy; All rights reserved.,,hi,new,unchanged_like
,Body Background Color,,hi,unchanged,
,Site Title Size,,hi,unchanged,
,Uppercase Site Title and Tagline,,hi,unchanged,
,Site Title/Tagline Color,,hi,unchanged,
,Header Image Mode,,hi,unchanged,
,Image visibility may vary as per the mode,,hi,unchanged,
,Above Site Title,,hi,unchanged,
,Set as Background,,hi,unchanged,
,Show Full Image (Background),,hi,unchanged,
,Disable Image Tint/Overlay,,hi,unchanged,
,MoreNews Pro,,hi,unchanged,
,Site Color Mode,,hi,unchanged,
,Light,,hi,unchanged,
,Dark,,hi,unchanged,
,Primary Color Section ,,hi,unchanged,
,Body Background Color (Dark Mode) will be applied for this mode.,,hi,unchanged,
,Body Background Color (Dark Mode),,hi,unchanged,
,Secondary Color Section ,,hi,unchanged,
,Secondary Color,,hi,unchanged,
,Fonts & Typography,,hi,unchanged,
,Font Family Section,,hi,unchanged,
,Global Fonts Family,,hi,unchanged,
,Google Fonts,,hi,unchanged,
,System Fonts,,hi,unchanged,
,Site Title Font,,hi,unchanged,
,Primary Font,,hi,unchanged,
,Secondary Font,,hi,unchanged,
,Main Banner Options,,hi,unchanged,
,Main Banner,,hi,unchanged,
,Enable Main Banner Section,,hi,unchanged,
,Main Banner Background Image,,hi,unchanged,
,Recommended Size %1$s px X %2$s px,,hi,unchanged,
,Select Main Banner Layout,,hi,unchanged,
,"Slider, Trending and Tabs",,hi,unchanged,
,"Slider, Editors Picks and Tabs",,hi,new,
,Slider and Editors Picks,,hi,new,
,Slider and Tabs,,hi,new,
,Select Main Banner Order,,hi,unchanged,
,Order 1,,hi,unchanged,
,Order 2,,hi,unchanged,
,Order 3,,hi,unchanged,
,Main News Section ,,hi,unchanged,
,Section Title ,,hi,unchanged,
,Filter Posts By,,hi,unchanged,
,Category,,hi,unchanged,
,Tag,,hi,unchanged,
,Select Category,,hi,unchanged,
,Select category to be shown on main slider section,,hi,unchanged,
,Select Tag,,hi,unchanged,
,Select tag to be shown on main slider section,,hi,unchanged,
,Editor's Picks Section,,hi,unchanged,
,Select,,hi,unchanged,
,Trending Section,,hi,unchanged,
,Comment Count,,hi,unchanged,
,Latest Section,,hi,unchanged,
,Popular Section,,hi,unchanged,
,Update Section,,hi,new,
,Enable Trending Tags,,hi,unchanged,
,Breaking News,,hi,unchanged,
,Enable Flash News,,hi,unchanged,
,Flash Posts Category,,hi,unchanged,
,Select category to be shown on trending posts ,,hi,unchanged,
,Front-page Options,,hi,unchanged,
,Enable Featured Post Section,,hi,unchanged,
,Select ,,hi,unchanged,
,Select category to be shown on featured section ,,hi,unchanged,
,Posts List,,hi,unchanged,
,Enable Post List Section,,hi,unchanged,
,Section %d,,hi,unchanged,
,Section Title,,hi,unchanged,
,Front-page Layout Settings,,hi,unchanged,
,Front-page Content Display,,hi,unchanged,
,Select frontpage content display,,hi,unchanged,
,Front-page Widgets,,hi,unchanged,
,Page Contents & Front-page Widgets,,hi,unchanged,
,Front-page Content Alignment,,hi,unchanged,
,Select frontpage content alignment,,hi,unchanged,
,Home Content - Home Sidebar,,hi,unchanged,
,Home Sidebar - Home Content,,hi,unchanged,
,Only Home Content,,hi,unchanged,
,Header Options,,hi,unchanged,
,Header Settings,,hi,unchanged,
,Site Mode Switch,,hi,unchanged,
,Enable,,hi,unchanged,
,Disable,,hi,unchanged,
,Disable Sticky Header,,hi,unchanged,
,Sticky header works only with builder at bottom.,,hi,new,
,Top Header Section,,hi,unchanged,
,Show Top Header,,hi,unchanged,
,Header Advertisement,,hi,unchanged,
,Header Section Advertisement,,hi,unchanged,
,URL Link,,hi,unchanged,
,Theme Options,,hi,unchanged,
,Breadcrumb Options,,hi,unchanged,
,Show breadcrumbs,,hi,unchanged,
,Select Breadcrumbs,,hi,unchanged,
,Please ensure that you have enabled the plugin's breadcrumbs before choosing other than Default,,hi,unchanged,
,Default,,hi,unchanged,
,Yoast SEO,,hi,unchanged,
,Rank Math,,hi,unchanged,
,NavXT,,hi,unchanged,unchanged_like
,Global Settings,,hi,unchanged,
,Enable Preloader,,hi,unchanged,
,Disable Emoji Script,,hi,unchanged,
,GDPR friendly & better performance,,hi,unchanged,
,Global Content Alignment,,hi,unchanged,
,Content - Primary sidebar,,hi,unchanged,
,Primary sidebar - Content,,hi,unchanged,
,Full width content,,hi,unchanged,
,Also Show Content Image in Archive,,hi,unchanged,
,If there is no Post Featured image set,,hi,unchanged,
,Enable ,,hi,unchanged,
,Image Lazy Loading,,hi,unchanged,
,Set for better performance,,hi,unchanged,
,Image Async Decoding,,hi,unchanged,
,Set to enhance rendering speed,,hi,unchanged,
,Scroll to Top Position,,hi,unchanged,
,Right,,hi,unchanged,
,Left,,hi,unchanged,
,Categories Settings,,hi,unchanged,
,Post Categories,,hi,unchanged,
,Show,,hi,unchanged,
,Hide,,hi,unchanged,
,Categories to be displayed,,hi,unchanged,
,Show All,,hi,unchanged,
,Top One Category,,hi,unchanged,
,Number of Categories,,hi,unchanged,
,Author and Date Settings,,hi,unchanged,
,Author Icon,,hi,new,
,Show Gravatar,,hi,unchanged,
,Show Icon,,hi,unchanged,
,None,,hi,unchanged,
,Date Format,,hi,unchanged,
,WordPress Default Date Format,,hi,unchanged,
,Ago Date Format,,hi,unchanged,
,Minutes Read Count,,hi,unchanged,
,Excerpt Settings,,hi,unchanged,
,Global Excerpt Read More,,hi,unchanged,
,Primary Menu Section,,hi,new,
,Show Primary Menu Description,,hi,new,
,Enable Custom Menu Section,,hi,unchanged,
,Title,,hi,unchanged,
,Link,,hi,unchanged,
,Single Post,,hi,unchanged,
,Show Featured Image,,hi,unchanged,
,Featured Image Width,,hi,unchanged,
,Full - Default,,hi,unchanged,
,Original,,hi,unchanged,
,Single Content Mode,,hi,unchanged,
,Spacious,,hi,unchanged,
,Social Share Option,,hi,new,
,Social Share from Jetpack plugin,,hi,new,
,Top - Default,,hi,new,
,Bottom,,hi,unchanged,
,Show Author Bio under Content,,hi,unchanged,
,Show Tags under Content,,hi,unchanged,
,Related Posts Settings,,hi,unchanged,
,Enable Related Posts,,hi,unchanged,
,Archive Settings,,hi,unchanged,
,Disable Main Banner on Blog,,hi,unchanged,
,Archive layout,,hi,unchanged,
,Select layout for archive,,hi,unchanged,
,List,,hi,unchanged,
,Full,,hi,unchanged,
