msgctxt,msgid,msgid_plural,target_lang,status,issues
,Newsever,,nl,unchanged,
,https://afthemes.com/products/newsever/,,nl,unchanged,unchanged_like
,"Newsever is an ideal WordPress theme for Best Responsive News and Magazine Site. The theme comes with Default, Dark and Light color mode, which enables you to present articles and blog posts with the trending appearance. You can build your website as you want and preview the changes using live customizer options and custom widgets to create a great news website. It is compatible with the Gutenberg WordPress blocks and RTL along with the plugin WooCommerce that lets you incorporate an online shop with our newspaper design. The theme is great for blogging and ideal for a news site, newspaper, magazine, publishing or review site, as it has many useful features that involve creating an amazing looking newsportal. The theme is well designed to rank your website in the top of the search engines and users can receive outstanding support from the team if any problems occur when using the theme. There are number of demos available in this theme so choose the one you like and start to build a website. See our demos: https://afthemes.com/newsever-an-ideal-wordpress-theme-for-best-responsive-news-and-magazine-sites/",,nl,unchanged,
,AF themes,,nl,unchanged,
,https://www.afthemes.com/,,nl,unchanged,unchanged_like
,Oops! That page can&rsquo;t be found.,,nl,unchanged,
,It looks like nothing was found at this location. Maybe try one of the links below or a search?,,nl,unchanged,
,Dashboard,,nl,new,unchanged_like
,Customize,,nl,unchanged,
,Starter Sites,,nl,unchanged,
,Elementor Kits,,nl,unchanged,
,Block Patterns,,nl,unchanged,
,Upgrade to Pro,,nl,unchanged,
,Upgrade Now,,nl,new,
,The Templatespare plugin should be updated to the latest version,,nl,unchanged,
,"Import a Starter Site, Personalize, and Live it in 3 Easy Steps!",,nl,unchanged,
,Blockspare plugin version should be more than %s.,,nl,unchanged,
,"One-click Demo Import, Block Editor Ready, No Code Required! Built with Blockspare.",,nl,unchanged,
,Elespare plugin version should be more than %s.,,nl,unchanged,
,"One-click Import, Header/Footer Builder, Multilingual Support! Powered by Elespare.",,nl,unchanged,
,Are you sure you want to install this plugin?,,nl,unchanged,
,Install Now,,nl,unchanged,
,Activate,,nl,unchanged,
,Activated,,nl,unchanged,
,Get Starter Sites,,nl,unchanged,
,Get Started,,nl,unchanged,
,"The ""Get Started"" action will install/activate the Templatespare and Blockspare plugins for Starter Sites and Templates.",,nl,unchanged,
,By,,nl,unchanged,
,More Details,,nl,unchanged,
,"👋 Welcome, and Thank You!",,nl,new,
,"%s is now active. We're here to help you turn your ideas into a beautiful, professional website — quickly and confidently.",,nl,new,
,🚀 Start With One Click,,nl,new,
,"Choose from 100+ starter sites designed for blogs, magazines, businesses & more.
      Setup is simple — no coding required.",,nl,new,
,View Demos,,nl,new,
,Theme dashboard,,nl,unchanged,
,🤝 We're Here for You,,nl,new,
,Whether you're just starting or customizing your site.,,nl,new,
,Documentation,,nl,unchanged,
,Videos,,nl,unchanged,
,Support,,nl,unchanged,
,Rate This Theme,,nl,unchanged,
,"Sorry, you are not allowed to install plugins on this site.",,nl,unchanged,
,"Error - unable to verify nonce, please try again.",,nl,unchanged,
,"Sorry, you are not allowed to activate plugins on this site.",,nl,unchanged,
,One thought on &ldquo;%1$s&rdquo;,,nl,unchanged,
comments title,%1$s thought on &ldquo;%2$s&rdquo;,%1$s thoughts on &ldquo;%2$s&rdquo;,nl,unchanged,
comments title,%1$s thought on &ldquo;%2$s&rdquo;,%1$s thoughts on &ldquo;%2$s&rdquo;,nl,unchanged,
,Comments are closed.,,nl,unchanged,
,%1$s by %2$s.,,nl,unchanged,
,Primary Menu,,nl,unchanged,
,Social Menu,,nl,unchanged,
,Footer Menu,,nl,unchanged,
,Secondary Menu,,nl,unchanged,
Roboto font: on or off,on,,nl,unchanged,
Barlow font: on or off,on,,nl,unchanged,
Barlow Semi Condensed font: on or off,on,,nl,unchanged,
,Skip to content,,nl,unchanged,
,All,,nl,unchanged,
,Popular Tags,,nl,unchanged,
,Exclusive,,nl,unchanged,
,Breaking News,,nl,unchanged,
,Main News,,nl,unchanged,
,Trending,,nl,unchanged,
,Featured Story,,nl,unchanged,
,Editorials,,nl,unchanged,
,Read more,,nl,unchanged,
,More Stories,,nl,unchanged,
,You may have missed,,nl,unchanged,
,Copyright &copy; All rights reserved.,,nl,unchanged,unchanged_like
,Watch Online,,nl,unchanged,
,Site Title Size,,nl,unchanged,
,Site Title/Tagline Color,,nl,unchanged,
,Disable Image Tint/Overlay,,nl,unchanged,
,Background Color will not be applicable for this mode.,,nl,unchanged,
,Site Color Mode,,nl,unchanged,
,Default,,nl,unchanged,
,Dark,,nl,unchanged,
,Light,,nl,unchanged,
,Newsever Pro,,nl,unchanged,
,Upgrade now,,nl,unchanged,
,Frontpage Options,,nl,unchanged,
,Banner Advertisement,,nl,unchanged,
,Banner Section Advertisement,,nl,unchanged,
,Recommended Size %1$s px X %2$s px,,nl,unchanged,
,URL Link,,nl,unchanged,
,Exclusive Posts,,nl,unchanged,
,Enable Exclusive Posts Section,,nl,unchanged,
,Exclusive News Title,,nl,unchanged,
,Exclusive News Subtitle,,nl,unchanged,
,Exclusive Posts Category,,nl,unchanged,
,Posts to be shown on trending posts ,,nl,unchanged,
,Main Banner Section,,nl,unchanged,
,Enable Main Banner Section,,nl,unchanged,
,Main Slider Section ,,nl,unchanged,
,Section Title,,nl,unchanged,
,Category,,nl,unchanged,
,Posts to be shown on Main News Slider,,nl,unchanged,
,Editorials Section ,,nl,unchanged,
,Posts to be shown on Editorials slider section,,nl,unchanged,
,Trending Section ,,nl,unchanged,
,Select Trending Carousel Position,,nl,unchanged,
,Left,,nl,unchanged,
,Right,,nl,unchanged,
,Posts to be shown on Trending slider section,,nl,unchanged,
,Disable Main Banner section on Static Posts page,,nl,unchanged,
,Frontpage Layout Settings,,nl,unchanged,
,Frontpage Content alignment,,nl,unchanged,
,Select frontpage content alignment,,nl,unchanged,
,Default - Frontpage Layout 1 ,,nl,unchanged,
,Frontpage Layout 2,,nl,unchanged,
,Frontpage Layout 3,,nl,unchanged,
,Make Frontpage Sidebar Sticky,,nl,unchanged,
,Theme Options,,nl,unchanged,
,Preloader Options,,nl,unchanged,
,Enable preloader,,nl,unchanged,
,Global Settings,,nl,unchanged,
,Global Content Alignment,,nl,unchanged,
,Content - Primary sidebar,,nl,unchanged,
,Primary sidebar - Content,,nl,unchanged,
,Full width content,,nl,unchanged,
,Post Categories,,nl,unchanged,
,Show,,nl,unchanged,unchanged_like
,Hide,,nl,unchanged,
,Excerpt Mode,,nl,unchanged,
,Trimmed Content,,nl,unchanged,
,Default Excerpt,,nl,unchanged,
,Breadcrumb Options,,nl,unchanged,
,Show breadcrumbs,,nl,unchanged,
,Select Breadcrumbs,,nl,unchanged,
,Please ensure that you have enabled the plugin's breadcrumbs before choosing other than Default,,nl,unchanged,
,Yoast SEO,,nl,unchanged,unchanged_like
,Rank Math,,nl,unchanged,
,NavXT,,nl,unchanged,unchanged_like
,Header Options,,nl,unchanged,
,Enable Sticky Header,,nl,unchanged,
,Home Menu Icon,,nl,unchanged,
,Custom Link Section ,,nl,unchanged,
,Enable Watch Online Section,,nl,unchanged,
,Title,,nl,unchanged,
,Button Link,,nl,unchanged,
,Comment Count,,nl,unchanged,
,Minutes Read Count,,nl,unchanged,
,Date and Author,,nl,unchanged,
,Show Date and Author,,nl,unchanged,
,Hide All,,nl,unchanged,
,Single Post,,nl,unchanged,
