msgctxt,msgid,msgid_plural,target_lang,status,issues
,Newsever,,pl,new,unchanged_like
,https://afthemes.com/products/newsever/,,pl,new,unchanged_like
,"Newsever is an ideal WordPress theme for Best Responsive News and Magazine Site. The theme comes with Default, Dark and Light color mode, which enables you to present articles and blog posts with the trending appearance. You can build your website as you want and preview the changes using live customizer options and custom widgets to create a great news website. It is compatible with the Gutenberg WordPress blocks and RTL along with the plugin WooCommerce that lets you incorporate an online shop with our newspaper design. The theme is great for blogging and ideal for a news site, newspaper, magazine, publishing or review site, as it has many useful features that involve creating an amazing looking newsportal. The theme is well designed to rank your website in the top of the search engines and users can receive outstanding support from the team if any problems occur when using the theme. There are number of demos available in this theme so choose the one you like and start to build a website. See our demos: https://afthemes.com/newsever-an-ideal-wordpress-theme-for-best-responsive-news-and-magazine-sites/",,pl,new,
,AF themes,,pl,new,
,https://www.afthemes.com/,,pl,new,unchanged_like
,Oops! That page can&rsquo;t be found.,,pl,new,
,It looks like nothing was found at this location. Maybe try one of the links below or a search?,,pl,new,
,%s,,pl,new,unchanged_like
,Starter Sites,,pl,new,
,Block Patterns,,pl,new,
,Elementor Kits,,pl,new,
,Customize,,pl,new,
,Settings,,pl,new,
,Upgrade,,pl,new,
,The Templatespare plugin should be updated to the latest version,,pl,new,
,"Import a Starter Site, Personalize, and Live it in 3 Easy Steps!",,pl,new,
,Blockspare plugin version should be more than %s.,,pl,new,
,"One-click Demo Import, Block Editor Ready, No Code Required! Built with Blockspare.",,pl,new,
,Elespare plugin version should be more than %s.,,pl,new,
,"One-click Import, Header/Footer Builder, Multilingual Support! Powered by Elespare.",,pl,new,
,Are you sure you want to install this plugin?,,pl,new,
,Install Now,,pl,new,
,Activate,,pl,new,
,Activated,,pl,new,
,Get Starter Sites,,pl,new,
,Get Started,,pl,new,
,"The ""Get Started"" action will install/activate the Templatespare and Blockspare plugins for Starter Sites and Templates.",,pl,new,
,By,,pl,new,
,More Details,,pl,new,
,Howdy!,,pl,new,
,%s is now installed and ready to use. We've assembled some links to get you started.,,pl,new,
,Explore Our Pre-Built Starter Websites!,,pl,new,
,"Let your imagination soar! Designed with User-Friendly features, incorporating the Latest Trends and SEO-Friendly Markups. We genuinely appreciate you choosing our theme!",,pl,new,
,Demos/product,,pl,new,
,Theme dashboard,,pl,new,
,Documentation,,pl,new,
,Please check our full documentation for detailed information on how to setup and customize the theme.,,pl,new,
,Docs,,pl,new,
,Videos,,pl,new,
,Blog,,pl,new,
,Rate This Theme,,pl,new,
,"Sorry, you are not allowed to install plugins on this site.",,pl,new,
,"Error - unable to verify nonce, please try again.",,pl,new,
,"Sorry, you are not allowed to activate plugins on this site.",,pl,new,
,One thought on &ldquo;%1$s&rdquo;,,pl,new,
comments title,%1$s thought on &ldquo;%2$s&rdquo;,%1$s thoughts on &ldquo;%2$s&rdquo;,pl,new,
comments title,%1$s thought on &ldquo;%2$s&rdquo;,%1$s thoughts on &ldquo;%2$s&rdquo;,pl,new,
comments title,%1$s thought on &ldquo;%2$s&rdquo;,%1$s thoughts on &ldquo;%2$s&rdquo;,pl,new,
,Comments are closed.,,pl,new,
,%1$s by %2$s.,,pl,new,
,Primary Menu,,pl,new,
,Social Menu,,pl,new,
,Footer Menu,,pl,new,
,Secondary Menu,,pl,new,
Roboto font: on or off,on,,pl,new,
Barlow font: on or off,on,,pl,new,
Barlow Semi Condensed font: on or off,on,,pl,new,
,Skip to content,,pl,new,
,All,,pl,new,
,Popular Tags,,pl,new,
,Exclusive,,pl,new,
,Breaking News,,pl,new,
,Main News,,pl,new,
,Trending,,pl,new,
,Featured Story,,pl,new,
,Editorials,,pl,new,
,Read more,,pl,new,
,More Stories,,pl,new,
,You may have missed,,pl,new,
,Copyright &copy; All rights reserved.,,pl,new,unchanged_like
,Watch Online,,pl,new,
,Site Title Size,,pl,new,
,Site Title/Tagline Color,,pl,new,
,Disable Image Tint/Overlay,,pl,new,
,Background Color will not be applicable for this mode.,,pl,new,
,Site Color Mode,,pl,new,
,Default,,pl,new,
,Dark,,pl,new,
,Light,,pl,new,
,Newsever Pro,,pl,new,unchanged_like
,Upgrade now,,pl,new,
,Frontpage Options,,pl,new,
,Banner Advertisement,,pl,new,
,Banner Section Advertisement,,pl,new,
,Recommended Size %1$s px X %2$s px,,pl,new,
,URL Link,,pl,new,
,Exclusive Posts,,pl,new,
,Enable Exclusive Posts Section,,pl,new,
,Exclusive News Title,,pl,new,
,Exclusive News Subtitle,,pl,new,
,Exclusive Posts Category,,pl,new,
,Posts to be shown on trending posts ,,pl,new,
,Main Banner Section,,pl,new,
,Enable Main Banner Section,,pl,new,
,Main Slider Section ,,pl,new,
,Section Title,,pl,new,
,Category,,pl,new,
,Posts to be shown on Main News Slider,,pl,new,
,Editorials Section ,,pl,new,
,Posts to be shown on Editorials slider section,,pl,new,
,Trending Section ,,pl,new,
,Select Trending Carousel Position,,pl,new,
,Left,,pl,new,
,Right,,pl,new,
,Posts to be shown on Trending slider section,,pl,new,
,Disable Main Banner section on Static Posts page,,pl,new,
,Frontpage Layout Settings,,pl,new,
,Frontpage Content alignment,,pl,new,
,Select frontpage content alignment,,pl,new,
,Default - Frontpage Layout 1 ,,pl,new,
,Frontpage Layout 2,,pl,new,
,Frontpage Layout 3,,pl,new,
,Make Frontpage Sidebar Sticky,,pl,new,
,Theme Options,,pl,new,
,Preloader Options,,pl,new,
,Enable preloader,,pl,new,
,Global Settings,,pl,new,
,Global Content Alignment,,pl,new,
,Content - Primary sidebar,,pl,new,
,Primary sidebar - Content,,pl,new,
,Full width content,,pl,new,
,Post Categories,,pl,new,
,Show,,pl,new,
,Hide,,pl,new,
,Excerpt Mode,,pl,new,
,Trimmed Content,,pl,new,
,Default Excerpt,,pl,new,
,Breadcrumb Options,,pl,new,
,Show breadcrumbs,,pl,new,
,Select Breadcrumbs,,pl,new,
,Please ensure that you have enabled the plugin's breadcrumbs before choosing other than Default,,pl,new,
,Yoast SEO,,pl,new,unchanged_like
,Rank Math,,pl,new,
,NavXT,,pl,new,unchanged_like
,Header Options,,pl,new,
,Enable Sticky Header,,pl,new,
,Home Menu Icon,,pl,new,
,Custom Link Section ,,pl,new,
,Enable Watch Online Section,,pl,new,
,Title,,pl,new,
,Button Link,,pl,new,
,Comment Count,,pl,new,
,Minutes Read Count,,pl,new,
,Date and Author,,pl,new,
,Show Date and Author,,pl,new,
,Hide All,,pl,new,
,Single Post,,pl,new,
,Show Featured Image,,pl,new,
,Related Posts,,pl,new,
,Archive Settings,,pl,new,
,Image alignment,,pl,new,
,Select image alignment for archive,,pl,new,
,Alternate,,pl,new,
,You May Have Missed,,pl,new,
,Posts Section Title,,pl,new,
,Footer,,pl,new,
,Copyright Text,,pl,new,
,Pages:,,pl,new,
,Advertisemennt,,pl,new,
,Home,,pl,new,
,Menu,,pl,new,unchanged_like
,Layout Options,,pl,new,
,Set as global layout,,pl,new,
,Content - Primary Sidebar,,pl,new,
,Primary Sidebar - Content,,pl,new,
,Category Color 1,,pl,new,
,Category Color 2,,pl,new,
,Category Color 3,,pl,new,
,Color Class,,pl,new,
,"Select category color class. You can set appropriate categories color on ""Categories"" section of the theme customizer.",,pl,new,
,AF Companion,,pl,new,
,Templatespare,,pl,new,
,Elespare,,pl,new,unchanged_like
,Blockspare,,pl,new,
,Latest Posts Block,,pl,new,
,Magic Content Box,,pl,new,
,WP Post Author,,pl,new,
,Free Live Chat using 3CX,,pl,new,
,"Howdy, %1$s! We've noticed that you've been using %2$s for some time now, we hope you are loving it! We would appreciate it if you can %3$sgive us a 5 star rating on WordPress.org%4$s! We'll continue to develop exciting new features for free in the future by sharing the love!",,pl,new,
,Sure thing,,pl,new,
,Remind me later,,pl,new,
