msgctxt,msgid,msgid_plural,target_lang,status,issues
,Newsium,,es,unchanged,
,https://afthemes.com/products/newsium/,,es,unchanged,unchanged_like
,"Newsium is a WordPress theme for the Best Responsive News Magazine that allows you to easily write articles and blog posts. Using live customizer options and custom widgets to create a great news website, you can design your website as you like and preview the changes. It is compatible with the Gutenberg and RTL along with WooCommerce plugin which helps you to integrate an online business with our newspaper template. As it includes many useful features that require to build an awesome looking newsportal, the theme is perfect for blogging and excellent for a news, newspaper, magazine, publishing or review site. The theme is well optimized that helps to rank your website in the top of search engines and users will get an outstanding support from the team if there will be any difficulties while using the theme. There are number of demos available in this theme so choose the one you like and start to build a website.  See our demos: https://afthemes.com/products/newsium/",,es,unchanged,
,AF themes,,es,unchanged,
,https://www.afthemes.com/,,es,unchanged,unchanged_like
,Oops! That page can&rsquo;t be found.,,es,unchanged,
,It looks like nothing was found at this location. Maybe try one of the links below or a search?,,es,unchanged,
,Dashboard,,es,new,
,Customize,,es,unchanged,
,Starter Sites,,es,unchanged,
,Elementor Kits,,es,unchanged,
,Block Patterns,,es,unchanged,
,Upgrade to Pro,,es,unchanged,
,Upgrade Now,,es,unchanged,
,The Templatespare plugin should be updated to the latest version,,es,unchanged,
,"Import a Starter Site, Personalize, and Live it in 3 Easy Steps!",,es,unchanged,
,Blockspare plugin version should be more than %s.,,es,unchanged,
,"One-click Demo Import, Block Editor Ready, No Code Required! Built with Blockspare.",,es,unchanged,
,Elespare plugin version should be more than %s.,,es,unchanged,
,"One-click Import, Header/Footer Builder, Multilingual Support! Powered by Elespare.",,es,unchanged,
,Are you sure you want to install this plugin?,,es,unchanged,
,Install Now,,es,unchanged,
,Activate,,es,unchanged,
,Activated,,es,unchanged,
,Get Starter Sites,,es,unchanged,
,Get Started,,es,unchanged,
,"The ""Get Started"" action will install/activate the Templatespare and Blockspare plugins for Starter Sites and Templates.",,es,unchanged,
,By,,es,unchanged,
,More Details,,es,unchanged,
,"👋 Welcome, and Thank You!",,es,new,
,"%s is now active. We're here to help you turn your ideas into a beautiful, professional website — quickly and confidently.",,es,new,
,🚀 Start With One Click,,es,new,
,"Choose from 100+ starter sites designed for blogs, magazines, businesses & more.
      Setup is simple — no coding required.",,es,new,
,View Demos,,es,new,
,Theme dashboard,,es,unchanged,
,🤝 We're Here for You,,es,new,
,Whether you're just starting or customizing your site.,,es,new,
,Documentation,,es,unchanged,
,Videos,,es,unchanged,
,Support,,es,unchanged,
,⭐ Rate This Theme,,es,new,
,"Sorry, you are not allowed to install plugins on this site.",,es,unchanged,
,"Error - unable to verify nonce, please try again.",,es,unchanged,
,"Sorry, you are not allowed to activate plugins on this site.",,es,unchanged,
,One thought on &ldquo;%1$s&rdquo;,,es,unchanged,
comments title,%1$s thought on &ldquo;%2$s&rdquo;,%1$s thoughts on &ldquo;%2$s&rdquo;,es,unchanged,
comments title,%1$s thought on &ldquo;%2$s&rdquo;,%1$s thoughts on &ldquo;%2$s&rdquo;,es,unchanged,
,Comments are closed.,,es,unchanged,
,%1$s by %2$s.,,es,unchanged,
,Primary Menu,,es,unchanged,
,Social Menu,,es,unchanged,
,Footer Menu,,es,unchanged,
,Secondary Menu,,es,unchanged,
Roboto font: on or off,on,,es,unchanged,
Lato font: on or off,on,,es,unchanged,
,Skip to content,,es,unchanged,
,All,,es,unchanged,
,Popular Tags,,es,unchanged,
,Exclusive,,es,unchanged,
,Breaking News,,es,unchanged,
,Editor's Picks,,es,unchanged,
,Trending Story,,es,unchanged,
,Featured Story,,es,unchanged,
,Editor's Pick,,es,unchanged,
,Read more,,es,unchanged,
,More Stories,,es,unchanged,
,Subscribe To  Our Newsletter,,es,unchanged,
,You may have missed,,es,unchanged,
,Copyright &copy; All rights reserved.,,es,unchanged,unchanged_like
,Watch Online,,es,unchanged,
,Site Title Size,,es,unchanged,
,Site Title/Tagline Color,,es,unchanged,
,Disable Image Tint/Overlay,,es,unchanged,
,Newsium Pro,,es,unchanged,
,Upgrade now,,es,unchanged,
,Frontpage Options,,es,unchanged,
,Banner Advertisement,,es,unchanged,
,Banner Section Advertisement,,es,unchanged,
,Recommended Size %1$s px X %2$s px,,es,unchanged,
,URL Link,,es,unchanged,
,Open in new tab,,es,unchanged,
,Show banner advertisement on,,es,unchanged,
,Select scope to display on banner advertisement section,,es,unchanged,
,Show on Homepage only,,es,unchanged,
,Show sitewide,,es,unchanged,
,Exclusive Posts,,es,unchanged,
,Enable Exclusive Posts Section,,es,unchanged,
,Exclusive News Title,,es,unchanged,
,Exclusive News Subtitle,,es,unchanged,
,Exclusive Posts Category,,es,unchanged,
,Posts to be shown on trending posts ,,es,unchanged,
,Main Banner Section,,es,unchanged,
,Banner Section ,,es,unchanged,
,Enable Main Banner Section,,es,unchanged,
,Select Carousel Column,,es,unchanged,
,Default - Two Column,,es,unchanged,
,Three Column,,es,unchanged,
,Category,,es,unchanged,
,Posts to be shown on main slider section,,es,unchanged,
,Trending Section ,,es,unchanged,
,Enable Trending Carousel Section,,es,unchanged,
,Select Trending Carousel Position,,es,unchanged,
,Left,,es,unchanged,
,Right,,es,unchanged,
,Disable Main Banner section on Static Posts page,,es,unchanged,
,Frontpage Layout Settings,,es,unchanged,
,Frontpage Content alignment,,es,unchanged,
,Select frontpage content alignment,,es,unchanged,
,Default - Frontpage Layout 1 ,,es,unchanged,
,Frontpage Layout 2,,es,unchanged,
,Frontpage Layout 3,,es,unchanged,
,Make Frontpage Sidebar Sticky,,es,unchanged,
,Theme Options,,es,unchanged,
,Preloader Options,,es,unchanged,
,Enable preloader,,es,unchanged,
,Breadcrumb Options,,es,unchanged,
,Show breadcrumbs,,es,unchanged,
,Select Breadcrumbs,,es,unchanged,
,Please ensure that you have enabled the plugin's breadcrumbs before choosing other than Default,,es,unchanged,
,Default,,es,unchanged,
,Yoast SEO,,es,unchanged,unchanged_like
,Rank Math,,es,unchanged,
,NavXT,,es,unchanged,unchanged_like
,Global Settings,,es,unchanged,
,Global Content Alignment,,es,unchanged,
,Content - Primary sidebar,,es,unchanged,
,Primary sidebar - Content,,es,unchanged,
,Full width content,,es,unchanged,
,Post Categories,,es,unchanged,
,Show,,es,unchanged,
,Hide,,es,unchanged,
,Widget Excerpt Mode,,es,unchanged,
,Trimmed Content,,es,unchanged,
,Default Excerpt,,es,unchanged,
,Header Options,,es,unchanged,
,Show date on top header,,es,unchanged,
,Show social menu on top header,,es,unchanged,
,Show Secondary menu,,es,unchanged,
,Enable Sticky Header,,es,unchanged,
,Home Menu Icon,,es,unchanged,
,Popular Tags Section ,,es,unchanged,
,Enable Popular Tags Section,,es,unchanged,
,Section Title,,es,unchanged,
,Custom Link Section ,,es,unchanged,
,Enable Watch Online Section,,es,unchanged,
,Title,,es,unchanged,
,Button Link,,es,unchanged,
,Sidebar Settings,,es,unchanged,
,Make Sidebar Sticky,,es,unchanged,
,Sidebar Sticky Position,,es,unchanged,
,Top,,es,unchanged,
,Bottom,,es,unchanged,
,Comment Count,,es,unchanged,
,Minutes Read Count,,es,unchanged,
,Date and Author,,es,unchanged,
,Show Date and Author,,es,unchanged,
,Show Date Only,,es,unchanged,
,Show Author Only,,es,unchanged,
,Hide All,,es,unchanged,
,Date Format,,es,unchanged,
,Date Format by Theme,,es,unchanged,
,WordPress Default Date Format,,es,unchanged,
,Single Post,,es,unchanged,
,Show on featured image,,es,unchanged,
,Related Posts,,es,unchanged,
,Show on single posts,,es,unchanged,
,Archive Settings,,es,unchanged,
,Archive layout,,es,unchanged,
,Select layout for archive,,es,unchanged,
,List,,es,unchanged,
,Grid,,es,unchanged,
,You May Have Missed,,es,unchanged,
,Show Latest Posts Section above Footer,,es,unchanged,
,Posts Section Title,,es,unchanged,
,Footer,,es,unchanged,
,Copyright Text,,es,unchanged,
,Pages:,,es,unchanged,
,%s,,es,unchanged,unchanged_like
,Layout Options,,es,unchanged,
,Set as global layout,,es,unchanged,
,Content - Primary Sidebar,,es,unchanged,
,Primary Sidebar - Content,,es,unchanged,
,Category Color 1,,es,unchanged,
,Category Color 2,,es,unchanged,
,Category Color 3,,es,unchanged,
,Color Class,,es,unchanged,
,"Select category color class. You can set appropriate categories color on ""Categories"" section of the theme customizer.",,es,unchanged,
,Templatespare,,es,unchanged,
