msgctxt,msgid,msgid_plural,target_lang,status,issues
,Newsium,,ne,unchanged,
,https://afthemes.com/products/newsium/,,ne,unchanged,unchanged_like
,"Newsium is a WordPress theme for the Best Responsive News Magazine that allows you to easily write articles and blog posts. Using live customizer options and custom widgets to create a great news website, you can design your website as you like and preview the changes. It is compatible with the Gutenberg and RTL along with WooCommerce plugin which helps you to integrate an online business with our newspaper template. As it includes many useful features that require to build an awesome looking newsportal, the theme is perfect for blogging and excellent for a news, newspaper, magazine, publishing or review site. The theme is well optimized that helps to rank your website in the top of search engines and users will get an outstanding support from the team if there will be any difficulties while using the theme. There are number of demos available in this theme so choose the one you like and start to build a website.  See our demos: https://afthemes.com/products/newsium/",,ne,unchanged,
,AF themes,,ne,unchanged,
,https://www.afthemes.com/,,ne,unchanged,unchanged_like
,Oops! That page can&rsquo;t be found.,,ne,unchanged,
,It looks like nothing was found at this location. Maybe try one of the links below or a search?,,ne,unchanged,
,Dashboard,,ne,new,
,Customize,,ne,unchanged,
,Starter Sites,,ne,unchanged,
,Elementor Kits,,ne,unchanged,
,Block Patterns,,ne,unchanged,
,Upgrade to Pro,,ne,unchanged,
,Upgrade Now,,ne,unchanged,
,The Templatespare plugin should be updated to the latest version,,ne,unchanged,
,"Import a Starter Site, Personalize, and Live it in 3 Easy Steps!",,ne,unchanged,
,Blockspare plugin version should be more than %s.,,ne,unchanged,
,"One-click Demo Import, Block Editor Ready, No Code Required! Built with Blockspare.",,ne,unchanged,
,Elespare plugin version should be more than %s.,,ne,unchanged,
,"One-click Import, Header/Footer Builder, Multilingual Support! Powered by Elespare.",,ne,unchanged,
,Are you sure you want to install this plugin?,,ne,unchanged,
,Install Now,,ne,unchanged,
,Activate,,ne,unchanged,
,Activated,,ne,unchanged,
,Get Starter Sites,,ne,unchanged,
,Get Started,,ne,unchanged,
,"The ""Get Started"" action will install/activate the Templatespare and Blockspare plugins for Starter Sites and Templates.",,ne,unchanged,
,By,,ne,unchanged,
,More Details,,ne,unchanged,
,"👋 Welcome, and Thank You!",,ne,new,
,"%s is now active. We're here to help you turn your ideas into a beautiful, professional website — quickly and confidently.",,ne,new,
,🚀 Start With One Click,,ne,new,
,"Choose from 100+ starter sites designed for blogs, magazines, businesses & more.
      Setup is simple — no coding required.",,ne,new,
,View Demos,,ne,new,
,Theme dashboard,,ne,unchanged,
,🤝 We're Here for You,,ne,new,
,Whether you're just starting or customizing your site.,,ne,new,
,Documentation,,ne,unchanged,
,Videos,,ne,unchanged,
,Support,,ne,unchanged,
,⭐ Rate This Theme,,ne,new,
,"Sorry, you are not allowed to install plugins on this site.",,ne,unchanged,
,"Error - unable to verify nonce, please try again.",,ne,unchanged,
,"Sorry, you are not allowed to activate plugins on this site.",,ne,unchanged,
,One thought on &ldquo;%1$s&rdquo;,,ne,unchanged,
comments title,%1$s thought on &ldquo;%2$s&rdquo;,%1$s thoughts on &ldquo;%2$s&rdquo;,ne,unchanged,
comments title,%1$s thought on &ldquo;%2$s&rdquo;,%1$s thoughts on &ldquo;%2$s&rdquo;,ne,unchanged,
,Comments are closed.,,ne,unchanged,
,%1$s by %2$s.,,ne,unchanged,
,Primary Menu,,ne,unchanged,
,Social Menu,,ne,unchanged,
,Footer Menu,,ne,unchanged,
,Secondary Menu,,ne,unchanged,
Roboto font: on or off,on,,ne,unchanged,
Lato font: on or off,on,,ne,unchanged,
,Skip to content,,ne,unchanged,
,All,,ne,unchanged,
,Popular Tags,,ne,unchanged,
,Exclusive,,ne,unchanged,
,Breaking News,,ne,unchanged,
,Editor's Picks,,ne,unchanged,
,Trending Story,,ne,unchanged,
,Featured Story,,ne,unchanged,
,Editor's Pick,,ne,unchanged,
,Read more,,ne,unchanged,
,More Stories,,ne,unchanged,
,Subscribe To  Our Newsletter,,ne,unchanged,
,You may have missed,,ne,unchanged,
,Copyright &copy; All rights reserved.,,ne,unchanged,unchanged_like
,Watch Online,,ne,unchanged,
,Site Title Size,,ne,unchanged,
,Site Title/Tagline Color,,ne,unchanged,
,Disable Image Tint/Overlay,,ne,unchanged,
,Newsium Pro,,ne,unchanged,
,Upgrade now,,ne,unchanged,
,Frontpage Options,,ne,unchanged,
,Banner Advertisement,,ne,unchanged,
,Banner Section Advertisement,,ne,unchanged,
,Recommended Size %1$s px X %2$s px,,ne,unchanged,
,URL Link,,ne,unchanged,
,Open in new tab,,ne,unchanged,
,Show banner advertisement on,,ne,unchanged,
,Select scope to display on banner advertisement section,,ne,unchanged,
,Show on Homepage only,,ne,unchanged,
,Show sitewide,,ne,unchanged,
,Exclusive Posts,,ne,unchanged,
,Enable Exclusive Posts Section,,ne,unchanged,
,Exclusive News Title,,ne,unchanged,
,Exclusive News Subtitle,,ne,unchanged,
,Exclusive Posts Category,,ne,unchanged,
,Posts to be shown on trending posts ,,ne,unchanged,
,Main Banner Section,,ne,unchanged,
,Banner Section ,,ne,unchanged,
,Enable Main Banner Section,,ne,unchanged,
,Select Carousel Column,,ne,unchanged,
,Default - Two Column,,ne,unchanged,
,Three Column,,ne,unchanged,
,Category,,ne,unchanged,
,Posts to be shown on main slider section,,ne,unchanged,
,Trending Section ,,ne,unchanged,
,Enable Trending Carousel Section,,ne,unchanged,
,Select Trending Carousel Position,,ne,unchanged,
,Left,,ne,unchanged,
,Right,,ne,unchanged,
,Disable Main Banner section on Static Posts page,,ne,unchanged,
,Frontpage Layout Settings,,ne,unchanged,
,Frontpage Content alignment,,ne,unchanged,
,Select frontpage content alignment,,ne,unchanged,
,Default - Frontpage Layout 1 ,,ne,unchanged,
,Frontpage Layout 2,,ne,unchanged,
,Frontpage Layout 3,,ne,unchanged,
,Make Frontpage Sidebar Sticky,,ne,unchanged,
,Theme Options,,ne,unchanged,
,Preloader Options,,ne,unchanged,
,Enable preloader,,ne,unchanged,
,Breadcrumb Options,,ne,unchanged,
,Show breadcrumbs,,ne,unchanged,
,Select Breadcrumbs,,ne,unchanged,
,Please ensure that you have enabled the plugin's breadcrumbs before choosing other than Default,,ne,unchanged,
,Default,,ne,unchanged,
,Yoast SEO,,ne,unchanged,unchanged_like
,Rank Math,,ne,unchanged,
,NavXT,,ne,unchanged,unchanged_like
,Global Settings,,ne,unchanged,
,Global Content Alignment,,ne,unchanged,
,Content - Primary sidebar,,ne,unchanged,
,Primary sidebar - Content,,ne,unchanged,
,Full width content,,ne,unchanged,
,Post Categories,,ne,unchanged,
,Show,,ne,unchanged,
,Hide,,ne,unchanged,
,Widget Excerpt Mode,,ne,unchanged,
,Trimmed Content,,ne,unchanged,
,Default Excerpt,,ne,unchanged,
,Header Options,,ne,unchanged,
,Show date on top header,,ne,unchanged,
,Show social menu on top header,,ne,unchanged,
,Show Secondary menu,,ne,unchanged,
,Enable Sticky Header,,ne,unchanged,
,Home Menu Icon,,ne,unchanged,
,Popular Tags Section ,,ne,unchanged,
,Enable Popular Tags Section,,ne,unchanged,
,Section Title,,ne,unchanged,
,Custom Link Section ,,ne,unchanged,
,Enable Watch Online Section,,ne,unchanged,
,Title,,ne,unchanged,
,Button Link,,ne,unchanged,
,Sidebar Settings,,ne,unchanged,
,Make Sidebar Sticky,,ne,unchanged,
,Sidebar Sticky Position,,ne,unchanged,
,Top,,ne,unchanged,
,Bottom,,ne,unchanged,
,Comment Count,,ne,unchanged,
,Minutes Read Count,,ne,unchanged,
,Date and Author,,ne,unchanged,
,Show Date and Author,,ne,unchanged,
,Show Date Only,,ne,unchanged,
,Show Author Only,,ne,unchanged,
,Hide All,,ne,unchanged,
,Date Format,,ne,unchanged,
,Date Format by Theme,,ne,unchanged,
,WordPress Default Date Format,,ne,unchanged,
,Single Post,,ne,unchanged,
,Show on featured image,,ne,unchanged,
,Related Posts,,ne,unchanged,
,Show on single posts,,ne,unchanged,
,Archive Settings,,ne,unchanged,
,Archive layout,,ne,unchanged,
,Select layout for archive,,ne,unchanged,
,List,,ne,unchanged,
,Grid,,ne,unchanged,
,You May Have Missed,,ne,unchanged,
,Show Latest Posts Section above Footer,,ne,unchanged,
,Posts Section Title,,ne,unchanged,
,Footer,,ne,unchanged,
,Copyright Text,,ne,unchanged,
,Pages:,,ne,unchanged,
,%s,,ne,unchanged,unchanged_like
,Layout Options,,ne,unchanged,
,Set as global layout,,ne,unchanged,
,Content - Primary Sidebar,,ne,unchanged,
,Primary Sidebar - Content,,ne,unchanged,
,Category Color 1,,ne,unchanged,
,Category Color 2,,ne,unchanged,
,Category Color 3,,ne,unchanged,
,Color Class,,ne,unchanged,
,"Select category color class. You can set appropriate categories color on ""Categories"" section of the theme customizer.",,ne,unchanged,
,Templatespare,,ne,unchanged,
,Elespare,,ne,unchanged,
,Blockspare,,ne,unchanged,
,WP Post Author,,ne,unchanged,
,Free Live Chat using 3CX,,ne,unchanged,
,"Howdy, %1$s! We've noticed that you've been using %2$s for some time now, we hope you are loving it! We would appreciate it if you can %3$sgive us a 5 star rating on WordPress.org%4$s! We'll continue to develop exciting new features for free in the future by sharing the love!",,ne,unchanged,
,Sure thing,,ne,unchanged,
,Remind me later,,ne,unchanged,
,I've already done.,,ne,unchanged,
,Got any support queries?,,ne,unchanged,
,Previous,,ne,unchanged,
,Next,,ne,unchanged,
,%s min read,%s min read,ne,unchanged,
,%s min read,%s min read,ne,unchanged,
,View all posts in %s,,ne,unchanged,
,ago,,ne,unchanged,
list item separator, ,,ne,unchanged,"empty,unchanged_like"
,"Edit <span class=""screen-reader-text"">%s</span>",,ne,unchanged,
,Action failed. Please refresh the page and retry.,,ne,unchanged,
,Cheatin&#8217; huh?,,ne,unchanged,
,%1$s 🎁 Hope you're loving our free %2$s theme! Dive into the festive spirit with an exclusive gift: %4$s premium features! Use code %3$s at checkout. Wishing you a season filled with joyous holidays and even happier savings! 🎄✨,,ne,unchanged,
,Claim Your Discount,,ne,unchanged,
,Power Bundle,,ne,unchanged,
,All Themes Plan,,ne,unchanged,
,Maybe Later,,ne,unchanged,
,Have Queries?,,ne,unchanged,
,Displays author info.,,ne,unchanged,
,AFTSC Author Info,,ne,unchanged,
,Dim,,ne,unchanged,
,Alternative,,ne,unchanged,
,Secondary Color,,ne,unchanged,
,About Author,,ne,unchanged,
,Profile image,,ne,unchanged,
,Name,,ne,unchanged,
,Descriptions,,ne,unchanged,
,Facebook,,ne,unchanged,
,Instagram,,ne,unchanged,
,Twitter,,ne,unchanged,
,Select Background,,ne,unchanged,
,Displays posts from 2 selected categories in double column.,,ne,unchanged,
,AFTN Double Categories Posts,,ne,unchanged,
,Title 1,,ne,unchanged,
,Select category 1,,ne,unchanged,
,Title 2,,ne,unchanged,
,Select category 2,,ne,unchanged,
,Displays posts from selected category in a grid.,,ne,unchanged,
,AFTN Posts Grid,,ne,unchanged,
,Yes,,ne,unchanged,
,No,,ne,unchanged,
,Posts Grid,,ne,unchanged,
,Select category,,ne,unchanged,
,Show excerpt,,ne,unchanged,
,Displays posts from selected category in single column.,,ne,unchanged,
,AFTN Single Column ,,ne,unchanged,
,Excerpt length,,ne,unchanged,
,Displays posts slider from selected category.,,ne,unchanged,
,AFTN Posts Slider,,ne,unchanged,
,Displays tabbed posts lists from selected settings.,,ne,unchanged,
,AFTN Tabbed Posts,,ne,unchanged,
,AFTN Popular,,ne,unchanged,
,AFTN Latest,,ne,unchanged,
,Trending,,ne,unchanged,
,Recent,,ne,unchanged,
,Popular,,ne,unchanged,
