msgctxt,msgid,msgid_plural,target_lang,status,issues
,Newsphere,,en,new,unchanged_like
,https://afthemes.com/products/newsphere/,,en,new,unchanged_like
,"Newsphere is a perfect news and magazine responsive WordPress theme that lets you write articles and blog posts with ease. Create a great news website the help of live customizer options and custom widgets, you can design your website as you like and preview the changes live. It is compatible with the Gutenberg and RTL along with WooCommerce plugin which helps you to integrate an online business with our newspaper template. As it includes many useful features that require to build an awesome looking newsportal, the theme is perfect for blogging and excellent for a news, newspaper, magazine, publishing or review site. The theme is well optimized that helps to rank your website in the top of search engines and users will get an outstanding support from the team if there will be any difficulties while using the theme. There are number of demos available in this theme so choose the one you like and start to build a website. See our demos: https://afthemes.com/products/newsphere/#aft-view-starter-sites Videos: https://www.youtube.com/@wpafthemes/ and Docs: https://docs.afthemes.com/newsphere/",,en,new,unchanged_like
,AF themes,,en,new,unchanged_like
,https://www.afthemes.com/,,en,new,unchanged_like
,Oops! That page can&rsquo;t be found.,,en,new,unchanged_like
,It looks like nothing was found at this location. Maybe try one of the links below or a search?,,en,new,unchanged_like
,Dashboard,,en,new,unchanged_like
,Customize,,en,new,unchanged_like
,Starter Sites,,en,new,unchanged_like
,Elementor Kits,,en,new,unchanged_like
,Block Patterns,,en,new,unchanged_like
,Upgrade to Pro,,en,new,unchanged_like
,Upgrade Now,,en,new,unchanged_like
,The Templatespare plugin should be updated to the latest version,,en,new,unchanged_like
,"Import a Starter Site, Personalize, and Live it in 3 Easy Steps!",,en,new,unchanged_like
,Blockspare plugin version should be more than %s.,,en,new,unchanged_like
,"One-click Demo Import, Block Editor Ready, No Code Required! Built with Blockspare.",,en,new,unchanged_like
,Elespare plugin version should be more than %s.,,en,new,unchanged_like
,"One-click Import, Header/Footer Builder, Multilingual Support! Powered by Elespare.",,en,new,unchanged_like
,Are you sure you want to install this plugin?,,en,new,unchanged_like
,Install Now,,en,new,unchanged_like
,Activate,,en,new,unchanged_like
,Activated,,en,new,unchanged_like
,Get Starter Sites,,en,new,unchanged_like
,Get Started,,en,new,unchanged_like
,"The ""Get Started"" action will install/activate the Templatespare and Blockspare plugins for Starter Sites and Templates.",,en,new,unchanged_like
,By,,en,new,unchanged_like
,More Details,,en,new,unchanged_like
,"👋 Welcome, and Thank You!",,en,new,unchanged_like
,"%s is now active. We're here to help you turn your ideas into a beautiful, professional website — quickly and confidently.

        ",,en,new,unchanged_like
,🚀 Start With One Click,,en,new,unchanged_like
,"Choose from 100+ starter sites designed for blogs, magazines, businesses & more.
      Setup is simple — no coding required.",,en,new,
