msgctxt,msgid,msgid_plural,target_lang,status,issues
,Newsphere,,ja,new,
,https://afthemes.com/products/newsphere/,,ja,new,unchanged_like
,"Newsphere is a perfect news and magazine responsive WordPress theme that lets you write articles and blog posts with ease. Create a great news website the help of live customizer options and custom widgets, you can design your website as you like and preview the changes live. It is compatible with the Gutenberg and RTL along with WooCommerce plugin which helps you to integrate an online business with our newspaper template. As it includes many useful features that require to build an awesome looking newsportal, the theme is perfect for blogging and excellent for a news, newspaper, magazine, publishing or review site. The theme is well optimized that helps to rank your website in the top of search engines and users will get an outstanding support from the team if there will be any difficulties while using the theme. There are number of demos available in this theme so choose the one you like and start to build a website. See our demos: https://afthemes.com/products/newsphere/#aft-view-starter-sites Videos: https://www.youtube.com/@wpafthemes/ and Docs: https://docs.afthemes.com/newsphere/",,ja,new,
,AF themes,,ja,new,
,https://www.afthemes.com/,,ja,new,unchanged_like
,Oops! That page can&rsquo;t be found.,,ja,new,
,It looks like nothing was found at this location. Maybe try one of the links below or a search?,,ja,new,
,%s,,ja,new,unchanged_like
,Starter Sites,,ja,new,
,Block Patterns,,ja,new,
,Elementor Kits,,ja,new,
,Customize,,ja,new,
,Settings,,ja,new,
,Upgrade,,ja,new,
,The Templatespare plugin should be updated to the latest version,,ja,new,
,"Import a Starter Site, Personalize, and Live it in 3 Easy Steps!",,ja,new,
,Blockspare plugin version should be more than %s.,,ja,new,
,"One-click Demo Import, Block Editor Ready, No Code Required! Built with Blockspare.",,ja,new,
,Elespare plugin version should be more than %s.,,ja,new,
,"One-click Import, Header/Footer Builder, Multilingual Support! Powered by Elespare.",,ja,new,
,Are you sure you want to install this plugin?,,ja,new,
,Install Now,,ja,new,
,Activate,,ja,new,
,Activated,,ja,new,
,Get Starter Sites,,ja,new,
,Get Started,,ja,new,
,"The ""Get Started"" action will install/activate the Templatespare and Blockspare plugins for Starter Sites and Templates.",,ja,new,
,By,,ja,new,
,More Details,,ja,new,
,Howdy!,,ja,new,
,%s is now installed and ready to use. We've assembled some links to get you started.,,ja,new,
,Explore Our Pre-Built Starter Websites!,,ja,new,
,"Let your imagination soar! Designed with User-Friendly features, incorporating the Latest Trends and SEO-Friendly Markups. We genuinely appreciate you choosing our theme!",,ja,new,
,Demos/product,,ja,new,
,Theme dashboard,,ja,new,
,Documentation,,ja,new,
,Please check our full documentation for detailed information on how to setup and customize the theme.,,ja,new,
,Docs,,ja,new,
,Videos,,ja,new,
,Blog,,ja,new,
,Rate This Theme,,ja,new,
,"Sorry, you are not allowed to install plugins on this site.",,ja,new,
,"Error - unable to verify nonce, please try again.",,ja,new,
,"Sorry, you are not allowed to activate plugins on this site.",,ja,new,
,One thought on &ldquo;%1$s&rdquo;,,ja,new,
comments title,%1$s thought on &ldquo;%2$s&rdquo;,%1$s thoughts on &ldquo;%2$s&rdquo;,ja,new,
,Comments are closed.,,ja,new,
,%1$s by %2$s.,,ja,new,
,Primary Menu,,ja,new,
,Social Menu,,ja,new,
,Footer Menu,,ja,new,
Roboto Sans Pro font: on or off,on,,ja,new,
Rubik font: on or off,on,,ja,new,
,Skip to content,,ja,new,
,All,,ja,new,
,Popular Tags,,ja,new,
,Exclusive,,ja,new,
,Latest,,ja,new,
,Popular,,ja,new,
,Trending,,ja,new,
,Editor's Picks,,ja,new,
,Trending Story,,ja,new,
,Featured Story,,ja,new,
,Editor's Pick,,ja,new,
,Read more,,ja,new,
,More Stories,,ja,new,
,You may have missed,,ja,new,
,Copyright &copy; All rights reserved.,,ja,new,unchanged_like
,Site Title Size,,ja,new,
,Site Title/Tagline Color,,ja,new,
,Disable Image Tint/Overlay,,ja,new,
,Newsphere Pro,,ja,new,
,Upgrade now,,ja,new,
,Global Color Section ,,ja,new,
,Background Color will not be applicable for this mode.,,ja,new,
,Site Color Mode,,ja,new,
,Default,,ja,new,
,Light,,ja,new,
,Dark,,ja,new,
,Primary Color,,ja,new,
,Secondary Color,,ja,new,
,Single Title Color,,ja,new,
,General Link Color,,ja,new,
,Box color,,ja,new,
,Post Format Icon,,ja,new,
,Top Header Section ,,ja,new,
,Background color,,ja,new,
,Texts color,,ja,new,
,Main Navigation Section ,,ja,new,
,Background Color,,ja,new,
,Menu Item Color,,ja,new,
,Badge Background,,ja,new,
,Badge Color,,ja,new,
,Main Banner Section ,,ja,new,
,Foreground color,,ja,new,
,Archive/Widget Section ,,ja,new,
,Post Title,,ja,new,
,Post Title Over Image,,ja,new,
,Mailchimp Section ,,ja,new,
,Title color,,ja,new,
,Category Colors,,ja,new,
,Category %d Background Color,,ja,new,
,Fonts & Typography,,ja,new,
,Primary Font,,ja,new,
,Secondary Font,,ja,new,
,Global Letter Spacing,,ja,new,
,Global Line height,,ja,new,
,Main Banner Slider Caption Size,,ja,new,
,Global Section Title Size,,ja,new,
,Page/Posts Title Size,,ja,new,
,Frontpage Options,,ja,new,
,Banner Advertisement,,ja,new,
,Banner Section Advertisement,,ja,new,
,Recommended Size %1$s px X %2$s px,,ja,new,
,URL Link,,ja,new,
,Enable Popular Tags Section,,ja,new,
,Section Title,,ja,new,
,Exclusive Posts,,ja,new,
,Enable Exclusive Posts Section,,ja,new,
,Exclusive Story Title,,ja,new,
,Exclusive Posts Category,,ja,new,
,Posts to be shown on trending posts ,,ja,new,
,Main Banner Section,,ja,new,
,Enable Main Banner Section,,ja,new,
,Background image,,ja,new,
,Transparent Main Banner Boxes,,ja,new,
,Vertical Slider Section ,,ja,new,
,Category,,ja,new,
,Posts to be shown on vertical slider section,,ja,new,
,Main Slider Section ,,ja,new,
,Posts to be shown on main slider section,,ja,new,
,Tabbed Section ,,ja,new,
,Latest Tab Title,,ja,new,unchanged_like
,Popular Tab Title,,ja,new,
,Trending Tab Title,,ja,new,
,Posts to be shown on trending tab,,ja,new,
,Disable Main Banner section on Static Posts page,,ja,new,
,Featured Section,,ja,new,
,Enable Featured Posts Section,,ja,new,
,Featured Posts Section Title,,ja,new,
,Featured Posts Category,,ja,new,
,Posts to be shown on featured section ,,ja,new,
,Frontpage Layout Settings,,ja,new,
