msgctxt,msgid,msgid_plural,target_lang,status,issues
admin menu label,Dashboard,,hi,new,
theme feature name,Header Builder,,hi,new,
theme feature name,Footer Builder,,hi,new,
action button,Save,,hi,new,
action button,Cancel,,hi,new,
action button,Install Now,,hi,new,
action button,Submit,,hi,new,
action button,Load More,,hi,new,
post navigation link,Read More,,hi,new,
post meta label,By,,hi,new,
time indicator,ago,,hi,new,
post meta label,Comments,,hi,new,
form placeholder,Search...,,hi,new,
form label,Search Form,,hi,new,
form label,Email Address,,hi,new,
system notice,Saved successfully.,,hi,new,
system error,Something went wrong. Please try again.,,hi,new,
system warning,Are you sure you want to delete this?,,hi,new,
theme description,"ReviewNews is a fast, lightweight, and flexible WordPress theme designed for blogs, news websites, and online magazines.",,hi,new,
theme feature description,Build your website visually using the live drag-and-drop header and footer builders.,,hi,new,
user menu,My Account,,hi,new,
user action,Log Out,,hi,new,
status label,Live,,hi,new,
ui action,Select,,hi,new,
empty state message,No results found.,,hi,new,
