msgctxt,msgid,msgid_plural,target_lang,status,issues
admin menu label,Dashboard,,ne,new,
theme feature name,Header Builder,,ne,new,
theme feature name,Footer Builder,,ne,new,
action button,Save,,ne,new,
action button,Cancel,,ne,new,
action button,Install Now,,ne,new,
action button,Submit,,ne,new,
action button,Load More,,ne,new,
post navigation link,Read More,,ne,new,
post meta label,By,,ne,new,
time indicator,ago,,ne,new,
post meta label,Comments,,ne,new,
form placeholder,Search...,,ne,new,
form label,Search Form,,ne,new,
form label,Email Address,,ne,new,
system notice,Saved successfully.,,ne,new,
system error,Something went wrong. Please try again.,,ne,new,
system warning,Are you sure you want to delete this?,,ne,new,
theme description,"ReviewNews is a fast, lightweight, and flexible WordPress theme designed for blogs, news websites, and online magazines.",,ne,new,
theme feature description,Build your website visually using the live drag-and-drop header and footer builders.,,ne,new,
user menu,My Account,,ne,new,
user action,Log Out,,ne,new,
status label,Live,,ne,new,
ui action,Select,,ne,new,
empty state message,No results found.,,ne,new,
