msgctxt,msgid,msgid_plural,target_lang,status,issues
,ReviewNews,,es,new,
,https://afthemes.com/products/reviewnews/,,es,new,unchanged_like
,"ReviewNews is a dynamic, ultra-fast, and highly versatile WordPress theme made for News, Magazine, Blog, Business, and eCommerce websites across the world. With its powerful HEADER & FOOTER BUILDER that works seamlessly with the Block Editor, GUTENBERG, ELEMENTOR, BRIZY, DIVI, and other popular page builders, you can design PROFESSIONAL LAYOUTS easily using drag and drop—no coding required. Packed with 50+ STARTER SITES, 30+ CUSTOM WIDGETS, ADVANCED BLOCK PATTERNS, FLEXIBLE LAYOUT OPTIONS, AMP SUPPORT, and FULL WOOCOMMERCE INTEGRATION, it’s perfect for everything from online newspapers, corporate or NGO sites, and educational or cultural portals to personal blogs, portfolios, and lifestyle magazines. ReviewNews is fully optimized for SEO, CORE WEB VITALS, SPEED, and RESPONSIVE DESIGN, ensuring FAST LOADING and excellent performance on all devices. Built with WCAG ACCESSIBILITY, GDPR COMPLIANCE, and LIGHTWEIGHT, CLEAN CODE, it offers long-term stability and high GOOGLE PAGESPEED SCORES. MULTILINGUAL and RTL READY, with demo content in English, Spanish, German, French, Japanese, Chinese, and Arabic, ReviewNews is a truly GLOBAL, FUTURE-PROOF THEME designed for creators, publishers, and businesses who value STYLE, SCALABILITY, and PERFORMANCE across every market. Explore all features at https://afthemes.com/products/reviewnews",,es,new,
,AF themes,,es,unchanged,
,https://www.afthemes.com/,,es,unchanged,unchanged_like
,Oops! That page can&rsquo;t be found.,,es,unchanged,
,It looks like nothing was found at this location. Maybe try one of the links below or a search?,,es,unchanged,
,Dashboard,,es,unchanged,
,Customize,,es,unchanged,
,Header Builder,,es,unchanged,
,Footer Builder,,es,unchanged,
,Starter Sites,,es,unchanged,
,Elementor Kits,,es,unchanged,
,Block Patterns,,es,unchanged,
,Upgrade to Pro,,es,new,
,Upgrade Now,,es,unchanged,
,The Templatespare plugin should be updated to the latest version,,es,unchanged,
