msgctxt,msgid,msgid_plural,target_lang,status,issues
,ReviewNews,,it,unchanged,
,https://afthemes.com/products/reviewnews/,,it,unchanged,unchanged_like
,"ReviewNews is a dynamic, ultra-fast, and highly versatile WordPress theme made for News, Magazine, Blog, Business, and eCommerce websites across the world. With its powerful HEADER & FOOTER BUILDER that works seamlessly with the Block Editor, GUTENBERG, ELEMENTOR, BRIZY, DIVI, and other popular page builders, you can design PROFESSIONAL LAYOUTS easily using drag and drop—no coding required. Packed with 50+ STARTER SITES, 30+ CUSTOM WIDGETS, ADVANCED BLOCK PATTERNS, FLEXIBLE LAYOUT OPTIONS, AMP SUPPORT, and FULL WOOCOMMERCE INTEGRATION, it’s perfect for everything from online newspapers, corporate or NGO sites, and educational or cultural portals to personal blogs, portfolios, and lifestyle magazines. ReviewNews is fully optimized for SEO, CORE WEB VITALS, SPEED, and RESPONSIVE DESIGN, ensuring FAST LOADING and excellent performance on all devices. Built with WCAG ACCESSIBILITY, GDPR COMPLIANCE, and LIGHTWEIGHT, CLEAN CODE, it offers long-term stability and high GOOGLE PAGESPEED SCORES. MULTILINGUAL and RTL READY, with demo content in English, Spanish, German, French, Japanese, Chinese, and Arabic, ReviewNews is a truly GLOBAL, FUTURE-PROOF THEME designed for creators, publishers, and businesses who value STYLE, SCALABILITY, and PERFORMANCE across every market. Explore all features at https://afthemes.com/products/reviewnews",,it,unchanged,
,AF themes,,it,unchanged,
,https://www.afthemes.com/,,it,unchanged,unchanged_like
,Oops! That page can&rsquo;t be found.,,it,unchanged,
,It looks like nothing was found at this location. Maybe try one of the links below or a search?,,it,unchanged,
,Dashboard,,it,unchanged,
,Customize,,it,unchanged,
,Header Builder,,it,unchanged,
,Footer Builder,,it,unchanged,
,Starter Sites,,it,unchanged,
,Elementor Kits,,it,unchanged,
,Block Patterns,,it,unchanged,
,Upgrade to Pro,,it,unchanged,
,Upgrade Now,,it,unchanged,
,The Templatespare plugin should be updated to the latest version,,it,unchanged,
,"Import a Starter Site, Personalize, and Live it in 3 Easy Steps!",,it,unchanged,
,Blockspare plugin version should be more than %s.,,it,unchanged,
,"One-click Demo Import, Block Editor Ready, No Code Required! Built with Blockspare.",,it,unchanged,
,Elespare plugin version should be more than %s.,,it,unchanged,
,"One-click Import, Header/Footer Builder, Multilingual Support! Powered by Elespare.",,it,unchanged,
,Are you sure you want to install this plugin?,,it,unchanged,
,Install Now,,it,unchanged,
,Activate,,it,unchanged,
,Activated,,it,unchanged,
,Get Starter Sites,,it,unchanged,
,Get Started,,it,unchanged,
,"The ""Get Started"" action will install/activate the Templatespare and Blockspare plugins for Starter Sites and Templates.",,it,unchanged,
,By,,it,unchanged,
,More Details,,it,unchanged,
,"👋 Welcome, and Thank You!",,it,unchanged,
,"%s is now active. We're here to help you turn your ideas into a beautiful, professional website — quickly and confidently.",,it,unchanged,
,🚀 Start With One Click,,it,unchanged,
,"Choose from 100+ starter sites designed for blogs, magazines, businesses & more.
      Setup is simple — no coding required.",,it,unchanged,
,View Demos,,it,unchanged,
,Theme dashboard,,it,unchanged,
,🤝 We're Here for You,,it,unchanged,
,Whether you're just starting or customizing your site.,,it,unchanged,
,Documentation,,it,unchanged,
,Video Tutorials,,it,unchanged,
,Support,,it,unchanged,
,⭐ Rate This Theme,,it,unchanged,
,"Sorry, you are not allowed to install plugins on this site.",,it,unchanged,
,"Error - unable to verify nonce, please try again.",,it,unchanged,
,"Sorry, you are not allowed to activate plugins on this site.",,it,unchanged,
,One thought on &ldquo;%1$s&rdquo;,,it,unchanged,
comments title,%1$s thought on &ldquo;%2$s&rdquo;,%1$s thoughts on &ldquo;%2$s&rdquo;,it,unchanged,
comments title,%1$s thought on &ldquo;%2$s&rdquo;,%1$s thoughts on &ldquo;%2$s&rdquo;,it,unchanged,
,Comments are closed.,,it,unchanged,
,%1$s by %2$s.,,it,unchanged,
,Primary Menu,,it,unchanged,
,Social Menu,,it,unchanged,
,Footer Menu,,it,unchanged,
,Skip to content,,it,unchanged,
,Open search form,,it,unchanged,
,"Click the setting <span class=""dashicons dashicons-admin-generic""></span> on each element to customize its settings.",,it,unchanged,
,Hide builder panel,,it,unchanged,
,Hide Builder,,it,unchanged,
,Device view controls,,it,unchanged,
,Choose an Element,,it,unchanged,
,Close choose element modal,,it,unchanged,
,Footer Layout,,it,unchanged,
,Create dynamic header effortlessly with drag-and-drop builder.,,it,unchanged,
,Header,,it,unchanged,
,Create dynamic footer effortlessly with drag-and-drop builder.,,it,unchanged,
,Footer,,it,unchanged,
,Enable %s Builder,,it,unchanged,
,Add Element,,it,unchanged,
,Remove Element,,it,unchanged,
,Configure Element,,it,unchanged,
,Desktop,,it,unchanged,unchanged_like
,Element Settings,,it,unchanged,
,close Off-Canvas Navigation,,it,unchanged,
,Site & Logo,,it,unchanged,
,Site Identity,,it,unchanged,
,You can change Site Identity from %s.,,it,unchanged,
,Promotion,,it,unchanged,
,Off Canvas,,it,unchanged,
,Off Canvas Widget Area,,it,unchanged,
,This widget area is used in the mobile off-canvas panel. %s,,it,unchanged,
,Manage widgets,,it,unchanged,
,Primary menu,,it,unchanged,
,Select Menu,,it,unchanged,
,You can change Menu from menu panel. %s,,it,unchanged,
,Manage menu,,it,unchanged,
,Date,,it,unchanged,
,Choose date format,,it,unchanged,
,You can change date from general settings (Settings > General > Date Format). %s,,it,unchanged,
,Manage Date,,it,unchanged,
,Top Navigation,,it,unchanged,
,pro,,it,unchanged,unchanged_like
,Site Mode,,it,unchanged,
,Custom HTML,,it,unchanged,
,HTML Content,,it,unchanged,
,Search,,it,unchanged,
,Searc Form,,it,unchanged,
,Custom Link,,it,unchanged,
,Custom link,,it,unchanged,
,live,,it,unchanged,
,Widget 1,,it,unchanged,
,Select Widget,,it,unchanged,
,Widget 2,,it,unchanged,
,Widget 3,,it,unchanged,
,Navigation,,it,unchanged,
,Pro,,it,unchanged,unchanged_like
,Copyright,,it,unchanged,unchanged_like
,Add widget to display . %s,,it,unchanged,
,Beta,,it,unchanged,unchanged_like
,No menu assigned,,it,unchanged,
,-- Select --,,it,unchanged,
,Subscribe,,it,unchanged,
,Popular Tags,,it,unchanged,
,Breaking News,,it,unchanged,
,Posts List Section,,it,unchanged,
,General,,it,unchanged,
,Update,,it,unchanged,
,More,,it,unchanged,
,Main News,,it,unchanged,
,Trending Now,,it,unchanged,
,Editor's Picks,,it,unchanged,
,Featured Posts,,it,unchanged,
,Featured Categories,,it,unchanged,
,Featured Pages,,it,unchanged,
,Custom Options,,it,unchanged,
,Post list Section Title %d,,it,unchanged,
,View More,,it,unchanged,
,Read More,,it,unchanged,
,Related Stories,,it,unchanged,
,You May Have Missed,,it,unchanged,
,Copyright &copy; {year} All rights reserved.,,it,unchanged,unchanged_like
,Body Background Color,,it,unchanged,
,Site Title Size,,it,unchanged,
,Uppercase Site Title and Tagline,,it,unchanged,
,Site Title/Tagline Color,,it,unchanged,
,Header Image Mode,,it,unchanged,
,Image visibility may vary as per the mode,,it,unchanged,
,Above Site Title,,it,unchanged,
,Set as Background,,it,unchanged,
,Show Full Image (Background),,it,unchanged,
,Disable Image Tint/Overlay,,it,unchanged,
,ReviewNews Pro,,it,unchanged,
,Site Color Mode,,it,unchanged,
,Light,,it,unchanged,
,Dark,,it,unchanged,
,Primary Color Section ,,it,unchanged,
,Body Background Color (Dark Mode) will be applied for this mode.,,it,unchanged,
,Body Background Color (Dark Mode),,it,unchanged,
,Secondary Color Section ,,it,unchanged,
,Secondary Color,,it,unchanged,
,Fonts & Typography,,it,unchanged,
,Font Family Section,,it,unchanged,
,Fonts Source,,it,unchanged,
,Theme Fonts,,it,unchanged,
,System Fonts,,it,unchanged,
,Font Family,,it,unchanged,
,Main Banner Options,,it,unchanged,
,Enable Flash News,,it,unchanged,
,Section Title ,,it,unchanged,
,Flash Posts Category,,it,unchanged,
,Select category to be shown on trending posts ,,it,unchanged,
,Main Banner,,it,unchanged,
,Enable Main Banner Section,,it,unchanged,
,Main Banner Background Image,,it,unchanged,
,Recommended Size %1$s px X %2$s px,,it,unchanged,
,Select Main Banner Order,,it,unchanged,
,Order 1,,it,unchanged,
