msgctxt,msgid,msgid_plural,target_lang,status,issues
,ReviewNews,,ne,unchanged,
,https://afthemes.com/products/reviewnews/,,ne,unchanged,unchanged_like
,"ReviewNews is a dynamic, ultra-fast, and highly versatile WordPress theme made for News, Magazine, Blog, Business, and eCommerce websites across the world. With its powerful HEADER & FOOTER BUILDER that works seamlessly with the Block Editor, GUTENBERG, ELEMENTOR, BRIZY, DIVI, and other popular page builders, you can design PROFESSIONAL LAYOUTS easily using drag and drop—no coding required. Packed with 50+ STARTER SITES, 30+ CUSTOM WIDGETS, ADVANCED BLOCK PATTERNS, FLEXIBLE LAYOUT OPTIONS, AMP SUPPORT, and FULL WOOCOMMERCE INTEGRATION, it’s perfect for everything from online newspapers, corporate or NGO sites, and educational or cultural portals to personal blogs, portfolios, and lifestyle magazines. ReviewNews is fully optimized for SEO, CORE WEB VITALS, SPEED, and RESPONSIVE DESIGN, ensuring FAST LOADING and excellent performance on all devices. Built with WCAG ACCESSIBILITY, GDPR COMPLIANCE, and LIGHTWEIGHT, CLEAN CODE, it offers long-term stability and high GOOGLE PAGESPEED SCORES. MULTILINGUAL and RTL READY, with demo content in English, Spanish, German, French, Japanese, Chinese, and Arabic, ReviewNews is a truly GLOBAL, FUTURE-PROOF THEME designed for creators, publishers, and businesses who value STYLE, SCALABILITY, and PERFORMANCE across every market. Explore all features at https://afthemes.com/products/reviewnews",,ne,unchanged,
,AF themes,,ne,unchanged,
,https://www.afthemes.com/,,ne,unchanged,unchanged_like
,Oops! That page can&rsquo;t be found.,,ne,unchanged,
,It looks like nothing was found at this location. Maybe try one of the links below or a search?,,ne,unchanged,
,Dashboard,,ne,unchanged,
,Customize,,ne,unchanged,
,Header Builder,,ne,unchanged,
,Footer Builder,,ne,unchanged,
,Starter Sites,,ne,unchanged,
,Elementor Kits,,ne,unchanged,
,Block Patterns,,ne,unchanged,
,Upgrade to Pro,,ne,unchanged,
,Upgrade Now,,ne,unchanged,
,The Templatespare plugin should be updated to the latest version,,ne,unchanged,
,"Import a Starter Site, Personalize, and Live it in 3 Easy Steps!",,ne,unchanged,
,Blockspare plugin version should be more than %s.,,ne,unchanged,
,"One-click Demo Import, Block Editor Ready, No Code Required! Built with Blockspare.",,ne,unchanged,
,Elespare plugin version should be more than %s.,,ne,unchanged,
,"One-click Import, Header/Footer Builder, Multilingual Support! Powered by Elespare.",,ne,unchanged,
,Are you sure you want to install this plugin?,,ne,unchanged,
,Install Now,,ne,unchanged,
,Activate,,ne,unchanged,
,Activated,,ne,unchanged,
,Get Starter Sites,,ne,unchanged,
,Get Started,,ne,unchanged,
,"The ""Get Started"" action will install/activate the Templatespare and Blockspare plugins for Starter Sites and Templates.",,ne,unchanged,
,By,,ne,unchanged,
,More Details,,ne,unchanged,
,"👋 Welcome, and Thank You!",,ne,unchanged,
,"%s is now active. We're here to help you turn your ideas into a beautiful, professional website — quickly and confidently.",,ne,unchanged,
,🚀 Start With One Click,,ne,unchanged,
,"Choose from 100+ starter sites designed for blogs, magazines, businesses & more.
      Setup is simple — no coding required.",,ne,unchanged,
,View Demos,,ne,unchanged,
,Theme dashboard,,ne,unchanged,
,🤝 We're Here for You,,ne,unchanged,
,Whether you're just starting or customizing your site.,,ne,unchanged,
,Documentation,,ne,unchanged,
,Video Tutorials,,ne,unchanged,
,Support,,ne,unchanged,
,⭐ Rate This Theme,,ne,unchanged,
,"Sorry, you are not allowed to install plugins on this site.",,ne,unchanged,
,"Error - unable to verify nonce, please try again.",,ne,unchanged,
,"Sorry, you are not allowed to activate plugins on this site.",,ne,unchanged,
,One thought on &ldquo;%1$s&rdquo;,,ne,unchanged,
comments title,%1$s thought on &ldquo;%2$s&rdquo;,%1$s thoughts on &ldquo;%2$s&rdquo;,ne,unchanged,
comments title,%1$s thought on &ldquo;%2$s&rdquo;,%1$s thoughts on &ldquo;%2$s&rdquo;,ne,unchanged,
,Comments are closed.,,ne,unchanged,
,%1$s by %2$s.,,ne,unchanged,
,Primary Menu,,ne,unchanged,
,Social Menu,,ne,unchanged,
,Footer Menu,,ne,unchanged,
,Skip to content,,ne,unchanged,
,Open search form,,ne,unchanged,
,"Click the setting <span class=""dashicons dashicons-admin-generic""></span> on each element to customize its settings.",,ne,unchanged,
,Hide builder panel,,ne,unchanged,
,Hide Builder,,ne,unchanged,
,Device view controls,,ne,unchanged,
,Choose an Element,,ne,unchanged,
,Close choose element modal,,ne,unchanged,
,Footer Layout,,ne,unchanged,
,Create dynamic header effortlessly with drag-and-drop builder.,,ne,unchanged,
,Header,,ne,unchanged,
,Create dynamic footer effortlessly with drag-and-drop builder.,,ne,unchanged,
,Footer,,ne,unchanged,
,Enable %s Builder,,ne,unchanged,
,Add Element,,ne,unchanged,
,Remove Element,,ne,unchanged,
,Configure Element,,ne,unchanged,
,Desktop,,ne,unchanged,
,Element Settings,,ne,unchanged,
,close Off-Canvas Navigation,,ne,unchanged,
,Site & Logo,,ne,unchanged,
,Site Identity,,ne,unchanged,
,You can change Site Identity from %s.,,ne,unchanged,
,Promotion,,ne,unchanged,
,Off Canvas,,ne,unchanged,
,Off Canvas Widget Area,,ne,unchanged,
,This widget area is used in the mobile off-canvas panel. %s,,ne,unchanged,
,Manage widgets,,ne,unchanged,
,Primary menu,,ne,unchanged,
,Select Menu,,ne,unchanged,
,You can change Menu from menu panel. %s,,ne,unchanged,
