msgctxt,msgid,msgid_plural,target_lang,status,issues
,ReviewNews,,pl,unchanged,
,https://afthemes.com/products/reviewnews/,,pl,unchanged,unchanged_like
,"ReviewNews is a dynamic, ultra-fast, and highly versatile WordPress theme made for News, Magazine, Blog, Business, and eCommerce websites across the world. With its powerful HEADER & FOOTER BUILDER that works seamlessly with the Block Editor, GUTENBERG, ELEMENTOR, BRIZY, DIVI, and other popular page builders, you can design PROFESSIONAL LAYOUTS easily using drag and drop—no coding required. Packed with 50+ STARTER SITES, 30+ CUSTOM WIDGETS, ADVANCED BLOCK PATTERNS, FLEXIBLE LAYOUT OPTIONS, AMP SUPPORT, and FULL WOOCOMMERCE INTEGRATION, it’s perfect for everything from online newspapers, corporate or NGO sites, and educational or cultural portals to personal blogs, portfolios, and lifestyle magazines. ReviewNews is fully optimized for SEO, CORE WEB VITALS, SPEED, and RESPONSIVE DESIGN, ensuring FAST LOADING and excellent performance on all devices. Built with WCAG ACCESSIBILITY, GDPR COMPLIANCE, and LIGHTWEIGHT, CLEAN CODE, it offers long-term stability and high GOOGLE PAGESPEED SCORES. MULTILINGUAL and RTL READY, with demo content in English, Spanish, German, French, Japanese, Chinese, and Arabic, ReviewNews is a truly GLOBAL, FUTURE-PROOF THEME designed for creators, publishers, and businesses who value STYLE, SCALABILITY, and PERFORMANCE across every market. Explore all features at https://afthemes.com/products/reviewnews",,pl,unchanged,
,AF themes,,pl,unchanged,
,https://www.afthemes.com/,,pl,unchanged,unchanged_like
,Oops! That page can&rsquo;t be found.,,pl,unchanged,
,It looks like nothing was found at this location. Maybe try one of the links below or a search?,,pl,unchanged,
,Dashboard,,pl,unchanged,
,Customize,,pl,unchanged,
,Header Builder,,pl,unchanged,
,Footer Builder,,pl,unchanged,
,Starter Sites,,pl,unchanged,
,Elementor Kits,,pl,unchanged,
,Block Patterns,,pl,unchanged,
,Upgrade to Pro,,pl,unchanged,
,Upgrade Now,,pl,unchanged,
,The Templatespare plugin should be updated to the latest version,,pl,unchanged,
,"Import a Starter Site, Personalize, and Live it in 3 Easy Steps!",,pl,unchanged,
,Blockspare plugin version should be more than %s.,,pl,unchanged,
,"One-click Demo Import, Block Editor Ready, No Code Required! Built with Blockspare.",,pl,unchanged,
,Elespare plugin version should be more than %s.,,pl,unchanged,
,"One-click Import, Header/Footer Builder, Multilingual Support! Powered by Elespare.",,pl,unchanged,
,Are you sure you want to install this plugin?,,pl,unchanged,
,Install Now,,pl,unchanged,
,Activate,,pl,unchanged,
,Activated,,pl,unchanged,
,Get Starter Sites,,pl,unchanged,
,Get Started,,pl,unchanged,
,"The ""Get Started"" action will install/activate the Templatespare and Blockspare plugins for Starter Sites and Templates.",,pl,unchanged,
,By,,pl,unchanged,
,More Details,,pl,unchanged,
,"👋 Welcome, and Thank You!",,pl,unchanged,
,"%s is now active. We're here to help you turn your ideas into a beautiful, professional website — quickly and confidently.",,pl,unchanged,
,🚀 Start With One Click,,pl,unchanged,
,"Choose from 100+ starter sites designed for blogs, magazines, businesses & more.
      Setup is simple — no coding required.",,pl,unchanged,
,View Demos,,pl,unchanged,
,Theme dashboard,,pl,unchanged,
,🤝 We're Here for You,,pl,unchanged,
,Whether you're just starting or customizing your site.,,pl,unchanged,
,Documentation,,pl,unchanged,
,Video Tutorials,,pl,unchanged,
,Support,,pl,unchanged,
,⭐ Rate This Theme,,pl,unchanged,
,"Sorry, you are not allowed to install plugins on this site.",,pl,unchanged,
,"Error - unable to verify nonce, please try again.",,pl,unchanged,
,"Sorry, you are not allowed to activate plugins on this site.",,pl,unchanged,
,One thought on &ldquo;%1$s&rdquo;,,pl,unchanged,
comments title,%1$s thought on &ldquo;%2$s&rdquo;,%1$s thoughts on &ldquo;%2$s&rdquo;,pl,unchanged,
comments title,%1$s thought on &ldquo;%2$s&rdquo;,%1$s thoughts on &ldquo;%2$s&rdquo;,pl,unchanged,
comments title,%1$s thought on &ldquo;%2$s&rdquo;,%1$s thoughts on &ldquo;%2$s&rdquo;,pl,unchanged,
,Comments are closed.,,pl,unchanged,
,%1$s by %2$s.,,pl,unchanged,
,Primary Menu,,pl,unchanged,
,Social Menu,,pl,unchanged,
,Footer Menu,,pl,unchanged,
,Skip to content,,pl,unchanged,
,Open search form,,pl,unchanged,
,"Click the setting <span class=""dashicons dashicons-admin-generic""></span> on each element to customize its settings.",,pl,unchanged,
,Hide builder panel,,pl,unchanged,
,Hide Builder,,pl,unchanged,
,Device view controls,,pl,unchanged,
,Choose an Element,,pl,unchanged,
,Close choose element modal,,pl,unchanged,
,Footer Layout,,pl,unchanged,
,Create dynamic header effortlessly with drag-and-drop builder.,,pl,unchanged,
,Header,,pl,unchanged,
,Create dynamic footer effortlessly with drag-and-drop builder.,,pl,unchanged,
,Footer,,pl,unchanged,
,Enable %s Builder,,pl,unchanged,
,Add Element,,pl,unchanged,
,Remove Element,,pl,unchanged,
,Configure Element,,pl,unchanged,
,Desktop,,pl,unchanged,
,Element Settings,,pl,unchanged,
,close Off-Canvas Navigation,,pl,unchanged,
,Site & Logo,,pl,unchanged,
,Site Identity,,pl,unchanged,
,You can change Site Identity from %s.,,pl,unchanged,
,Promotion,,pl,unchanged,
,Off Canvas,,pl,unchanged,
,Off Canvas Widget Area,,pl,unchanged,
,This widget area is used in the mobile off-canvas panel. %s,,pl,unchanged,
,Manage widgets,,pl,unchanged,
,Primary menu,,pl,unchanged,
,Select Menu,,pl,unchanged,
,You can change Menu from menu panel. %s,,pl,unchanged,
,Manage menu,,pl,unchanged,
,Date,,pl,unchanged,
,Choose date format,,pl,unchanged,
,You can change date from general settings (Settings > General > Date Format). %s,,pl,unchanged,
,Manage Date,,pl,unchanged,
,Top Navigation,,pl,unchanged,
,pro,,pl,unchanged,
,Site Mode,,pl,unchanged,
,Custom HTML,,pl,unchanged,
,HTML Content,,pl,unchanged,
,Search,,pl,unchanged,
,Searc Form,,pl,unchanged,
,Custom Link,,pl,unchanged,
,Custom link,,pl,unchanged,
,live,,pl,unchanged,
,Widget 1,,pl,unchanged,
,Select Widget,,pl,unchanged,
,Widget 2,,pl,unchanged,
,Widget 3,,pl,unchanged,
,Navigation,,pl,unchanged,
,Pro,,pl,unchanged,
,Copyright,,pl,unchanged,
,Add widget to display . %s,,pl,unchanged,
,Beta,,pl,unchanged,unchanged_like
,No menu assigned,,pl,unchanged,
,-- Select --,,pl,unchanged,
,Subscribe,,pl,unchanged,
,Popular Tags,,pl,unchanged,
,Breaking News,,pl,unchanged,
,Posts List Section,,pl,unchanged,
,General,,pl,unchanged,
,Update,,pl,unchanged,
,More,,pl,unchanged,
,Main News,,pl,unchanged,
,Trending Now,,pl,unchanged,
,Editor's Picks,,pl,unchanged,
,Featured Posts,,pl,unchanged,
,Featured Categories,,pl,unchanged,
,Featured Pages,,pl,unchanged,
,Custom Options,,pl,unchanged,
,Post list Section Title %d,,pl,unchanged,
,View More,,pl,unchanged,
,Read More,,pl,unchanged,
,Related Stories,,pl,unchanged,
,You May Have Missed,,pl,unchanged,
,Copyright &copy; {year} All rights reserved.,,pl,unchanged,unchanged_like
,Body Background Color,,pl,unchanged,
,Site Title Size,,pl,unchanged,
,Uppercase Site Title and Tagline,,pl,unchanged,
,Site Title/Tagline Color,,pl,unchanged,
,Header Image Mode,,pl,unchanged,
,Image visibility may vary as per the mode,,pl,unchanged,
,Above Site Title,,pl,unchanged,
,Set as Background,,pl,unchanged,
,Show Full Image (Background),,pl,unchanged,
,Disable Image Tint/Overlay,,pl,unchanged,
,ReviewNews Pro,,pl,unchanged,
,Site Color Mode,,pl,unchanged,
,Light,,pl,unchanged,
,Dark,,pl,unchanged,
,Primary Color Section ,,pl,unchanged,
,Body Background Color (Dark Mode) will be applied for this mode.,,pl,unchanged,
,Body Background Color (Dark Mode),,pl,unchanged,
,Secondary Color Section ,,pl,unchanged,
,Secondary Color,,pl,unchanged,
,Fonts & Typography,,pl,unchanged,
,Font Family Section,,pl,unchanged,
,Fonts Source,,pl,unchanged,
,Theme Fonts,,pl,unchanged,
,System Fonts,,pl,unchanged,
,Font Family,,pl,unchanged,
,Main Banner Options,,pl,unchanged,
,Enable Flash News,,pl,unchanged,
,Section Title ,,pl,unchanged,
,Flash Posts Category,,pl,unchanged,
,Select category to be shown on trending posts ,,pl,unchanged,
,Main Banner,,pl,unchanged,
,Enable Main Banner Section,,pl,unchanged,
,Main Banner Background Image,,pl,unchanged,
,Recommended Size %1$s px X %2$s px,,pl,unchanged,
,Select Main Banner Order,,pl,unchanged,
,Order 1,,pl,unchanged,
,Order 2,,pl,unchanged,
,Order 3,,pl,unchanged,
,Main News Section ,,pl,unchanged,
,Filter Posts By,,pl,unchanged,
,Category,,pl,unchanged,
,Tag,,pl,unchanged,
,Select Category,,pl,unchanged,
,Select category to be shown on main slider section,,pl,unchanged,
,Select Tag,,pl,unchanged,
,Select tag to be shown on main slider section,,pl,unchanged,
,Editor's Picks Section,,pl,unchanged,
,Select,,pl,unchanged,
,Trending Section,,pl,unchanged,
,Comment Count,,pl,unchanged,
,View Count,,pl,unchanged,
,Front-page Options,,pl,unchanged,
,Enable Featured Post Section,,pl,unchanged,
,Select ,,pl,unchanged,
,Select category to be shown on featured section ,,pl,unchanged,
,Posts List,,pl,unchanged,
,Enable Post List Section,,pl,unchanged,
,Section %d,,pl,unchanged,
,Section Title,,pl,unchanged,
,Front-page Layout Settings,,pl,unchanged,
,Front-page Content Display,,pl,unchanged,
,Select frontpage content display,,pl,unchanged,
,Front-page Widgets,,pl,unchanged,
,Page Contents & Front-page Widgets,,pl,unchanged,
,Front-page Content Alignment,,pl,unchanged,
,Select frontpage content alignment,,pl,unchanged,
,Home Content - Home Sidebar,,pl,unchanged,
,Home Sidebar - Home Content,,pl,unchanged,
,Only Home Content,,pl,unchanged,
,Header Options,,pl,unchanged,
,Header Settings,,pl,unchanged,
,Site Mode Switch,,pl,unchanged,
,Enable,,pl,unchanged,
,Disable,,pl,unchanged,
,Disable Sticky Header,,pl,unchanged,
,Sticky header works only with builder at bottom.,,pl,unchanged,
,Top Header Section,,pl,unchanged,
,Show Top Header,,pl,unchanged,
,Header Advertisement,,pl,unchanged,
,Header Section Advertisement,,pl,unchanged,
,URL Link,,pl,unchanged,
,Theme Options,,pl,unchanged,
,Breadcrumb Options,,pl,unchanged,
,Show breadcrumbs,,pl,unchanged,
,Select Breadcrumbs,,pl,unchanged,
,Please ensure that you have enabled the plugin's breadcrumbs before choosing other than Default,,pl,unchanged,
,Default,,pl,unchanged,
,Yoast SEO,,pl,unchanged,unchanged_like
,Rank Math,,pl,unchanged,
,NavXT,,pl,unchanged,unchanged_like
,Global Settings,,pl,unchanged,
,Enable Preloader,,pl,unchanged,
,Disable Emoji Script,,pl,unchanged,
,GDPR friendly & better performance,,pl,unchanged,
,Global Content Alignment,,pl,unchanged,
,Content - Primary sidebar,,pl,unchanged,
,Primary sidebar - Content,,pl,unchanged,
,Full width content,,pl,unchanged,
,Also Show Content Image in Archive,,pl,unchanged,
,If there is no Post Featured image set,,pl,unchanged,
,Enable ,,pl,unchanged,
,Image Lazy Loading,,pl,unchanged,
,Set for better performance,,pl,unchanged,
,Image Async Decoding,,pl,unchanged,
,Set to enhance rendering speed,,pl,unchanged,
,Scroll to Top Position,,pl,unchanged,
,Right,,pl,unchanged,
,Left,,pl,unchanged,
,Categories Settings,,pl,unchanged,
,Post Categories,,pl,unchanged,
,Show,,pl,unchanged,
,Hide,,pl,unchanged,
,Categories to be displayed,,pl,unchanged,
,Show All,,pl,unchanged,
,Top One Category,,pl,unchanged,
,Number of Categories,,pl,unchanged,
,Author and Date Settings,,pl,unchanged,
,Author Icon,,pl,unchanged,
,Show Gravatar,,pl,unchanged,
,Show Icon,,pl,unchanged,
,None,,pl,unchanged,
,Date Format,,pl,unchanged,
,WordPress Default Date Format,,pl,unchanged,
,Ago Date Format,,pl,unchanged,
,Minutes Read Count,,pl,unchanged,
,Excerpt Settings,,pl,unchanged,
,Global Excerpt Read More,,pl,unchanged,
,Primary Menu Section,,pl,unchanged,
,Show Primary Menu Description,,pl,unchanged,
,Enable Custom Menu Section,,pl,unchanged,
,Title,,pl,unchanged,
,Link,,pl,unchanged,
,Single Post,,pl,unchanged,
,Show Featured Image,,pl,unchanged,
,Featured Image Width,,pl,unchanged,
,Full - Default,,pl,unchanged,
,Original,,pl,unchanged,
,Single Content Mode,,pl,unchanged,
,Spacious,,pl,unchanged,
,Show Author Bio under Content,,pl,unchanged,
,Show Tags under Content,,pl,unchanged,
,Social Share Options,,pl,unchanged,
,Defined Links,,pl,unchanged,
,Theme,,pl,unchanged,
,JetPack,,pl,unchanged,unchanged_like
,Position,,pl,unchanged,
,Before Content,,pl,unchanged,
,After Content,,pl,unchanged,
,Related Posts Settings,,pl,unchanged,
,Enable Related Posts,,pl,unchanged,
,Archive Settings,,pl,unchanged,
,Disable Main Banner on Blog,,pl,unchanged,
,Archive layout,,pl,unchanged,
,Select layout for archive,,pl,unchanged,
,grid,,pl,unchanged,
,Full,,pl,unchanged,
,Image Alignment,,pl,unchanged,
,Select image alignment for archive,,pl,unchanged,
,Content View,,pl,unchanged,
,Select content view for archive,,pl,unchanged,
,Post Excerpt,,pl,unchanged,
,Full Content,,pl,unchanged,
,Search Results,,pl,unchanged,
,Select search results for archive,,pl,unchanged,
,"All (Pages, Posts, etc)",,pl,unchanged,
,Posts,,pl,unchanged,
,Sidebar Settings,,pl,unchanged,
,Make Sidebar Sticky,,pl,unchanged,
,Sidebar Sticky Position,,pl,unchanged,
,Top,,pl,unchanged,
,Bottom,,pl,unchanged,
,Show Above Footer,,pl,unchanged,
,Posts Section Title,,pl,unchanged,
,Footer Options,,pl,unchanged,
,Footer Background Image,,pl,unchanged,
,Copyright Text,,pl,unchanged,
,Hide footer Menu Section,,pl,unchanged,
,Pages:,,pl,unchanged,
,Open Off-Canvas Navigation,,pl,unchanged,
,Light/Dark Button,,pl,unchanged,
,Layout Options,,pl,unchanged,
,Content Options,,pl,unchanged,
,Set as global layout,,pl,unchanged,
,Please go to Customize>Themes Options for Single Post/Page.,,pl,unchanged,
,Sidebar Options,,pl,unchanged,
,Content - Primary Sidebar,,pl,unchanged,
,Primary Sidebar - Content,,pl,unchanged,
,No Sidebar,,pl,unchanged,
,Please go to Customize>Front-page Options for Homepage.,,pl,unchanged,
,Category Color 1,,pl,unchanged,
,Category Color 2,,pl,unchanged,
,Category Color 3,,pl,unchanged,
,Color Class,,pl,unchanged,
,"Select category color class. You can set appropriate categories color on ""Categories"" section of the theme customizer.",,pl,unchanged,
,Templatespare,,pl,unchanged,
,Elespare,,pl,unchanged,unchanged_like
,Blockspare,,pl,unchanged,
,WP Post Author,,pl,unchanged,
,Free Live Chat using 3CX,,pl,unchanged,
,Large Post with Background,,pl,unchanged,
,3 Columns Post Grid with Background,,pl,unchanged,
,Post Grid with Background,,pl,unchanged,
,Post List with Background,,pl,unchanged,
,Single Post Column with Background,,pl,unchanged,
,Ticker News,,pl,unchanged,
,Featured News,,pl,unchanged,
,Three Columns Posts,,pl,unchanged,
,Three Columns,,pl,unchanged,
,Post Carousel,,pl,unchanged,
,Large Post with Dark Background,,pl,unchanged,
,3 Columns Post Grid with Dark Background,,pl,unchanged,
,Post Grid with Dark Background,,pl,unchanged,
,Post List with Dark Background,,pl,unchanged,
,Single Post Column with Dark Background,,pl,unchanged,
,Express Grid,,pl,unchanged,
,About Author,,pl,unchanged,
,"We mainly focus on quality code and elegant design with incredible support. Our WordPress themes and plugins empower you to create an elegant, professional, and easy-to-maintain website in no time at all. Even on mobile and tablet screens, your website will look great",,pl,unchanged,
,Post Slider,,pl,unchanged,
,Post Grid,,pl,unchanged,
,Post List,,pl,unchanged,
,Connect to Us,,pl,unchanged,
,Advertisement,,pl,unchanged,
,Express Tile,,pl,unchanged,
,Single Column,,pl,unchanged,
,Categories,,pl,unchanged,
,Section 1,,pl,unchanged,
,Section 2,,pl,unchanged,
,Section 3,,pl,unchanged,
,Section 4,,pl,unchanged,
,3 Columns Post Grid - 2,,pl,unchanged,
,3 Columns Post Grid,,pl,unchanged,
,Post Grid - 2,,pl,unchanged,
,Large Posts - 2,,pl,unchanged,
,Large Posts,,pl,unchanged,
,Single Column - 2,,pl,unchanged,
,Post List - 2,,pl,unchanged,
,"Howdy, %1$s! We've noticed that you've been using %2$s for some time now, we hope you are loving it! We would appreciate it if you can give us %3$sreview and rating%4$s on WordPress.org! We'll continue to develop exciting new features for free in the future by sharing the love!",,pl,unchanged,
,Sure thing,,pl,unchanged,
,Remind me later,,pl,unchanged,
,I've already done.,,pl,unchanged,
,Got any support queries?,,pl,unchanged,
,Read more about %s,,pl,unchanged,
,Previous,,pl,unchanged,
,Next,,pl,unchanged,
,%s min read,,pl,unchanged,
,%s comment,%s comments,pl,unchanged,
,%s comment,%s comments,pl,unchanged,
,%s comment,%s comments,pl,unchanged,
,Copy link to clipboard,,pl,unchanged,
,Link copied to clipboard!,,pl,unchanged,
,About the Author,,pl,unchanged,
,Visit Website,,pl,unchanged,
,View All Posts,,pl,unchanged,
,Your name,,pl,unchanged,
,Your email,,pl,unchanged,
,Your website,,pl,unchanged,
,Leave a comment,,pl,unchanged,
,(Last updated: %s),,pl,unchanged,
,%s ago,,pl,unchanged,
,"Edit <span class=""screen-reader-text"">%s</span>",,pl,unchanged,
,Action failed. Please refresh the page and retry.,,pl,unchanged,
,Cheatin&#8217; huh?,,pl,unchanged,
,Claim Your Discount,,pl,unchanged,
,Power Bundle,,pl,unchanged,
,All Themes Plan,,pl,unchanged,
,Maybe Later,,pl,unchanged,
,Have Queries?,,pl,unchanged,
,Displays author info.,,pl,unchanged,
,AFT Author Info,,pl,unchanged,
,Profile image,,pl,unchanged,
,Name,,pl,unchanged,
,Descriptions,,pl,unchanged,
,Facebook,,pl,unchanged,
,Twitter,,pl,unchanged,
,YouTube,,pl,unchanged,unchanged_like
,Displays Express Posts from selected categories.,,pl,unchanged,
,AFT Express Posts List,,pl,unchanged,
,Displays grid from selected categories.,,pl,unchanged,
,AFT Post Double Columns,,pl,unchanged,
,Select Category 1,,pl,unchanged,
,Select Category 2,,pl,unchanged,
,AFT Post Grid,,pl,unchanged,
,AFT Post List,,pl,unchanged,
,Displays posts single column from selected categories.,,pl,unchanged,
,AFT Post Single Column,,pl,unchanged,
,Displays posts slider from selected category.,,pl,unchanged,
,AFT Posts Slider,,pl,unchanged,
,Select category,,pl,unchanged,
,Displays social contacts lists from selected settings.,,pl,unchanged,
,AFT Social Contacts,,pl,unchanged,
,Connect with Us,,pl,unchanged,
,Social menu is not set. You need to create menu and assign it to Social Menu on Menu Settings.,,pl,unchanged,
,AFT Trending News,,pl,unchanged,
,Upload,,pl,unchanged,
,Select Image,,pl,unchanged,
,Choose Image,,pl,unchanged,
Remove,X,,pl,unchanged,unchanged_like
,Recent,,pl,unchanged,
,Popular,,pl,unchanged,
,Header Banner Ad Section,,pl,unchanged,
,Add widgets for frontpage banner section advertisement.,,pl,unchanged,
,Off Canvas Drawer Menu Section,,pl,unchanged,
,Add widgets for off-canvas section.,,pl,unchanged,
,Main Sidebar,,pl,unchanged,
,Add widgets for main sidebar.,,pl,unchanged,
,Front-page Content Section,,pl,unchanged,
,Add widgets to front-page contents section.,,pl,unchanged,
,Front-page Sidebar Section,,pl,unchanged,
,Add widgets to front-page sidebar section.,,pl,unchanged,
,Footer Widget 1,,pl,unchanged,
,Displays items on footer first column.,,pl,unchanged,
,Footer Widget 2,,pl,unchanged,
,Displays items on footer second column.,,pl,unchanged,
,Footer Widget 3,,pl,unchanged,
,Displays items on footer third column.,,pl,unchanged,
,View your shopping cart,,pl,unchanged,
,%d item,%d items,pl,unchanged,
,%d item,%d items,pl,unchanged,
,%d item,%d items,pl,unchanged,
,Browse:,,pl,unchanged,
breadcrumbs aria label,Breadcrumbs,,pl,unchanged,
,Home,,pl,unchanged,
,404 Not Found,,pl,unchanged,
,Archives,,pl,unchanged,
,Search results for: %s,,pl,unchanged,
,Page %s,,pl,unchanged,
,Comment Page %s,,pl,unchanged,
,Minute %s,,pl,unchanged,
,Week %s,,pl,unchanged,
