msgctxt,msgid,msgid_plural,target_lang,status,issues
,ReviewNews,,th,new,
,https://afthemes.com/products/reviewnews/,,th,new,unchanged_like
,"ReviewNews is a dynamic, ultra-fast, and highly versatile WordPress theme made for News, Magazine, Blog, Business, and eCommerce websites across the world. With its powerful HEADER & FOOTER BUILDER that works seamlessly with the Block Editor, GUTENBERG, ELEMENTOR, BRIZY, DIVI, and other popular page builders, you can design PROFESSIONAL LAYOUTS easily using drag and drop—no coding required. Packed with 100+ STARTER SITES, 30+ CUSTOM WIDGETS, ADVANCED BLOCK PATTERNS, FLEXIBLE LAYOUT OPTIONS, AMP SUPPORT, and FULL WOOCOMMERCE INTEGRATION, it’s perfect for everything from online newspapers, corporate or NGO sites, and educational or cultural portals to personal blogs, portfolios, and lifestyle magazines. ReviewNews is fully optimized for SEO, CORE WEB VITALS, SPEED, and RESPONSIVE DESIGN, ensuring FAST LOADING and excellent performance on all devices. Built with WCAG ACCESSIBILITY, GDPR COMPLIANCE, and LIGHTWEIGHT, CLEAN CODE, it offers long-term stability and high GOOGLE PAGESPEED SCORES. MULTILINGUAL and RTL READY, with demo content in English, Spanish, German, French, Japanese, Chinese, and Arabic, ReviewNews is a truly GLOBAL, FUTURE-PROOF THEME designed for creators, publishers, and businesses who value STYLE, SCALABILITY, and PERFORMANCE across every market. Explore all features at https://afthemes.com/products/reviewnews",,th,new,
,AF themes,,th,new,
,https://www.afthemes.com/,,th,new,unchanged_like
,Oops! That page can&rsquo;t be found.,,th,new,
,It looks like nothing was found at this location. Maybe try one of the links below or a search?,,th,new,
,Dashboard,,th,new,
,Customize,,th,new,
,Header Builder,,th,new,
,Footer Builder,,th,new,
,Starter Sites,,th,new,
,Elementor Kits,,th,new,
,Block Patterns,,th,new,
,Upgrade to Pro,,th,new,
,Upgrade Now,,th,new,
,The Templatespare plugin should be updated to the latest version,,th,new,
,"Import a Starter Site, Personalize, and Live it in 3 Easy Steps!",,th,new,
,Blockspare plugin version should be more than %s.,,th,new,
,"One-click Demo Import, Block Editor Ready, No Code Required! Built with Blockspare.",,th,new,
,Elespare plugin version should be more than %s.,,th,new,
,"One-click Import, Header/Footer Builder, Multilingual Support! Powered by Elespare.",,th,new,
,Are you sure you want to install this plugin?,,th,new,
,Install Now,,th,new,
,Activate,,th,new,
,Activated,,th,new,
,Get Starter Sites,,th,new,
,Get Started,,th,new,
,"The ""Get Started"" action will install/activate the Templatespare and Blockspare plugins for Starter Sites and Templates.",,th,new,
,By,,th,new,
,More Details,,th,new,
,"👋 Welcome, and Thank You!",,th,new,
,"%s is now active. We're here to help you turn your ideas into a beautiful, professional website — quickly and confidently.",,th,new,
,🚀 Start With One Click,,th,new,
,"Choose from 100+ starter sites designed for blogs, magazines, businesses & more.
      Setup is simple — no coding required.",,th,new,
,View Demos,,th,new,
,Theme dashboard,,th,new,
,🤝 We're Here for You,,th,new,
,Whether you're just starting or customizing your site.,,th,new,
,Documentation,,th,new,
,Video Tutorials,,th,new,
,Support,,th,new,
,⭐ Rate This Theme,,th,new,
,"Sorry, you are not allowed to install plugins on this site.",,th,new,
,"Error - unable to verify nonce, please try again.",,th,new,
,"Sorry, you are not allowed to activate plugins on this site.",,th,new,
,One thought on &ldquo;%1$s&rdquo;,,th,new,
comments title,%1$s thought on &ldquo;%2$s&rdquo;,%1$s thoughts on &ldquo;%2$s&rdquo;,th,new,
,Comments are closed.,,th,new,
,%1$s by %2$s.,,th,new,
,Primary Menu,,th,new,
,Social Menu,,th,new,
,Footer Menu,,th,new,
,Skip to content,,th,new,
,Open search form,,th,new,
,"Click the setting <span class=""dashicons dashicons-admin-generic""></span> on each element to customize its settings.",,th,new,
,Hide builder panel,,th,new,
,Hide Builder,,th,new,
,Device view controls,,th,new,
,Choose an Element,,th,new,
,Close choose element modal,,th,new,
,Footer Layout,,th,new,
,Create dynamic header effortlessly with drag-and-drop builder.,,th,new,
,Header,,th,new,
,Create dynamic footer effortlessly with drag-and-drop builder.,,th,new,
,Footer,,th,new,
,Enable %s Builder,,th,new,
,Add Element,,th,new,
,Remove Element,,th,new,
,Configure Element,,th,new,
,Desktop,,th,new,
,Element Settings,,th,new,
,close Off-Canvas Navigation,,th,new,
,Site & Logo,,th,new,
,Site Identity,,th,new,
,You can change Site Identity from %s.,,th,new,
,Promotion,,th,new,
,Off Canvas,,th,new,
,Off Canvas Widget Area,,th,new,
,This widget area is used in the mobile off-canvas panel. %s,,th,new,
,Manage widgets,,th,new,
,Primary menu,,th,new,
,Select Menu,,th,new,
,You can change Menu from menu panel. %s,,th,new,
,Manage menu,,th,new,
,Date,,th,new,
,Choose date format,,th,new,
,You can change date from general settings (Settings > General > Date Format). %s,,th,new,
,Manage Date,,th,new,
,Top Navigation,,th,new,
,pro,,th,new,
,Site Mode,,th,new,
,Custom HTML,,th,new,
,HTML Content,,th,new,
,Search,,th,new,
,Searc Form,,th,new,
,Custom Link,,th,new,
,Custom link,,th,new,
,live,,th,new,
,Widget 1,,th,new,
,Select Widget,,th,new,
,Widget 2,,th,new,
,Widget 3,,th,new,
,Navigation,,th,new,
,Pro,,th,new,
,Copyright,,th,new,
,Add widget to display . %s,,th,new,
,Beta,,th,new,
,No menu assigned,,th,new,
,-- Select --,,th,new,
,Subscribe,,th,new,
,Popular Tags,,th,new,
,Breaking News,,th,new,
,Posts List Section,,th,new,
,General,,th,new,
,Update,,th,new,
,More,,th,new,
,Main News,,th,new,
,Trending Now,,th,new,
,Editor's Picks,,th,new,
,Featured Posts,,th,new,
,Featured Categories,,th,new,
,Featured Pages,,th,new,
,Custom Options,,th,new,
,Post list Section Title %d,,th,new,
,View More,,th,new,
,Read More,,th,new,
,Related Stories,,th,new,
,You May Have Missed,,th,new,
,Copyright &copy; {year} All rights reserved.,,th,new,
,Body Background Color,,th,new,
,Site Title Size,,th,new,
,Uppercase Site Title and Tagline,,th,new,
,Site Title/Tagline Color,,th,new,
,Header Image Mode,,th,new,
,Image visibility may vary as per the mode,,th,new,
,Above Site Title,,th,new,
,Set as Background,,th,new,
,Show Full Image (Background),,th,new,
,Disable Image Tint/Overlay,,th,new,
