msgctxt,msgid,msgid_plural,target_lang,status,issues
,ReviewNews,,tl,new,unchanged_like
,https://afthemes.com/products/reviewnews/,,tl,new,unchanged_like
,"ReviewNews is a dynamic, ultra-fast, and highly versatile WordPress theme made for News, Magazine, Blog, Business, and eCommerce websites across the world. With its powerful HEADER & FOOTER BUILDER that works seamlessly with the Block Editor, GUTENBERG, ELEMENTOR, BRIZY, DIVI, and other popular page builders, you can design PROFESSIONAL LAYOUTS easily using drag and drop—no coding required. Packed with 100+ STARTER SITES, 30+ CUSTOM WIDGETS, ADVANCED BLOCK PATTERNS, FLEXIBLE LAYOUT OPTIONS, AMP SUPPORT, and FULL WOOCOMMERCE INTEGRATION, it’s perfect for everything from online newspapers, corporate or NGO sites, and educational or cultural portals to personal blogs, portfolios, and lifestyle magazines. ReviewNews is fully optimized for SEO, CORE WEB VITALS, SPEED, and RESPONSIVE DESIGN, ensuring FAST LOADING and excellent performance on all devices. Built with WCAG ACCESSIBILITY, GDPR COMPLIANCE, and LIGHTWEIGHT, CLEAN CODE, it offers long-term stability and high GOOGLE PAGESPEED SCORES. MULTILINGUAL and RTL READY, with demo content in English, Spanish, German, French, Japanese, Chinese, and Arabic, ReviewNews is a truly GLOBAL, FUTURE-PROOF THEME designed for creators, publishers, and businesses who value STYLE, SCALABILITY, and PERFORMANCE across every market. Explore all features at https://afthemes.com/products/reviewnews",,tl,new,
,AF themes,,tl,new,
,https://www.afthemes.com/,,tl,new,unchanged_like
,Oops! That page can&rsquo;t be found.,,tl,new,
,It looks like nothing was found at this location. Maybe try one of the links below or a search?,,tl,new,
,Dashboard,,tl,new,unchanged_like
,Customize,,tl,new,
,Header Builder,,tl,new,unchanged_like
,Footer Builder,,tl,new,
,Starter Sites,,tl,new,
,Elementor Kits,,tl,new,unchanged_like
,Block Patterns,,tl,new,
,Upgrade to Pro,,tl,new,
,Upgrade Now,,tl,new,
,The Templatespare plugin should be updated to the latest version,,tl,new,
,"Import a Starter Site, Personalize, and Live it in 3 Easy Steps!",,tl,new,
,Blockspare plugin version should be more than %s.,,tl,new,placeholders
,"One-click Demo Import, Block Editor Ready, No Code Required! Built with Blockspare.",,tl,new,
,Elespare plugin version should be more than %s.,,tl,new,
,"One-click Import, Header/Footer Builder, Multilingual Support! Powered by Elespare.",,tl,new,
,Are you sure you want to install this plugin?,,tl,new,
,Install Now,,tl,new,
,Activate,,tl,new,
,Activated,,tl,new,
,Get Starter Sites,,tl,new,
,Get Started,,tl,new,
,"The ""Get Started"" action will install/activate the Templatespare and Blockspare plugins for Starter Sites and Templates.",,tl,new,
,By,,tl,new,
,More Details,,tl,new,
,"👋 Welcome, and Thank You!",,tl,new,
,"%s is now active. We're here to help you turn your ideas into a beautiful, professional website — quickly and confidently.",,tl,new,
,🚀 Start With One Click,,tl,new,
,"Choose from 100+ starter sites designed for blogs, magazines, businesses & more.
      Setup is simple — no coding required.",,tl,new,
,View Demos,,tl,new,
,Theme dashboard,,tl,new,
,🤝 We're Here for You,,tl,new,
,Whether you're just starting or customizing your site.,,tl,new,
,Documentation,,tl,new,
,Video Tutorials,,tl,new,
,Support,,tl,new,
,⭐ Rate This Theme,,tl,new,
,"Sorry, you are not allowed to install plugins on this site.",,tl,new,
,"Error - unable to verify nonce, please try again.",,tl,new,
,"Sorry, you are not allowed to activate plugins on this site.",,tl,new,
,One thought on &ldquo;%1$s&rdquo;,,tl,new,placeholders
comments title,%1$s thought on &ldquo;%2$s&rdquo;,%1$s thoughts on &ldquo;%2$s&rdquo;,tl,new,placeholders
comments title,%1$s thought on &ldquo;%2$s&rdquo;,%1$s thoughts on &ldquo;%2$s&rdquo;,tl,new,
,Comments are closed.,,tl,new,
,%1$s by %2$s.,,tl,new,placeholders
,Primary Menu,,tl,new,
,Social Menu,,tl,new,
,Footer Menu,,tl,new,
,Skip to content,,tl,new,
,Open search form,,tl,new,
,"Click the setting <span class=""dashicons dashicons-admin-generic""></span> on each element to customize its settings.",,tl,new,
,Hide builder panel,,tl,new,
,Hide Builder,,tl,new,
,Device view controls,,tl,new,
,Choose an Element,,tl,new,
,Close choose element modal,,tl,new,
,Footer Layout,,tl,new,
,Create dynamic header effortlessly with drag-and-drop builder.,,tl,new,
,Header,,tl,new,unchanged_like
,Create dynamic footer effortlessly with drag-and-drop builder.,,tl,new,
,Footer,,tl,new,unchanged_like
,Enable %s Builder,,tl,new,
,Add Element,,tl,new,
,Remove Element,,tl,new,
,Configure Element,,tl,new,
,Desktop,,tl,new,unchanged_like
,Element Settings,,tl,new,
,close Off-Canvas Navigation,,tl,new,
,Site & Logo,,tl,new,
,Site Identity,,tl,new,
,You can change Site Identity from %s.,,tl,new,placeholders
,Promotion,,tl,new,
,Off Canvas,,tl,new,unchanged_like
,Off Canvas Widget Area,,tl,new,
,This widget area is used in the mobile off-canvas panel. %s,,tl,new,placeholders
,Manage widgets,,tl,new,
,Primary menu,,tl,new,
,Select Menu,,tl,new,
,You can change Menu from menu panel. %s,,tl,new,placeholders
,Manage menu,,tl,new,
,Date,,tl,new,
,Choose date format,,tl,new,
,You can change date from general settings (Settings > General > Date Format). %s,,tl,new,placeholders
,Manage Date,,tl,new,
,Top Navigation,,tl,new,
,pro,,tl,new,unchanged_like
,Site Mode,,tl,new,
,Custom HTML,,tl,new,
,HTML Content,,tl,new,
,Search,,tl,new,
,Searc Form,,tl,new,
,Custom Link,,tl,new,
,Custom link,,tl,new,
,live,,tl,new,unchanged_like
,Widget 1,,tl,new,unchanged_like
,Select Widget,,tl,new,
,Widget 2,,tl,new,unchanged_like
,Widget 3,,tl,new,unchanged_like
,Navigation,,tl,new,
,Pro,,tl,new,unchanged_like
,Copyright,,tl,new,unchanged_like
,Add widget to display . %s,,tl,new,placeholders
,Beta,,tl,new,unchanged_like
,No menu assigned,,tl,new,
,-- Select --,,tl,new,
,Subscribe,,tl,new,
,Popular Tags,,tl,new,
,Breaking News,,tl,new,unchanged_like
,Posts List Section,,tl,new,
,General,,tl,new,
,Update,,tl,new,
,More,,tl,new,
,Main News,,tl,new,
,Trending Now,,tl,new,
,Editor's Picks,,tl,new,
,Featured Posts,,tl,new,
,Featured Categories,,tl,new,
